# mem-guard start x3=22410 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=4951
1790214660.592760515 mem_available_mb=5261 swap_used_mb=4951 x3_rss_mb=115 x3_swap_mb=0
1790214661.118284056 mem_available_mb=5169 swap_used_mb=4928 x3_rss_mb=227 x3_swap_mb=0
1790214661.659512025 mem_available_mb=5205 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214662.207934472 mem_available_mb=5205 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214662.737810097 mem_available_mb=5208 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214663.276496399 mem_available_mb=5207 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214663.822970253 mem_available_mb=5194 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214664.364488117 mem_available_mb=5195 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214664.904594159 mem_available_mb=5196 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214665.448713273 mem_available_mb=5197 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214665.989615513 mem_available_mb=5196 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214666.530674419 mem_available_mb=5200 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214667.067240043 mem_available_mb=5200 swap_used_mb=4930 x3_rss_mb=227 x3_swap_mb=0
1790214667.607907856 mem_available_mb=5195 swap_used_mb=4930 x3_rss_mb=218 x3_swap_mb=0
1790214668.138029991 mem_available_mb=5203 swap_used_mb=4930 x3_rss_mb=218 x3_swap_mb=0
1790214668.672503116 mem_available_mb=5193 swap_used_mb=4930 x3_rss_mb=218 x3_swap_mb=0
1790214669.213605563 mem_available_mb=5180 swap_used_mb=4930 x3_rss_mb=218 x3_swap_mb=0
1790214669.743833897 mem_available_mb=5182 swap_used_mb=4930 x3_rss_mb=218 x3_swap_mb=0
1790214670.266025719 mem_available_mb=5183 swap_used_mb=4931 x3_rss_mb=218 x3_swap_mb=0
1790214670.806289417 mem_available_mb=5180 swap_used_mb=4931 x3_rss_mb=218 x3_swap_mb=0
1790214671.336802333 mem_available_mb=5171 swap_used_mb=4931 x3_rss_mb=218 x3_swap_mb=0
1790214671.869650823 mem_available_mb=5057 swap_used_mb=4931 x3_rss_mb=220 x3_swap_mb=0
1790214672.404316552 mem_available_mb=5050 swap_used_mb=4930 x3_rss_mb=220 x3_swap_mb=0
1790214672.950729416 mem_available_mb=5052 swap_used_mb=4930 x3_rss_mb=220 x3_swap_mb=0
1790214673.491365718 mem_available_mb=5050 swap_used_mb=4930 x3_rss_mb=220 x3_swap_mb=0
1790214674.035038322 mem_available_mb=5053 swap_used_mb=4932 x3_rss_mb=220 x3_swap_mb=0
1790214674.581626030 mem_available_mb=5047 swap_used_mb=4930 x3_rss_mb=220 x3_swap_mb=0
1790214675.119447957 mem_available_mb=5045 swap_used_mb=4929 x3_rss_mb=220 x3_swap_mb=0
1790214675.656494415 mem_available_mb=5048 swap_used_mb=4929 x3_rss_mb=220 x3_swap_mb=0
1790214676.210779363 mem_available_mb=5045 swap_used_mb=4929 x3_rss_mb=220 x3_swap_mb=0
1790214676.754928738 mem_available_mb=5045 swap_used_mb=4929 x3_rss_mb=220 x3_swap_mb=0
1790214677.296577540 mem_available_mb=5045 swap_used_mb=4929 x3_rss_mb=220 x3_swap_mb=0
1790214677.834280769 mem_available_mb=5043 swap_used_mb=4929 x3_rss_mb=220 x3_swap_mb=0
1790214678.377413268 mem_available_mb=5042 swap_used_mb=4929 x3_rss_mb=220 x3_swap_mb=0
