R3 S1_AHB buffer=0xb40000758781aca0 src=0xb40000750781b060 ahb=0xb400007577815110 dst=0x764873c000 w=64 h=64 srcStride=64 dstStride=64 format=5 req=0,0 srcPx=80004000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb40000758781aca0 src=0xb40000750781b060 ahb=0xb400007577815110 dst=0x764873c000 w=64 h=64 srcStride=64 dstStride=64 format=5 req=0,0 srcPx=80004000 dstPx=80004000 hash=8541fe55
R3 S1_AHB buffer=0xb4000075878186f0 src=0xb400007507827090 ahb=0xb40000757781c180 dst=0x76486ff000 w=64 h=64 srcStride=64 dstStride=64 format=2 req=0,0 srcPx=00804000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb4000075878186f0 src=0xb400007507827090 ahb=0xb40000757781c180 dst=0x76486ff000 w=64 h=64 srcStride=64 dstStride=64 format=2 req=0,0 srcPx=00804000 dstPx=00804000 hash=04059355
R3 S1_AHB buffer=0xb40000758781a550 src=0xb4000072aa194000 ahb=0xb40000757781a160 dst=0x72a9c92000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb40000758781a550 src=0xb4000072aa194000 ahb=0xb40000757781a160 dst=0x72a9c92000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S1_AHB buffer=0xb40000758781b2d0 src=0xb4000072aa194000 ahb=0xb400007577819150 dst=0x72a9792000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb40000758781b2d0 src=0xb4000072aa194000 ahb=0xb400007577819150 dst=0x72a9792000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S1_AHB buffer=0xb4000075878186f0 src=0xb4000072aa194000 ahb=0xb40000757781c180 dst=0x72a8636000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb4000075878186f0 src=0xb4000072aa194000 ahb=0xb40000757781c180 dst=0x72a8636000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S1_AHB buffer=0xb40000758781aca0 src=0xb4000072aa194000 ahb=0xb400007577815110 dst=0x72a8136000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb40000758781aca0 src=0xb4000072aa194000 ahb=0xb400007577815110 dst=0x72a8136000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S1_AHB buffer=0xb40000758781a670 src=0xb4000072aa194000 ahb=0xb40000757781b170 dst=0x72a7c36000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb40000758781a670 src=0xb4000072aa194000 ahb=0xb40000757781b170 dst=0x72a7c36000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S1_AHB buffer=0xb40000758781a310 src=0xb4000072aa194000 ahb=0xb4000075778201c0 dst=0x72a7736000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb40000758781a310 src=0xb4000072aa194000 ahb=0xb4000075778201c0 dst=0x72a7736000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S1_AHB buffer=0xb40000758781a430 src=0xb4000072aa194000 ahb=0xb40000757781f1b0 dst=0x72a7236000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb40000758781a430 src=0xb4000072aa194000 ahb=0xb40000757781f1b0 dst=0x72a7236000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S1_AHB buffer=0xb40000758781aaf0 src=0xb4000072aa194000 ahb=0xb40000757781d190 dst=0x72a6d36000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
R3 S2_AHB_COPY buffer=0xb40000758781aaf0 src=0xb4000072aa194000 ahb=0xb40000757781d190 dst=0x72a6d36000 w=1024 h=1024 srcStride=1024 dstStride=1280 format=2 req=0,0 srcPx=00000000 dstPx=00000000 hash=4b95f515
