# mem-guard start x3=23806 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=6155
1790230360.221868640 mem_available_mb=5736 swap_used_mb=6155 x3_rss_mb=165 x3_swap_mb=0
1790230360.755855515 mem_available_mb=5557 swap_used_mb=6142 x3_rss_mb=224 x3_swap_mb=0
1790230361.282662129 mem_available_mb=5549 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230361.822043223 mem_available_mb=5577 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230362.370072077 mem_available_mb=5576 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230362.920190983 mem_available_mb=5575 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230363.458074056 mem_available_mb=5576 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230364.004193691 mem_available_mb=5576 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230364.551843534 mem_available_mb=5575 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230365.103087909 mem_available_mb=5584 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230365.661837024 mem_available_mb=5583 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230366.196773430 mem_available_mb=5574 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230366.742535200 mem_available_mb=5575 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230367.277806190 mem_available_mb=5572 swap_used_mb=6141 x3_rss_mb=224 x3_swap_mb=0
1790230367.821005096 mem_available_mb=5565 swap_used_mb=6141 x3_rss_mb=216 x3_swap_mb=0
1790230368.361556398 mem_available_mb=5567 swap_used_mb=6141 x3_rss_mb=216 x3_swap_mb=0
1790230368.899772127 mem_available_mb=5558 swap_used_mb=6141 x3_rss_mb=216 x3_swap_mb=0
1790230369.433611501 mem_available_mb=5560 swap_used_mb=6141 x3_rss_mb=216 x3_swap_mb=0
1790230369.998828480 mem_available_mb=5552 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230370.529274001 mem_available_mb=5545 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230371.082885095 mem_available_mb=5496 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230371.635549678 mem_available_mb=5480 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230372.187587959 mem_available_mb=5469 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230372.735921240 mem_available_mb=5473 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230373.285677594 mem_available_mb=5466 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230373.840741187 mem_available_mb=5457 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230374.394337489 mem_available_mb=5455 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230374.923619103 mem_available_mb=5447 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230375.538082020 mem_available_mb=5411 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230376.073119832 mem_available_mb=5356 swap_used_mb=6130 x3_rss_mb=216 x3_swap_mb=0
1790230376.611947228 mem_available_mb=5237 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230377.152789571 mem_available_mb=5015 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230377.709631863 mem_available_mb=5099 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230378.262755665 mem_available_mb=4984 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230378.830412071 mem_available_mb=4941 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230379.465460508 mem_available_mb=4858 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230380.086515820 mem_available_mb=4829 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230380.724228632 mem_available_mb=4772 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230381.453439257 mem_available_mb=4760 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230382.318460767 mem_available_mb=4726 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230383.085658059 mem_available_mb=4711 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230383.722990298 mem_available_mb=4688 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230384.366066704 mem_available_mb=4681 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230385.164888058 mem_available_mb=4605 swap_used_mb=6130 x3_rss_mb=220 x3_swap_mb=0
1790230386.822586755 mem_available_mb=4367 swap_used_mb=6134 x3_rss_mb=217 x3_swap_mb=0
1790230388.052841130 mem_available_mb=4377 swap_used_mb=6134 x3_rss_mb=217 x3_swap_mb=0
1790230389.865413212 mem_available_mb=4402 swap_used_mb=6146 x3_rss_mb=217 x3_swap_mb=0
1790230390.778525399 mem_available_mb=4353 swap_used_mb=6187 x3_rss_mb=217 x3_swap_mb=0
1790230391.534477118 mem_available_mb=4159 swap_used_mb=6261 x3_rss_mb=216 x3_swap_mb=0
1790230392.131378472 mem_available_mb=4105 swap_used_mb=6261 x3_rss_mb=216 x3_swap_mb=0
1790230392.711040399 mem_available_mb=4123 swap_used_mb=6261 x3_rss_mb=216 x3_swap_mb=0
1790230393.245309201 mem_available_mb=4107 swap_used_mb=6261 x3_rss_mb=216 x3_swap_mb=0
1790230393.792032065 mem_available_mb=4080 swap_used_mb=6261 x3_rss_mb=216 x3_swap_mb=0
1790230394.341194721 mem_available_mb=4069 swap_used_mb=6261 x3_rss_mb=216 x3_swap_mb=0
1790230395.009015971 mem_available_mb=4065 swap_used_mb=6261 x3_rss_mb=216 x3_swap_mb=0
1790230395.588102585 mem_available_mb=4093 swap_used_mb=6271 x3_rss_mb=216 x3_swap_mb=0
1790230396.144162585 mem_available_mb=4073 swap_used_mb=6271 x3_rss_mb=216 x3_swap_mb=0
1790230396.692680606 mem_available_mb=4079 swap_used_mb=6271 x3_rss_mb=216 x3_swap_mb=0
1790230397.238595553 mem_available_mb=4081 swap_used_mb=6271 x3_rss_mb=216 x3_swap_mb=0
1790230397.784608261 mem_available_mb=4075 swap_used_mb=6271 x3_rss_mb=216 x3_swap_mb=0
1790230398.332358626 mem_available_mb=4123 swap_used_mb=6273 x3_rss_mb=216 x3_swap_mb=0
1790230398.897858886 mem_available_mb=4132 swap_used_mb=6273 x3_rss_mb=216 x3_swap_mb=0
1790230399.460764927 mem_available_mb=4024 swap_used_mb=6257 x3_rss_mb=216 x3_swap_mb=0
1790230399.996771438 mem_available_mb=4008 swap_used_mb=6248 x3_rss_mb=215 x3_swap_mb=0
1790230400.524585448 mem_available_mb=3992 swap_used_mb=6248 x3_rss_mb=215 x3_swap_mb=0
1790230401.058828208 mem_available_mb=3985 swap_used_mb=6248 x3_rss_mb=215 x3_swap_mb=0
1790230401.624154197 mem_available_mb=3980 swap_used_mb=6253 x3_rss_mb=215 x3_swap_mb=0
1790230402.161551697 mem_available_mb=3981 swap_used_mb=6253 x3_rss_mb=215 x3_swap_mb=0
