# mem-guard start x3=30569 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=5188
1790228332.774090247 mem_available_mb=5936 swap_used_mb=5188 x3_rss_mb=181 x3_swap_mb=0
1790228333.305203164 mem_available_mb=5864 swap_used_mb=5146 x3_rss_mb=224 x3_swap_mb=0
1790228333.833451288 mem_available_mb=5884 swap_used_mb=5146 x3_rss_mb=224 x3_swap_mb=0
1790228334.363987121 mem_available_mb=5961 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228334.906491548 mem_available_mb=5960 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228335.444233840 mem_available_mb=5957 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228335.972662121 mem_available_mb=5955 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228336.510544412 mem_available_mb=5954 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228337.052432954 mem_available_mb=5952 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228337.598862485 mem_available_mb=5952 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228338.139077068 mem_available_mb=6001 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228338.680526130 mem_available_mb=6012 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228339.223325974 mem_available_mb=6015 swap_used_mb=5145 x3_rss_mb=224 x3_swap_mb=0
1790228339.765736911 mem_available_mb=6017 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228340.295499150 mem_available_mb=6014 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228340.832725088 mem_available_mb=6007 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228341.370902692 mem_available_mb=6045 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228341.913225296 mem_available_mb=6050 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228342.449072691 mem_available_mb=6055 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228342.996624045 mem_available_mb=6054 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228343.542136180 mem_available_mb=6051 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228344.092459253 mem_available_mb=5985 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228344.632232951 mem_available_mb=5969 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228345.179718107 mem_available_mb=5951 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228345.726939513 mem_available_mb=5937 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
1790228346.274255086 mem_available_mb=5936 swap_used_mb=5145 x3_rss_mb=215 x3_swap_mb=0
