# mem-guard start x3=21751 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=5410
1790227019.707502519 mem_available_mb=6172 swap_used_mb=5409 x3_rss_mb=116 x3_swap_mb=0
1790227020.239343612 mem_available_mb=6035 swap_used_mb=5405 x3_rss_mb=225 x3_swap_mb=0
1790227020.767222518 mem_available_mb=6010 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227021.305188299 mem_available_mb=6024 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227021.847089758 mem_available_mb=6031 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227022.394436737 mem_available_mb=6028 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227022.947668351 mem_available_mb=6026 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227023.478694444 mem_available_mb=6025 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227024.021372048 mem_available_mb=6031 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227024.567495486 mem_available_mb=6029 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227025.111709392 mem_available_mb=6030 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227025.653598350 mem_available_mb=6029 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227026.196310433 mem_available_mb=6029 swap_used_mb=5405 x3_rss_mb=226 x3_swap_mb=0
1790227026.725672829 mem_available_mb=6023 swap_used_mb=5405 x3_rss_mb=217 x3_swap_mb=0
1790227027.256895537 mem_available_mb=6019 swap_used_mb=5405 x3_rss_mb=217 x3_swap_mb=0
1790227027.783984287 mem_available_mb=6017 swap_used_mb=5405 x3_rss_mb=217 x3_swap_mb=0
1790227028.324119599 mem_available_mb=5986 swap_used_mb=5405 x3_rss_mb=217 x3_swap_mb=0
1790227028.866017984 mem_available_mb=5968 swap_used_mb=5405 x3_rss_mb=217 x3_swap_mb=0
1790227029.405272776 mem_available_mb=5959 swap_used_mb=5405 x3_rss_mb=217 x3_swap_mb=0
1790227029.948041838 mem_available_mb=5951 swap_used_mb=5404 x3_rss_mb=217 x3_swap_mb=0
1790227030.486915900 mem_available_mb=5943 swap_used_mb=5404 x3_rss_mb=217 x3_swap_mb=0
1790227031.032548087 mem_available_mb=5938 swap_used_mb=5404 x3_rss_mb=217 x3_swap_mb=0
1790227031.561766681 mem_available_mb=5915 swap_used_mb=5404 x3_rss_mb=217 x3_swap_mb=0
1790227032.105798868 mem_available_mb=5862 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227032.658807983 mem_available_mb=5821 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227033.220322670 mem_available_mb=5821 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227033.770690586 mem_available_mb=5820 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227034.299708763 mem_available_mb=5823 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227034.849737201 mem_available_mb=5822 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227035.399355325 mem_available_mb=5823 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227035.950540065 mem_available_mb=5818 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227036.503441731 mem_available_mb=5817 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227037.058271314 mem_available_mb=5816 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227037.618945272 mem_available_mb=5816 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227038.174209803 mem_available_mb=5820 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227038.717294543 mem_available_mb=5820 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227039.277680428 mem_available_mb=5819 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227039.807181001 mem_available_mb=5810 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227040.358998500 mem_available_mb=5813 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227040.911657198 mem_available_mb=5812 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227041.467414229 mem_available_mb=5817 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227042.019571781 mem_available_mb=5814 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227042.579409593 mem_available_mb=5814 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227043.136571260 mem_available_mb=5809 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227043.692703916 mem_available_mb=5818 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227044.243807457 mem_available_mb=5822 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227044.786540426 mem_available_mb=5822 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227045.345817197 mem_available_mb=5817 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227045.906643446 mem_available_mb=5815 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227046.464080061 mem_available_mb=5820 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227047.024906883 mem_available_mb=5820 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227047.581836362 mem_available_mb=5829 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227048.131010633 mem_available_mb=5826 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227048.690386674 mem_available_mb=5825 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227049.257372039 mem_available_mb=5824 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227049.812344695 mem_available_mb=5824 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227050.359543653 mem_available_mb=5817 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227050.915401153 mem_available_mb=5810 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227051.470800215 mem_available_mb=5810 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227052.020075006 mem_available_mb=5809 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227052.577343496 mem_available_mb=5817 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
1790227053.135021985 mem_available_mb=5818 swap_used_mb=5404 x3_rss_mb=219 x3_swap_mb=0
