# mem-guard start x3=18649 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=5748
1790397618.244544096 mem_available_mb=5007 swap_used_mb=5748 x3_rss_mb=219 x3_swap_mb=0
1790397618.774160502 mem_available_mb=5051 swap_used_mb=5741 x3_rss_mb=220 x3_swap_mb=0
1790397619.311208888 mem_available_mb=5053 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397619.853497950 mem_available_mb=5057 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397620.388841387 mem_available_mb=5060 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397620.919477481 mem_available_mb=5057 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397621.450966126 mem_available_mb=5057 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397622.001468366 mem_available_mb=5042 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397622.542380553 mem_available_mb=5040 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397623.082951178 mem_available_mb=5038 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397623.623345396 mem_available_mb=5039 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397624.172314354 mem_available_mb=5040 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397624.716286646 mem_available_mb=5039 swap_used_mb=5741 x3_rss_mb=221 x3_swap_mb=0
1790397625.240176385 mem_available_mb=5042 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397625.781213729 mem_available_mb=5039 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397626.319574354 mem_available_mb=5038 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397626.844608937 mem_available_mb=5040 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397627.368609770 mem_available_mb=5037 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397627.900785759 mem_available_mb=5106 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397628.442344874 mem_available_mb=5104 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397628.988500446 mem_available_mb=5106 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397629.532509769 mem_available_mb=5105 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397630.060518727 mem_available_mb=5060 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397630.588956383 mem_available_mb=5050 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397631.115520341 mem_available_mb=5049 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397631.642495758 mem_available_mb=5051 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397632.169397945 mem_available_mb=5051 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397632.698332632 mem_available_mb=5049 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397633.224935861 mem_available_mb=5048 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397633.750717684 mem_available_mb=5048 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397634.277300132 mem_available_mb=5043 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397634.822983517 mem_available_mb=5040 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397635.358042006 mem_available_mb=5039 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397635.884039871 mem_available_mb=5044 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397636.410130235 mem_available_mb=5044 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397636.939652839 mem_available_mb=5045 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397637.468348933 mem_available_mb=5044 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397637.993829089 mem_available_mb=5043 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397638.518172891 mem_available_mb=5042 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397639.043152526 mem_available_mb=5044 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397639.570519557 mem_available_mb=5044 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397640.096940338 mem_available_mb=5066 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397640.633039661 mem_available_mb=5054 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397641.180069608 mem_available_mb=5053 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397641.736043098 mem_available_mb=5052 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397642.284673670 mem_available_mb=5056 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397642.832897941 mem_available_mb=5055 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397643.387749087 mem_available_mb=5062 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397643.937307993 mem_available_mb=5065 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397644.491014920 mem_available_mb=5063 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397645.035571847 mem_available_mb=5062 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397645.583609867 mem_available_mb=5062 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397646.142947107 mem_available_mb=5061 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397646.696198929 mem_available_mb=5063 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397647.259344814 mem_available_mb=5062 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397647.823749814 mem_available_mb=5062 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397648.354789502 mem_available_mb=5076 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397648.909170283 mem_available_mb=5070 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397649.469876064 mem_available_mb=5070 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397650.029783407 mem_available_mb=5069 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397650.594007678 mem_available_mb=5068 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397651.152249917 mem_available_mb=5066 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397651.707195229 mem_available_mb=5064 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397652.247717365 mem_available_mb=5062 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397652.802443875 mem_available_mb=5058 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
1790397653.368871739 mem_available_mb=5057 swap_used_mb=5741 x3_rss_mb=212 x3_swap_mb=0
