# evidence replay 2026-09-24T14:14:33+08:00: exact-line count of
# ^EXA bug: pPixmap->devPrivate\.ptr was 0x[0-9a-f]+, but should have been NULL\.$
# columns: count  sha256(log)[:16]  frozen-sha256sums-match  path
   499  e381b6eda40b1171  MATCH        ./gate-a-a1/p2-b3-runtime/runtime-bfb5769/b3-attr-01/x3-launcher.log
   499  32acb170a6214f6c  MATCH        ./gate-a-a1/p2-b3-runtime/runtime-bfb5769/b3-attr-02/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-b3-runtime/runtime-bfb5769/b3-c-01/x3-launcher.log
  1784  96b0e676b51a8d07  MATCH        ./gate-a-a1/p2-b3-runtime/runtime-bfb5769/b3-g-01/x3-launcher.log
  1784  618ed1f7a386d60b  MATCH        ./gate-a-a1/p2-b3-runtime/runtime-bfb5769/b3-g2-01/x3-launcher.log
  2624  0f3ae19f7f8796df  MATCH        ./gate-a-a1/p2-oracle-runtime/runtime-11b3b79/oracle-ga-01/x3-launcher.log
  2625  e35d7bfb8c310516  MATCH        ./gate-a-a1/p2-oracle-runtime/runtime-bfb5769/oracle-01/x3-launcher.log
  2624  25e92582c7a983c6  MATCH        ./gate-a-a1/p2-oracle-runtime/runtime-bfb5769/oracle-02/x3-launcher.log
  2624  2f05cb3d81243e37  MATCH        ./gate-a-a1/p2-oracle-runtime/runtime-bfb5769/oracle-03/x3-launcher.log
  2624  18034c0b2f9d4865  MATCH        ./gate-a-a1/p2-oracle-runtime/runtime-f592241/oracle-g0-01/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-oracle-runtime/runtime-f592241/oracle-gt-01/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-pga-rca/runtime-0245ff3/oracle-c-s11-01/x3-launcher.log
   534  5e61d20d19fb59c8  MATCH        ./gate-a-a1/p2-pga-rca/runtime-0245ff3/oracle-g-s11-01/x3-launcher.log
   362  9b65bd7f5b9939fb  MATCH        ./gate-a-a1/p2-pga-rca/runtime-0245ff3/oracle-ga-s11-01/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-pga-rca/runtime-0245ff3/probe-c-01/x3-launcher.log
     3  602d195d0f87e3f6  MATCH        ./gate-a-a1/p2-pga-rca/runtime-0245ff3/probe-g-01/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/opstream-c-01/x3-launcher.log
     0  cf1b53d83d31d576  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/opstream-g-01/x3-launcher.log
     0  4a6b6afd0aa6f712  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/opstream-g-02/x3-launcher.log
     0  07cf8b1717ed63d4  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/opstream-ga-01/x3-launcher.log
     0  d56e8a03ed5b26e5  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/opstream-ga-02/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/oracle-c-s11-01/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/oracle-c-s12-01/x3-launcher.log
   534  a2ed3631407ac0e8  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/oracle-g-s11-01/x3-launcher.log
   469  60036fd71fe13973  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/oracle-g-s12-01/x3-launcher.log
   362  425dee7e08d18f33  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/oracle-ga-s11-01/x3-launcher.log
   319  20bf7eae073f3c48  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/oracle-ga-s12-01/x3-launcher.log
     3  9f9eef1c59cf81a6  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/probe-g-01/x3-launcher.log
     0  f98704987b907aa5  MATCH        ./gate-a-a1/p2-pga-rca/runtime-11b3b79/probe-ga-01/x3-launcher.log
   362  ad6190328be8b57a  MATCH        ./gate-a-a1/p2-pga-rca/runtime-709dfac/oracle-gat-s11-01/x3-launcher.log
   164  c7121cfeeba985e5  MATCH        ./gate-a-a1/p2-pga-rca/runtime-83d45a9/gap3-requal-01/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-pga-rca/runtime-83d45a9/gap3-requal-02-c/x3-launcher.log
