# sid=15768 tracer_pid=15764 tracer_arg0=/data/data/com.termux/files/usr/bin/proot x3=14147 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790260295953,2,2,3,96
1790260296153,2,2,7,96
1790260296353,2,2,14,96
1790260296553,2,2,16,96
1790260296753,2,2,24,96
1790260296954,72,5,29,97
1790260297154,82,5,34,97
1790260297354,96,5,42,97
1790260297554,108,5,53,97
1790260297754,124,5,60,98
1790260297954,173,11,71,98
1790260298155,192,10,83,98
1790260298355,210,10,98,99
1790260298555,212,10,114,99
1790260298755,229,10,125,101
1790260298955,281,19,142,101
1790260299155,295,17,151,102
1790260299356,309,17,157,103
1790260299556,322,17,170,104
1790260299756,343,17,181,104
1790260299956,402,20,195,105
1790260300156,433,20,203,105
1790260300356,448,20,207,106
1790260300556,479,20,217,107
1790260300757,516,20,235,107
1790260300957,540,20,251,107
1790260301157,564,20,264,107
1790260301357,578,20,277,107
1790260301557,593,20,290,107
1790260301758,611,20,304,107
1790260301958,622,20,317,108
1790260302158,634,20,331,108
1790260302358,670,20,347,109
1790260302558,695,20,361,109
1790260302759,730,20,376,109
1790260302959,774,20,393,111
1790260303159,798,20,404,111
1790260303359,836,20,418,112
1790260303559,871,20,433,114
1790260303760,887,20,448,115
1790260303960,890,20,451,115
1790260304160,890,20,451,115
1790260304361,894,20,454,116
1790260304561,894,20,454,116
1790260304761,896,20,455,117
1790260304961,897,20,457,117
1790260305162,897,20,457,117
1790260305362,900,20,458,118
1790260305562,901,20,458,119
1790260305763,901,20,459,119
1790260305963,901,20,461,120
1790260306163,922,20,470,120
1790260306364,923,20,471,120
1790260306564,924,20,471,120
1790260306764,925,20,471,121
1790260306965,926,20,472,121
1790260307165,929,20,473,122
1790260307365,933,20,480,122
1790260307565,933,20,481,122
1790260307766,934,20,482,122
1790260307966,935,20,482,123
1790260308166,936,20,483,123
1790260308366,938,20,484,124
1790260308567,940,20,485,124
1790260308767,950,20,492,125
1790260308967,951,20,493,125
1790260309167,954,20,494,125
1790260309367,954,20,494,125
1790260309568,965,20,496,127
1790260309768,969,20,497,127
1790260309968,975,24,508,127
1790260310169,981,20,512,127
1790260310369,981,20,512,128
1790260310569,982,20,513,128
1790260310770,984,20,514,128
1790260310970,984,20,514,128
1790260311170,985,20,515,128
1790260311371,985,20,515,128
1790260311571,985,20,516,130
1790260311772,985,20,517,130
1790260311972,986,20,517,130
1790260312172,987,20,518,130
1790260312373,989,20,518,131
1790260312573,991,20,519,131
1790260312773,992,20,521,131
1790260312974,993,20,521,132
1790260313174,994,20,522,132
1790260313374,994,20,523,132
1790260313575,995,20,523,132
1790260313775,997,20,524,133
1790260313976,997,20,524,133
1790260314176,998,20,524,133
1790260314376,999,20,525,134
1790260314576,999,20,526,134
1790260314777,1006,20,534,135
1790260314977,1007,20,534,135
1790260315178,1008,20,535,135
1790260315378,1008,20,535,136
1790260315578,1009,20,537,136
1790260315779,1009,20,537,136
1790260315979,1011,20,538,136
1790260316180,1011,20,538,136
1790260316380,1012,20,539,137
1790260316581,1012,20,539,137
1790260316781,1013,20,540,137
1790260316981,1014,20,540,139
1790260317182,1015,20,541,139
1790260317382,1016,20,541,139
