# sid=21383 tracer_pid=21381 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out2/bin/proot-fast2 x3=14147 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790260472056,2,2,3,396
1790260472256,2,2,11,397
1790260472456,2,2,12,397
1790260472657,2,2,20,397
1790260472857,2,2,34,397
1790260473057,115,11,37,397
1790260473257,139,10,51,398
1790260473457,156,10,67,398
1790260473657,157,10,79,400
1790260473857,179,10,89,400
1790260474058,228,17,96,402
1790260474258,245,17,108,402
1790260474458,279,17,119,403
1790260474658,299,17,130,403
1790260474858,307,17,147,404
1790260475058,425,18,163,405
1790260475259,461,18,177,405
1790260475459,506,18,191,406
1790260475659,537,18,205,407
1790260475859,550,18,219,409
1790260476059,583,18,234,411
1790260476261,609,18,246,411
1790260476462,615,18,261,411
1790260476662,616,18,264,411
1790260476863,619,18,264,413
1790260477063,620,18,264,413
1790260477264,620,18,264,414
1790260477464,621,18,264,414
1790260477664,622,18,264,414
1790260477865,627,18,267,415
1790260478065,631,18,270,415
1790260478265,647,18,276,416
1790260478466,653,18,276,416
1790260478666,654,18,277,416
1790260478866,654,18,277,417
1790260479067,654,18,277,418
1790260479267,654,18,277,419
1790260479468,656,18,278,419
1790260479668,659,18,284,419
1790260479868,660,18,288,420
1790260480069,663,18,289,420
1790260480270,664,18,289,420
1790260480470,667,18,292,421
1790260480670,669,18,293,421
1790260480870,687,18,293,421
1790260481071,699,18,295,423
1790260481272,699,18,295,423
1790260481472,700,18,295,423
1790260481672,708,18,303,424
1790260481873,708,18,303,424
1790260482073,708,18,303,424
1790260482274,708,18,303,426
1790260482474,708,18,303,426
1790260482674,710,18,303,426
1790260482874,711,18,303,427
1790260483075,712,18,303,427
1790260483275,717,18,307,427
1790260483475,718,18,307,427
1790260483676,718,18,307,428
1790260483876,718,18,307,429
1790260484077,719,18,307,429
1790260484277,719,18,307,429
1790260484477,720,18,307,431
1790260484677,721,18,307,431
1790260484878,722,18,307,431
1790260485078,722,18,307,432
1790260485279,722,18,307,432
1790260485479,722,18,307,432
1790260485679,723,18,307,432
1790260485880,723,18,307,433
