# sid=11840 tracer_pid=11835 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out2/bin/proot-fast2 x3=25827 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790260985584,2,3,4,603
1790260985784,9,3,11,603
1790260985985,37,3,12,603
1790260986185,52,3,21,603
1790260986385,69,3,32,604
1790260986585,126,13,42,604
1790260986785,145,12,56,604
1790260986985,167,11,67,606
1790260987186,167,11,79,607
1790260987386,191,11,88,608
1790260987586,237,17,97,609
1790260987786,256,17,108,610
1790260987986,297,17,117,610
1790260988186,302,17,134,611
1790260988387,327,17,148,612
1790260988587,451,18,163,612
1790260988788,476,18,172,613
1790260988988,510,18,180,613
1790260989188,536,18,196,615
1790260989388,552,18,210,616
1790260989588,597,18,224,617
1790260989788,604,18,236,618
1790260989989,610,18,251,618
1790260990189,616,18,266,618
1790260990389,618,18,270,618
1790260990590,631,18,271,619
1790260990790,631,18,271,619
1790260990990,633,18,271,619
1790260991190,638,18,279,619
1790260991392,643,18,280,620
1790260991592,652,18,284,621
1790260991792,666,18,286,622
1790260991993,667,18,286,622
1790260992193,670,18,288,622
1790260992393,673,18,289,622
1790260992594,673,18,290,623
1790260992794,673,18,290,623
1790260992994,674,18,290,624
1790260993195,677,18,292,624
1790260993395,677,18,292,625
1790260993596,677,18,292,625
1790260993796,677,18,292,625
1790260993996,677,18,292,625
1790260994197,679,18,292,627
1790260994397,679,18,292,627
1790260994597,687,18,294,628
1790260994798,688,18,294,628
1790260994998,688,18,294,629
1790260995198,688,18,294,629
1790260995399,690,18,294,631
1790260995599,690,18,295,631
1790260995799,690,18,295,631
1790260996000,690,18,295,631
1790260996200,690,18,295,632
1790260996400,692,18,295,632
1790260996601,694,18,295,633
1790260996801,694,18,295,633
1790260997002,694,18,295,633
1790260997202,694,18,295,633
1790260997402,694,18,295,635
1790260997603,695,18,295,635
1790260997803,695,18,295,635
1790260998003,697,18,295,635
1790260998204,697,18,295,636
1790260998404,698,18,295,637
1790260998605,698,18,295,637
1790260998805,698,18,295,637
1790260999005,698,18,295,637
1790260999206,699,18,295,637
1790260999406,699,18,295,638
1790260999607,699,18,295,639
1790260999807,700,18,295,639
1790261000008,700,18,295,639
1790261000208,700,18,295,639
1790261000408,701,18,295,640
1790261000609,703,18,296,641
1790261000809,703,18,296,641
1790261001009,703,18,296,641
1790261001209,704,18,296,642
1790261001410,709,18,301,642
1790261001610,709,18,301,642
1790261001811,709,18,301,642
1790261002011,709,18,301,643
1790261002211,710,18,301,643
1790261002412,710,18,301,643
1790261002612,710,18,301,644
1790261002812,710,18,301,644
1790261003013,710,18,301,644
1790261003213,711,18,301,645
1790261003413,712,18,301,645
1790261003613,712,18,301,645
1790261003814,712,18,301,645
1790261004014,712,18,301,646
1790261004215,717,18,307,647
1790261004415,718,18,307,647
1790261004616,719,18,307,647
1790261004816,719,18,307,648
1790261005016,719,18,307,648
1790261005216,719,18,307,648
1790261005417,719,18,307,648
1790261005617,719,18,307,649
1790261005817,719,18,307,650
1790261006018,720,18,307,650
1790261006218,721,18,307,650
1790261006418,721,18,307,650
1790261006619,721,18,307,651
1790261006819,721,18,307,651
1790261007019,721,18,307,651
1790261007220,722,18,307,651
1790261007420,722,18,307,651
1790261007620,722,18,307,652
1790261007821,723,18,309,652
1790261008021,728,18,311,652
1790261008221,729,18,311,652
1790261008422,729,18,311,653
1790261008622,729,18,311,654
1790261008822,729,18,311,654
1790261009023,729,18,311,654
1790261009223,730,18,311,655
1790261009423,731,18,311,655
1790261009623,731,18,311,656
1790261009824,732,18,311,656
1790261010024,734,18,311,656
1790261010225,734,18,311,656
1790261010425,734,18,311,657
1790261010625,735,18,311,657
1790261010825,735,18,311,657
1790261011025,735,18,311,657
1790261011226,735,18,313,657
1790261011426,735,18,313,657
1790261011626,735,18,313,657
1790261011826,735,18,313,657
1790261012026,735,18,313,657
1790261012227,735,18,313,657
1790261012427,735,18,313,657
1790261012627,736,18,313,658
1790261012827,736,18,313,658
1790261013027,736,18,313,658
1790261013227,736,18,313,658
1790261013428,736,18,313,658
1790261013628,736,18,313,658
1790261013828,736,18,313,658
1790261014028,736,18,313,658
1790261014228,739,18,316,658
1790261014428,739,18,316,658
1790261014629,739,18,316,659
1790261014829,739,18,316,659
1790261015029,739,18,316,659
1790261015229,739,18,316,659
1790261015429,739,18,316,659
1790261015630,739,18,316,659
1790261015830,739,18,316,659
1790261016030,739,18,316,659
1790261016230,739,18,316,659
1790261016430,749,18,316,660
1790261016630,750,18,316,660
1790261016831,751,18,316,660
1790261017031,751,18,316,660
1790261017231,752,18,316,660
1790261017431,752,18,316,660
1790261017631,753,18,318,660
1790261017832,753,18,318,660
1790261018032,753,18,318,660
1790261018232,767,18,318,660
1790261018432,767,18,318,660
1790261018632,767,18,318,660
1790261018834,781,18,318,660
1790261019034,781,18,318,660
1790261019235,781,18,318,660
1790261019435,781,18,318,660
1790261019635,782,18,318,661
1790261019835,782,18,318,661
1790261020035,782,18,318,661
1790261020235,782,18,318,662
1790261020436,782,18,318,662
1790261020636,782,18,318,662
1790261020836,783,18,318,662
1790261021036,783,18,318,662
1790261021237,783,18,318,662
1790261021437,788,18,321,662
1790261021638,788,18,321,662
1790261021838,788,18,321,663
1790261022038,788,18,321,663
1790261022239,788,18,321,663
1790261022439,788,18,321,663
1790261022639,789,18,321,664
1790261022839,789,18,321,664
1790261023040,789,18,321,664
1790261023240,789,18,321,665
1790261023441,791,18,321,665
1790261023641,791,18,321,665
1790261023841,791,18,321,666
1790261024042,795,18,325,666
1790261024242,795,18,325,666
1790261024442,795,18,325,667
1790261024642,796,18,325,667
1790261024843,796,18,325,667
1790261025043,796,18,325,668
1790261025243,809,18,325,668
1790261025444,809,18,325,668
1790261025644,809,18,325,668
1790261025845,809,18,325,669
1790261026045,810,18,325,669
1790261026246,811,18,325,669
1790261026446,811,18,325,669
1790261026647,811,18,325,670
1790261026847,811,18,325,670
1790261027047,811,18,325,670
1790261027248,811,18,325,672
1790261027448,816,18,330,672
1790261027648,816,18,330,672
1790261027849,816,18,330,672
1790261028049,818,18,330,673
1790261028250,818,18,330,673
1790261028450,820,18,330,673
1790261028651,821,18,330,674
1790261028851,821,18,330,674
1790261029051,821,18,330,674
1790261029252,821,18,330,675
1790261029452,821,18,330,676
1790261029652,821,18,330,676
1790261029853,823,18,330,676
1790261030053,824,18,333,677
1790261030253,828,18,334,677
1790261030453,828,18,334,677
1790261030653,828,18,334,677
1790261030854,828,18,334,678
1790261031054,828,18,334,678
1790261031254,828,18,334,678
1790261031455,828,18,334,679
1790261031655,832,18,335,679
1790261031855,832,18,335,679
1790261032056,832,18,335,679
1790261032256,832,18,335,681
1790261032456,832,18,335,681
1790261032657,832,18,335,681
1790261032857,832,18,335,681
1790261033057,832,18,336,681
1790261033258,835,18,339,681
1790261033458,835,18,339,682
1790261033659,836,18,339,682
1790261033859,836,18,339,683
