# sid=18787 tracer_pid=18785 tracer_arg0=/data/data/com.termux/files/usr/bin/proot x3=25827 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790261161374,2,3,4,860
1790261161574,7,3,12,860
1790261161775,25,3,15,860
1790261161975,49,3,21,861
1790261162175,60,3,29,861
1790261162375,90,9,44,861
1790261162576,113,9,51,861
1790261162776,138,9,62,861
1790261162976,164,9,75,861
1790261163176,181,9,91,862
1790261163376,234,18,107,862
1790261163576,245,14,116,865
1790261163777,246,14,128,865
1790261163977,275,14,139,865
1790261164177,294,14,147,868
1790261164377,314,17,161,868
1790261164577,335,17,171,869
1790261164777,366,17,184,869
1790261164978,377,17,201,870
1790261165178,377,17,217,871
1790261165378,456,19,235,871
1790261165578,475,18,249,871
1790261165779,502,18,265,871
1790261165979,515,18,278,872
1790261166179,551,18,293,872
1790261166379,583,18,309,872
1790261166579,615,18,321,873
1790261166780,651,18,337,874
1790261166980,683,18,353,874
1790261167180,730,18,368,875
1790261167380,771,18,385,876
1790261167581,800,18,397,876
1790261167781,837,18,407,878
1790261167981,843,18,412,878
1790261168181,845,18,412,878
1790261168381,847,18,413,879
1790261168582,857,18,414,879
1790261168782,861,18,415,879
1790261168982,864,18,419,879
1790261169182,866,18,422,879
1790261169382,866,18,422,879
1790261169582,867,18,423,880
1790261169783,867,18,423,880
1790261169983,867,18,423,881
1790261170183,868,18,423,881
1790261170383,883,18,431,881
1790261170583,884,18,431,881
1790261170783,884,18,431,881
1790261170984,884,18,431,881
1790261171184,885,18,431,881
1790261171384,885,18,432,882
1790261171584,886,18,432,882
1790261171784,886,18,432,882
1790261171984,887,18,432,882
1790261172185,887,18,432,882
1790261172385,887,18,433,882
1790261172585,887,18,433,882
1790261172785,888,18,433,883
1790261172985,891,18,434,883
1790261173186,892,18,435,883
1790261173386,892,18,435,883
1790261173586,895,18,438,883
1790261173787,896,18,438,883
1790261173987,896,18,439,884
1790261174187,897,18,440,884
1790261174388,898,18,440,885
1790261174588,898,18,441,885
1790261174788,898,18,441,886
1790261174989,901,18,442,886
1790261175189,902,18,443,887
1790261175389,903,18,443,887
1790261175590,903,18,444,887
1790261175790,903,18,444,888
1790261175990,904,18,445,888
1790261176191,909,18,453,888
1790261176391,911,18,454,888
1790261176591,912,18,454,889
1790261176791,912,18,454,889
1790261176992,912,18,455,890
1790261177192,912,18,455,890
1790261177392,914,18,457,890
1790261177593,917,18,457,890
1790261177793,917,18,458,891
1790261177993,918,18,459,891
1790261178194,918,18,460,891
1790261178394,919,18,460,891
1790261178595,920,18,460,892
1790261178795,920,18,461,893
1790261178995,921,18,461,893
1790261179195,921,18,462,893
1790261179396,923,18,464,893
1790261179596,923,18,464,893
1790261179796,923,18,464,893
1790261179996,924,18,465,893
1790261180196,924,18,465,893
1790261180397,924,18,465,893
1790261180597,924,18,465,893
1790261180797,924,18,465,893
1790261180997,924,18,465,894
1790261181197,924,18,465,894
1790261181397,924,18,465,894
1790261181598,924,18,465,894
1790261181798,925,18,465,894
1790261181998,926,18,466,894
1790261182198,929,18,469,894
1790261182398,929,18,469,894
1790261182599,929,18,469,894
1790261182799,929,18,469,894
1790261182999,929,18,469,894
1790261183199,929,18,469,894
1790261183399,930,18,469,894
1790261183599,930,18,470,894
1790261183800,930,18,470,894
1790261184000,930,18,470,895
1790261184200,930,18,470,895
1790261184400,930,18,470,895
