# sid=2804 tracer_pid=2798 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out2/bin/proot-fast2 x3=25827 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790261688326,1,3,3,5350
1790261688526,8,3,11,5350
1790261688726,19,3,22,5352
1790261688927,47,3,35,5352
1790261689127,61,3,51,5355
1790261689327,135,19,62,5360
1790261689528,149,19,62,5363
1790261689728,164,19,63,5367
1790261689928,179,19,63,5371
1790261690128,192,19,63,5374
1790261690328,209,19,63,5379
1790261690529,222,19,64,5382
1790261690729,235,19,65,5385
1790261690929,250,19,65,5388
1790261691129,263,19,65,5392
1790261691329,276,19,65,5395
1790261691530,291,19,65,5400
1790261691730,305,19,66,5403
1790261691930,320,19,66,5407
1790261692131,332,19,66,5410
1790261692331,349,19,66,5414
1790261692531,361,19,66,5417
1790261692731,375,19,66,5421
1790261692932,388,19,67,5425
1790261693132,402,19,67,5428
1790261693332,417,19,68,5431
1790261693532,432,19,68,5435
1790261693733,445,19,68,5438
1790261693933,462,19,71,5441
1790261694133,483,19,76,5445
1790261694333,501,20,76,5448
1790261694533,514,20,76,5452
1790261694735,526,20,76,5455
1790261694935,541,20,76,5459
1790261695135,556,20,76,5462
1790261695336,571,20,77,5466
1790261695536,585,20,77,5469
1790261695736,599,20,77,5473
1790261695936,613,20,77,5476
1790261696136,626,20,78,5481
1790261696337,641,20,78,5484
1790261696537,656,20,78,5488
1790261696737,670,20,78,5492
1790261696937,682,20,79,5495
1790261697138,696,20,79,5499
1790261697338,713,20,79,5502
1790261697538,725,20,79,5505
1790261697738,737,20,80,5509
1790261697939,750,20,80,5512
1790261698139,763,20,80,5516
1790261698339,778,20,80,5519
1790261698539,793,20,81,5523
1790261698740,808,20,81,5527
1790261698940,823,20,82,5530
1790261699140,836,20,82,5535
1790261699340,850,20,82,5539
1790261699541,864,20,82,5541
1790261699741,877,20,83,5545
1790261699941,890,20,83,5549
1790261700141,905,20,83,5553
1790261700341,920,20,83,5557
1790261700542,933,20,84,5560
1790261700742,948,20,84,5564
1790261700942,961,20,84,5566
1790261701142,974,20,84,5570
1790261701343,988,20,84,5575
1790261701543,1001,20,84,5578
1790261701743,1016,20,85,5582
1790261701943,1030,20,85,5585
1790261702144,1043,20,85,5588
1790261702344,1057,20,85,5592
1790261702544,1069,20,86,5596
1790261702744,1083,20,86,5599
1790261702945,1098,20,86,5603
1790261703145,1113,20,86,5606
1790261703346,1128,20,86,5610
1790261703547,1141,20,86,5613
1790261703747,1153,20,87,5617
1790261703947,1169,20,87,5620
1790261704147,1184,20,87,5624
1790261704348,1199,20,88,5628
1790261704548,1210,20,89,5631
1790261704748,1225,20,89,5635
1790261704948,1239,20,89,5638
1790261705149,1254,20,89,5642
1790261705349,1270,20,89,5646
1790261705549,1283,20,89,5648
1790261705749,1298,20,89,5652
1790261705949,1312,20,90,5656
1790261706150,1324,20,91,5659
1790261706350,1338,20,91,5662
1790261706550,1352,20,91,5666
1790261706750,1365,20,91,5670
1790261706950,1379,20,91,5673
1790261707151,1393,20,91,5677
1790261707351,1408,20,92,5680
1790261707551,1421,20,92,5684
1790261707751,1435,20,92,5687
1790261707951,1450,20,92,5691
1790261708152,1465,20,93,5694
1790261708352,1479,20,93,5697
1790261708552,1492,20,93,5701
1790261708752,1506,20,93,5705
1790261708953,1521,20,93,5708
1790261709153,1535,20,93,5711
1790261709353,1549,20,94,5715
1790261709553,1564,20,94,5719
1790261709754,1577,20,95,5722
1790261709954,1593,20,95,5726
1790261710154,1607,20,95,5729
1790261710354,1625,20,96,5733
1790261710555,1638,20,96,5736
1790261710755,1651,20,96,5739
1790261710955,1665,20,96,5744
1790261711155,1680,20,97,5747
1790261711356,1696,20,97,5751
1790261711556,1710,20,97,5754
1790261711756,1725,20,97,5757
1790261711956,1741,20,98,5761
1790261712157,1754,20,98,5765
1790261712357,1769,20,98,5769
1790261712557,1784,20,98,5772
1790261712757,1800,20,98,5776
1790261712958,1813,20,99,5779
1790261713158,1829,20,99,5783
1790261713358,1843,20,99,5787
1790261713558,1855,20,99,5791
1790261713759,1868,20,100,5794
1790261713959,1883,20,100,5798
1790261714159,1896,20,100,5802
1790261714359,1910,20,100,5805
1790261714560,1925,20,101,5808
1790261714760,1939,20,101,5811
1790261714960,1953,20,101,5815
1790261715160,1967,20,101,5819
1790261715360,1981,20,101,5823
1790261715561,1995,20,102,5826
1790261715761,2009,20,102,5830
1790261715961,2023,20,102,5833
1790261716161,2032,20,103,5836
1790261716361,2043,20,103,5839
1790261716562,2056,20,103,5842
1790261716762,2070,20,103,5845
1790261716962,2084,20,103,5847
1790261717162,2100,20,103,5851
1790261717362,2114,20,103,5854
1790261717562,2126,20,104,5857
1790261717763,2137,20,104,5861
1790261717963,2149,20,104,5865
1790261718163,2162,20,104,5868
1790261718363,2175,20,105,5871
1790261718563,2189,20,106,5875
1790261718764,2202,20,106,5879
1790261718964,2216,20,106,5882
1790261719164,2230,20,106,5886
1790261719364,2246,20,106,5890
1790261719564,2260,20,107,5894
1790261719765,2274,20,107,5897
1790261719965,2288,20,107,5901
1790261720165,2303,20,107,5905
1790261720365,2318,20,108,5909
1790261720566,2331,20,108,5912
1790261720766,2345,20,109,5916
1790261720966,2356,20,109,5919
1790261721166,2366,20,109,5923
1790261721366,2381,20,109,5927
1790261721567,2391,20,110,5931
1790261721767,2405,20,110,5935
1790261721967,2416,20,110,5939
1790261722167,2428,20,110,5943
1790261722368,2442,20,111,5948
1790261722568,2455,20,111,5952
1790261722768,2467,20,111,5955
1790261722968,2480,20,111,5960
1790261723169,2496,20,111,5964
1790261723369,2508,20,112,5968
1790261723569,2521,20,113,5972
1790261723770,2535,20,113,5977
1790261723970,2548,20,113,5981
1790261724170,2560,20,113,5985
1790261724370,2574,20,113,5989
1790261724571,2586,20,114,5993
1790261724771,2597,20,114,5997
1790261724971,2611,20,114,6001
1790261725172,2622,20,115,6005
1790261725372,2638,20,116,6010
1790261725572,2650,20,116,6013
1790261725772,2662,20,116,6017
1790261725972,2675,20,116,6021
1790261726172,2688,20,116,6025
1790261726373,2701,20,116,6029
1790261726573,2713,20,117,6032
1790261726773,2727,20,117,6037
1790261726973,2739,20,117,6041
1790261727174,2752,20,117,6044
1790261727374,2765,20,118,6049
1790261727574,2776,20,119,6053
1790261727774,2790,20,119,6056
1790261727974,2806,20,119,6061
1790261728175,2818,20,119,6065
1790261728375,2835,20,120,6070
1790261728575,2846,20,120,6074
1790261728775,2859,20,120,6077
1790261728976,2873,20,120,6081
1790261729176,2888,20,120,6085
1790261729376,2903,20,121,6089
1790261729576,2917,20,121,6093
1790261729776,2931,20,121,6096
1790261729977,2946,20,121,6101
1790261730177,2960,20,122,6105
1790261730377,2975,20,122,6109
1790261730577,2988,20,122,6111
1790261730777,3002,20,122,6116
1790261730978,3016,20,123,6120
1790261731178,3030,20,123,6124
1790261731378,3046,20,123,6127
1790261731578,3058,20,124,6131
1790261731779,3072,20,124,6134
1790261731979,3085,20,124,6138
1790261732179,3100,20,124,6142
1790261732379,3114,20,125,6146
1790261732579,3128,20,125,6149
1790261732779,3141,20,126,6153
1790261732980,3156,20,126,6157
1790261733180,3171,20,126,6161
1790261733380,3187,20,126,6165
1790261733580,3200,20,126,6168
1790261733780,3214,20,126,6171
1790261733981,3229,20,126,6175
1790261734181,3243,20,127,6179
1790261734381,3257,20,127,6183
1790261734581,3271,20,128,6187
1790261734781,3283,20,128,6190
1790261734982,3298,20,128,6194
1790261735182,3312,20,128,6198
1790261735382,3328,20,129,6202
1790261735582,3341,20,129,6205
1790261735783,3355,20,129,6209
1790261735983,3368,20,129,6213
1790261736183,3382,20,129,6216
1790261736386,3398,20,130,6221
1790261736586,3412,20,130,6224
1790261736786,3425,20,130,6228
1790261736986,3439,20,130,6232
1790261737186,3452,20,131,6236
1790261737387,3467,20,131,6240
1790261737587,3482,20,131,6243
1790261737787,3495,20,131,6247
1790261737987,3510,20,131,6251
1790261738187,3524,20,132,6254
1790261738388,3539,20,132,6259
1790261738588,3552,20,132,6262
1790261738790,3565,20,132,6266
1790261738990,3580,20,133,6269
1790261739190,3594,20,133,6273
1790261739391,3609,20,133,6278
1790261739591,3621,20,133,6281
1790261739791,3636,20,134,6285
1790261739991,3648,20,134,6288
1790261740192,3662,20,134,6292
1790261740392,3677,20,134,6296
1790261740592,3690,20,134,6300
1790261740792,3705,20,135,6304
1790261740993,3718,20,136,6307
1790261741193,3732,20,136,6311
1790261741393,3747,20,136,6316
1790261741593,3761,20,136,6319
1790261741793,3773,20,136,6323
1790261741994,3786,20,137,6325
1790261742194,3800,20,137,6330
1790261742394,3816,20,137,6334
1790261742595,3829,20,137,6338
1790261742795,3842,20,137,6341
1790261742995,3856,20,138,6344
1790261743195,3869,20,138,6348
1790261743396,3884,20,138,6352
1790261743596,3897,20,138,6355
1790261743796,3911,20,138,6360
1790261743996,3925,20,139,6363
1790261744196,3941,20,139,6366
1790261744397,3955,20,139,6370
1790261744597,3969,20,139,6373
1790261744797,3983,20,140,6377
1790261744998,3996,20,140,6380
1790261745198,4009,20,140,6385
1790261745398,4024,20,140,6389
1790261745598,4037,20,141,6392
1790261745799,4051,20,141,6396
1790261745999,4066,20,141,6399
1790261746199,4081,20,141,6403
1790261746399,4096,20,142,6408
1790261746599,4109,20,142,6412
1790261746800,4122,20,142,6415
1790261747000,4136,20,142,6419
1790261747200,4150,20,143,6422
1790261747400,4164,20,143,6425
1790261747600,4178,20,144,6429
1790261747801,4193,20,144,6433
1790261748001,4206,20,144,6436
1790261748201,4218,20,144,6441
1790261748401,4232,20,144,6444
1790261748602,4245,20,144,6447
1790261748802,4260,20,145,6449
1790261749002,4277,20,146,6454
1790261749202,4291,20,146,6457
1790261749402,4306,20,147,6461
1790261749603,4319,20,147,6464
1790261749803,4332,20,147,6468
1790261750003,4344,20,147,6472
1790261750203,4359,20,148,6475
1790261750404,4375,20,149,6480
1790261750604,4388,20,149,6483
1790261750804,4402,20,149,6486
1790261751004,4416,20,149,6491
1790261751204,4430,20,149,6494
1790261751405,4445,20,149,6498
1790261751605,4457,20,149,6502
1790261751805,4468,20,149,6505
1790261752005,4484,20,150,6509
1790261752205,4498,20,151,6513
1790261752405,4514,20,151,6517
1790261752606,4525,20,151,6521
1790261752806,4540,20,151,6525
1790261753006,4555,20,151,6528
1790261753206,4571,20,151,6532
1790261753406,4586,20,152,6536
1790261753607,4599,20,152,6539
1790261753807,4612,20,152,6543
1790261754007,4625,20,152,6548
1790261754207,4641,20,153,6551
1790261754408,4657,20,153,6555
1790261754608,4669,20,153,6558
1790261754808,4684,20,154,6562
