# sid=20297 tracer_pid=20294 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out2/bin/proot-fast2 x3=25827 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790262918877,5,3,5,11112
1790262919077,16,3,10,11113
1790262919277,33,3,15,11113
1790262919477,42,3,26,11113
1790262919677,51,3,39,11113
1790262919877,65,5,53,11113
1790262920078,70,5,65,11113
1790262920278,78,5,78,11113
1790262920478,87,5,90,11113
1790262920678,102,5,99,11113
1790262920878,109,5,113,11113
1790262921079,116,5,126,11113
1790262921279,122,5,139,11113
1790262921479,133,5,148,11113
1790262921679,144,5,158,11114
1790262921879,176,13,173,11115
1790262922079,203,12,188,11115
1790262922280,218,11,195,11115
1790262922480,233,11,206,11116
1790262922680,256,11,214,11117
1790262922880,357,14,226,11117
1790262923080,388,14,237,11117
1790262923280,426,14,249,11117
1790262923481,455,14,262,11117
1790262923681,487,14,275,11118
1790262923881,514,14,290,11118
1790262924081,543,14,304,11118
1790262924281,573,14,318,11118
1790262924481,622,14,329,11119
1790262924682,673,14,337,11119
1790262924882,718,14,338,11119
1790262925082,745,14,338,11119
1790262925283,772,14,338,11119
1790262925483,792,14,339,11119
1790262925683,832,14,340,11120
1790262925883,890,15,348,11120
1790262926083,955,15,358,11121
1790262926284,988,15,369,11121
1790262926484,1027,15,382,11122
1790262926684,1064,15,398,11123
1790262926884,1183,18,414,11124
1790262927084,1235,18,429,11124
1790262927284,1302,18,442,11124
1790262927484,1361,18,458,11124
1790262927685,1418,18,474,11125
1790262927885,1476,18,491,11127
1790262928085,1525,18,506,11128
1790262928286,1566,18,520,11129
1790262928486,1613,18,534,11129
1790262928686,1661,18,549,11129
1790262928886,1686,18,565,11130
1790262929086,1726,18,577,11130
1790262929286,1758,18,590,11130
1790262929487,1795,18,600,11130
1790262929687,1819,18,601,11130
1790262929887,1847,19,604,11130
1790262930087,1882,18,612,11130
1790262930287,1911,18,612,11130
1790262930487,1950,18,613,11131
1790262930688,1996,18,623,11131
1790262930888,2073,19,636,11131
1790262931089,2086,19,639,11131
1790262931289,2095,19,640,11132
1790262931489,2095,19,640,11132
1790262931689,2097,19,640,11132
1790262931889,2097,19,641,11133
1790262932090,2100,19,642,11133
1790262932290,2101,19,642,11133
1790262932491,2102,19,643,11133
1790262932691,2120,19,643,11134
1790262932891,2134,19,657,11134
1790262933092,2149,19,660,11134
1790262933292,2149,19,660,11134
1790262933492,2149,19,660,11135
1790262933693,2151,19,661,11135
1790262933893,2152,19,661,11135
1790262934093,2154,19,661,11135
1790262934294,2158,19,662,11136
1790262934494,2174,19,665,11136
1790262934695,2176,19,665,11136
1790262934895,2176,19,665,11137
1790262935095,2178,19,666,11137
1790262935295,2179,19,666,11137
1790262935496,2180,19,666,11138
1790262935696,2181,19,667,11138
1790262935896,2182,19,667,11138
1790262936097,2183,19,667,11138
1790262936297,2187,19,668,11139
1790262936498,2187,19,668,11140
1790262936698,2188,19,668,11140
1790262936898,2189,19,669,11140
1790262937099,2191,19,669,11140
1790262937299,2191,19,669,11140
1790262937500,2192,19,671,11141
1790262937700,2194,19,671,11142
1790262937900,2195,19,671,11142
1790262938100,2198,19,672,11142
1790262938301,2200,19,673,11143
1790262938501,2200,19,673,11143
1790262938702,2202,19,674,11143
