# sid=30269 tracer_pid=30267 tracer_arg0=/data/data/com.termux/files/usr/bin/proot x3=25827 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790263270812,3,3,5,11670
1790263271012,12,3,13,11670
1790263271212,34,3,19,11670
1790263271412,42,3,31,11670
1790263271612,51,3,44,11670
1790263271813,67,5,57,11671
1790263272013,73,5,70,11671
1790263272213,82,5,82,11671
1790263272413,93,5,94,11671
1790263272614,108,5,105,11672
1790263272814,115,5,119,11672
1790263273014,121,5,131,11672
1790263273214,130,5,145,11672
1790263273414,140,5,154,11672
1790263273614,149,5,164,11672
1790263273815,174,10,179,11672
1790263274015,197,10,190,11673
1790263274215,217,9,205,11673
1790263274415,231,9,211,11674
1790263274615,244,9,225,11674
1790263274815,343,14,238,11676
1790263275016,385,14,250,11676
1790263275216,420,14,263,11676
1790263275416,453,14,276,11676
1790263275616,485,14,289,11676
1790263275816,526,14,302,11676
1790263276016,559,14,316,11676
1790263276217,605,14,329,11676
1790263276417,658,14,341,11677
1790263276617,688,14,350,11677
1790263276817,734,16,365,11677
1790263277017,777,16,380,11677
1790263277217,804,16,396,11677
1790263277417,849,16,410,11677
1790263277618,878,16,424,11678
1790263277818,914,18,441,11678
1790263278018,970,18,454,11680
1790263278218,1030,18,471,11681
1790263278418,1081,18,490,11681
1790263278618,1150,18,504,11681
1790263278818,1200,18,523,11681
1790263279019,1244,18,537,11682
1790263279219,1291,18,553,11682
1790263279419,1339,18,568,11684
1790263279619,1395,18,582,11684
1790263279819,1436,18,597,11685
1790263280020,1476,18,611,11685
1790263280220,1507,18,625,11685
1790263280420,1551,18,640,11685
1790263280620,1593,18,655,11685
1790263280820,1641,19,665,11686
1790263281021,1707,19,674,11686
1790263281221,1732,19,680,11686
1790263281421,1775,18,692,11686
1790263281621,1807,18,701,11686
1790263281821,1834,19,706,11686
1790263282021,1866,18,712,11686
1790263282222,1890,18,726,11687
1790263282422,1932,18,743,11687
1790263282622,1964,18,758,11687
1790263282822,2007,19,774,11687
1790263283024,2021,19,779,11687
1790263283225,2026,19,782,11687
1790263283425,2029,19,786,11688
1790263283625,2030,19,789,11689
1790263283826,2036,19,792,11689
1790263284027,2052,19,795,11689
1790263284227,2104,19,804,11689
1790263284427,2127,19,819,11689
1790263284628,2145,19,825,11689
1790263284828,2147,19,829,11690
1790263285028,2151,19,831,11690
1790263285229,2154,19,834,11691
1790263285429,2157,19,838,11691
1790263285630,2162,19,842,11691
1790263285830,2165,19,845,11692
1790263286031,2168,19,847,11692
1790263286231,2171,19,851,11692
1790263286431,2174,19,854,11692
1790263286632,2180,19,858,11692
1790263286832,2186,19,862,11693
1790263287032,2188,19,865,11693
1790263287232,2193,19,870,11693
1790263287433,2196,19,872,11695
1790263287633,2199,19,875,11695
1790263287833,2204,19,879,11695
1790263288034,2207,19,882,11695
1790263288234,2210,19,885,11696
1790263288434,2213,19,889,11696
1790263288635,2216,19,892,11696
1790263288835,2220,19,895,11696
1790263289035,2222,19,898,11696
1790263289235,2226,19,901,11697
1790263289436,2230,19,905,11698
1790263289636,2237,19,911,11698
1790263289836,2244,19,916,11698
1790263290037,2248,19,921,11699
1790263290237,2255,19,927,11699
1790263290437,2261,19,932,11699
1790263290638,2266,19,937,11699
1790263290838,2271,19,941,11700
1790263291038,2275,19,945,11700
1790263291239,2282,19,950,11700
1790263291439,2286,19,955,11701
1790263291639,2292,19,959,11701
1790263291840,2298,19,964,11701
1790263292040,2302,19,966,11701
1790263292240,2314,19,972,11701
1790263292441,2325,19,980,11702
1790263292641,2329,19,983,11703
1790263292841,2333,19,988,11703
1790263293042,2343,19,992,11703
1790263293242,2348,19,996,11704
1790263293442,2352,19,999,11704
1790263293642,2355,19,1002,11704
1790263293843,2358,19,1005,11705
1790263294043,2361,19,1008,11705
1790263294243,2365,19,1012,11705
1790263294444,2377,19,1019,11705
1790263294644,2381,19,1023,11706
1790263294845,2390,19,1028,11706
1790263295045,2391,19,1030,11706
1790263295245,2397,19,1033,11706
1790263295446,2400,19,1037,11706
1790263295646,2404,19,1040,11707
1790263295846,2409,19,1044,11707
1790263296047,2411,19,1046,11708
