# sid=18628 tracer_pid=18626 tracer_arg0=/data/data/com.termux/files/usr/bin/proot x3=25827 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790262039727,2,3,4,9614
1790262039927,9,3,11,9614
1790262040127,20,3,16,9615
1790262040327,35,3,21,9615
1790262040527,46,3,31,9615
1790262040727,74,11,45,9615
1790262040928,85,10,49,9616
1790262041128,99,10,55,9616
1790262041328,117,9,62,9617
1790262041528,117,9,74,9617
1790262041728,145,15,88,9617
1790262041929,152,15,96,9617
1790262042131,166,14,104,9617
1790262042331,175,14,114,9617
1790262042531,186,14,124,9617
1790262042731,196,14,134,9618
1790262042931,202,14,140,9618
1790262043132,210,14,154,9618
1790262043332,218,14,164,9618
1790262043532,225,14,179,9618
1790262043732,233,14,193,9618
1790262043932,246,13,202,9618
1790262044133,267,13,213,9619
1790262044333,294,13,228,9619
1790262044533,329,13,241,9619
1790262044733,396,14,257,9621
1790262044933,433,14,267,9622
1790262045133,459,14,282,9622
1790262045334,487,14,300,9622
1790262045534,528,14,313,9624
1790262045734,595,16,328,9626
1790262045934,618,16,340,9627
1790262046134,636,16,354,9627
1790262046335,656,16,370,9628
1790262046535,679,16,385,9629
1790262046735,701,16,401,9629
1790262046935,728,16,415,9631
1790262047135,753,16,429,9631
1790262047335,768,16,443,9632
1790262047536,791,16,456,9633
1790262047736,816,16,470,9633
1790262047936,844,16,480,9634
1790262048136,880,16,490,9635
1790262048336,911,16,503,9636
1790262048537,942,16,512,9637
1790262048737,980,16,521,9638
1790262048937,1008,16,534,9639
1790262049137,1040,16,544,9639
1790262049337,1071,16,560,9640
1790262049537,1115,16,576,9641
1790262049738,1150,16,593,9642
1790262049938,1179,16,610,9643
1790262050138,1211,16,624,9645
1790262050338,1247,16,636,9646
1790262050538,1294,16,649,9646
1790262050738,1331,16,660,9648
1790262050938,1357,16,671,9649
1790262051139,1383,16,681,9651
1790262051339,1475,16,689,9652
1790262051539,1521,16,701,9654
1790262051739,1562,17,714,9655
1790262051939,1594,17,725,9656
1790262052139,1626,16,738,9656
