# sid=24001 tracer_pid=23999 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out2/bin/proot-fast2 x3=25827 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790262215454,0,1,0,9948
1790262215654,0,1,9,9948
1790262215854,0,1,12,9948
1790262216055,0,1,23,9948
1790262216255,0,1,28,9949
1790262216455,73,18,37,9949
1790262216655,84,14,49,9949
1790262216855,94,13,57,9949
1790262217055,103,13,67,9949
1790262217256,113,13,78,9949
1790262217456,127,14,88,9950
1790262217656,135,14,100,9950
1790262217856,141,14,114,9950
1790262218056,148,14,127,9950
1790262218256,175,13,140,9950
1790262218456,227,15,152,9950
1790262218657,261,14,162,9951
1790262218857,302,14,176,9953
1790262219057,321,14,192,9955
1790262219257,343,14,206,9955
1790262219457,401,17,220,9956
1790262219657,416,16,235,9956
1790262219857,440,16,250,9957
1790262220058,458,16,266,9957
1790262220258,479,16,282,9958
1790262220458,496,16,298,9959
1790262220658,516,16,311,9959
1790262220858,542,16,323,9960
1790262221058,573,16,331,9960
1790262221258,593,16,346,9961
1790262221459,632,16,350,9962
1790262221659,662,16,359,9963
1790262221859,695,16,367,9963
1790262222059,726,16,383,9964
1790262222259,769,16,399,9966
1790262222459,797,16,417,9967
1790262222660,839,16,428,9968
1790262222860,911,16,438,9972
1790262223060,978,16,447,9973
1790262223260,1069,16,460,9974
1790262223460,1172,17,469,9977
1790262223660,1248,17,479,9979
1790262223861,1317,17,489,9982
1790262224061,1359,16,506,9983
1790262224261,1396,16,520,9984
1790262224461,1432,20,539,9986
1790262224661,1459,16,556,9986
1790262224861,1484,16,572,9986
1790262225062,1496,16,591,9988
1790262225262,1510,16,609,9989
1790262225462,1517,16,629,9990
1790262225662,1526,16,647,9990
1790262225862,1532,16,667,9991
1790262226062,1542,16,685,9992
1790262226262,1565,16,704,9993
1790262226463,1574,16,724,9993
1790262226663,1585,16,741,9993
1790262226863,1594,16,760,9994
1790262227063,1602,16,778,9995
1790262227263,1612,16,796,9996
1790262227463,1620,16,817,9996
1790262227663,1632,16,833,9997
1790262227864,1647,16,850,9997
1790262228064,1665,16,866,9998
1790262228264,1691,16,883,9999
1790262228464,1712,18,900,10000
1790262228664,1740,16,914,10001
1790262228864,1779,16,930,10001
1790262229065,1808,16,947,10002
1790262229265,1829,16,962,10002
1790262229465,1852,16,977,10002
1790262229665,1875,16,990,10003
1790262229865,1893,16,1004,10003
1790262230065,1912,16,1019,10003
1790262230266,1924,16,1035,10003
1790262230466,1938,16,1051,10003
1790262230668,1952,16,1063,10003
1790262230870,1962,16,1077,10003
1790262231071,1971,16,1089,10004
1790262231272,1980,16,1096,10004
1790262231472,1981,16,1096,10004
1790262231672,1982,16,1097,10004
1790262231873,1983,16,1097,10005
1790262232073,1983,16,1097,10006
1790262232273,1989,16,1098,10006
1790262232474,1989,16,1098,10006
1790262232674,1996,16,1102,10007
1790262232874,2006,16,1112,10007
1790262233074,2018,16,1121,10007
1790262233274,2030,16,1131,10007
1790262233475,2042,16,1143,10007
1790262233677,2053,16,1153,10007
1790262233877,2071,16,1167,10007
1790262234077,2072,16,1175,10007
1790262234277,2077,16,1185,10007
1790262234478,2116,16,1194,10008
1790262234678,2116,16,1200,10008
1790262234878,2116,16,1209,10008
1790262235080,2151,16,1217,10008
1790262235281,2157,16,1220,10008
1790262235481,2157,16,1223,10009
1790262235682,2162,16,1224,10010
1790262235882,2162,16,1224,10010
1790262236082,2162,16,1224,10010
1790262236283,2164,16,1226,10010
1790262236483,2165,16,1226,10010
1790262236683,2166,16,1230,10011
1790262236883,2166,16,1230,10011
1790262237084,2166,16,1231,10011
1790262237284,2170,16,1232,10011
1790262237484,2170,16,1232,10012
1790262237685,2175,16,1233,10012
1790262237885,2175,16,1233,10012
1790262238086,2175,16,1235,10012
1790262238286,2179,16,1236,10013
1790262238486,2180,16,1236,10014
1790262238687,2182,16,1236,10014
1790262238887,2182,16,1237,10015
1790262239088,2182,16,1237,10015
1790262239288,2185,16,1238,10015
1790262239488,2185,16,1238,10015
1790262239688,2188,16,1238,10015
1790262239889,2188,16,1238,10016
1790262240089,2189,16,1238,10016
1790262240290,2193,16,1238,10016
1790262240490,2193,16,1238,10017
1790262240690,2197,16,1239,10017
1790262240891,2197,16,1239,10017
1790262241091,2197,16,1239,10017
1790262241292,2201,16,1240,10019
1790262241492,2202,16,1240,10019
1790262241692,2204,16,1242,10019
1790262241893,2204,16,1243,10020
1790262242093,2204,16,1244,10020
1790262242293,2208,16,1246,10020
1790262242494,2208,16,1246,10021
1790262242694,2212,16,1246,10021
1790262242895,2213,16,1247,10021
1790262243095,2214,16,1249,10021
1790262243295,2215,16,1249,10022
1790262243495,2215,16,1249,10022
1790262243695,2217,16,1249,10022
1790262243896,2217,16,1250,10022
1790262244096,2217,16,1250,10022
1790262244296,2219,16,1251,10023
1790262244496,2220,16,1251,10023
1790262244696,2232,16,1254,10023
1790262244896,2232,16,1254,10023
1790262245097,2232,16,1254,10023
1790262245297,2233,16,1254,10023
1790262245497,2233,16,1254,10023
1790262245697,2234,16,1254,10023
1790262245897,2235,16,1254,10023
1790262246098,2240,16,1254,10023
1790262246298,2240,16,1254,10023
1790262246498,2240,16,1254,10023
1790262246698,2243,16,1254,10024
1790262246898,2244,16,1254,10024
1790262247098,2244,16,1255,10024
