# mem-guard start x3=2086 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=3616
1790275759.958258394 mem_available_mb=7045 swap_used_mb=3616 x3_rss_mb=158 x3_swap_mb=0
1790275760.492549644 mem_available_mb=7736 swap_used_mb=3612 x3_rss_mb=224 x3_swap_mb=0
1790275761.012859435 mem_available_mb=7727 swap_used_mb=3611 x3_rss_mb=224 x3_swap_mb=0
1790275761.553088341 mem_available_mb=7740 swap_used_mb=3611 x3_rss_mb=224 x3_swap_mb=0
1790275762.082324539 mem_available_mb=7735 swap_used_mb=3611 x3_rss_mb=224 x3_swap_mb=0
1790275762.608836310 mem_available_mb=7714 swap_used_mb=3610 x3_rss_mb=224 x3_swap_mb=0
1790275763.134398705 mem_available_mb=7685 swap_used_mb=3610 x3_rss_mb=224 x3_swap_mb=0
1790275763.692617559 mem_available_mb=7659 swap_used_mb=3608 x3_rss_mb=224 x3_swap_mb=0
1790275764.242672767 mem_available_mb=7657 swap_used_mb=3608 x3_rss_mb=224 x3_swap_mb=0
1790275764.787426361 mem_available_mb=7668 swap_used_mb=3608 x3_rss_mb=224 x3_swap_mb=0
1790275765.327332455 mem_available_mb=7659 swap_used_mb=3608 x3_rss_mb=224 x3_swap_mb=0
1790275765.861727819 mem_available_mb=7659 swap_used_mb=3608 x3_rss_mb=224 x3_swap_mb=0
1790275766.392728756 mem_available_mb=7681 swap_used_mb=3608 x3_rss_mb=224 x3_swap_mb=0
1790275766.950156256 mem_available_mb=7679 swap_used_mb=3607 x3_rss_mb=216 x3_swap_mb=0
1790275767.495432454 mem_available_mb=7695 swap_used_mb=3607 x3_rss_mb=216 x3_swap_mb=0
1790275768.025227610 mem_available_mb=7695 swap_used_mb=3607 x3_rss_mb=216 x3_swap_mb=0
1790275768.560490630 mem_available_mb=7690 swap_used_mb=3607 x3_rss_mb=216 x3_swap_mb=0
1790275769.103624172 mem_available_mb=7642 swap_used_mb=3602 x3_rss_mb=216 x3_swap_mb=0
