# sid=13755 tracer_pid=13749 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out/bin/proot-fast x3=11680 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790247782562,4,3,6,120
1790247782762,15,3,12,121
1790247782962,31,3,21,121
1790247783162,40,3,34,121
1790247783363,50,3,47,121
1790247783563,65,5,61,121
1790247783763,72,5,72,121
1790247783963,80,5,85,121
1790247784163,90,5,98,121
1790247784364,105,5,108,121
1790247784564,114,5,121,121
1790247784764,121,5,135,122
1790247784964,128,5,148,122
1790247785165,135,5,161,122
1790247785365,148,5,168,122
1790247785565,160,7,173,123
1790247785765,178,6,186,123
1790247785965,199,6,199,123
1790247786166,216,6,211,124
1790247786366,230,6,224,125
1790247786566,330,16,235,125
1790247786766,371,16,246,125
1790247786966,402,16,258,125
1790247787166,434,16,273,125
1790247787366,469,16,286,125
1790247787567,508,16,303,125
1790247787767,551,16,317,126
1790247787967,598,16,329,126
1790247788167,642,16,341,126
1790247788368,675,16,355,127
1790247788568,751,18,373,127
1790247788768,806,18,388,127
1790247788968,844,18,407,129
1790247789168,881,18,422,130
1790247789368,915,18,438,130
1790247789568,971,20,458,130
1790247789768,1008,20,475,132
1790247789968,1060,20,490,132
1790247790169,1088,20,509,132
1790247790369,1112,20,526,132
1790247790569,1241,23,546,132
1790247790769,1275,23,565,132
1790247790969,1318,23,585,132
1790247791169,1346,23,604,133
1790247791369,1386,23,622,133
1790247791570,1429,23,642,133
1790247791770,1445,23,660,133
1790247791970,1483,23,679,133
1790247792170,1517,23,697,133
1790247792370,1558,23,715,133
1790247792570,1610,23,730,135
1790247792770,1672,23,744,137
1790247792971,1714,23,759,137
1790247793171,1780,23,771,138
1790247793371,1852,23,782,139
1790247793571,1928,24,794,140
1790247793771,2007,24,806,140
1790247793972,2074,24,819,142
1790247794172,2121,24,834,144
1790247794373,2181,24,847,144
1790247794573,2245,26,860,146
1790247794773,2318,26,873,147
1790247794973,2368,26,878,148
1790247795173,2421,26,885,148
1790247795373,2455,26,892,149
1790247795574,2474,28,901,149
1790247795774,2488,26,915,149
1790247795974,2507,26,923,149
1790247796174,2528,26,937,149
1790247796374,2541,26,947,149
1790247796575,2554,29,953,149
1790247796775,2563,29,960,150
1790247796975,2570,26,967,150
1790247797176,2579,26,973,150
1790247797376,2602,26,986,150
1790247797576,2621,26,994,151
1790247797776,2628,26,1000,151
1790247797976,2638,26,1006,151
1790247798177,2647,26,1013,151
1790247798377,2656,26,1019,152
1790247798577,2667,26,1026,152
1790247798778,2675,26,1032,152
1790247798978,2688,26,1040,152
1790247799179,2697,26,1046,153
1790247799379,2708,26,1053,153
1790247799579,2724,26,1061,154
1790247799780,2731,26,1066,154
1790247799980,2741,26,1073,154
1790247800180,2749,26,1078,155
1790247800381,2758,26,1084,155
1790247800581,2768,28,1093,155
1790247800781,2781,26,1108,155
1790247800981,2787,26,1115,155
1790247801182,2797,26,1122,156
1790247801382,2809,26,1129,156
1790247801582,2820,29,1138,156
1790247801782,2829,29,1145,156
1790247801983,2839,26,1152,157
1790247802183,2847,26,1158,157
1790247802383,2858,26,1166,157
1790247802584,2870,26,1173,157
1790247802784,2878,26,1179,157
1790247802984,2889,26,1186,158
1790247803184,2898,26,1193,159
1790247803385,2908,26,1200,159
1790247803585,2918,26,1207,159
1790247803786,2927,26,1215,159
1790247803986,2941,26,1221,160
1790247804186,2952,26,1231,160
1790247804386,2967,26,1238,160
1790247804587,2978,26,1246,161
1790247804787,2988,26,1253,161
1790247804987,2997,26,1260,161
1790247805187,3007,26,1267,162
1790247805388,3015,26,1273,162
1790247805588,3024,26,1279,162
1790247805788,3033,26,1285,163
1790247805988,3043,26,1292,163
1790247806189,3052,26,1299,163
1790247806389,3064,26,1305,163
1790247806589,3071,26,1312,163
1790247806790,3077,26,1316,163
1790247806990,3089,26,1324,164
1790247807190,3099,26,1331,165
1790247807390,3117,26,1347,165
1790247807591,3131,26,1355,165
1790247807791,3140,26,1361,165
1790247807991,3152,26,1368,165
1790247808192,3159,26,1376,166
1790247808392,3172,26,1381,166
1790247808592,3184,26,1391,166
1790247808792,3194,26,1396,166
1790247808993,3201,26,1403,166
1790247809193,3212,26,1411,167
1790247809393,3222,26,1418,167
1790247809593,3244,26,1429,167
1790247809793,3266,26,1437,168
1790247809994,3274,26,1444,168
1790247810194,3283,26,1451,168
1790247810394,3293,26,1459,168
1790247810595,3302,26,1466,169
1790247810795,3312,26,1472,170
1790247810995,3327,26,1481,170
1790247811196,3333,26,1488,170
1790247811396,3345,26,1495,170
1790247811596,3354,26,1504,171
1790247811797,3363,26,1510,172
1790247811997,3374,26,1517,172
1790247812198,3381,26,1524,172
1790247812398,3393,26,1531,172
1790247812598,3403,26,1539,173
1790247812799,3413,26,1545,173
1790247812999,3420,26,1552,173
1790247813199,3431,26,1560,173
1790247813400,3437,26,1567,174
1790247813600,3450,26,1575,174
1790247813800,3459,26,1579,174
1790247814000,3467,26,1587,175
1790247814201,3513,26,1594,175
1790247814401,3521,26,1601,175
1790247814601,3533,26,1610,176
1790247814802,3542,26,1615,176
1790247815002,3554,26,1624,176
1790247815202,3562,26,1630,176
1790247815402,3570,26,1636,177
1790247815603,3581,26,1646,177
1790247815803,3600,26,1652,177
1790247816003,3614,26,1660,178
1790247816203,3625,26,1667,179
1790247816404,3635,26,1675,179
1790247816604,3669,26,1682,179
1790247816804,3705,26,1688,179
1790247817005,3714,26,1694,179
1790247817205,3724,26,1702,179
1790247817405,3735,26,1710,179
1790247817605,3749,26,1717,180
1790247817806,3758,26,1724,181
1790247818006,3766,26,1730,181
1790247818206,3777,26,1740,181
1790247818407,3786,26,1748,181
1790247818607,3798,26,1756,181
1790247818807,3807,26,1762,183
1790247819007,3820,26,1770,183
1790247819208,3831,26,1776,183
1790247819408,3842,26,1784,183
1790247819608,3853,26,1793,183
1790247819808,3862,26,1802,184
1790247820009,3871,26,1809,184
1790247820209,3878,26,1815,184
1790247820409,3917,26,1820,184
1790247820610,3928,26,1826,184
1790247820810,3934,26,1830,185
1790247821010,3942,26,1837,186
1790247821210,3953,26,1843,186
1790247821411,3962,26,1849,186
1790247821611,3972,26,1856,187
1790247821811,3981,26,1862,187
1790247822011,3989,26,1868,187
1790247822212,3998,26,1874,187
1790247822412,4004,26,1879,187
1790247822613,4013,26,1886,188
1790247822813,4022,26,1891,188
1790247823013,4032,26,1897,188
1790247823213,4039,26,1904,189
1790247823414,4050,26,1910,189
1790247823614,4062,26,1919,189
1790247823814,4071,26,1924,189
1790247824015,4100,26,1933,190
1790247824215,4116,26,1940,190
1790247824416,4124,26,1946,190
1790247824616,4133,26,1953,191
1790247824816,4142,26,1959,191
1790247825016,4152,26,1966,192
1790247825217,4160,26,1971,192
1790247825417,4170,26,1978,192
1790247825617,4178,26,1985,193
1790247825817,4216,26,1989,193
1790247826018,4226,26,1995,193
1790247826218,4236,26,2001,194
1790247826418,4242,26,2006,194
1790247826619,4251,26,2014,195
1790247826819,4261,26,2019,195
1790247827020,4270,26,2024,195
1790247827220,4277,26,2031,195
1790247827420,4285,26,2037,196
1790247827621,4294,26,2043,196
1790247827821,4301,26,2049,196
1790247828021,4313,26,2056,197
1790247828222,4324,26,2063,197
1790247828422,4330,26,2067,197
1790247828622,4338,26,2074,197
1790247828823,4345,26,2079,197
1790247829023,4357,26,2086,198
1790247829223,4364,26,2092,198
1790247829424,4372,26,2099,198
1790247829624,4386,26,2109,199
1790247829824,4396,26,2117,199
1790247830024,4406,26,2124,199
1790247830225,4413,26,2130,199
1790247830425,4422,26,2136,200
1790247830625,4430,26,2143,200
1790247830825,4437,26,2147,200
1790247831026,4447,26,2153,201
1790247831226,4455,26,2159,201
1790247831426,4463,26,2165,201
1790247831627,4473,26,2173,202
1790247831827,4480,26,2177,202
1790247832027,4488,26,2183,202
1790247832228,4493,26,2188,202
1790247832428,4534,26,2193,203
1790247832628,4547,26,2199,203
1790247832829,4564,26,2205,203
1790247833029,4569,26,2211,203
1790247833229,4578,26,2217,204
1790247833429,4583,26,2220,204
1790247833632,4590,26,2225,204
1790247833832,4595,26,2229,205
1790247834032,4604,26,2235,205
1790247834234,4611,26,2240,205
1790247834434,4613,26,2243,205
1790247834634,4615,26,2246,205
1790247834834,4625,26,2250,206
1790247835035,4631,26,2257,206
