# sid=8140 tracer_pid=8137 tracer_arg0=/data/data/com.termux/files/usr/bin/proot x3=1653 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790252191293,1,2,2,113
1790252191493,2,2,8,113
1790252191693,2,2,12,113
1790252191894,2,2,20,114
1790252192094,2,2,32,114
1790252192294,52,5,44,114
1790252192494,58,5,56,114
1790252192694,66,5,68,114
1790252192894,79,5,77,114
1790252193094,85,5,89,114
1790252193295,92,5,103,114
1790252193495,98,5,115,114
1790252193695,109,5,123,114
1790252193895,119,5,130,114
1790252194095,128,5,135,116
1790252194295,144,7,143,116
1790252194495,170,7,157,116
1790252194696,186,7,172,117
1790252194896,202,7,183,118
1790252195096,217,7,198,118
1790252195296,320,16,210,119
1790252195496,358,16,221,119
1790252195696,394,16,232,119
1790252195897,426,16,246,120
1790252196097,461,16,259,120
1790252196297,490,16,274,120
1790252196497,534,16,288,120
1790252196697,573,16,301,120
1790252196897,620,16,313,122
1790252197097,659,16,327,122
1790252197297,720,17,339,122
1790252197498,755,17,351,123
1790252197698,783,17,367,124
1790252197898,817,17,383,124
1790252198098,841,17,402,125
1790252198298,926,19,420,126
1790252198498,959,19,436,127
1790252198698,995,19,453,129
1790252198899,1031,19,470,129
1790252199099,1067,19,488,130
1790252199299,1114,20,506,131
1790252199499,1149,20,522,131
1790252199699,1180,20,538,131
1790252199899,1213,20,554,132
1790252200100,1265,20,570,132
1790252200300,1308,20,580,133
1790252200500,1348,20,595,133
1790252200700,1373,20,609,133
1790252200900,1396,20,619,134
1790252201100,1412,20,637,134
1790252201300,1573,23,656,135
1790252201501,1621,23,672,135
1790252201701,1656,23,691,136
1790252201901,1695,23,711,136
1790252202101,1734,23,728,136
1790252202301,1775,23,749,138
1790252202501,1802,23,767,138
1790252202702,1843,23,786,138
1790252202902,1876,23,805,138
1790252203102,1908,23,824,139
1790252203302,1963,24,842,139
1790252203502,2015,24,859,140
1790252203702,2071,24,874,141
1790252203903,2136,24,888,142
1790252204103,2209,24,902,143
1790252204303,2275,28,920,143
1790252204503,2345,24,931,143
1790252204703,2391,24,945,144
1790252204903,2438,24,958,145
1790252205104,2491,24,970,146
1790252205304,2570,26,986,146
1790252205504,2634,26,997,147
1790252205704,2679,26,1013,147
1790252205904,2719,26,1028,149
1790252206104,2764,26,1039,149
1790252206305,2799,26,1048,149
1790252206505,2830,26,1056,150
1790252206705,2865,26,1064,150
1790252206905,2883,26,1075,150
1790252207105,2898,26,1090,150
1790252207305,2921,29,1101,150
1790252207505,2933,29,1115,150
1790252207706,2952,29,1125,151
1790252207906,2967,29,1137,152
1790252208106,2976,29,1144,152
1790252208306,3000,26,1160,152
1790252208507,3019,26,1170,152
1790252208707,3032,26,1178,153
1790252208907,3043,26,1186,153
1790252209107,3062,26,1194,154
1790252209307,3085,26,1202,154
1790252209507,3094,26,1210,154
1790252209708,3110,26,1219,155
1790252209908,3140,26,1226,155
1790252210108,3150,26,1239,155
1790252210308,3163,26,1248,156
1790252210509,3167,26,1254,156
1790252210709,3187,26,1262,156
1790252210909,3201,26,1269,157
1790252211110,3212,26,1279,157
1790252211310,3224,26,1287,157
1790252211510,3230,26,1293,158
1790252211710,3239,26,1300,158
1790252211911,3249,26,1311,158
1790252212111,3263,26,1326,159
1790252212311,3272,29,1334,159
1790252212511,3280,29,1341,160
1790252212712,3292,29,1350,160
1790252212912,3299,29,1358,160
1790252213112,3322,29,1367,162
1790252213312,3341,26,1378,162
1790252213513,3351,26,1384,162
1790252213713,3359,26,1393,163
1790252213913,3368,26,1400,163
1790252214114,3376,26,1406,164
1790252214314,3385,26,1414,164
1790252214514,3389,26,1419,164
1790252214714,3398,26,1426,164
1790252214919,3407,26,1433,165
1790252215121,3414,26,1439,165
1790252215323,3425,26,1448,166
1790252215523,3430,26,1453,166
1790252215724,3441,26,1462,166
1790252215924,3453,26,1470,167
1790252216124,3463,26,1478,167
1790252216324,3480,26,1489,168
1790252216525,3500,26,1502,168
1790252216725,3512,26,1510,168
1790252216925,3522,26,1518,170
1790252217125,3529,26,1525,170
1790252217326,3539,26,1533,171
1790252217526,3544,26,1538,171
1790252217726,3552,26,1545,172
1790252217927,3562,26,1554,172
1790252218127,3573,26,1562,172
1790252218327,3581,26,1570,173
1790252218527,3590,26,1576,174
1790252218728,3596,26,1584,174
1790252218928,3606,26,1591,174
1790252219128,3616,26,1600,175
1790252219328,3628,26,1609,176
1790252219528,3634,26,1614,176
1790252219729,3641,26,1622,176
1790252219929,3650,26,1628,177
1790252220129,3665,26,1641,177
1790252220329,3672,26,1650,178
1790252220530,3681,26,1657,178
1790252220730,3692,26,1665,179
1790252220930,3700,26,1674,179
1790252221130,3709,26,1682,179
1790252221331,3714,26,1689,180
1790252221531,3725,26,1696,180
1790252221731,3732,26,1701,180
1790252221931,3737,26,1707,181
1790252222131,3747,26,1716,181
1790252222332,3757,26,1724,182
1790252222532,3766,26,1730,183
1790252222732,3775,26,1738,183
1790252222933,3788,26,1747,184
1790252223133,3795,26,1756,184
1790252223333,3804,26,1763,185
1790252223533,3810,26,1770,185
1790252223734,3819,26,1777,186
1790252223934,3828,26,1785,186
1790252224134,3838,26,1793,186
1790252224335,3851,26,1802,187
1790252224535,3873,26,1810,188
1790252224735,3882,26,1817,188
1790252224936,3890,26,1826,189
1790252225136,3901,26,1833,189
1790252225337,3958,26,1840,189
1790252225539,3966,26,1847,190
1790252225739,3975,26,1854,191
1790252225939,3991,26,1865,191
1790252226139,4001,26,1872,192
1790252226340,4010,26,1881,192
1790252226540,4019,26,1887,192
1790252226740,4029,26,1895,193
1790252226941,4038,26,1904,193
1790252227141,4048,26,1911,193
1790252227341,4052,26,1917,194
1790252227541,4060,26,1923,194
1790252227742,4072,26,1931,195
1790252227942,4079,26,1939,195
1790252228142,4090,26,1947,195
1790252228343,4101,26,1955,197
1790252228543,4107,26,1960,197
1790252228743,4116,26,1968,197
1790252228943,4123,26,1973,197
1790252229144,4131,26,1981,198
1790252229344,4141,26,1988,198
1790252229544,4148,26,1994,199
1790252229745,4157,26,2001,199
1790252229945,4167,26,2010,200
1790252230145,4176,26,2023,200
1790252230346,4198,26,2032,200
1790252230546,4206,26,2037,201
1790252230746,4216,26,2044,201
1790252230946,4225,26,2052,202
1790252231146,4231,26,2059,203
1790252231347,4242,26,2068,203
1790252231547,4256,26,2075,203
1790252231747,4293,26,2080,204
1790252231948,4305,26,2088,204
1790252232148,4312,26,2094,205
1790252232348,4319,26,2101,205
1790252232548,4327,26,2108,206
1790252232749,4334,26,2112,206
1790252232949,4341,26,2120,207
1790252233149,4353,26,2128,208
1790252233350,4361,26,2136,208
1790252233550,4369,26,2142,208
1790252233750,4377,26,2148,209
1790252233950,4383,26,2152,209
1790252234151,4394,26,2160,210
1790252234351,4403,26,2167,210
1790252234551,4409,26,2174,211
1790252234751,4418,26,2181,212
1790252234951,4452,26,2190,212
1790252235152,4460,26,2196,213
1790252235352,4470,26,2204,213
1790252235552,4478,26,2209,214
1790252235752,4486,26,2216,214
1790252235953,4494,26,2223,214
1790252236153,4506,26,2230,215
1790252236353,4515,26,2237,216
1790252236554,4519,26,2242,216
1790252236754,4529,26,2250,217
1790252236954,4539,26,2258,217
1790252237154,4541,26,2263,218
1790252237354,4554,26,2270,218
1790252237555,4563,26,2277,218
1790252237755,4569,26,2284,219
1790252237955,4578,26,2291,219
1790252238156,4586,26,2299,220
1790252238356,4631,26,2305,220
1790252238556,4640,26,2312,221
1790252238757,4645,26,2318,221
1790252238957,4655,26,2325,221
1790252239158,4661,26,2332,222
1790252239358,4671,26,2339,223
1790252239558,4677,26,2345,224
1790252239758,4687,26,2352,224
1790252239958,4694,26,2359,225
1790252240159,4703,26,2373,225
1790252240359,4715,26,2381,225
1790252240559,4722,26,2387,226
1790252240759,4730,26,2393,227
1790252240960,4738,26,2401,227
1790252241160,4746,26,2407,228
1790252241360,4765,26,2415,228
1790252241561,4774,26,2421,228
1790252241761,4785,26,2429,229
1790252241961,4792,26,2436,230
1790252242161,4802,26,2443,230
1790252242362,4813,26,2452,231
1790252242562,4819,26,2458,231
1790252242762,4828,26,2466,232
1790252242962,4840,26,2472,233
1790252243162,4848,26,2480,233
1790252243363,4856,26,2487,234
1790252243563,4866,26,2493,234
1790252243763,4874,26,2501,234
1790252243963,4882,26,2507,235
1790252244164,4890,26,2514,236
1790252244364,4897,26,2520,237
1790252244564,4905,26,2526,237
1790252244765,4912,26,2533,237
1790252244965,4922,26,2539,238
1790252245165,4928,26,2545,238
1790252245366,4971,26,2552,239
1790252245566,4980,26,2558,239
1790252245766,4986,26,2565,240
1790252245966,4995,26,2573,240
1790252246167,5005,26,2579,241
1790252246367,5012,26,2585,241
1790252246567,5020,26,2592,242
1790252246767,5028,26,2600,242
1790252246968,5040,26,2606,244
1790252247168,5046,26,2613,244
1790252247368,5055,26,2620,244
1790252247569,5063,26,2626,245
1790252247769,5070,26,2633,245
1790252247969,5079,26,2640,246
1790252248170,5088,26,2647,246
1790252248370,5096,26,2654,246
1790252248570,5105,26,2660,247
1790252248770,5113,26,2667,247
1790252248971,5124,26,2675,249
1790252249171,5131,26,2682,249
1790252249371,5142,26,2689,249
1790252249571,5147,26,2694,250
1790252249772,5158,26,2702,250
1790252249972,5165,26,2710,251
1790252250172,5173,26,2723,252
1790252250372,5182,26,2729,252
1790252250573,5187,26,2734,252
1790252250773,5197,26,2742,253
1790252250973,5208,26,2750,253
1790252251173,5214,26,2757,254
1790252251374,5220,26,2762,254
1790252251574,5229,26,2768,255
1790252251774,5238,26,2776,255
1790252251974,5247,26,2783,256
1790252252175,5289,26,2789,256
1790252252375,5295,26,2792,256
1790252252575,5299,26,2795,256
1790252252775,5304,26,2801,257
1790252252976,5310,26,2808,257
1790252253176,5319,26,2815,258
1790252253376,5327,26,2822,258
1790252253576,5334,26,2828,259
1790252253777,5342,26,2835,259
1790252253977,5351,26,2841,260
1790252254177,5362,26,2849,260
1790252254377,5368,26,2855,261
1790252254578,5375,26,2861,261
1790252254778,5385,26,2869,263
1790252254978,5393,26,2876,263
1790252255178,5403,26,2883,264
1790252255379,5411,26,2891,264
1790252255579,5418,26,2895,264
1790252255779,5426,26,2903,265
1790252255979,5434,26,2909,266
1790252256180,5444,26,2916,266
1790252256380,5451,26,2924,266
1790252256580,5458,26,2929,267
1790252256780,5470,26,2936,267
1790252256980,5479,26,2944,269
