# sid=21336 tracer_pid=21334 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out2/bin/proot-fast2 x3=1653 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790252430806,2,3,4,994
1790252431007,11,3,9,994
1790252431207,31,3,15,994
1790252431407,39,3,26,994
1790252431607,47,3,39,994
1790252431807,58,5,55,994
1790252432007,65,5,67,994
1790252432208,73,5,79,995
1790252432408,82,5,90,995
1790252432608,96,5,101,995
1790252432808,104,5,116,995
1790252433008,110,5,129,995
1790252433208,117,5,143,995
1790252433409,129,5,149,995
1790252433609,142,5,158,995
1790252433809,183,13,175,996
1790252434009,201,11,184,996
1790252434209,216,11,191,997
1790252434410,238,11,199,998
1790252434610,238,11,210,998
1790252434810,357,14,221,998
1790252435010,383,14,234,998
1790252435210,415,14,247,998
1790252435410,449,14,262,998
1790252435610,499,14,276,998
1790252435810,548,14,288,999
1790252436010,608,14,300,1000
1790252436211,648,14,310,1001
1790252436411,691,14,327,1001
1790252436611,739,14,342,1002
1790252436811,901,21,359,1002
1790252437011,983,21,375,1003
1790252437211,1064,21,391,1004
1790252437411,1110,21,409,1004
1790252437612,1164,21,426,1005
1790252437812,1199,21,446,1006
1790252438012,1242,21,464,1006
1790252438212,1269,21,484,1006
1790252438412,1305,21,504,1007
1790252438612,1368,21,523,1007
1790252438812,1420,21,544,1008
1790252439013,1468,21,561,1008
1790252439213,1543,21,578,1009
1790252439413,1597,21,596,1010
1790252439613,1653,21,614,1010
1790252439814,1724,21,632,1010
1790252440014,1799,21,645,1011
1790252440214,1872,21,663,1011
1790252440415,1925,21,682,1011
1790252440615,1970,21,698,1012
1790252440815,2015,23,714,1012
1790252441015,2064,23,727,1013
1790252441215,2115,23,735,1013
1790252441415,2148,23,744,1013
1790252441616,2178,23,745,1015
1790252441816,2206,23,750,1015
1790252442017,2212,23,750,1015
1790252442217,2220,23,751,1015
1790252442417,2265,23,767,1015
1790252442617,2287,23,776,1015
1790252442817,2304,26,779,1016
1790252443017,2305,26,781,1016
1790252443218,2310,26,782,1016
1790252443418,2315,26,782,1016
1790252443618,2326,23,786,1017
1790252443819,2330,23,786,1017
1790252444019,2332,23,786,1017
1790252444219,2355,23,789,1017
1790252444419,2365,23,790,1017
1790252444619,2370,23,790,1017
1790252444820,2373,23,790,1018
1790252445020,2377,23,791,1018
1790252445220,2382,23,791,1018
1790252445420,2387,23,792,1018
1790252445621,2458,23,792,1018
1790252445821,2479,23,794,1019
1790252446021,2483,23,795,1019
1790252446221,2487,23,796,1019
1790252446422,2491,23,796,1019
1790252446622,2493,23,797,1020
1790252446822,2499,23,798,1020
1790252447022,2503,23,799,1021
1790252447223,2510,23,800,1021
1790252447423,2520,23,813,1021
1790252447623,2523,23,815,1021
1790252447823,2530,26,815,1022
1790252448024,2533,26,816,1022
1790252448224,2536,26,816,1023
1790252448424,2541,26,817,1023
1790252448625,2586,23,821,1024
1790252448825,2597,23,826,1024
1790252449025,2601,23,827,1025
1790252449225,2606,23,827,1025
1790252449426,2608,23,828,1025
1790252449626,2610,23,828,1025
1790252449827,2612,23,829,1026
