# mem-guard start x3=29099 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=6736
1790252626.283821958 mem_available_mb=5509 swap_used_mb=6736 x3_rss_mb=155 x3_swap_mb=0
1790252626.814462219 mem_available_mb=5391 swap_used_mb=6732 x3_rss_mb=232 x3_swap_mb=0
1790252627.345770656 mem_available_mb=5458 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252627.880592687 mem_available_mb=5453 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252628.432623208 mem_available_mb=5427 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252628.968649926 mem_available_mb=5428 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252629.516538363 mem_available_mb=5423 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252630.055217530 mem_available_mb=5421 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252630.579711436 mem_available_mb=5390 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252631.120838571 mem_available_mb=5399 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252631.661608727 mem_available_mb=5393 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252632.213981019 mem_available_mb=5390 swap_used_mb=6695 x3_rss_mb=232 x3_swap_mb=0
1790252632.739353623 mem_available_mb=5388 swap_used_mb=6694 x3_rss_mb=232 x3_swap_mb=0
1790252633.271991331 mem_available_mb=5388 swap_used_mb=6694 x3_rss_mb=223 x3_swap_mb=0
1790252633.796117841 mem_available_mb=5378 swap_used_mb=6694 x3_rss_mb=223 x3_swap_mb=0
1790252634.327747685 mem_available_mb=5367 swap_used_mb=6694 x3_rss_mb=223 x3_swap_mb=0
1790252634.860156122 mem_available_mb=5394 swap_used_mb=6694 x3_rss_mb=223 x3_swap_mb=0
1790252635.394241799 mem_available_mb=5393 swap_used_mb=6694 x3_rss_mb=223 x3_swap_mb=0
1790252635.928947059 mem_available_mb=5404 swap_used_mb=6694 x3_rss_mb=223 x3_swap_mb=0
1790252636.464124819 mem_available_mb=5342 swap_used_mb=6673 x3_rss_mb=223 x3_swap_mb=0
1790252637.008705913 mem_available_mb=5319 swap_used_mb=6667 x3_rss_mb=223 x3_swap_mb=0
1790252637.536677579 mem_available_mb=5313 swap_used_mb=6666 x3_rss_mb=223 x3_swap_mb=0
1790252638.085341537 mem_available_mb=5301 swap_used_mb=6666 x3_rss_mb=223 x3_swap_mb=0
1790252638.632626016 mem_available_mb=5293 swap_used_mb=6666 x3_rss_mb=223 x3_swap_mb=0
1790252639.172093412 mem_available_mb=5292 swap_used_mb=6666 x3_rss_mb=223 x3_swap_mb=0
1790252639.719136849 mem_available_mb=5291 swap_used_mb=6666 x3_rss_mb=223 x3_swap_mb=0
1790252640.250713203 mem_available_mb=5291 swap_used_mb=6666 x3_rss_mb=223 x3_swap_mb=0
1790252640.799479088 mem_available_mb=5291 swap_used_mb=6666 x3_rss_mb=223 x3_swap_mb=0
1790252641.340754244 mem_available_mb=5289 swap_used_mb=6666 x3_rss_mb=223 x3_swap_mb=0
