# sid=23205 tracer_pid=23203 tracer_arg0=/data/data/com.termux/files/usr/bin/proot x3=29099 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790253135519,4,3,6,2173
1790253135719,13,3,13,2173
1790253135919,32,3,16,2173
1790253136120,44,3,27,2173
1790253136320,53,3,39,2174
1790253136520,69,5,53,2174
1790253136720,76,5,65,2174
1790253136920,83,5,77,2174
1790253137120,90,5,90,2174
1790253137321,100,5,102,2174
1790253137521,117,5,113,2174
1790253137721,123,5,126,2175
1790253137921,130,5,140,2175
1790253138121,136,5,153,2175
1790253138321,147,5,164,2175
1790253138521,157,6,175,2175
1790253138722,170,6,187,2176
1790253138922,190,6,202,2177
1790253139122,200,6,219,2177
1790253139322,214,6,227,2177
1790253139522,257,14,240,2178
1790253139723,295,14,248,2178
1790253139923,319,14,258,2179
1790253140123,358,14,271,2180
1790253140323,393,14,285,2180
1790253140523,435,14,297,2180
1790253140723,465,14,310,2180
1790253140923,493,14,323,2181
1790253141124,520,14,339,2181
1790253141324,549,14,354,2181
1790253141524,580,14,370,2181
1790253141724,619,14,382,2181
1790253141924,660,14,398,2181
1790253142124,713,14,411,2182
1790253142325,761,14,423,2182
1790253142525,801,14,430,2182
1790253142725,838,14,438,2183
1790253142925,877,14,446,2184
1790253143125,910,14,460,2185
1790253143325,940,14,472,2185
1790253143526,1052,16,490,2186
1790253143726,1089,16,506,2187
1790253143926,1116,16,525,2187
1790253144126,1138,16,543,2187
1790253144326,1156,16,562,2188
1790253144526,1177,16,583,2188
1790253144727,1188,16,601,2189
1790253144927,1208,16,619,2189
1790253145127,1230,16,637,2189
1790253145327,1247,16,655,2190
1790253145527,1276,17,676,2191
1790253145727,1289,17,695,2191
1790253145927,1303,17,713,2191
1790253146128,1327,17,733,2192
1790253146328,1339,17,753,2192
1790253146528,1355,17,773,2192
1790253146728,1375,17,790,2193
1790253146928,1421,17,804,2193
1790253147129,1446,17,821,2193
1790253147329,1480,17,838,2194
1790253147529,1526,18,854,2194
1790253147730,1570,18,868,2194
1790253147930,1607,18,884,2195
1790253148130,1638,18,901,2195
1790253148332,1665,18,916,2196
1790253148532,1814,22,933,2196
1790253148732,1865,22,950,2197
1790253148932,1891,22,969,2198
1790253149133,1912,22,990,2198
1790253149333,1928,22,1009,2198
1790253149533,1962,22,1029,2198
1790253149733,1976,22,1047,2199
1790253149933,1995,22,1066,2199
1790253150133,2003,22,1086,2199
1790253150334,2035,22,1104,2199
1790253150534,2052,25,1126,2199
1790253150734,2060,25,1144,2200
1790253150934,2069,25,1163,2200
1790253151134,2083,25,1184,2201
1790253151334,2096,22,1204,2201
1790253151535,2107,22,1225,2201
1790253151735,2116,22,1243,2201
1790253151935,2130,22,1264,2201
1790253152135,2156,22,1283,2201
1790253152335,2172,22,1302,2202
1790253152535,2186,22,1323,2202
1790253152735,2195,22,1341,2202
1790253152936,2225,22,1360,2202
1790253153136,2247,22,1380,2203
1790253153336,2279,22,1398,2204
1790253153536,2322,22,1417,2204
1790253153736,2349,22,1434,2205
1790253153936,2383,22,1451,2206
1790253154137,2408,22,1471,2206
1790253154337,2462,22,1486,2207
1790253154537,2538,26,1506,2207
1790253154741,2611,26,1516,2207
1790253154941,2693,26,1531,2208
1790253155141,2784,23,1545,2208
1790253155341,2865,23,1561,2209
1790253155541,2899,24,1580,2209
1790253155741,2948,24,1597,2210
1790253155942,2980,24,1614,2210
1790253156142,3037,24,1628,2210
1790253156342,3081,24,1641,2211
1790253156542,3115,24,1650,2211
1790253156742,3146,24,1657,2211
1790253156942,3173,24,1664,2211
1790253157143,3195,24,1669,2212
1790253157343,3225,24,1675,2212
1790253157543,3264,24,1683,2212
1790253157743,3300,24,1696,2212
1790253157943,3328,24,1710,2213
1790253158144,3345,24,1719,2213
1790253158344,3357,24,1728,2213
1790253158544,3368,24,1737,2214
1790253158744,3381,24,1744,2214
1790253158945,3390,24,1757,2215
1790253159145,3406,24,1771,2215
1790253159345,3423,24,1788,2215
1790253159545,3441,27,1799,2215
1790253159746,3449,27,1805,2216
1790253159946,3464,27,1814,2216
1790253160146,3501,24,1823,2216
1790253160346,3525,24,1837,2217
1790253160546,3546,24,1847,2217
1790253160747,3559,24,1856,2218
1790253160947,3568,24,1863,2218
1790253161147,3580,24,1871,2219
1790253161347,3586,24,1877,2219
1790253161548,3600,24,1886,2220
1790253161748,3617,24,1893,2220
1790253161948,3633,24,1900,2220
1790253162148,3641,24,1908,2221
1790253162349,3652,24,1917,2221
1790253162549,3664,24,1924,2221
1790253162749,3670,24,1932,2222
1790253162950,3681,24,1940,2223
1790253163150,3698,24,1948,2223
1790253163350,3713,24,1952,2223
1790253163551,3722,24,1958,2223
1790253163751,3735,24,1972,2224
1790253163951,3751,24,1982,2224
1790253164151,3758,24,1987,2224
1790253164351,3766,24,1993,2224
1790253164551,3772,24,2000,2225
1790253164752,3781,24,2006,2225
1790253164952,3790,24,2015,2226
1790253165152,3798,24,2021,2226
1790253165352,3808,24,2028,2226
1790253165553,3820,24,2037,2227
1790253165753,3825,24,2042,2227
1790253165953,3835,24,2051,2228
1790253166153,3843,24,2058,2228
1790253166354,3853,24,2066,2229
1790253166554,3866,24,2075,2229
1790253166754,3873,24,2082,2230
1790253166954,3882,24,2090,2230
1790253167155,3893,24,2097,2231
1790253167355,3901,24,2105,2232
1790253167555,3913,24,2114,2233
1790253167756,3917,24,2118,2233
1790253167956,3926,24,2126,2233
1790253168156,3937,24,2135,2234
1790253168357,3945,24,2143,2234
1790253168557,3958,24,2153,2235
1790253168757,3980,24,2162,2235
1790253168958,3992,24,2170,2236
1790253169158,4003,24,2178,2237
1790253169358,4010,24,2185,2237
1790253169558,4023,24,2195,2238
1790253169759,4029,24,2201,2238
1790253169959,4037,24,2204,2238
1790253170162,4074,24,2208,2239
1790253170362,4086,24,2210,2239
1790253170562,4091,24,2217,2239
1790253170762,4098,24,2222,2239
1790253170963,4104,24,2229,2240
1790253171169,4108,24,2234,2240
1790253171370,4112,24,2238,2240
1790253171570,4117,24,2242,2241
1790253171770,4122,24,2246,2241
1790253171971,4128,24,2250,2241
1790253172172,4139,24,2254,2241
1790253172372,4144,24,2258,2241
1790253172572,4150,24,2263,2241
1790253172772,4157,24,2267,2242
1790253172972,4160,24,2271,2242
1790253173173,4164,24,2275,2242
1790253173373,4172,24,2279,2242
1790253173573,4175,24,2284,2243
1790253173774,4182,24,2287,2243
1790253173974,4190,24,2296,2243
1790253174174,4194,24,2300,2243
1790253174374,4205,24,2307,2244
1790253174575,4216,24,2317,2245
1790253174775,4222,24,2323,2245
1790253174975,4231,24,2330,2246
1790253175175,4238,24,2336,2246
1790253175376,4246,24,2343,2246
1790253175576,4252,24,2348,2247
1790253175776,4259,24,2353,2247
1790253175976,4267,24,2360,2247
1790253176177,4274,24,2366,2247
1790253176377,4282,24,2372,2248
1790253176577,4294,24,2380,2248
1790253176780,4309,24,2385,2249
1790253176980,4347,24,2391,2250
1790253177180,4354,24,2397,2250
1790253177380,4361,24,2403,2251
1790253177580,4387,24,2414,2251
1790253177781,4389,24,2418,2251
1790253177981,4393,24,2420,2252
1790253178181,4400,24,2424,2252
1790253178381,4408,24,2432,2252
1790253178581,4418,24,2441,2253
1790253178782,4426,24,2447,2254
1790253178982,4435,24,2454,2254
1790253179182,4439,24,2458,2254
1790253179384,4447,24,2463,2255
1790253179585,4455,24,2470,2255
1790253179785,4461,24,2475,2255
1790253179985,4470,24,2483,2256
1790253180185,4481,24,2489,2256
1790253180386,4490,24,2504,2257
1790253180586,4502,24,2511,2258
1790253180786,4506,24,2515,2258
1790253180986,4514,24,2522,2258
1790253181187,4522,24,2530,2258
1790253181387,4530,24,2535,2258
1790253181587,4540,24,2543,2259
1790253181787,4546,24,2549,2260
1790253181987,4554,24,2556,2260
1790253182188,4561,24,2560,2260
1790253182388,4566,24,2563,2261
1790253182588,4574,24,2571,2261
1790253182788,4581,24,2576,2261
1790253182988,4625,24,2581,2261
1790253183189,4634,24,2588,2262
1790253183389,4642,24,2596,2263
1790253183589,4661,24,2605,2263
1790253183790,4669,24,2611,2264
1790253183990,4679,24,2618,2264
1790253184190,4688,24,2624,2265
1790253184390,4696,24,2631,2265
1790253184591,4707,24,2638,2266
1790253184791,4713,24,2644,2266
1790253184991,4725,24,2652,2267
1790253185191,4733,24,2658,2267
1790253185391,4762,24,2667,2267
1790253185592,4777,24,2673,2268
1790253185792,4781,24,2678,2269
1790253185992,4788,24,2685,2269
1790253186192,4793,24,2690,2270
1790253186393,4805,24,2697,2270
1790253186593,4809,24,2702,2270
1790253186793,4814,24,2705,2270
1790253186993,4824,24,2710,2271
1790253187194,4832,24,2718,2271
1790253187394,4840,24,2723,2271
1790253187594,4850,24,2731,2272
1790253187794,4855,24,2736,2272
1790253187995,4865,24,2743,2273
1790253188195,4873,24,2750,2273
1790253188396,4880,24,2757,2274
1790253188596,4891,24,2765,2274
1790253188796,4897,24,2771,2275
1790253188997,4908,24,2777,2275
1790253189197,4914,24,2784,2276
1790253189397,4921,24,2790,2276
1790253189597,4930,24,2796,2276
1790253189797,4972,24,2800,2277
1790253189998,4974,24,2805,2277
1790253190198,4984,24,2812,2278
1790253190398,4994,24,2826,2278
1790253190598,5003,24,2832,2278
1790253190799,5008,24,2838,2279
1790253190999,5016,24,2841,2279
1790253191199,5018,24,2846,2279
1790253191399,5026,24,2852,2280
1790253191599,5034,24,2858,2281
1790253191800,5043,24,2863,2281
1790253192000,5048,24,2870,2282
1790253192200,5056,24,2877,2282
1790253192401,5065,24,2884,2282
1790253192601,5075,24,2893,2283
1790253192801,5083,24,2899,2283
1790253193001,5090,24,2905,2284
1790253193202,5102,24,2913,2284
1790253193402,5110,24,2920,2285
1790253193602,5121,24,2929,2286
1790253193803,5127,24,2935,2286
1790253194003,5138,24,2943,2287
1790253194203,5149,24,2948,2287
1790253194404,5154,24,2955,2288
1790253194604,5166,24,2963,2288
1790253194804,5172,24,2968,2289
1790253195004,5182,24,2975,2289
1790253195204,5188,24,2982,2290
1790253195405,5195,24,2985,2290
1790253195605,5203,24,2992,2290
1790253195805,5209,24,2998,2291
1790253196005,5219,24,3005,2291
1790253196206,5225,24,3012,2292
1790253196406,5268,24,3017,2292
1790253196606,5275,24,3021,2292
1790253196806,5277,24,3023,2292
1790253197007,5289,24,3029,2293
1790253197207,5292,24,3036,2293
1790253197407,5302,24,3042,2294
1790253197608,5313,24,3051,2295
1790253197808,5320,24,3056,2295
1790253198008,5329,24,3063,2296
1790253198208,5339,24,3071,2296
1790253198409,5349,24,3079,2296
1790253198609,5356,24,3087,2297
1790253198809,5364,24,3092,2297
1790253199010,5374,24,3099,2298
1790253199210,5381,24,3105,2298
1790253199410,5390,24,3112,2299
1790253199610,5396,24,3116,2299
1790253199811,5401,24,3120,2300
1790253200011,5409,24,3126,2300
1790253200211,5416,24,3131,2301
1790253200412,5426,24,3146,2301
1790253200612,5436,24,3153,2301
1790253200812,5442,24,3157,2302
1790253201013,5451,24,3165,2302
1790253201213,5462,24,3172,2303
1790253201413,5469,24,3179,2303
1790253201613,5477,24,3188,2304
1790253201814,5484,24,3191,2304
1790253202014,5491,24,3198,2304
1790253202214,5500,24,3205,2305
1790253202414,5511,24,3212,2305
1790253202615,5524,24,3221,2306
1790253202815,5568,24,3226,2306
1790253203015,5574,24,3233,2307
1790253203215,5585,24,3239,2307
1790253203416,5590,24,3247,2308
1790253203616,5602,24,3255,2309
1790253203816,5605,24,3260,2309
1790253204016,5611,24,3264,2310
1790253204216,5616,24,3267,2310
1790253204417,5625,24,3274,2310
1790253204617,5633,24,3281,2310
1790253204818,5638,24,3287,2311
1790253205018,5648,24,3294,2311
1790253205218,5658,24,3300,2311
1790253205418,5665,24,3307,2312
1790253205619,5676,24,3315,2312
1790253205819,5684,24,3321,2313
1790253206019,5691,24,3329,2314
1790253206220,5699,24,3336,2314
1790253206420,5708,24,3343,2315
1790253206620,5718,24,3351,2315
1790253206821,5727,24,3356,2316
1790253207021,5734,24,3364,2316
1790253207221,5744,24,3369,2317
1790253207422,5749,24,3377,2318
1790253207622,5759,24,3386,2318
1790253207822,5767,24,3391,2318
1790253208023,5774,24,3398,2318
1790253208223,5785,24,3404,2319
1790253208423,5788,24,3407,2319
1790253208623,5796,24,3412,2320
1790253208824,5804,24,3417,2321
1790253209024,5811,24,3425,2321
1790253209224,5858,24,3432,2322
1790253209424,5864,24,3438,2322
1790253209625,5874,24,3446,2322
1790253209825,5880,24,3451,2323
1790253210025,5888,24,3457,2323
1790253210225,5897,24,3464,2324
1790253210426,5905,24,3478,2324
1790253210626,5913,24,3485,2324
1790253210826,5921,24,3491,2324
1790253211026,5929,24,3497,2325
1790253211227,5939,24,3504,2326
1790253211427,5947,24,3510,2326
1790253211627,5954,24,3517,2326
1790253211828,5961,24,3522,2328
1790253212028,5973,24,3530,2328
1790253212228,5978,24,3536,2329
1790253212428,5987,24,3545,2329
1790253212629,5996,24,3550,2330
1790253212829,5999,24,3553,2330
1790253213029,6005,24,3558,2330
1790253213229,6014,24,3565,2330
1790253213430,6023,24,3573,2331
1790253213630,6033,24,3581,2331
1790253213831,6038,24,3587,2332
1790253214031,6047,24,3594,2332
1790253214232,6055,24,3600,2333
1790253214432,6062,24,3607,2333
1790253214632,6073,24,3615,2335
1790253214832,6079,24,3619,2335
1790253215033,6089,24,3627,2336
1790253215233,6096,24,3633,2336
1790253215433,6114,24,3640,2336
1790253215633,6152,24,3648,2337
1790253215836,6164,24,3655,2337
1790253216036,6172,24,3661,2338
1790253216236,6180,24,3667,2338
1790253216437,6189,24,3675,2339
1790253216637,6199,24,3682,2339
1790253216837,6205,24,3686,2341
1790253217037,6210,24,3691,2341
1790253217238,6215,24,3694,2341
1790253217438,6224,24,3700,2341
1790253217638,6231,24,3707,2342
1790253217838,6236,24,3712,2342
1790253218039,6246,24,3719,2342
1790253218239,6255,24,3726,2343
1790253218439,6263,24,3734,2343
1790253218640,6275,24,3741,2344
1790253218840,6281,24,3747,2344
1790253219040,6288,24,3754,2345
1790253219240,6298,24,3761,2345
1790253219440,6307,24,3767,2346
1790253219641,6316,24,3775,2346
1790253219841,6325,24,3780,2347
1790253220041,6331,24,3788,2347
1790253220241,6344,24,3795,2348
1790253220442,6352,24,3808,2348
1790253220642,6364,24,3817,2349
1790253220842,6369,24,3822,2349
1790253221043,6379,24,3830,2350
1790253221243,6390,24,3836,2351
1790253221443,6391,24,3839,2351
1790253221643,6398,24,3843,2351
1790253221843,6410,24,3849,2351
1790253222044,6449,24,3855,2352
1790253222244,6452,24,3858,2352
1790253222444,6457,24,3861,2352
1790253222644,6467,24,3867,2353
1790253222845,6472,24,3873,2353
1790253223045,6479,24,3879,2353
1790253223245,6488,24,3885,2354
1790253223446,6495,24,3893,2354
1790253223646,6506,24,3901,2355
1790253223846,6510,24,3905,2355
1790253224047,6518,24,3913,2356
1790253224247,6527,24,3919,2356
1790253224448,6537,24,3927,2358
1790253224648,6549,24,3935,2358
1790253224848,6555,24,3941,2359
1790253225048,6566,24,3948,2359
1790253225249,6573,24,3953,2359
1790253225449,6582,24,3962,2360
1790253225649,6586,24,3967,2360
1790253225849,6590,24,3970,2361
1790253226049,6596,24,3975,2361
1790253226250,6603,24,3981,2361
1790253226450,6614,24,3988,2362
1790253226650,6624,24,3996,2362
1790253226851,6630,24,4002,2362
1790253227051,6637,24,4007,2363
1790253227251,6644,24,4014,2364
1790253227452,6653,24,4021,2364
1790253227652,6663,24,4027,2364
1790253227852,6668,24,4032,2365
1790253228053,6673,24,4037,2365
1790253228253,6718,24,4044,2366
1790253228455,6727,24,4051,2366
1790253228656,6736,24,4058,2367
1790253228856,6739,24,4063,2367
1790253229056,6748,24,4070,2367
1790253229257,6757,24,4076,2368
1790253229457,6767,24,4084,2368
1790253229657,6776,24,4091,2369
1790253229857,6783,24,4097,2369
1790253230058,6786,24,4100,2369
1790253230258,6792,24,4105,2370
1790253230458,6796,24,4117,2370
1790253230658,6807,24,4123,2370
1790253230859,6815,24,4128,2371
1790253231059,6821,24,4133,2372
1790253231259,6828,24,4140,2372
1790253231459,6836,24,4147,2372
1790253231660,6845,24,4154,2373
1790253231860,6850,24,4159,2373
1790253232060,6857,24,4164,2373
1790253232261,6862,24,4169,2374
1790253232461,6873,24,4177,2375
1790253232661,6882,24,4183,2375
1790253232861,6888,24,4189,2375
1790253233061,6895,24,4196,2376
1790253233262,6903,24,4202,2376
1790253233462,6913,24,4210,2377
1790253233663,6923,24,4218,2377
1790253233863,6929,24,4224,2378
1790253234063,6940,24,4232,2378
1790253234264,6946,24,4237,2379
1790253234464,6948,24,4240,2380
1790253234664,6975,24,4245,2380
1790253234865,6996,24,4249,2380
1790253235065,7002,24,4256,2380
1790253235265,7011,24,4263,2381
1790253235465,7018,24,4269,2381
1790253235666,7028,24,4277,2382
1790253235866,7038,24,4283,2382
1790253236066,7046,24,4290,2382
1790253236267,7054,24,4297,2383
1790253236467,7064,24,4305,2383
1790253236667,7073,24,4313,2384
1790253236867,7079,24,4319,2384
1790253237068,7089,24,4327,2384
1790253237268,7096,24,4334,2385
1790253237469,7108,24,4341,2385
1790253237669,7117,24,4348,2386
1790253237869,7123,24,4353,2387
1790253238069,7130,24,4360,2388
1790253238270,7139,24,4366,2389
1790253238470,7150,24,4375,2389
1790253238670,7156,24,4382,2389
1790253238870,7159,24,4384,2390
1790253239071,7166,24,4390,2390
1790253239271,7173,24,4395,2390
1790253239471,7179,24,4401,2391
1790253239671,7194,24,4410,2391
1790253239871,7198,24,4414,2391
1790253240072,7207,24,4420,2392
1790253240272,7215,24,4429,2392
1790253240472,7224,24,4443,2392
1790253240672,7233,24,4450,2393
1790253240873,7237,24,4454,2393
1790253241073,7245,24,4460,2394
1790253241273,7285,24,4464,2395
1790253241473,7290,24,4470,2395
1790253241674,7299,24,4476,2395
1790253241874,7303,24,4482,2396
1790253242074,7313,24,4490,2396
1790253242274,7322,24,4496,2396
1790253242475,7331,24,4503,2397
1790253242675,7342,24,4512,2397
1790253242875,7349,24,4518,2398
1790253243076,7355,24,4523,2398
1790253243276,7358,24,4526,2398
1790253243476,7363,24,4531,2399
1790253243676,7374,24,4538,2400
1790253243877,7383,24,4545,2400
1790253244077,7391,24,4551,2400
1790253244277,7396,24,4557,2401
1790253244477,7406,24,4566,2401
1790253244678,7415,24,4573,2402
1790253244878,7422,24,4580,2402
1790253245078,7431,24,4586,2403
1790253245279,7440,24,4592,2403
1790253245479,7453,24,4600,2403
1790253245680,7464,24,4607,2404
1790253245880,7471,24,4614,2404
1790253246080,7481,24,4621,2405
1790253246281,7486,24,4627,2405
1790253246481,7496,24,4635,2406
1790253246681,7507,24,4643,2407
1790253246882,7511,24,4649,2408
1790253247082,7521,24,4655,2409
1790253247282,7529,24,4661,2409
1790253247482,7532,24,4664,2409
1790253247683,7544,24,4668,2410
1790253247883,7575,24,4671,2410
1790253248083,7586,24,4679,2410
1790253248284,7593,24,4687,2411
1790253248484,7601,24,4694,2411
1790253248684,7613,24,4702,2411
1790253248884,7618,24,4707,2412
1790253249085,7631,24,4715,2412
1790253249285,7636,24,4722,2413
1790253249485,7645,24,4729,2413
1790253249685,7654,24,4737,2414
1790253249886,7663,24,4742,2414
1790253250086,7671,24,4750,2415
1790253250286,7678,24,4758,2416
1790253250487,7692,24,4771,2416
1790253250687,7696,24,4778,2417
1790253250887,7704,24,4783,2417
1790253251087,7711,24,4789,2417
1790253251288,7721,24,4796,2419
1790253251488,7728,24,4804,2419
1790253251688,7740,24,4811,2420
1790253251888,7743,24,4813,2420
1790253252089,7745,24,4818,2420
1790253252289,7755,24,4824,2420
1790253252489,7762,24,4830,2421
1790253252690,7774,24,4838,2421
1790253252891,7780,24,4843,2421
1790253253091,7789,24,4850,2421
1790253253291,7797,24,4857,2423
1790253253492,7803,24,4865,2423
1790253253692,7813,24,4872,2424
1790253253892,7820,24,4877,2424
1790253254092,7852,24,4887,2425
1790253254293,7894,24,4892,2425
1790253254493,7913,24,4900,2425
1790253254693,7921,24,4907,2425
1790253254893,7928,24,4912,2426
