# sid=5978 tracer_pid=5976 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out2/bin/proot-fast2 x3=1507 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790253362442,1,3,4,187
1790253362642,9,3,10,187
1790253362842,29,3,11,187
1790253363043,39,3,22,187
1790253363243,48,3,35,187
1790253363443,59,5,48,188
1790253363643,65,5,60,188
1790253363843,72,5,74,188
1790253364043,80,5,86,188
1790253364243,89,5,97,188
1790253364444,103,5,109,188
1790253364644,109,5,121,188
1790253364844,115,5,135,188
1790253365044,121,5,148,189
1790253365244,133,5,155,189
1790253365444,146,5,159,190
1790253365644,158,5,164,190
1790253365845,178,5,179,190
1790253366045,191,5,196,191
1790253366245,207,5,205,192
1790253366445,268,16,217,193
1790253366645,320,16,226,193
1790253366845,354,16,237,194
1790253367046,392,16,247,194
1790253367246,425,16,261,194
1790253367446,453,16,275,194
1790253367646,482,16,289,194
1790253367846,510,16,304,194
1790253368046,541,16,319,194
1790253368246,576,16,331,194
1790253368447,624,16,345,195
1790253368647,669,16,351,195
1790253368847,721,16,354,195
1790253369047,746,16,355,195
1790253369247,784,16,359,196
1790253369447,848,18,370,198
1790253369648,925,18,379,200
1790253369848,976,18,397,201
1790253370048,1013,18,416,202
1790253370248,1079,18,435,203
1790253370449,1123,20,455,204
1790253370649,1201,20,468,205
1790253370849,1255,20,486,205
1790253371049,1288,20,505,206
1790253371249,1312,20,523,207
1790253371450,1403,23,542,208
1790253371650,1493,23,558,208
1790253371850,1522,23,577,208
1790253372050,1552,23,597,210
1790253372250,1583,23,616,210
1790253372450,1648,23,636,210
1790253372651,1684,23,654,211
1790253372851,1724,23,674,211
1790253373051,1761,23,694,212
1790253373251,1799,23,713,213
1790253373451,1836,23,735,214
1790253373652,1867,23,753,214
1790253373852,1890,23,773,215
1790253374052,1903,23,791,215
1790253374252,1930,23,810,215
1790253374452,1944,23,832,215
1790253374652,1955,23,850,215
1790253374853,1978,23,869,216
1790253375053,2002,23,889,217
1790253375253,2024,23,909,218
1790253375453,2038,23,930,218
1790253375653,2050,23,947,218
1790253375853,2066,23,966,219
1790253376053,2116,23,984,219
1790253376254,2148,23,1003,221
1790253376454,2182,23,1022,221
1790253376654,2232,23,1037,222
1790253376856,2308,23,1050,223
1790253377057,2413,23,1060,224
1790253377258,2507,23,1072,224
1790253377458,2643,24,1088,225
1790253377658,2697,24,1104,225
1790253377858,2757,24,1122,225
