# mem-guard start x3=28677 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=6496
1790232682.205036869 mem_available_mb=5161 swap_used_mb=6496 x3_rss_mb=190 x3_swap_mb=0
1790232682.740146556 mem_available_mb=5020 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232683.277297285 mem_available_mb=5057 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232683.828732441 mem_available_mb=5034 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232684.382146400 mem_available_mb=5018 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232684.919618743 mem_available_mb=5024 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232685.457357389 mem_available_mb=5088 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232686.010808274 mem_available_mb=5051 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232686.566160461 mem_available_mb=5048 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232687.107655826 mem_available_mb=5047 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232687.652983273 mem_available_mb=5044 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232688.186624002 mem_available_mb=5043 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232688.722169471 mem_available_mb=5035 swap_used_mb=6473 x3_rss_mb=223 x3_swap_mb=0
1790232689.263987387 mem_available_mb=5037 swap_used_mb=6473 x3_rss_mb=214 x3_swap_mb=0
1790232689.802534158 mem_available_mb=5027 swap_used_mb=6473 x3_rss_mb=214 x3_swap_mb=0
1790232690.362155408 mem_available_mb=5021 swap_used_mb=6473 x3_rss_mb=214 x3_swap_mb=0
1790232690.901267335 mem_available_mb=5023 swap_used_mb=6473 x3_rss_mb=214 x3_swap_mb=0
1790232691.437972699 mem_available_mb=5021 swap_used_mb=6473 x3_rss_mb=214 x3_swap_mb=0
1790232691.991744105 mem_available_mb=5025 swap_used_mb=6473 x3_rss_mb=214 x3_swap_mb=0
1790232692.519184001 mem_available_mb=4996 swap_used_mb=6468 x3_rss_mb=214 x3_swap_mb=0
1790232693.046159052 mem_available_mb=4965 swap_used_mb=6468 x3_rss_mb=214 x3_swap_mb=0
1790232693.572162854 mem_available_mb=4958 swap_used_mb=6468 x3_rss_mb=214 x3_swap_mb=0
1790232694.103153635 mem_available_mb=4942 swap_used_mb=6468 x3_rss_mb=214 x3_swap_mb=0
1790232694.632984469 mem_available_mb=4930 swap_used_mb=6468 x3_rss_mb=214 x3_swap_mb=0
1790232695.165285927 mem_available_mb=4924 swap_used_mb=6468 x3_rss_mb=214 x3_swap_mb=0
1790232695.692242645 mem_available_mb=4922 swap_used_mb=6468 x3_rss_mb=216 x3_swap_mb=0
1790232696.229278114 mem_available_mb=4852 swap_used_mb=6468 x3_rss_mb=216 x3_swap_mb=0
1790232696.759810926 mem_available_mb=4759 swap_used_mb=6469 x3_rss_mb=223 x3_swap_mb=0
1790232697.289253686 mem_available_mb=4538 swap_used_mb=6469 x3_rss_mb=223 x3_swap_mb=0
1790232697.819172540 mem_available_mb=4607 swap_used_mb=6469 x3_rss_mb=223 x3_swap_mb=0
1790232698.345907488 mem_available_mb=4498 swap_used_mb=6469 x3_rss_mb=223 x3_swap_mb=0
1790232698.878981602 mem_available_mb=4500 swap_used_mb=6469 x3_rss_mb=223 x3_swap_mb=0
1790232699.408582435 mem_available_mb=4467 swap_used_mb=6469 x3_rss_mb=223 x3_swap_mb=0
1790232699.941809831 mem_available_mb=4384 swap_used_mb=6469 x3_rss_mb=220 x3_swap_mb=0
1790232700.477383008 mem_available_mb=4339 swap_used_mb=6469 x3_rss_mb=221 x3_swap_mb=0
1790232701.011452435 mem_available_mb=4328 swap_used_mb=6486 x3_rss_mb=221 x3_swap_mb=0
1790232701.545042643 mem_available_mb=4325 swap_used_mb=6507 x3_rss_mb=221 x3_swap_mb=0
1790232702.075376497 mem_available_mb=4318 swap_used_mb=6535 x3_rss_mb=221 x3_swap_mb=0
1790232702.607153580 mem_available_mb=4312 swap_used_mb=6625 x3_rss_mb=221 x3_swap_mb=0
1790232703.144411653 mem_available_mb=4285 swap_used_mb=6625 x3_rss_mb=221 x3_swap_mb=0
1790232703.690761861 mem_available_mb=4118 swap_used_mb=6625 x3_rss_mb=222 x3_swap_mb=0
1790232704.230416184 mem_available_mb=4114 swap_used_mb=6625 x3_rss_mb=219 x3_swap_mb=0
1790232704.763294413 mem_available_mb=4095 swap_used_mb=6625 x3_rss_mb=216 x3_swap_mb=0
1790232705.299600246 mem_available_mb=4089 swap_used_mb=6637 x3_rss_mb=216 x3_swap_mb=0
1790232705.857420766 mem_available_mb=4041 swap_used_mb=6731 x3_rss_mb=215 x3_swap_mb=0
1790232706.391919256 mem_available_mb=4040 swap_used_mb=6766 x3_rss_mb=215 x3_swap_mb=0
1790232706.924951599 mem_available_mb=4022 swap_used_mb=6832 x3_rss_mb=216 x3_swap_mb=0
1790232707.457377901 mem_available_mb=3931 swap_used_mb=6832 x3_rss_mb=216 x3_swap_mb=0
1790232707.995807224 mem_available_mb=3812 swap_used_mb=6832 x3_rss_mb=215 x3_swap_mb=0
1790232708.531548370 mem_available_mb=3752 swap_used_mb=6832 x3_rss_mb=218 x3_swap_mb=0
1790232709.072790453 mem_available_mb=3727 swap_used_mb=6832 x3_rss_mb=217 x3_swap_mb=0
1790232709.609204255 mem_available_mb=3708 swap_used_mb=6852 x3_rss_mb=217 x3_swap_mb=0
1790232710.138991963 mem_available_mb=3699 swap_used_mb=6887 x3_rss_mb=214 x3_swap_mb=0
1790232710.667173525 mem_available_mb=3698 swap_used_mb=6911 x3_rss_mb=214 x3_swap_mb=0
1790232711.198927431 mem_available_mb=3690 swap_used_mb=6983 x3_rss_mb=214 x3_swap_mb=0
1790232711.738163681 mem_available_mb=3677 swap_used_mb=6996 x3_rss_mb=214 x3_swap_mb=0
1790232712.276729410 mem_available_mb=3685 swap_used_mb=6996 x3_rss_mb=214 x3_swap_mb=0
1790232712.811654878 mem_available_mb=3684 swap_used_mb=6986 x3_rss_mb=214 x3_swap_mb=0
1790232713.345219149 mem_available_mb=3674 swap_used_mb=6986 x3_rss_mb=214 x3_swap_mb=0
1790232713.874144461 mem_available_mb=3676 swap_used_mb=6986 x3_rss_mb=214 x3_swap_mb=0
1790232714.420173367 mem_available_mb=3674 swap_used_mb=6986 x3_rss_mb=214 x3_swap_mb=0
1790232714.950132950 mem_available_mb=3674 swap_used_mb=6986 x3_rss_mb=214 x3_swap_mb=0
1790232715.484998575 mem_available_mb=3674 swap_used_mb=6986 x3_rss_mb=214 x3_swap_mb=0
1790232716.023204148 mem_available_mb=3666 swap_used_mb=6985 x3_rss_mb=214 x3_swap_mb=0
1790232716.562953158 mem_available_mb=3658 swap_used_mb=6980 x3_rss_mb=214 x3_swap_mb=0
1790232717.109775658 mem_available_mb=3686 swap_used_mb=6980 x3_rss_mb=214 x3_swap_mb=0
1790232717.642666960 mem_available_mb=3687 swap_used_mb=6980 x3_rss_mb=214 x3_swap_mb=0
1790232718.186837741 mem_available_mb=3709 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232718.720188314 mem_available_mb=3697 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232719.249712376 mem_available_mb=3692 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232719.792251699 mem_available_mb=3683 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232720.325454355 mem_available_mb=3675 swap_used_mb=6981 x3_rss_mb=214 x3_swap_mb=0
1790232720.869050865 mem_available_mb=3671 swap_used_mb=6981 x3_rss_mb=214 x3_swap_mb=0
1790232721.407328573 mem_available_mb=3669 swap_used_mb=6981 x3_rss_mb=214 x3_swap_mb=0
1790232721.953041125 mem_available_mb=3663 swap_used_mb=6981 x3_rss_mb=214 x3_swap_mb=0
1790232722.500399302 mem_available_mb=3660 swap_used_mb=6981 x3_rss_mb=214 x3_swap_mb=0
1790232723.042323676 mem_available_mb=3644 swap_used_mb=6982 x3_rss_mb=214 x3_swap_mb=0
1790232723.592893468 mem_available_mb=3640 swap_used_mb=6982 x3_rss_mb=214 x3_swap_mb=0
1790232724.145907426 mem_available_mb=3639 swap_used_mb=6982 x3_rss_mb=214 x3_swap_mb=0
1790232724.691067530 mem_available_mb=3649 swap_used_mb=6984 x3_rss_mb=214 x3_swap_mb=0
1790232725.236217790 mem_available_mb=3647 swap_used_mb=6984 x3_rss_mb=214 x3_swap_mb=0
1790232725.779908103 mem_available_mb=3640 swap_used_mb=6985 x3_rss_mb=214 x3_swap_mb=0
1790232726.320965446 mem_available_mb=3692 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232726.853667373 mem_available_mb=3691 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232727.396896435 mem_available_mb=3691 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232727.928832008 mem_available_mb=3686 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232728.472543049 mem_available_mb=3660 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232729.011899351 mem_available_mb=3675 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232729.556013518 mem_available_mb=3676 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232730.097434351 mem_available_mb=3678 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232730.635106955 mem_available_mb=3678 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232731.174786538 mem_available_mb=3684 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232731.716978048 mem_available_mb=3684 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232732.254349506 mem_available_mb=3687 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232732.792237527 mem_available_mb=3684 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232733.329888308 mem_available_mb=3682 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232733.864657422 mem_available_mb=3692 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232734.408567318 mem_available_mb=3691 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232734.943073932 mem_available_mb=3698 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232735.497272786 mem_available_mb=3715 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232736.048750703 mem_available_mb=3715 swap_used_mb=6979 x3_rss_mb=214 x3_swap_mb=0
1790232736.589072265 mem_available_mb=3811 swap_used_mb=7018 x3_rss_mb=214 x3_swap_mb=0
1790232737.124230702 mem_available_mb=3809 swap_used_mb=7019 x3_rss_mb=214 x3_swap_mb=0
1790232737.654031483 mem_available_mb=3807 swap_used_mb=7019 x3_rss_mb=214 x3_swap_mb=0
1790232738.192628254 mem_available_mb=3803 swap_used_mb=7019 x3_rss_mb=214 x3_swap_mb=0
1790232738.738078983 mem_available_mb=3796 swap_used_mb=7019 x3_rss_mb=214 x3_swap_mb=0
1790232739.283004139 mem_available_mb=3794 swap_used_mb=7017 x3_rss_mb=214 x3_swap_mb=0
