# sid=28230 tracer_pid=28228 tracer_arg0=/data/data/com.termux/files/usr/bin/proot x3=27182 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790246470451,3,3,5,107
1790246470651,7,3,11,107
1790246470851,23,3,14,107
1790246471051,39,3,19,107
1790246471251,47,3,30,107
1790246471452,61,5,42,107
1790246471652,68,5,53,108
1790246471852,75,5,65,108
1790246472052,82,5,78,108
1790246472252,89,5,90,108
1790246472452,98,5,102,108
1790246472652,111,5,110,108
1790246472853,118,5,123,108
1790246473053,124,5,136,108
1790246473253,130,5,148,108
1790246473453,141,5,158,108
1790246473653,150,5,164,109
1790246473853,159,5,169,110
1790246474054,170,5,175,110
1790246474254,186,5,190,110
1790246474454,232,16,206,110
1790246474654,253,15,218,111
1790246474854,270,14,228,112
1790246475056,302,14,240,113
1790246475256,306,14,253,114
1790246475457,421,16,268,114
1790246475657,457,16,279,114
1790246475857,491,16,291,114
1790246476057,525,16,304,114
1790246476257,559,16,317,114
1790246476457,591,16,332,114
1790246476657,623,16,345,114
1790246476858,682,16,358,114
1790246477058,723,16,369,114
1790246477258,755,16,382,115
1790246477458,810,18,398,116
1790246477658,856,18,410,116
1790246477858,907,18,424,116
1790246478059,961,18,440,117
1790246478259,1007,18,454,118
1790246478459,1075,19,470,120
1790246478659,1113,19,488,121
1790246478859,1145,19,504,122
1790246479059,1183,19,519,123
1790246479259,1214,19,536,123
1790246479459,1274,20,556,123
1790246479660,1299,20,571,123
1790246479860,1322,20,585,124
1790246480061,1348,20,601,124
1790246480261,1383,20,618,125
1790246480461,1430,20,635,125
1790246480661,1470,20,649,125
1790246480861,1495,20,663,125
1790246481061,1521,20,678,126
1790246481262,1538,20,695,126
1790246481462,1706,23,715,126
1790246481662,1760,23,731,126
1790246481862,1803,23,750,126
1790246482062,1841,23,769,126
1790246482262,1880,23,786,127
1790246482462,1910,23,803,127
1790246482663,1930,23,822,127
1790246482863,1955,23,840,128
1790246483063,1985,23,859,128
1790246483263,2026,23,873,129
1790246483464,2079,23,892,129
1790246483664,2113,23,906,129
1790246483864,2146,23,922,130
1790246484064,2193,23,933,130
1790246484264,2220,23,941,131
1790246484464,2278,24,956,132
1790246484665,2327,24,968,133
1790246484865,2396,24,982,134
