TRACER 1716
RTT 1790341460.011 0.061
RTT 1790341460.261 0.188
RTT 1790341460.512 0.201
RTT 1790341460.762 0.147
RTT 1790341461.012 0.158
RTT 1790341461.262 0.146
RTT 1790341461.513 0.384
RTT 1790341461.762 0.186
RTT 1790341462.013 0.192
RTT 1790341462.263 0.156
RTT 1790341462.513 0.172
RTT 1790341462.763 0.181
RTT 1790341463.014 0.158
RTT 1790341463.264 0.156
RTT 1790341463.514 0.186
RTT 1790341463.765 0.204
RTT 1790341464.015 0.162
RTT 1790341464.265 0.191
RTT 1790341464.516 0.234
RTT 1790341464.766 0.094
RTT 1790341465.016 0.136
RTT 1790341465.266 0.172
RTT 1790341465.516 0.293
RTT 1790341465.767 0.357
RTT 1790341466.016 0.159
RTT 1790341466.267 0.149
RTT 1790341466.517 0.198
RTT 1790341466.767 0.392
RTT 1790341467.017 0.264
RTT 1790341467.267 0.156
RTT 1790341467.518 0.208
RTT 1790341467.768 0.257
RTT 1790341468.018 0.150
RTT 1790341468.268 0.163
RTT 1790341468.519 0.355
RTT 1790341468.769 0.192
RTT 1790341469.019 0.187
RTT 1790341469.269 0.203
RTT 1790341469.519 0.337
RTT 1790341469.769 0.176
RTT 1790341470.020 0.178
RTT 1790341470.270 0.192
RTT 1790341470.520 0.128
RTT 1790341470.770 0.150
RTT 1790341471.020 0.100
RTT 1790341471.270 0.105
RTT 1790341471.520 0.097
RTT 1790341471.770 0.098
RTT 1790341472.021 0.081
RTT 1790341472.271 0.077
RTT 1790341472.521 0.076
RTT 1790341472.771 0.114
RTT 1790341473.021 0.112
RTT 1790341473.271 0.070
RTT 1790341473.521 0.074
RTT 1790341473.771 0.106
RTT 1790341474.021 0.088
RTT 1790341474.272 0.069
RTT 1790341474.522 0.558
RTT 1790341474.772 0.083
RTT 1790341475.023 0.810
RTT 1790341475.272 0.080
RTT 1790341475.522 0.081
RTT 1790341475.772 0.073
RTT 1790341476.022 0.205
RTT 1790341476.272 0.079
RTT 1790341476.523 0.121
RTT 1790341476.773 0.068
RTT 1790341477.023 0.097
RTT 1790341477.273 0.088
RTT 1790341477.523 0.093
RTT 1790341477.773 0.065
RTT 1790341478.023 0.066
RTT 1790341478.273 0.077
RTT 1790341478.524 0.101
RTT 1790341478.774 0.222
RTT 1790341479.024 0.091
RTT 1790341479.274 0.097
RTT 1790341479.524 0.162
RTT 1790341479.774 0.080
RTT 1790341480.024 0.081
RTT 1790341480.274 0.067
RTT 1790341480.525 0.125
RTT 1790341480.775 0.091
RTT 1790341481.025 0.086
RTT 1790341481.275 0.073
RTT 1790341481.525 0.100
RTT 1790341481.775 0.128
RTT 1790341482.025 0.074
RTT 1790341482.275 0.075
RTT 1790341482.526 0.774
RTT 1790341482.775 0.083
RTT 1790341483.026 0.115
RTT 1790341483.276 0.368
RTT 1790341483.526 0.152
RTT 1790341483.776 0.080
RTT 1790341484.026 0.100
RTT 1790341484.276 0.144
RTT 1790341484.526 0.076
RTT 1790341484.777 0.057
RTT 1790341485.027 0.081
RTT 1790341485.277 0.067
RTT 1790341485.527 0.068
RTT 1790341485.777 0.068
RTT 1790341486.027 0.072
RTT 1790341486.277 0.161
RTT 1790341486.527 0.145
RTT 1790341486.777 0.101
RTT 1790341487.028 0.152
RTT 1790341487.278 0.176
RTT 1790341487.529 0.096
RTT 1790341487.779 0.068
RTT 1790341488.029 0.084
RTT 1790341488.279 0.067
RTT 1790341488.529 0.090
RTT 1790341488.780 0.078
RTT 1790341489.030 0.104
RTT 1790341489.280 0.155
RTT 1790341489.530 0.131
RTT 1790341489.780 0.073
RTT 1790341490.030 0.189
RTT 1790341490.280 0.108
RTT 1790341490.532 0.205
RTT 1790341490.782 0.075
RTT 1790341491.033 0.099
RTT 1790341491.289 0.348
RTT 1790341491.541 0.168
RTT 1790341491.798 0.112
RTT 1790341492.049 0.609
RTT 1790341492.299 0.358
RTT 1790341492.549 0.078
RTT 1790341492.799 0.060
RTT 1790341493.049 0.063
RTT 1790341493.299 0.123
RTT 1790341493.549 0.098
RTT 1790341493.799 0.102
RTT 1790341494.050 0.081
RTT 1790341494.300 0.114
RTT 1790341494.550 0.134
RTT 1790341494.800 0.073
RTT 1790341495.050 0.075
RTT 1790341495.304 2.867
RTT 1790341495.551 0.083
RTT 1790341495.801 0.065
RTT 1790341496.052 0.076
RTT 1790341496.302 0.077
RTT 1790341496.552 0.057
RTT 1790341496.802 0.104
RTT 1790341497.052 0.296
RTT 1790341497.302 0.109
RTT 1790341497.552 0.142
RTT 1790341497.803 0.105
RTT 1790341498.053 0.313
RTT 1790341498.303 0.390
RTT 1790341498.553 0.309
RTT 1790341498.803 0.081
RTT 1790341499.053 0.074
RTT 1790341499.303 0.089
RTT 1790341499.553 0.066
RTT 1790341499.803 0.076
RTT 1790341500.054 0.327
RTT 1790341500.304 0.094
RTT 1790341500.554 0.103
RTT 1790341500.805 0.085
RTT 1790341501.055 0.102
RTT 1790341501.306 0.085
RTT 1790341501.556 0.135
RTT 1790341501.806 0.154
RTT 1790341502.056 0.292
RTT 1790341502.309 0.156
RTT 1790341502.559 0.155
RTT 1790341502.809 0.137
RTT 1790341503.059 0.115
RTT 1790341503.309 0.127
RTT 1790341503.559 0.128
RTT 1790341503.809 0.070
RTT 1790341504.061 0.079
RTT 1790341504.311 0.088
RTT 1790341504.561 0.106
RTT 1790341504.811 0.092
RTT 1790341505.061 0.086
RTT 1790341505.311 0.098
RTT 1790341505.561 0.082
RTT 1790341505.811 0.068
RTT 1790341506.061 0.141
RTT 1790341506.311 0.086
RTT 1790341506.562 0.072
RTT 1790341506.812 0.105
RTT 1790341507.062 0.175
RTT 1790341507.312 0.168
RTT 1790341507.563 0.096
RTT 1790341507.813 0.078
RTT 1790341508.063 0.129
RTT 1790341508.313 0.082
RTT 1790341508.563 0.077
RTT 1790341508.813 0.088
RTT 1790341509.063 0.087
RTT 1790341509.313 0.085
RTT 1790341509.563 0.079
RTT 1790341509.814 0.093
RTT 1790341510.064 0.081
RTT 1790341510.314 0.065
