TRACER 0
RTT 1790341459.903 0.068
RTT 1790341460.154 0.190
RTT 1790341460.404 0.257
RTT 1790341460.654 0.195
RTT 1790341460.904 0.157
RTT 1790341461.154 0.205
RTT 1790341461.405 0.158
RTT 1790341461.655 0.594
RTT 1790341461.905 0.454
RTT 1790341462.155 0.179
RTT 1790341462.406 0.441
RTT 1790341462.656 0.220
RTT 1790341462.906 0.207
RTT 1790341463.156 0.197
RTT 1790341463.407 0.452
RTT 1790341463.657 0.258
RTT 1790341463.907 0.346
RTT 1790341464.158 0.181
RTT 1790341464.408 0.473
RTT 1790341464.658 0.207
RTT 1790341464.908 0.339
RTT 1790341465.158 0.178
RTT 1790341465.409 0.392
RTT 1790341465.659 0.262
RTT 1790341465.910 0.475
RTT 1790341466.160 0.312
RTT 1790341466.409 0.116
RTT 1790341466.660 0.293
RTT 1790341466.911 0.228
RTT 1790341467.161 0.211
RTT 1790341467.411 0.187
RTT 1790341467.661 0.180
RTT 1790341467.912 0.183
RTT 1790341468.162 0.212
RTT 1790341468.412 0.203
RTT 1790341468.662 0.320
RTT 1790341468.912 0.177
RTT 1790341469.162 0.313
RTT 1790341469.412 0.179
RTT 1790341469.664 0.453
RTT 1790341469.914 0.170
RTT 1790341470.165 0.284
RTT 1790341470.415 0.078
RTT 1790341470.665 0.103
RTT 1790341470.915 0.077
RTT 1790341471.165 0.106
RTT 1790341471.415 0.176
RTT 1790341471.665 0.091
RTT 1790341471.915 0.144
RTT 1790341472.165 0.087
RTT 1790341472.416 0.092
RTT 1790341472.666 0.108
RTT 1790341472.917 0.077
RTT 1790341473.167 0.071
RTT 1790341473.417 0.092
RTT 1790341473.667 0.088
RTT 1790341473.917 0.097
RTT 1790341474.167 0.102
RTT 1790341474.417 0.089
RTT 1790341474.667 0.110
RTT 1790341474.918 0.082
RTT 1790341475.168 0.065
RTT 1790341475.418 0.062
RTT 1790341475.668 0.083
RTT 1790341475.918 0.075
RTT 1790341476.168 0.094
RTT 1790341476.418 0.097
RTT 1790341476.669 0.120
RTT 1790341476.919 0.094
RTT 1790341477.170 0.600
RTT 1790341477.422 1.399
RTT 1790341477.671 0.071
RTT 1790341477.921 0.092
RTT 1790341478.171 0.076
RTT 1790341478.421 0.092
RTT 1790341478.671 0.082
RTT 1790341478.921 0.095
RTT 1790341479.171 0.082
RTT 1790341479.422 0.090
RTT 1790341479.672 0.288
RTT 1790341479.922 0.078
RTT 1790341480.172 0.109
RTT 1790341480.422 0.085
RTT 1790341480.672 0.074
RTT 1790341480.923 0.122
RTT 1790341481.173 0.079
RTT 1790341481.425 0.080
RTT 1790341481.676 0.380
RTT 1790341481.925 0.069
RTT 1790341482.175 0.079
RTT 1790341482.427 1.626
RTT 1790341482.676 0.169
RTT 1790341482.926 0.117
RTT 1790341483.177 0.120
RTT 1790341483.427 0.064
RTT 1790341483.677 0.091
RTT 1790341483.927 0.067
RTT 1790341484.177 0.121
RTT 1790341484.427 0.116
RTT 1790341484.678 0.079
RTT 1790341484.928 0.086
RTT 1790341485.178 0.229
RTT 1790341485.428 0.152
RTT 1790341485.678 0.088
RTT 1790341485.930 0.097
RTT 1790341486.180 0.126
RTT 1790341486.430 0.116
RTT 1790341486.680 0.140
RTT 1790341486.931 0.190
RTT 1790341487.181 0.105
RTT 1790341487.431 0.157
RTT 1790341487.681 0.154
RTT 1790341487.931 0.252
RTT 1790341488.181 0.067
RTT 1790341488.431 0.093
RTT 1790341488.681 0.150
RTT 1790341488.931 0.089
RTT 1790341489.181 0.090
RTT 1790341489.432 0.091
RTT 1790341489.682 0.074
RTT 1790341489.932 0.170
RTT 1790341490.182 0.076
RTT 1790341490.432 0.083
RTT 1790341490.682 0.078
RTT 1790341490.932 0.121
RTT 1790341491.183 0.265
RTT 1790341491.432 0.063
RTT 1790341491.683 0.098
RTT 1790341491.933 0.127
RTT 1790341492.183 0.135
RTT 1790341492.433 0.352
RTT 1790341492.683 0.109
RTT 1790341492.933 0.102
RTT 1790341493.184 0.215
RTT 1790341493.434 0.127
RTT 1790341493.684 0.176
RTT 1790341493.934 0.116
RTT 1790341494.184 0.086
RTT 1790341494.434 0.100
RTT 1790341494.684 0.108
RTT 1790341494.934 0.105
RTT 1790341495.184 0.123
RTT 1790341495.434 0.067
RTT 1790341495.685 0.912
RTT 1790341495.935 0.074
RTT 1790341496.186 0.105
RTT 1790341496.436 0.052
RTT 1790341496.686 0.094
RTT 1790341496.936 0.092
RTT 1790341497.186 0.123
RTT 1790341497.436 0.111
RTT 1790341497.686 0.092
RTT 1790341497.936 0.106
RTT 1790341498.186 0.072
RTT 1790341498.439 2.588
RTT 1790341498.687 0.085
RTT 1790341498.937 0.103
RTT 1790341499.187 0.077
RTT 1790341499.437 0.357
RTT 1790341499.687 0.081
RTT 1790341499.937 0.134
RTT 1790341500.187 0.078
RTT 1790341500.437 0.081
RTT 1790341500.687 0.153
RTT 1790341500.937 0.082
RTT 1790341501.188 0.175
RTT 1790341501.438 0.121
RTT 1790341501.689 0.924
RTT 1790341501.938 0.098
RTT 1790341502.189 0.390
RTT 1790341502.438 0.119
RTT 1790341502.689 0.103
RTT 1790341502.939 0.101
RTT 1790341503.189 0.106
RTT 1790341503.439 0.084
RTT 1790341503.689 0.164
RTT 1790341503.939 0.099
RTT 1790341504.189 0.116
RTT 1790341504.439 0.102
RTT 1790341504.689 0.085
RTT 1790341504.939 0.074
RTT 1790341505.190 0.128
RTT 1790341505.442 0.202
RTT 1790341505.692 0.094
RTT 1790341505.942 0.084
RTT 1790341506.192 0.074
RTT 1790341506.442 0.176
RTT 1790341506.692 0.082
RTT 1790341506.942 0.094
RTT 1790341507.193 0.139
RTT 1790341507.443 0.073
RTT 1790341507.693 0.082
RTT 1790341507.943 0.093
RTT 1790341508.193 0.078
RTT 1790341508.444 0.392
RTT 1790341508.693 0.079
RTT 1790341508.944 0.110
RTT 1790341509.194 0.085
RTT 1790341509.444 0.073
RTT 1790341509.694 0.080
RTT 1790341509.944 0.078
RTT 1790341510.195 0.070
RTT 1790341510.445 0.089
RTT 1790341510.695 0.211
RTT 1790341510.945 0.084
RTT 1790341511.195 0.139
RTT 1790341511.445 0.170
RTT 1790341511.695 0.080
RTT 1790341511.945 0.143
RTT 1790341512.195 0.084
RTT 1790341512.446 0.172
RTT 1790341512.696 0.216
RTT 1790341512.947 0.288
RTT 1790341513.196 0.092
RTT 1790341513.447 0.181
RTT 1790341513.697 0.184
RTT 1790341513.947 0.098
RTT 1790341514.197 0.092
RTT 1790341514.447 0.095
RTT 1790341514.697 0.101
RTT 1790341514.948 0.560
RTT 1790341515.198 0.181
RTT 1790341515.448 0.589
RTT 1790341515.698 0.164
RTT 1790341515.949 0.389
RTT 1790341516.199 0.465
RTT 1790341516.449 0.467
RTT 1790341516.699 0.181
RTT 1790341516.949 0.080
RTT 1790341517.199 0.160
RTT 1790341517.449 0.183
RTT 1790341517.700 0.506
RTT 1790341517.950 0.158
RTT 1790341518.200 0.188
RTT 1790341518.450 0.146
RTT 1790341518.700 0.102
