TRACER 6863
RTT 1790341528.823 0.039
RTT 1790341529.073 0.150
RTT 1790341529.323 0.219
RTT 1790341529.573 0.228
RTT 1790341529.823 0.211
RTT 1790341530.073 0.098
RTT 1790341530.324 0.104
RTT 1790341530.574 0.206
RTT 1790341530.824 0.108
RTT 1790341531.074 0.422
RTT 1790341531.324 0.124
RTT 1790341531.575 0.162
RTT 1790341531.825 0.185
RTT 1790341532.075 0.189
RTT 1790341532.325 0.225
RTT 1790341532.575 0.175
RTT 1790341532.826 0.205
RTT 1790341533.076 0.224
RTT 1790341533.326 0.170
RTT 1790341533.576 0.166
RTT 1790341533.826 0.159
RTT 1790341534.077 0.186
RTT 1790341534.327 0.147
RTT 1790341534.577 0.578
RTT 1790341534.827 0.152
RTT 1790341535.077 0.235
RTT 1790341535.327 0.139
RTT 1790341535.578 0.182
RTT 1790341535.828 0.325
RTT 1790341536.078 0.157
RTT 1790341536.328 0.090
RTT 1790341536.579 0.270
RTT 1790341536.829 0.174
RTT 1790341537.079 0.163
RTT 1790341537.329 0.104
RTT 1790341537.579 0.155
RTT 1790341537.829 0.169
RTT 1790341538.079 0.133
RTT 1790341538.329 0.104
RTT 1790341538.580 0.222
RTT 1790341538.830 0.158
RTT 1790341539.080 0.088
RTT 1790341539.330 0.165
RTT 1790341539.581 0.200
RTT 1790341539.831 0.136
RTT 1790341540.081 0.131
RTT 1790341540.331 0.128
RTT 1790341540.581 0.088
RTT 1790341540.832 0.281
RTT 1790341541.082 0.086
RTT 1790341541.332 0.088
RTT 1790341541.582 0.080
RTT 1790341541.832 0.081
RTT 1790341542.083 0.076
RTT 1790341542.333 0.097
RTT 1790341542.583 0.080
RTT 1790341542.833 0.039
RTT 1790341543.083 0.088
RTT 1790341543.333 0.077
RTT 1790341543.583 0.079
RTT 1790341543.834 0.110
RTT 1790341544.084 0.075
RTT 1790341544.334 0.105
RTT 1790341544.584 0.073
RTT 1790341544.835 0.077
RTT 1790341545.085 0.065
RTT 1790341545.335 0.228
RTT 1790341545.585 0.093
RTT 1790341545.835 0.060
RTT 1790341546.086 0.212
RTT 1790341546.336 0.093
RTT 1790341546.586 0.071
RTT 1790341546.836 0.055
RTT 1790341547.086 0.085
RTT 1790341547.336 0.076
RTT 1790341547.587 0.090
RTT 1790341547.837 0.060
RTT 1790341548.087 0.075
RTT 1790341548.337 0.055
RTT 1790341548.587 0.088
RTT 1790341548.838 0.435
RTT 1790341549.088 0.048
RTT 1790341549.338 0.083
RTT 1790341549.589 0.825
RTT 1790341549.838 0.079
RTT 1790341550.088 0.105
RTT 1790341550.339 0.094
RTT 1790341550.589 0.128
RTT 1790341550.839 0.072
RTT 1790341551.089 0.048
RTT 1790341551.339 0.093
RTT 1790341551.589 0.066
RTT 1790341551.840 0.216
RTT 1790341552.090 0.230
RTT 1790341552.340 0.087
RTT 1790341552.590 0.074
RTT 1790341552.841 0.109
RTT 1790341553.091 0.079
RTT 1790341553.341 0.088
RTT 1790341553.591 0.082
RTT 1790341553.841 0.283
RTT 1790341554.091 0.054
RTT 1790341554.341 0.091
RTT 1790341554.591 0.100
RTT 1790341554.841 0.069
RTT 1790341555.092 0.090
RTT 1790341555.342 0.436
RTT 1790341555.592 0.102
RTT 1790341555.842 0.073
RTT 1790341556.092 0.078
RTT 1790341556.342 0.341
RTT 1790341556.592 0.058
RTT 1790341556.842 0.088
RTT 1790341557.093 0.087
RTT 1790341557.343 0.081
RTT 1790341557.593 0.074
RTT 1790341557.843 0.082
RTT 1790341558.093 0.114
RTT 1790341558.343 0.087
RTT 1790341558.594 0.112
RTT 1790341558.849 0.086
RTT 1790341559.099 0.092
RTT 1790341559.350 0.177
RTT 1790341559.600 0.116
RTT 1790341559.850 0.089
RTT 1790341560.100 0.220
RTT 1790341560.352 0.078
RTT 1790341560.602 0.062
RTT 1790341560.852 0.074
RTT 1790341561.102 0.050
RTT 1790341561.352 0.064
RTT 1790341561.602 0.069
RTT 1790341561.853 0.099
RTT 1790341562.103 0.072
RTT 1790341562.353 0.391
RTT 1790341562.603 0.077
RTT 1790341562.853 0.077
RTT 1790341563.103 0.074
RTT 1790341563.353 0.102
RTT 1790341563.603 0.073
RTT 1790341563.853 0.083
RTT 1790341564.104 0.083
RTT 1790341564.354 0.061
RTT 1790341564.604 0.105
RTT 1790341564.854 0.098
RTT 1790341565.104 0.077
RTT 1790341565.354 0.079
RTT 1790341565.604 0.074
RTT 1790341565.854 0.071
RTT 1790341566.105 0.076
RTT 1790341566.355 0.078
RTT 1790341566.605 0.080
RTT 1790341566.855 0.080
RTT 1790341567.105 0.071
RTT 1790341567.355 0.066
RTT 1790341567.605 0.080
RTT 1790341567.855 0.079
RTT 1790341568.105 0.081
RTT 1790341568.355 0.079
RTT 1790341568.605 0.074
RTT 1790341568.856 0.079
RTT 1790341569.106 0.080
RTT 1790341569.356 0.085
RTT 1790341569.606 0.080
RTT 1790341569.856 0.090
RTT 1790341570.106 0.079
RTT 1790341570.357 1.101
