TRACER 0
RTT 1790341528.714 0.056
RTT 1790341528.964 0.105
RTT 1790341529.214 0.208
RTT 1790341529.464 0.091
RTT 1790341529.715 0.193
RTT 1790341529.965 0.185
RTT 1790341530.215 0.308
RTT 1790341530.466 0.203
RTT 1790341530.716 0.114
RTT 1790341530.966 0.201
RTT 1790341531.216 0.229
RTT 1790341531.467 0.168
RTT 1790341531.717 0.183
RTT 1790341531.967 0.242
RTT 1790341532.217 0.196
RTT 1790341532.467 0.182
RTT 1790341532.717 0.188
RTT 1790341532.968 0.367
RTT 1790341533.218 0.366
RTT 1790341533.468 0.347
RTT 1790341533.718 0.117
RTT 1790341533.968 0.187
RTT 1790341534.219 0.408
RTT 1790341534.469 0.387
RTT 1790341534.719 0.283
RTT 1790341534.969 0.252
RTT 1790341535.219 0.169
RTT 1790341535.469 0.296
RTT 1790341535.720 0.300
RTT 1790341535.970 0.320
RTT 1790341536.220 0.238
RTT 1790341536.470 0.190
RTT 1790341536.720 0.202
RTT 1790341536.971 0.148
RTT 1790341537.221 0.193
RTT 1790341537.472 0.716
RTT 1790341537.721 0.160
RTT 1790341537.971 0.160
RTT 1790341538.222 0.272
RTT 1790341538.472 0.166
RTT 1790341538.722 0.229
RTT 1790341538.972 0.297
RTT 1790341539.222 0.084
RTT 1790341539.472 0.109
RTT 1790341539.722 0.082
RTT 1790341539.972 0.255
RTT 1790341540.222 0.126
RTT 1790341540.472 0.084
RTT 1790341540.723 0.102
RTT 1790341540.973 0.090
RTT 1790341541.223 0.087
RTT 1790341541.473 0.095
RTT 1790341541.723 0.105
RTT 1790341541.973 0.102
RTT 1790341542.223 0.078
RTT 1790341542.473 0.092
RTT 1790341542.723 0.077
RTT 1790341542.973 0.071
RTT 1790341543.223 0.093
RTT 1790341543.474 0.086
RTT 1790341543.724 0.096
RTT 1790341543.974 0.132
RTT 1790341544.224 0.099
RTT 1790341544.475 0.643
RTT 1790341544.725 0.087
RTT 1790341544.975 0.080
RTT 1790341545.225 0.118
RTT 1790341545.475 0.077
RTT 1790341545.725 0.149
RTT 1790341545.975 0.135
RTT 1790341546.225 0.095
RTT 1790341546.475 0.075
RTT 1790341546.725 0.096
RTT 1790341546.976 0.096
RTT 1790341547.226 0.096
RTT 1790341547.476 0.099
RTT 1790341547.726 0.068
RTT 1790341547.976 0.131
RTT 1790341548.226 0.075
RTT 1790341548.476 0.089
RTT 1790341548.727 0.169
RTT 1790341548.977 0.100
RTT 1790341549.227 0.081
RTT 1790341549.477 0.126
RTT 1790341549.727 0.109
RTT 1790341549.977 0.154
RTT 1790341550.228 0.277
RTT 1790341550.477 0.078
RTT 1790341550.728 0.207
RTT 1790341550.978 0.093
RTT 1790341551.228 0.095
RTT 1790341551.479 0.073
RTT 1790341551.729 0.065
RTT 1790341551.979 0.093
RTT 1790341552.230 0.088
RTT 1790341552.480 0.078
RTT 1790341552.732 2.151
RTT 1790341552.980 0.074
RTT 1790341553.230 0.081
RTT 1790341553.480 0.081
RTT 1790341553.731 0.114
RTT 1790341553.981 0.095
RTT 1790341554.231 0.119
RTT 1790341554.481 0.079
RTT 1790341554.731 0.171
RTT 1790341554.981 0.073
RTT 1790341555.231 0.287
RTT 1790341555.481 0.117
RTT 1790341555.732 0.081
RTT 1790341555.982 0.093
RTT 1790341556.232 0.102
RTT 1790341556.482 0.506
RTT 1790341556.732 0.101
RTT 1790341556.982 0.090
RTT 1790341557.232 0.075
RTT 1790341557.482 0.092
RTT 1790341557.732 0.159
RTT 1790341557.983 0.105
RTT 1790341558.233 0.097
RTT 1790341558.483 0.057
RTT 1790341558.734 0.189
RTT 1790341558.984 0.081
RTT 1790341559.234 0.104
RTT 1790341559.487 0.116
RTT 1790341559.737 0.097
RTT 1790341559.987 0.062
RTT 1790341560.237 0.096
RTT 1790341560.487 0.246
RTT 1790341560.738 0.272
RTT 1790341560.988 0.097
RTT 1790341561.238 0.089
RTT 1790341561.488 0.330
RTT 1790341561.738 0.071
RTT 1790341561.989 1.040
RTT 1790341562.239 0.079
RTT 1790341562.489 0.078
RTT 1790341562.739 0.074
RTT 1790341562.989 0.067
RTT 1790341563.239 0.077
RTT 1790341563.489 0.112
RTT 1790341563.739 0.069
RTT 1790341563.989 0.067
RTT 1790341564.239 0.125
RTT 1790341564.489 0.095
RTT 1790341564.740 0.096
RTT 1790341564.990 0.139
RTT 1790341565.240 0.068
RTT 1790341565.490 0.085
RTT 1790341565.740 0.084
RTT 1790341565.991 0.340
RTT 1790341566.241 0.082
RTT 1790341566.491 0.086
RTT 1790341566.741 0.098
RTT 1790341566.991 0.089
RTT 1790341567.241 0.071
RTT 1790341567.491 0.084
RTT 1790341567.741 0.087
RTT 1790341567.991 0.084
RTT 1790341568.242 0.091
