TRACER 29525
RTT 1790356087.917 0.046
RTT 1790356088.168 0.454
RTT 1790356088.419 0.442
RTT 1790356088.668 0.099
RTT 1790356088.919 0.123
RTT 1790356089.169 0.121
RTT 1790356089.419 0.130
RTT 1790356089.669 0.177
RTT 1790356089.919 0.264
RTT 1790356090.169 0.139
RTT 1790356090.420 0.151
RTT 1790356090.670 0.145
RTT 1790356090.920 0.147
RTT 1790356091.170 0.416
RTT 1790356091.420 0.180
RTT 1790356091.670 0.107
RTT 1790356091.921 0.158
RTT 1790356092.171 0.209
RTT 1790356092.421 0.303
RTT 1790356092.672 0.341
RTT 1790356092.922 0.328
RTT 1790356093.172 0.131
RTT 1790356093.422 0.076
RTT 1790356093.672 0.285
RTT 1790356093.922 0.164
RTT 1790356094.173 0.154
RTT 1790356094.424 0.136
RTT 1790356094.674 0.149
RTT 1790356094.924 0.219
RTT 1790356095.174 0.170
RTT 1790356095.425 0.307
RTT 1790356095.676 0.600
RTT 1790356095.926 0.337
RTT 1790356096.176 0.078
RTT 1790356096.427 0.775
RTT 1790356096.676 0.165
RTT 1790356096.927 0.390
RTT 1790356097.178 0.081
RTT 1790356097.428 0.099
RTT 1790356097.678 0.622
RTT 1790356097.929 1.255
RTT 1790356098.179 0.121
RTT 1790356098.430 0.199
RTT 1790356098.680 0.251
RTT 1790356098.930 0.249
RTT 1790356099.180 0.122
RTT 1790356099.431 0.139
RTT 1790356099.681 0.134
RTT 1790356099.931 0.312
RTT 1790356100.182 0.210
RTT 1790356100.432 0.575
RTT 1790356100.682 0.126
RTT 1790356100.933 0.337
RTT 1790356101.183 0.335
RTT 1790356101.433 0.102
RTT 1790356101.683 0.211
RTT 1790356101.934 0.197
RTT 1790356102.184 0.141
RTT 1790356102.434 0.138
RTT 1790356102.684 0.282
RTT 1790356102.934 0.217
RTT 1790356103.184 0.142
RTT 1790356103.435 0.106
RTT 1790356103.685 0.194
RTT 1790356103.936 0.210
RTT 1790356104.187 1.541
RTT 1790356104.436 0.133
RTT 1790356104.686 0.294
RTT 1790356104.936 0.212
RTT 1790356105.187 0.182
RTT 1790356105.437 0.141
RTT 1790356105.687 0.179
RTT 1790356105.938 0.240
RTT 1790356106.188 0.189
RTT 1790356106.438 0.113
RTT 1790356106.688 0.202
RTT 1790356106.938 0.197
RTT 1790356107.188 0.175
RTT 1790356107.438 0.166
RTT 1790356107.689 0.176
RTT 1790356107.944 5.711
RTT 1790356108.189 0.141
RTT 1790356108.439 0.335
RTT 1790356108.690 0.147
RTT 1790356108.941 0.386
RTT 1790356109.191 0.124
RTT 1790356109.442 0.142
RTT 1790356109.692 0.174
RTT 1790356109.942 0.121
RTT 1790356110.192 0.114
RTT 1790356110.443 0.223
RTT 1790356110.693 0.325
RTT 1790356110.943 0.131
RTT 1790356111.193 0.090
RTT 1790356111.443 0.091
RTT 1790356111.694 0.411
RTT 1790356111.944 0.070
RTT 1790356112.194 0.121
RTT 1790356112.444 0.072
RTT 1790356112.694 0.151
RTT 1790356112.946 1.277
RTT 1790356113.196 0.433
RTT 1790356113.446 0.274
RTT 1790356113.696 0.271
RTT 1790356113.946 0.164
RTT 1790356114.196 0.124
RTT 1790356114.447 0.294
RTT 1790356114.697 0.132
RTT 1790356114.947 0.093
RTT 1790356115.198 0.308
RTT 1790356115.448 0.174
RTT 1790356115.698 0.155
RTT 1790356115.949 0.141
RTT 1790356116.199 0.241
RTT 1790356116.449 0.514
RTT 1790356116.700 0.080
RTT 1790356116.950 0.179
RTT 1790356117.200 0.144
RTT 1790356117.451 0.282
RTT 1790356117.701 0.138
RTT 1790356117.951 0.064
RTT 1790356118.201 0.219
RTT 1790356118.452 0.341
RTT 1790356118.702 0.215
RTT 1790356118.952 0.214
RTT 1790356119.202 0.147
RTT 1790356119.453 0.356
RTT 1790356119.703 0.578
RTT 1790356119.953 0.371
RTT 1790356120.203 0.126
RTT 1790356120.453 0.299
RTT 1790356120.704 0.303
RTT 1790356120.954 0.155
RTT 1790356121.204 0.152
RTT 1790356121.454 0.148
RTT 1790356121.704 0.283
RTT 1790356121.954 0.105
RTT 1790356122.205 0.241
RTT 1790356122.455 0.085
RTT 1790356122.705 0.212
RTT 1790356122.956 0.374
RTT 1790356123.206 0.169
RTT 1790356123.456 0.228
RTT 1790356123.706 0.069
RTT 1790356123.956 0.274
RTT 1790356124.206 0.270
RTT 1790356124.457 0.290
RTT 1790356124.707 0.084
RTT 1790356124.957 0.106
RTT 1790356125.207 0.214
RTT 1790356125.458 0.345
RTT 1790356125.708 0.128
RTT 1790356125.958 0.146
RTT 1790356126.208 0.133
RTT 1790356126.458 0.183
RTT 1790356126.709 0.198
RTT 1790356126.959 0.123
RTT 1790356127.209 0.318
RTT 1790356127.459 0.237
RTT 1790356127.709 0.135
RTT 1790356127.960 0.801
RTT 1790356128.210 0.172
RTT 1790356128.460 0.280
RTT 1790356128.710 0.085
RTT 1790356128.961 0.327
RTT 1790356129.211 0.132
RTT 1790356129.461 0.166
RTT 1790356129.713 1.194
RTT 1790356129.962 0.196
RTT 1790356130.212 0.202
RTT 1790356130.462 0.110
RTT 1790356130.712 0.171
RTT 1790356130.963 0.156
RTT 1790356131.213 0.240
RTT 1790356131.463 0.343
RTT 1790356131.719 5.366
RTT 1790356131.964 0.228
RTT 1790356132.214 0.122
RTT 1790356132.465 0.122
RTT 1790356132.715 0.124
RTT 1790356132.965 0.235
RTT 1790356133.216 0.385
RTT 1790356133.466 0.144
RTT 1790356133.717 0.195
RTT 1790356133.967 0.483
RTT 1790356134.217 0.087
RTT 1790356134.467 0.193
RTT 1790356134.717 0.188
RTT 1790356134.967 0.155
RTT 1790356135.217 0.070
RTT 1790356135.468 0.181
RTT 1790356135.718 0.125
RTT 1790356135.968 0.282
RTT 1790356136.219 0.282
RTT 1790356136.469 0.101
RTT 1790356136.719 0.277
RTT 1790356136.970 0.689
RTT 1790356137.219 0.160
RTT 1790356137.470 0.178
RTT 1790356137.720 0.203
RTT 1790356137.970 0.280
RTT 1790356138.220 0.281
RTT 1790356138.471 0.157
RTT 1790356138.721 0.343
RTT 1790356138.971 0.134
RTT 1790356139.222 0.272
RTT 1790356139.472 0.367
RTT 1790356139.722 0.166
RTT 1790356139.972 0.155
RTT 1790356140.223 0.196
RTT 1790356140.473 0.241
RTT 1790356140.723 0.361
RTT 1790356140.973 0.105
RTT 1790356141.223 0.287
RTT 1790356141.474 0.128
RTT 1790356141.724 0.157
RTT 1790356141.974 0.179
RTT 1790356142.225 0.204
RTT 1790356142.475 0.073
RTT 1790356142.725 0.135
RTT 1790356142.975 0.208
RTT 1790356143.225 0.171
RTT 1790356143.476 0.365
RTT 1790356143.737 11.344
RTT 1790356143.977 0.247
RTT 1790356144.227 0.152
RTT 1790356144.477 0.125
RTT 1790356144.727 0.340
RTT 1790356144.978 0.169
RTT 1790356145.228 0.281
RTT 1790356145.478 0.157
RTT 1790356145.729 0.122
RTT 1790356145.979 0.074
RTT 1790356146.230 0.311
RTT 1790356146.480 0.096
RTT 1790356146.730 0.201
RTT 1790356146.981 0.333
RTT 1790356147.231 0.505
RTT 1790356147.481 0.075
RTT 1790356147.731 0.136
RTT 1790356147.986 4.688
RTT 1790356148.233 1.693
RTT 1790356148.482 0.057
RTT 1790356148.732 0.259
RTT 1790356148.982 0.049
RTT 1790356149.232 0.069
RTT 1790356149.482 0.069
RTT 1790356149.732 0.072
RTT 1790356149.982 0.083
RTT 1790356150.232 0.066
RTT 1790356150.482 0.053
RTT 1790356150.733 0.054
RTT 1790356150.983 0.089
RTT 1790356151.233 0.059
RTT 1790356151.483 0.061
RTT 1790356151.733 0.050
RTT 1790356151.983 0.083
RTT 1790356152.233 0.143
RTT 1790356152.483 0.070
RTT 1790356152.733 0.079
RTT 1790356152.984 0.094
RTT 1790356153.234 0.177
RTT 1790356153.484 0.054
RTT 1790356153.734 0.052
RTT 1790356153.984 0.100
RTT 1790356154.234 0.068
RTT 1790356154.484 0.095
RTT 1790356154.734 0.063
RTT 1790356154.985 0.402
RTT 1790356155.235 0.092
RTT 1790356155.485 0.080
RTT 1790356155.743 7.955
RTT 1790356155.985 0.062
RTT 1790356156.235 0.048
RTT 1790356156.485 0.102
RTT 1790356156.735 0.071
RTT 1790356156.985 0.067
RTT 1790356157.236 0.114
RTT 1790356157.486 0.147
RTT 1790356157.740 4.418
RTT 1790356157.986 0.092
RTT 1790356158.236 0.127
RTT 1790356158.486 0.163
RTT 1790356158.736 0.078
RTT 1790356158.987 0.440
RTT 1790356159.239 2.163
RTT 1790356159.487 0.129
RTT 1790356159.737 0.051
RTT 1790356159.987 0.054
RTT 1790356160.237 0.062
RTT 1790356160.489 0.062
RTT 1790356160.739 0.065
RTT 1790356160.989 0.137
RTT 1790356161.240 0.142
RTT 1790356161.490 0.146
RTT 1790356161.740 0.084
RTT 1790356161.990 0.117
RTT 1790356162.240 0.067
RTT 1790356162.491 0.069
RTT 1790356162.741 0.083
RTT 1790356162.991 0.077
RTT 1790356163.241 0.107
RTT 1790356163.491 0.149
RTT 1790356163.741 0.061
RTT 1790356163.991 0.128
RTT 1790356164.241 0.065
RTT 1790356164.492 0.078
RTT 1790356164.742 0.082
RTT 1790356164.992 0.063
RTT 1790356165.242 0.067
RTT 1790356165.492 0.064
RTT 1790356165.743 1.398
RTT 1790356165.992 0.122
RTT 1790356166.242 0.081
RTT 1790356166.492 0.119
RTT 1790356166.743 0.132
RTT 1790356166.993 0.065
RTT 1790356167.243 0.131
RTT 1790356167.493 0.199
RTT 1790356167.743 0.083
RTT 1790356167.993 0.172
RTT 1790356168.243 0.066
RTT 1790356168.494 0.096
RTT 1790356168.744 0.076
RTT 1790356168.996 2.472
RTT 1790356169.244 0.101
RTT 1790356169.494 0.081
RTT 1790356169.744 0.090
RTT 1790356169.994 0.076
RTT 1790356170.244 0.104
RTT 1790356170.494 0.076
RTT 1790356170.745 0.087
RTT 1790356170.995 0.147
RTT 1790356171.245 0.066
RTT 1790356171.495 0.071
RTT 1790356171.745 0.284
RTT 1790356171.995 0.141
RTT 1790356172.246 0.082
RTT 1790356172.496 0.077
RTT 1790356172.747 1.414
RTT 1790356172.996 0.128
RTT 1790356173.246 0.220
RTT 1790356173.497 0.107
RTT 1790356173.747 0.137
RTT 1790356173.998 0.280
RTT 1790356174.248 0.337
RTT 1790356174.498 0.083
RTT 1790356174.748 0.310
RTT 1790356174.998 0.137
RTT 1790356175.249 0.388
RTT 1790356175.499 0.066
RTT 1790356175.749 0.747
RTT 1790356175.999 0.057
RTT 1790356176.249 0.268
RTT 1790356176.499 0.211
RTT 1790356176.750 0.340
RTT 1790356177.000 0.121
RTT 1790356177.250 0.298
RTT 1790356177.500 0.102
RTT 1790356177.751 0.325
RTT 1790356178.001 0.168
RTT 1790356178.251 0.379
RTT 1790356178.502 0.347
RTT 1790356178.752 0.297
RTT 1790356179.002 0.142
RTT 1790356179.252 0.203
RTT 1790356179.502 0.327
RTT 1790356179.752 0.153
RTT 1790356180.003 0.283
RTT 1790356180.253 0.082
RTT 1790356180.503 0.117
RTT 1790356180.753 0.097
RTT 1790356181.003 0.183
RTT 1790356181.253 0.087
RTT 1790356181.503 0.086
RTT 1790356181.753 0.108
RTT 1790356182.004 0.116
RTT 1790356182.254 0.074
RTT 1790356182.504 0.137
RTT 1790356182.754 0.098
RTT 1790356183.004 0.076
RTT 1790356183.254 0.190
RTT 1790356183.504 0.085
RTT 1790356183.755 0.293
RTT 1790356184.005 0.075
RTT 1790356184.255 0.054
RTT 1790356184.505 0.246
RTT 1790356184.755 0.129
RTT 1790356185.006 0.235
RTT 1790356185.255 0.077
RTT 1790356185.506 0.079
RTT 1790356185.756 0.070
RTT 1790356186.006 0.084
RTT 1790356186.256 0.117
RTT 1790356186.506 0.139
RTT 1790356186.757 0.159
