TRACER 0
RTT 1790356434.203 0.068
RTT 1790356434.454 0.115
RTT 1790356434.704 0.181
RTT 1790356434.954 0.147
RTT 1790356435.204 0.170
RTT 1790356435.454 0.165
RTT 1790356435.704 0.122
RTT 1790356435.956 0.117
RTT 1790356436.207 0.579
RTT 1790356436.457 0.130
RTT 1790356436.708 0.841
RTT 1790356436.958 0.380
RTT 1790356437.208 0.180
RTT 1790356437.458 0.175
RTT 1790356437.708 0.296
RTT 1790356437.958 0.286
RTT 1790356438.209 0.173
RTT 1790356438.460 0.237
RTT 1790356438.710 0.225
RTT 1790356438.960 0.152
RTT 1790356439.211 0.516
RTT 1790356439.461 0.159
RTT 1790356439.711 0.112
RTT 1790356439.961 0.129
RTT 1790356440.211 0.198
RTT 1790356440.461 0.366
RTT 1790356440.711 0.147
RTT 1790356440.962 0.219
RTT 1790356441.212 0.180
RTT 1790356441.464 2.265
RTT 1790356441.714 1.900
RTT 1790356441.964 2.187
RTT 1790356442.212 0.168
RTT 1790356442.462 0.169
RTT 1790356442.713 0.665
RTT 1790356442.963 0.523
RTT 1790356443.213 0.196
RTT 1790356443.463 0.371
RTT 1790356443.713 0.237
RTT 1790356443.964 0.303
RTT 1790356444.214 0.162
RTT 1790356444.464 0.421
RTT 1790356444.714 0.190
RTT 1790356444.964 0.333
RTT 1790356445.214 0.094
RTT 1790356445.464 0.113
RTT 1790356445.715 0.116
RTT 1790356445.965 0.142
RTT 1790356446.215 0.354
RTT 1790356446.465 0.216
RTT 1790356446.716 0.214
RTT 1790356446.966 0.342
RTT 1790356447.217 0.479
RTT 1790356447.467 0.128
RTT 1790356447.717 0.085
RTT 1790356447.967 0.167
RTT 1790356448.217 0.124
RTT 1790356448.467 0.167
RTT 1790356448.717 0.157
RTT 1790356448.967 0.150
RTT 1790356449.218 0.383
RTT 1790356449.468 0.330
RTT 1790356449.718 0.338
RTT 1790356449.968 0.189
RTT 1790356450.218 0.290
RTT 1790356450.468 0.133
RTT 1790356450.722 3.771
RTT 1790356450.969 0.241
RTT 1790356451.220 0.810
RTT 1790356451.469 0.289
RTT 1790356451.719 0.158
RTT 1790356451.970 0.272
RTT 1790356452.220 0.354
RTT 1790356452.470 0.205
RTT 1790356452.720 0.174
RTT 1790356452.971 0.290
RTT 1790356453.222 0.910
RTT 1790356453.471 0.140
RTT 1790356453.722 0.302
RTT 1790356453.972 0.178
RTT 1790356454.223 0.108
RTT 1790356454.473 0.171
RTT 1790356454.723 0.209
RTT 1790356454.973 0.186
RTT 1790356455.224 0.321
RTT 1790356455.474 0.309
RTT 1790356455.724 0.177
RTT 1790356455.974 0.246
RTT 1790356456.225 0.211
RTT 1790356456.475 0.143
RTT 1790356456.725 0.163
RTT 1790356456.975 0.175
RTT 1790356457.225 0.135
RTT 1790356457.476 0.280
RTT 1790356457.726 0.101
RTT 1790356457.976 0.405
RTT 1790356458.226 0.316
RTT 1790356458.479 0.409
RTT 1790356458.729 0.152
RTT 1790356458.979 0.226
RTT 1790356459.230 0.784
RTT 1790356459.480 0.195
RTT 1790356459.730 0.427
RTT 1790356459.980 0.161
RTT 1790356460.230 0.135
RTT 1790356460.480 0.156
RTT 1790356460.731 0.273
RTT 1790356460.982 0.755
RTT 1790356461.231 0.255
RTT 1790356461.481 0.261
RTT 1790356461.732 0.192
RTT 1790356461.982 0.180
RTT 1790356462.232 0.418
RTT 1790356462.482 0.131
RTT 1790356462.732 0.169
RTT 1790356462.982 0.097
RTT 1790356463.234 0.644
RTT 1790356463.485 1.585
RTT 1790356463.733 0.137
RTT 1790356463.983 0.179
RTT 1790356464.234 0.184
RTT 1790356464.484 0.336
RTT 1790356464.734 0.279
RTT 1790356464.985 0.428
RTT 1790356465.234 0.115
RTT 1790356465.485 0.141
RTT 1790356465.735 0.241
RTT 1790356465.986 0.582
RTT 1790356466.236 0.334
RTT 1790356466.486 0.300
RTT 1790356466.736 0.297
RTT 1790356466.986 0.145
RTT 1790356467.237 0.357
RTT 1790356467.487 0.317
RTT 1790356467.737 0.348
RTT 1790356468.000 12.240
RTT 1790356468.238 0.162
RTT 1790356468.488 0.204
RTT 1790356468.739 0.134
RTT 1790356468.989 0.202
RTT 1790356469.239 0.181
RTT 1790356469.489 0.114
RTT 1790356469.739 0.097
RTT 1790356469.990 0.144
RTT 1790356470.240 0.214
RTT 1790356470.490 0.189
RTT 1790356470.740 0.331
RTT 1790356470.999 8.412
RTT 1790356471.241 0.162
RTT 1790356471.491 0.146
RTT 1790356471.741 0.150
RTT 1790356471.991 0.308
RTT 1790356472.241 0.203
RTT 1790356472.492 0.317
RTT 1790356472.742 0.237
RTT 1790356472.992 0.296
RTT 1790356473.243 0.325
RTT 1790356473.493 0.357
RTT 1790356473.743 0.322
RTT 1790356473.996 1.166
RTT 1790356474.246 0.319
RTT 1790356474.496 0.467
RTT 1790356474.747 1.631
RTT 1790356474.996 0.191
RTT 1790356475.246 0.165
RTT 1790356475.496 0.174
RTT 1790356475.748 1.511
RTT 1790356475.997 0.138
RTT 1790356476.247 0.180
RTT 1790356476.498 0.204
RTT 1790356476.748 0.201
RTT 1790356477.003 5.152
RTT 1790356477.249 0.966
RTT 1790356477.501 2.693
RTT 1790356477.748 0.134
RTT 1790356477.998 0.156
RTT 1790356478.249 0.168
RTT 1790356478.499 0.148
RTT 1790356478.749 0.160
RTT 1790356479.000 1.178
RTT 1790356479.252 2.640
RTT 1790356479.500 0.113
RTT 1790356479.750 0.263
RTT 1790356480.005 5.008
RTT 1790356480.251 0.337
RTT 1790356480.501 0.441
RTT 1790356480.752 0.259
RTT 1790356481.002 0.149
RTT 1790356481.252 0.705
RTT 1790356481.502 0.139
RTT 1790356481.752 0.274
RTT 1790356482.002 0.122
RTT 1790356482.252 0.146
RTT 1790356482.503 0.291
RTT 1790356482.753 0.226
RTT 1790356483.003 0.444
RTT 1790356483.253 0.168
RTT 1790356483.503 0.184
RTT 1790356483.754 0.170
RTT 1790356484.005 1.070
RTT 1790356484.254 0.117
RTT 1790356484.504 0.320
RTT 1790356484.754 0.117
RTT 1790356485.004 0.125
RTT 1790356485.255 0.471
RTT 1790356485.505 0.207
RTT 1790356485.756 0.234
RTT 1790356486.006 0.097
RTT 1790356486.256 0.159
RTT 1790356486.507 0.220
RTT 1790356486.757 0.182
RTT 1790356487.007 0.183
RTT 1790356487.257 0.160
RTT 1790356487.507 0.148
RTT 1790356487.757 0.154
RTT 1790356488.008 0.201
RTT 1790356488.258 0.780
RTT 1790356488.511 0.368
RTT 1790356488.761 0.192
RTT 1790356489.011 0.130
RTT 1790356489.262 1.467
RTT 1790356489.511 0.420
RTT 1790356489.762 0.131
RTT 1790356490.012 0.774
RTT 1790356490.262 0.161
RTT 1790356490.512 0.193
RTT 1790356490.762 0.281
RTT 1790356491.012 0.184
RTT 1790356491.263 0.155
RTT 1790356491.513 0.208
RTT 1790356491.763 0.369
RTT 1790356492.013 0.153
RTT 1790356492.264 0.152
RTT 1790356492.514 0.307
RTT 1790356492.765 0.110
RTT 1790356493.015 0.180
RTT 1790356493.265 0.157
RTT 1790356493.516 1.099
RTT 1790356493.765 0.174
RTT 1790356494.016 0.174
RTT 1790356494.266 0.071
RTT 1790356494.516 0.333
RTT 1790356494.768 1.803
RTT 1790356495.016 0.092
RTT 1790356495.267 0.125
RTT 1790356495.517 0.063
RTT 1790356495.767 0.073
RTT 1790356496.017 0.094
RTT 1790356496.267 0.643
RTT 1790356496.517 0.279
RTT 1790356496.767 0.076
RTT 1790356497.017 0.077
RTT 1790356497.267 0.102
RTT 1790356497.518 0.237
RTT 1790356497.768 0.157
RTT 1790356498.018 0.071
RTT 1790356498.268 0.137
RTT 1790356498.518 0.171
RTT 1790356498.768 0.065
RTT 1790356499.019 0.312
RTT 1790356499.270 1.770
RTT 1790356499.519 0.073
RTT 1790356499.769 0.168
RTT 1790356500.019 0.153
RTT 1790356500.269 0.177
RTT 1790356500.519 0.086
RTT 1790356500.769 0.094
RTT 1790356501.019 0.072
RTT 1790356501.269 0.247
RTT 1790356501.520 0.239
RTT 1790356501.771 0.125
RTT 1790356502.021 0.066
RTT 1790356502.271 0.102
RTT 1790356502.521 0.064
RTT 1790356502.771 0.107
RTT 1790356503.021 0.146
RTT 1790356503.271 0.093
RTT 1790356503.522 0.179
RTT 1790356503.772 0.186
RTT 1790356504.022 0.069
RTT 1790356504.272 0.151
RTT 1790356504.522 0.166
RTT 1790356504.772 0.128
RTT 1790356505.022 0.132
RTT 1790356505.272 0.117
RTT 1790356505.522 0.068
RTT 1790356505.773 0.138
RTT 1790356506.023 0.142
RTT 1790356506.273 0.081
RTT 1790356506.524 0.104
RTT 1790356506.774 0.185
RTT 1790356507.025 0.139
RTT 1790356507.279 4.504
RTT 1790356507.525 0.084
RTT 1790356507.775 0.115
RTT 1790356508.025 0.094
RTT 1790356508.275 0.154
RTT 1790356508.525 0.066
RTT 1790356508.775 0.062
RTT 1790356509.025 0.138
RTT 1790356509.275 0.084
RTT 1790356509.526 0.166
RTT 1790356509.776 0.180
RTT 1790356510.026 0.071
RTT 1790356510.276 0.058
RTT 1790356510.526 0.069
RTT 1790356510.776 0.076
RTT 1790356511.026 0.074
RTT 1790356511.277 0.172
RTT 1790356511.527 0.139
RTT 1790356511.777 0.110
RTT 1790356512.027 0.110
RTT 1790356512.278 0.138
RTT 1790356512.528 0.080
RTT 1790356512.778 0.104
RTT 1790356513.028 0.150
RTT 1790356513.278 0.131
RTT 1790356513.528 0.110
RTT 1790356513.778 0.072
RTT 1790356514.029 0.493
RTT 1790356514.278 0.069
RTT 1790356514.529 0.285
RTT 1790356514.784 3.096
RTT 1790356515.031 0.158
RTT 1790356515.281 0.091
RTT 1790356515.531 0.085
RTT 1790356515.781 0.094
RTT 1790356516.031 0.107
RTT 1790356516.281 0.088
RTT 1790356516.532 0.193
RTT 1790356516.782 0.096
RTT 1790356517.033 0.483
RTT 1790356517.282 0.094
RTT 1790356517.532 0.180
RTT 1790356517.784 0.240
RTT 1790356518.034 0.146
RTT 1790356518.284 0.219
RTT 1790356518.534 0.158
RTT 1790356518.785 0.122
RTT 1790356519.036 0.263
RTT 1790356519.286 0.100
RTT 1790356519.536 0.375
RTT 1790356519.786 0.326
RTT 1790356520.036 0.169
RTT 1790356520.286 0.141
RTT 1790356520.537 0.378
RTT 1790356520.787 0.187
RTT 1790356521.038 1.146
RTT 1790356521.288 0.284
RTT 1790356521.538 0.141
RTT 1790356521.788 0.116
RTT 1790356522.038 0.103
RTT 1790356522.288 0.108
RTT 1790356522.539 0.271
RTT 1790356522.789 0.093
RTT 1790356523.039 0.330
RTT 1790356523.289 0.177
RTT 1790356523.540 0.361
RTT 1790356523.790 0.162
RTT 1790356524.040 0.125
RTT 1790356524.290 0.100
RTT 1790356524.540 0.327
RTT 1790356524.791 0.285
RTT 1790356525.041 0.105
RTT 1790356525.291 0.085
RTT 1790356525.541 0.196
RTT 1790356525.792 0.143
RTT 1790356526.042 0.238
RTT 1790356526.292 0.143
RTT 1790356526.543 0.424
RTT 1790356526.792 0.135
RTT 1790356527.043 0.090
RTT 1790356527.293 0.134
RTT 1790356527.543 0.148
RTT 1790356527.793 0.277
RTT 1790356528.043 0.103
RTT 1790356528.293 0.085
RTT 1790356528.544 0.303
RTT 1790356528.805 12.068
RTT 1790356529.044 0.236
RTT 1790356529.294 0.095
RTT 1790356529.544 0.073
RTT 1790356529.794 0.168
RTT 1790356530.044 0.086
RTT 1790356530.294 0.135
RTT 1790356530.544 0.095
RTT 1790356530.794 0.078
RTT 1790356531.045 0.081
RTT 1790356531.295 0.090
RTT 1790356531.545 0.178
RTT 1790356531.795 0.074
RTT 1790356532.045 0.169
RTT 1790356532.299 2.897
RTT 1790356532.546 0.066
RTT 1790356532.796 0.139
RTT 1790356533.047 0.375
RTT 1790356533.297 0.137
RTT 1790356533.547 0.147
RTT 1790356533.797 0.173
RTT 1790356534.047 0.087
RTT 1790356534.297 0.084
RTT 1790356534.547 0.096
RTT 1790356534.797 0.119
RTT 1790356535.047 0.110
RTT 1790356535.298 0.139
RTT 1790356535.548 0.164
RTT 1790356535.798 0.178
RTT 1790356536.048 0.081
RTT 1790356536.298 0.092
RTT 1790356536.548 0.088
RTT 1790356536.799 0.112
RTT 1790356537.049 0.065
RTT 1790356537.299 0.065
RTT 1790356537.549 0.078
RTT 1790356537.799 0.073
RTT 1790356538.050 0.858
RTT 1790356538.300 0.775
RTT 1790356538.549 0.083
RTT 1790356538.800 0.495
RTT 1790356539.050 0.122
RTT 1790356539.300 0.141
RTT 1790356539.550 0.092
RTT 1790356539.800 0.090
RTT 1790356540.055 4.715
RTT 1790356540.301 0.091
RTT 1790356540.551 0.084
RTT 1790356540.801 0.068
RTT 1790356541.051 0.090
RTT 1790356541.302 0.774
RTT 1790356541.552 0.111
RTT 1790356541.802 0.127
RTT 1790356542.052 0.061
RTT 1790356542.302 0.080
RTT 1790356542.552 0.127
RTT 1790356542.802 0.123
RTT 1790356543.052 0.058
RTT 1790356543.302 0.072
RTT 1790356543.552 0.123
RTT 1790356543.802 0.079
RTT 1790356544.053 0.081
RTT 1790356544.303 0.162
RTT 1790356544.553 0.100
RTT 1790356544.803 0.121
RTT 1790356545.053 0.168
RTT 1790356545.303 0.121
RTT 1790356545.554 0.135
RTT 1790356545.804 0.093
RTT 1790356546.054 0.136
RTT 1790356546.304 0.457
RTT 1790356546.554 0.077
RTT 1790356546.804 0.105
RTT 1790356547.054 0.077
RTT 1790356547.305 0.161
RTT 1790356547.555 0.081
RTT 1790356547.805 0.086
RTT 1790356548.055 0.082
RTT 1790356548.305 0.116
RTT 1790356548.555 0.097
RTT 1790356548.805 0.100
RTT 1790356549.056 0.601
RTT 1790356549.305 0.085
RTT 1790356549.556 0.106
RTT 1790356549.806 0.084
RTT 1790356550.056 0.071
RTT 1790356550.306 0.077
RTT 1790356550.556 0.084
RTT 1790356550.806 0.112
RTT 1790356551.056 0.228
RTT 1790356551.306 0.089
RTT 1790356551.557 0.165
RTT 1790356551.807 0.119
RTT 1790356552.057 0.099
RTT 1790356552.307 0.089
RTT 1790356552.557 0.162
RTT 1790356552.807 0.091
RTT 1790356553.057 0.073
RTT 1790356553.307 0.080
RTT 1790356553.558 0.770
RTT 1790356553.808 0.139
RTT 1790356554.058 0.110
RTT 1790356554.308 0.179
RTT 1790356554.558 0.173
RTT 1790356554.808 0.140
RTT 1790356555.059 0.096
RTT 1790356555.309 0.089
RTT 1790356555.559 0.151
RTT 1790356555.809 0.125
RTT 1790356556.059 0.158
RTT 1790356556.310 0.278
RTT 1790356556.560 0.117
RTT 1790356556.810 0.087
RTT 1790356557.060 0.143
RTT 1790356557.310 0.293
RTT 1790356557.562 1.417
RTT 1790356557.811 0.299
RTT 1790356558.061 0.131
RTT 1790356558.312 0.230
RTT 1790356558.562 0.171
RTT 1790356558.812 0.134
RTT 1790356559.062 0.129
RTT 1790356559.313 0.103
RTT 1790356559.563 0.074
RTT 1790356559.813 0.103
RTT 1790356560.063 0.113
RTT 1790356560.314 0.261
RTT 1790356560.564 0.083
RTT 1790356560.814 0.186
RTT 1790356561.065 0.287
RTT 1790356561.315 0.116
RTT 1790356561.565 0.177
RTT 1790356561.815 0.327
RTT 1790356562.065 0.114
RTT 1790356562.315 0.217
RTT 1790356562.565 0.102
RTT 1790356562.816 0.201
RTT 1790356563.066 0.079
RTT 1790356563.316 0.201
RTT 1790356563.566 0.309
RTT 1790356563.817 0.205
RTT 1790356564.067 0.195
RTT 1790356564.317 0.280
RTT 1790356564.567 0.139
RTT 1790356564.817 0.225
RTT 1790356565.068 0.214
RTT 1790356565.318 0.286
RTT 1790356565.568 0.312
RTT 1790356565.819 0.306
RTT 1790356566.069 0.231
RTT 1790356566.319 0.171
RTT 1790356566.569 0.222
RTT 1790356566.819 0.102
RTT 1790356567.069 0.095
RTT 1790356567.319 0.075
RTT 1790356567.570 0.186
RTT 1790356567.820 0.177
RTT 1790356568.070 0.133
RTT 1790356568.320 0.158
RTT 1790356568.570 0.139
RTT 1790356568.821 0.455
RTT 1790356569.071 0.124
RTT 1790356569.321 0.146
RTT 1790356569.571 0.239
RTT 1790356569.822 0.138
RTT 1790356570.072 0.176
RTT 1790356570.322 0.191
RTT 1790356570.572 0.143
RTT 1790356570.823 0.288
RTT 1790356571.073 0.276
RTT 1790356571.323 0.259
RTT 1790356571.574 0.707
RTT 1790356571.823 0.227
RTT 1790356572.074 0.300
RTT 1790356572.324 0.270
RTT 1790356572.574 0.207
RTT 1790356572.825 0.900
RTT 1790356573.074 0.119
RTT 1790356573.324 0.188
RTT 1790356573.574 0.158
RTT 1790356573.825 0.149
RTT 1790356574.075 0.177
RTT 1790356574.325 0.097
RTT 1790356574.580 4.253
RTT 1790356574.826 0.101
RTT 1790356575.076 0.207
RTT 1790356575.326 0.101
RTT 1790356575.577 0.472
RTT 1790356575.827 0.121
RTT 1790356576.077 0.127
RTT 1790356576.327 0.347
RTT 1790356576.577 0.110
RTT 1790356576.827 0.100
RTT 1790356577.077 0.108
RTT 1790356577.328 0.185
RTT 1790356577.578 0.176
RTT 1790356577.828 0.107
RTT 1790356578.078 0.111
RTT 1790356578.328 0.229
RTT 1790356578.578 0.127
RTT 1790356578.828 0.105
RTT 1790356579.079 0.297
RTT 1790356579.329 0.129
RTT 1790356579.579 0.161
RTT 1790356579.829 0.108
RTT 1790356580.080 0.111
RTT 1790356580.330 0.094
RTT 1790356580.580 0.119
RTT 1790356580.830 0.082
RTT 1790356581.080 0.123
RTT 1790356581.330 0.096
RTT 1790356581.580 0.117
RTT 1790356581.830 0.109
RTT 1790356582.082 1.234
RTT 1790356582.331 0.122
RTT 1790356582.581 0.100
RTT 1790356582.831 0.114
RTT 1790356583.081 0.148
RTT 1790356583.332 0.220
RTT 1790356583.582 0.106
RTT 1790356583.832 0.136
RTT 1790356584.082 0.123
RTT 1790356584.333 0.245
RTT 1790356584.583 0.151
RTT 1790356584.833 0.740
RTT 1790356585.084 0.981
RTT 1790356585.333 0.107
RTT 1790356585.583 0.095
RTT 1790356585.833 0.243
RTT 1790356586.084 0.438
RTT 1790356586.334 0.089
RTT 1790356586.584 0.379
RTT 1790356586.835 0.513
RTT 1790356587.085 0.087
RTT 1790356587.336 1.145
RTT 1790356587.585 0.118
RTT 1790356587.835 0.330
RTT 1790356588.085 0.302
RTT 1790356588.336 0.621
RTT 1790356588.586 0.139
RTT 1790356588.836 0.114
RTT 1790356589.086 0.631
RTT 1790356589.336 0.260
