TRACER 29525
RTT 1790357128.414 0.053
RTT 1790357128.664 0.098
RTT 1790357128.914 0.110
RTT 1790357129.165 0.138
RTT 1790357129.415 0.125
RTT 1790357129.665 0.274
RTT 1790357129.916 0.152
RTT 1790357130.166 0.180
RTT 1790357130.416 0.163
RTT 1790357130.667 0.193
RTT 1790357130.917 0.143
RTT 1790357131.167 0.222
RTT 1790357131.417 0.148
RTT 1790357131.668 0.400
RTT 1790357131.918 0.269
RTT 1790357132.168 0.344
RTT 1790357132.419 0.559
RTT 1790357132.668 0.138
RTT 1790357132.918 0.159
RTT 1790357133.169 0.333
RTT 1790357133.419 0.163
RTT 1790357133.669 0.176
RTT 1790357133.919 0.352
RTT 1790357134.170 0.254
RTT 1790357134.420 0.504
RTT 1790357134.670 0.312
RTT 1790357134.920 0.259
RTT 1790357135.170 0.344
RTT 1790357135.421 0.309
RTT 1790357135.671 0.308
RTT 1790357135.921 0.150
RTT 1790357136.171 0.320
RTT 1790357136.422 0.193
RTT 1790357136.672 0.331
RTT 1790357136.922 0.251
RTT 1790357137.173 0.296
RTT 1790357137.423 0.168
RTT 1790357137.673 0.151
RTT 1790357137.923 0.291
RTT 1790357138.173 0.210
RTT 1790357138.424 0.340
RTT 1790357138.674 0.349
RTT 1790357138.924 0.485
RTT 1790357139.174 0.237
RTT 1790357139.425 0.412
RTT 1790357139.675 0.274
RTT 1790357139.925 0.190
RTT 1790357140.176 0.323
RTT 1790357140.427 0.279
RTT 1790357140.677 0.360
RTT 1790357140.927 0.141
RTT 1790357141.177 0.194
RTT 1790357141.428 0.292
RTT 1790357141.678 0.324
RTT 1790357141.928 0.092
RTT 1790357142.179 0.315
RTT 1790357142.429 0.326
RTT 1790357142.680 0.339
RTT 1790357142.930 0.144
RTT 1790357143.180 0.240
RTT 1790357143.430 0.302
RTT 1790357143.681 0.351
RTT 1790357143.931 0.350
RTT 1790357144.181 0.216
RTT 1790357144.431 0.272
RTT 1790357144.682 0.200
RTT 1790357144.932 0.261
RTT 1790357145.182 0.198
RTT 1790357145.432 0.222
RTT 1790357145.682 0.349
RTT 1790357145.933 0.470
RTT 1790357146.183 0.300
RTT 1790357146.433 0.165
RTT 1790357146.683 0.185
RTT 1790357146.933 0.147
RTT 1790357147.184 0.836
RTT 1790357147.434 0.176
RTT 1790357147.684 0.197
RTT 1790357147.934 0.339
RTT 1790357148.185 0.292
RTT 1790357148.435 0.228
RTT 1790357148.686 0.346
RTT 1790357148.939 0.201
RTT 1790357149.189 0.161
RTT 1790357149.439 0.211
RTT 1790357149.689 0.320
RTT 1790357149.940 0.379
RTT 1790357150.190 0.326
RTT 1790357150.440 0.196
RTT 1790357150.690 0.199
RTT 1790357150.940 0.185
RTT 1790357151.190 0.137
RTT 1790357151.441 0.186
RTT 1790357151.691 0.197
RTT 1790357151.941 0.224
RTT 1790357152.191 0.326
RTT 1790357152.442 0.254
RTT 1790357152.692 0.353
RTT 1790357152.942 0.343
RTT 1790357153.193 0.184
RTT 1790357153.443 0.369
RTT 1790357153.693 0.340
RTT 1790357153.943 0.275
RTT 1790357154.194 0.295
RTT 1790357154.444 0.202
RTT 1790357154.694 0.326
RTT 1790357154.944 0.305
RTT 1790357155.196 0.388
RTT 1790357155.446 0.193
RTT 1790357155.696 0.278
RTT 1790357155.946 0.170
RTT 1790357156.196 0.195
RTT 1790357156.447 0.353
RTT 1790357156.697 0.272
RTT 1790357156.947 0.376
RTT 1790357157.198 0.209
RTT 1790357157.449 0.307
RTT 1790357157.699 0.284
RTT 1790357157.949 0.264
RTT 1790357158.199 0.273
RTT 1790357158.450 0.279
RTT 1790357158.700 0.350
RTT 1790357158.950 0.314
RTT 1790357159.201 0.290
RTT 1790357159.451 0.348
RTT 1790357159.701 0.339
RTT 1790357159.951 0.278
RTT 1790357160.202 0.358
RTT 1790357160.452 0.201
RTT 1790357160.702 0.343
RTT 1790357160.952 0.128
RTT 1790357161.203 0.311
RTT 1790357161.453 0.188
RTT 1790357161.703 0.143
RTT 1790357161.953 0.303
RTT 1790357162.204 0.243
RTT 1790357162.455 0.339
RTT 1790357162.705 0.344
RTT 1790357162.955 0.322
RTT 1790357163.206 0.312
RTT 1790357163.456 0.262
RTT 1790357163.706 0.297
RTT 1790357163.956 0.332
RTT 1790357164.207 0.579
RTT 1790357164.457 0.258
RTT 1790357164.707 0.325
RTT 1790357164.957 0.112
RTT 1790357165.207 0.143
RTT 1790357165.458 0.345
RTT 1790357165.708 0.201
RTT 1790357165.958 0.127
RTT 1790357166.209 0.318
RTT 1790357166.459 0.193
RTT 1790357166.709 0.175
RTT 1790357166.959 0.337
RTT 1790357167.209 0.251
RTT 1790357167.460 0.514
RTT 1790357167.710 0.332
RTT 1790357167.960 0.364
RTT 1790357168.210 0.279
RTT 1790357168.461 0.343
RTT 1790357168.711 0.318
RTT 1790357168.961 0.338
RTT 1790357169.212 0.339
RTT 1790357169.462 0.313
RTT 1790357169.712 0.233
RTT 1790357169.963 0.263
RTT 1790357170.213 0.338
RTT 1790357170.463 0.352
RTT 1790357170.714 0.351
RTT 1790357170.964 0.572
RTT 1790357171.214 0.544
RTT 1790357171.464 0.385
RTT 1790357171.715 0.313
RTT 1790357171.965 0.165
RTT 1790357172.216 0.341
RTT 1790357172.466 0.324
RTT 1790357172.716 0.328
RTT 1790357172.966 0.291
RTT 1790357173.217 0.327
RTT 1790357173.467 0.372
RTT 1790357173.718 0.370
RTT 1790357173.968 0.408
RTT 1790357174.218 0.231
RTT 1790357174.469 0.317
RTT 1790357174.719 0.238
RTT 1790357174.969 0.114
RTT 1790357175.220 0.349
RTT 1790357175.470 0.178
RTT 1790357175.721 0.346
RTT 1790357175.971 0.272
RTT 1790357176.221 0.281
RTT 1790357176.472 0.303
RTT 1790357176.722 0.181
RTT 1790357176.972 0.359
RTT 1790357177.222 0.303
RTT 1790357177.472 0.153
RTT 1790357177.723 0.323
RTT 1790357177.973 0.285
RTT 1790357178.224 0.308
RTT 1790357178.474 0.258
RTT 1790357178.724 0.141
RTT 1790357178.974 0.308
RTT 1790357179.225 0.333
RTT 1790357179.475 0.159
RTT 1790357179.725 0.347
RTT 1790357179.975 0.296
RTT 1790357180.226 0.131
RTT 1790357180.476 0.148
RTT 1790357180.726 0.573
RTT 1790357180.976 0.352
RTT 1790357181.227 0.258
RTT 1790357181.477 0.084
RTT 1790357181.727 0.443
RTT 1790357181.977 0.313
RTT 1790357182.228 0.355
RTT 1790357182.481 0.360
RTT 1790357182.731 0.330
RTT 1790357182.982 0.337
RTT 1790357183.232 0.464
RTT 1790357183.482 0.183
RTT 1790357183.732 0.195
RTT 1790357183.983 0.299
RTT 1790357184.233 0.175
RTT 1790357184.484 0.346
RTT 1790357184.734 0.213
RTT 1790357184.984 0.186
RTT 1790357185.234 0.166
RTT 1790357185.484 0.180
RTT 1790357185.734 0.120
RTT 1790357185.985 0.338
RTT 1790357186.235 0.323
RTT 1790357186.486 0.224
RTT 1790357186.736 0.161
RTT 1790357186.986 0.337
RTT 1790357187.236 0.218
RTT 1790357187.487 0.178
RTT 1790357187.737 0.372
RTT 1790357187.987 0.338
RTT 1790357188.237 0.151
RTT 1790357188.488 0.223
RTT 1790357188.738 0.053
RTT 1790357188.988 0.087
RTT 1790357189.238 0.154
RTT 1790357189.488 0.092
RTT 1790357189.738 0.058
RTT 1790357189.988 0.146
RTT 1790357190.238 0.067
RTT 1790357190.488 0.082
RTT 1790357190.738 0.062
RTT 1790357190.989 0.091
RTT 1790357191.239 0.076
RTT 1790357191.489 0.073
RTT 1790357191.739 0.077
RTT 1790357191.989 0.164
RTT 1790357192.239 0.065
RTT 1790357192.489 0.084
RTT 1790357192.739 0.058
RTT 1790357192.989 0.073
RTT 1790357193.239 0.054
RTT 1790357193.490 0.059
RTT 1790357193.740 0.063
RTT 1790357193.990 0.071
RTT 1790357194.240 0.153
RTT 1790357194.491 0.527
RTT 1790357194.740 0.089
RTT 1790357194.990 0.121
RTT 1790357195.240 0.085
RTT 1790357195.491 0.152
RTT 1790357195.741 0.074
RTT 1790357195.994 3.100
RTT 1790357196.241 0.094
RTT 1790357196.491 0.090
RTT 1790357196.741 0.153
RTT 1790357196.992 0.241
RTT 1790357197.242 0.082
RTT 1790357197.492 0.074
RTT 1790357197.742 0.082
RTT 1790357197.992 0.190
RTT 1790357198.242 0.132
RTT 1790357198.493 0.293
RTT 1790357198.743 0.135
RTT 1790357198.993 0.084
RTT 1790357199.243 0.158
RTT 1790357199.493 0.083
RTT 1790357199.743 0.098
RTT 1790357199.993 0.079
RTT 1790357200.244 0.477
RTT 1790357200.493 0.106
RTT 1790357200.744 0.079
RTT 1790357200.994 0.082
RTT 1790357201.244 0.170
RTT 1790357201.494 0.158
RTT 1790357201.744 0.134
RTT 1790357201.994 0.074
RTT 1790357202.244 0.069
RTT 1790357202.495 0.086
RTT 1790357202.745 0.783
RTT 1790357202.995 0.072
RTT 1790357203.245 0.143
RTT 1790357203.495 0.148
RTT 1790357203.745 0.176
RTT 1790357203.995 0.095
RTT 1790357204.245 0.130
RTT 1790357204.496 0.076
RTT 1790357204.746 0.077
RTT 1790357204.998 0.264
RTT 1790357205.248 0.083
RTT 1790357205.498 0.125
RTT 1790357205.748 0.103
RTT 1790357205.998 0.123
RTT 1790357206.249 0.071
RTT 1790357206.499 0.149
RTT 1790357206.749 0.199
RTT 1790357206.999 0.151
RTT 1790357207.249 0.162
RTT 1790357207.499 0.073
RTT 1790357207.749 0.089
RTT 1790357208.000 0.081
RTT 1790357208.250 0.150
RTT 1790357208.500 0.083
RTT 1790357208.750 0.080
RTT 1790357209.000 0.074
RTT 1790357209.250 0.104
RTT 1790357209.500 0.081
RTT 1790357209.750 0.097
RTT 1790357210.000 0.074
RTT 1790357210.251 0.118
RTT 1790357210.501 0.105
RTT 1790357210.751 0.363
RTT 1790357211.002 0.338
RTT 1790357211.252 0.186
RTT 1790357211.502 0.323
RTT 1790357211.752 0.100
RTT 1790357212.002 0.191
RTT 1790357212.252 0.204
RTT 1790357212.502 0.086
RTT 1790357212.753 0.338
RTT 1790357213.003 0.246
RTT 1790357213.253 0.095
RTT 1790357213.504 0.177
RTT 1790357213.754 0.260
RTT 1790357214.004 0.086
RTT 1790357214.254 0.281
RTT 1790357214.504 0.188
RTT 1790357214.755 0.377
RTT 1790357215.005 0.329
RTT 1790357215.255 0.097
RTT 1790357215.505 0.069
RTT 1790357215.755 0.088
RTT 1790357216.006 0.242
RTT 1790357216.256 0.128
RTT 1790357216.506 0.172
RTT 1790357216.756 0.083
RTT 1790357217.006 0.180
RTT 1790357217.256 0.100
RTT 1790357217.506 0.113
RTT 1790357217.757 0.257
RTT 1790357218.007 0.237
RTT 1790357218.257 0.099
RTT 1790357218.507 0.109
RTT 1790357218.757 0.238
RTT 1790357219.007 0.155
RTT 1790357219.258 0.246
RTT 1790357219.508 0.213
RTT 1790357219.758 0.108
RTT 1790357220.008 0.257
RTT 1790357220.259 0.221
RTT 1790357220.509 0.091
RTT 1790357220.759 0.112
RTT 1790357221.009 0.085
