TRACER 0
RTT 1790357128.301 0.056
RTT 1790357128.552 0.172
RTT 1790357128.803 1.067
RTT 1790357129.052 0.227
RTT 1790357129.303 0.503
RTT 1790357129.554 1.334
RTT 1790357129.804 0.191
RTT 1790357130.054 0.190
RTT 1790357130.305 0.282
RTT 1790357130.555 0.177
RTT 1790357130.805 0.151
RTT 1790357131.055 0.157
RTT 1790357131.305 0.321
RTT 1790357131.555 0.246
RTT 1790357131.806 0.336
RTT 1790357132.056 0.382
RTT 1790357132.306 0.127
RTT 1790357132.556 0.186
RTT 1790357132.807 0.300
RTT 1790357133.057 0.341
RTT 1790357133.309 0.324
RTT 1790357133.559 0.370
RTT 1790357133.809 0.276
RTT 1790357134.059 0.155
RTT 1790357134.310 0.327
RTT 1790357134.560 0.729
RTT 1790357134.810 0.202
RTT 1790357135.060 0.288
RTT 1790357135.310 0.186
RTT 1790357135.561 0.375
RTT 1790357135.811 0.370
RTT 1790357136.061 0.296
RTT 1790357136.312 0.359
RTT 1790357136.563 0.382
RTT 1790357136.813 0.306
RTT 1790357137.063 0.348
RTT 1790357137.313 0.307
RTT 1790357137.564 0.426
RTT 1790357137.814 0.166
RTT 1790357138.064 0.394
RTT 1790357138.314 0.285
RTT 1790357138.565 0.365
RTT 1790357138.815 0.352
RTT 1790357139.065 0.340
RTT 1790357139.315 0.189
RTT 1790357139.566 0.306
RTT 1790357139.816 0.363
RTT 1790357140.066 0.330
RTT 1790357140.316 0.217
RTT 1790357140.567 0.333
RTT 1790357140.817 0.391
RTT 1790357141.067 0.212
RTT 1790357141.318 0.200
RTT 1790357141.568 0.516
RTT 1790357141.819 0.308
RTT 1790357142.069 0.199
RTT 1790357142.319 0.347
RTT 1790357142.569 0.152
RTT 1790357142.820 0.277
RTT 1790357143.070 0.329
RTT 1790357143.320 0.326
RTT 1790357143.570 0.310
RTT 1790357143.821 0.378
RTT 1790357144.071 0.158
RTT 1790357144.321 0.308
RTT 1790357144.571 0.292
RTT 1790357144.821 0.128
RTT 1790357145.072 0.325
RTT 1790357145.323 0.296
RTT 1790357145.573 0.222
RTT 1790357145.823 0.172
RTT 1790357146.074 0.309
RTT 1790357146.324 0.157
RTT 1790357146.574 0.153
RTT 1790357146.824 0.322
RTT 1790357147.075 0.347
RTT 1790357147.325 0.332
RTT 1790357147.575 0.158
RTT 1790357147.825 0.151
RTT 1790357148.076 0.245
RTT 1790357148.326 0.239
RTT 1790357148.576 0.415
RTT 1790357148.826 0.347
RTT 1790357149.076 0.328
RTT 1790357149.327 0.288
RTT 1790357149.577 0.328
RTT 1790357149.827 0.186
RTT 1790357150.077 0.217
RTT 1790357150.327 0.161
RTT 1790357150.580 0.168
RTT 1790357150.831 0.451
RTT 1790357151.080 0.166
RTT 1790357151.331 0.164
RTT 1790357151.581 0.199
RTT 1790357151.833 0.134
RTT 1790357152.083 0.198
RTT 1790357152.333 0.319
RTT 1790357152.584 0.368
RTT 1790357152.834 0.192
RTT 1790357153.084 0.220
RTT 1790357153.334 0.245
RTT 1790357153.585 0.348
RTT 1790357153.835 0.380
RTT 1790357154.086 0.345
RTT 1790357154.336 0.342
RTT 1790357154.586 0.353
RTT 1790357154.836 0.187
RTT 1790357155.086 0.121
RTT 1790357155.337 0.308
RTT 1790357155.587 0.372
RTT 1790357155.837 0.174
RTT 1790357156.088 0.193
RTT 1790357156.338 0.357
RTT 1790357156.588 0.090
RTT 1790357156.839 0.361
RTT 1790357157.089 0.143
RTT 1790357157.339 0.317
RTT 1790357157.589 0.274
RTT 1790357157.840 0.247
RTT 1790357158.090 0.361
RTT 1790357158.340 0.298
RTT 1790357158.591 0.379
RTT 1790357158.840 0.173
RTT 1790357159.092 1.221
RTT 1790357159.341 0.188
RTT 1790357159.591 0.360
RTT 1790357159.841 0.161
RTT 1790357160.092 0.278
RTT 1790357160.342 0.139
RTT 1790357160.592 0.305
RTT 1790357160.842 0.529
RTT 1790357161.092 0.120
RTT 1790357161.343 0.295
RTT 1790357161.593 0.372
RTT 1790357161.843 0.221
RTT 1790357162.093 0.301
RTT 1790357162.343 0.249
RTT 1790357162.594 0.191
RTT 1790357162.844 0.237
RTT 1790357163.094 0.216
RTT 1790357163.344 0.229
RTT 1790357163.597 0.309
RTT 1790357163.847 0.115
RTT 1790357164.098 0.230
RTT 1790357164.348 0.346
RTT 1790357164.598 0.312
RTT 1790357164.849 0.202
RTT 1790357165.099 0.346
RTT 1790357165.349 0.181
RTT 1790357165.599 0.313
RTT 1790357165.850 0.353
RTT 1790357166.100 0.286
RTT 1790357166.350 0.187
RTT 1790357166.600 0.150
RTT 1790357166.850 0.101
RTT 1790357167.101 0.334
RTT 1790357167.351 0.230
RTT 1790357167.601 0.342
RTT 1790357167.851 0.172
RTT 1790357168.102 0.232
RTT 1790357168.352 0.359
RTT 1790357168.602 0.328
RTT 1790357168.852 0.238
RTT 1790357169.103 0.280
RTT 1790357169.353 0.202
RTT 1790357169.603 0.241
RTT 1790357169.853 0.237
RTT 1790357170.104 0.332
RTT 1790357170.354 0.248
RTT 1790357170.604 0.362
RTT 1790357170.854 0.210
RTT 1790357171.105 0.292
RTT 1790357171.355 0.215
RTT 1790357171.605 0.305
RTT 1790357171.855 0.328
RTT 1790357172.106 0.396
RTT 1790357172.356 0.191
RTT 1790357172.606 0.335
RTT 1790357172.856 0.190
RTT 1790357173.107 0.294
RTT 1790357173.357 0.298
RTT 1790357173.607 0.166
RTT 1790357173.857 0.297
RTT 1790357174.108 0.271
RTT 1790357174.358 0.314
RTT 1790357174.608 0.337
RTT 1790357174.858 0.115
RTT 1790357175.109 0.384
RTT 1790357175.359 0.331
RTT 1790357175.609 0.157
RTT 1790357175.859 0.288
RTT 1790357176.110 0.357
RTT 1790357176.360 0.279
RTT 1790357176.610 0.221
RTT 1790357176.861 0.188
RTT 1790357177.111 0.252
RTT 1790357177.361 0.291
RTT 1790357177.611 0.305
RTT 1790357177.861 0.165
RTT 1790357178.112 0.341
RTT 1790357178.362 0.319
RTT 1790357178.612 0.226
RTT 1790357178.862 0.215
RTT 1790357179.113 0.324
RTT 1790357179.363 0.209
RTT 1790357179.613 0.355
RTT 1790357179.864 0.238
RTT 1790357180.114 0.305
RTT 1790357180.364 0.193
RTT 1790357180.615 0.312
RTT 1790357180.865 0.213
RTT 1790357181.116 0.406
RTT 1790357181.366 0.241
RTT 1790357181.616 0.116
RTT 1790357181.866 0.145
RTT 1790357182.116 0.200
RTT 1790357182.367 0.321
RTT 1790357182.617 0.344
RTT 1790357182.867 0.277
RTT 1790357183.118 0.351
RTT 1790357183.368 0.204
RTT 1790357183.618 0.337
RTT 1790357183.869 0.152
RTT 1790357184.119 0.332
RTT 1790357184.369 0.330
RTT 1790357184.620 0.396
RTT 1790357184.870 0.216
RTT 1790357185.120 0.299
RTT 1790357185.371 0.337
RTT 1790357185.621 0.221
RTT 1790357185.871 0.116
RTT 1790357186.121 0.188
RTT 1790357186.371 0.176
RTT 1790357186.622 0.167
RTT 1790357186.872 0.196
RTT 1790357187.122 0.291
RTT 1790357187.372 0.232
RTT 1790357187.623 0.260
RTT 1790357187.873 0.275
RTT 1790357188.123 0.309
RTT 1790357188.373 0.324
RTT 1790357188.624 0.281
RTT 1790357188.874 0.140
RTT 1790357189.124 0.130
RTT 1790357189.374 0.170
RTT 1790357189.624 0.069
RTT 1790357189.874 0.152
RTT 1790357190.124 0.076
RTT 1790357190.374 0.092
RTT 1790357190.624 0.083
RTT 1790357190.875 0.088
RTT 1790357191.125 0.193
RTT 1790357191.375 0.095
RTT 1790357191.625 0.177
RTT 1790357191.875 0.083
RTT 1790357192.125 0.209
RTT 1790357192.375 0.087
RTT 1790357192.625 0.173
RTT 1790357192.875 0.087
RTT 1790357193.126 0.096
RTT 1790357193.376 0.110
RTT 1790357193.626 0.083
RTT 1790357193.876 0.189
RTT 1790357194.126 0.088
RTT 1790357194.376 0.077
RTT 1790357194.626 0.092
RTT 1790357194.876 0.173
RTT 1790357195.126 0.086
RTT 1790357195.377 0.097
RTT 1790357195.627 0.090
RTT 1790357195.877 0.130
RTT 1790357196.127 0.124
RTT 1790357196.377 0.177
RTT 1790357196.627 0.081
RTT 1790357196.878 0.712
RTT 1790357197.127 0.099
RTT 1790357197.377 0.088
RTT 1790357197.628 0.152
RTT 1790357197.878 0.116
RTT 1790357198.128 0.176
RTT 1790357198.378 0.093
RTT 1790357198.628 0.150
RTT 1790357198.878 0.180
RTT 1790357199.128 0.189
RTT 1790357199.378 0.180
RTT 1790357199.630 1.011
RTT 1790357199.881 1.820
RTT 1790357200.129 0.076
RTT 1790357200.379 0.144
RTT 1790357200.630 0.716
RTT 1790357200.880 0.129
RTT 1790357201.130 0.169
RTT 1790357201.380 0.157
RTT 1790357201.631 0.558
RTT 1790357201.881 0.097
RTT 1790357202.131 0.074
RTT 1790357202.381 0.094
RTT 1790357202.631 0.163
RTT 1790357202.883 1.791
RTT 1790357203.132 0.228
RTT 1790357203.382 0.167
RTT 1790357203.633 0.754
RTT 1790357203.882 0.142
RTT 1790357204.132 0.090
RTT 1790357204.382 0.151
RTT 1790357204.633 0.128
RTT 1790357204.883 0.131
RTT 1790357205.133 0.123
RTT 1790357205.383 0.064
RTT 1790357205.633 0.150
RTT 1790357205.883 0.141
RTT 1790357206.133 0.155
RTT 1790357206.384 0.155
RTT 1790357206.634 0.126
RTT 1790357206.884 0.175
RTT 1790357207.134 0.105
RTT 1790357207.384 0.190
RTT 1790357207.634 0.088
RTT 1790357207.884 0.105
RTT 1790357208.134 0.086
RTT 1790357208.385 0.168
RTT 1790357208.635 0.082
RTT 1790357208.885 0.151
RTT 1790357209.135 0.122
RTT 1790357209.385 0.165
RTT 1790357209.635 0.100
RTT 1790357209.885 0.095
RTT 1790357210.135 0.094
RTT 1790357210.385 0.096
RTT 1790357210.636 0.120
RTT 1790357210.886 0.295
RTT 1790357211.136 0.106
RTT 1790357211.386 0.332
RTT 1790357211.637 0.231
RTT 1790357211.887 0.365
RTT 1790357212.137 0.189
RTT 1790357212.387 0.163
RTT 1790357212.638 0.190
RTT 1790357212.888 0.208
RTT 1790357213.139 0.217
RTT 1790357213.389 0.231
RTT 1790357213.639 0.394
RTT 1790357213.889 0.211
RTT 1790357214.139 0.079
RTT 1790357214.389 0.202
RTT 1790357214.640 0.203
RTT 1790357214.890 0.121
RTT 1790357215.140 0.108
RTT 1790357215.390 0.087
RTT 1790357215.640 0.197
RTT 1790357215.891 0.108
RTT 1790357216.142 0.109
RTT 1790357216.392 0.165
RTT 1790357216.642 0.277
RTT 1790357216.892 0.156
RTT 1790357217.142 0.133
RTT 1790357217.392 0.104
RTT 1790357217.643 0.319
RTT 1790357217.893 0.130
RTT 1790357218.143 0.158
RTT 1790357218.393 0.180
RTT 1790357218.643 0.267
RTT 1790357218.893 0.109
RTT 1790357219.144 0.159
RTT 1790357219.394 0.190
RTT 1790357219.644 0.140
RTT 1790357219.894 0.101
RTT 1790357220.144 0.088
RTT 1790357220.394 0.183
RTT 1790357220.645 0.331
RTT 1790357220.895 0.082
RTT 1790357221.145 0.160
RTT 1790357221.395 0.106
RTT 1790357221.645 0.085
RTT 1790357221.895 0.161
RTT 1790357222.146 0.421
RTT 1790357222.396 0.721
RTT 1790357222.646 0.094
RTT 1790357222.896 0.372
RTT 1790357223.146 0.158
RTT 1790357223.396 0.094
RTT 1790357223.646 0.105
RTT 1790357223.896 0.096
RTT 1790357224.146 0.098
RTT 1790357224.396 0.125
RTT 1790357224.646 0.072
RTT 1790357224.897 0.281
RTT 1790357225.149 2.823
RTT 1790357225.397 0.120
RTT 1790357225.647 0.096
RTT 1790357225.897 0.087
RTT 1790357226.147 0.139
RTT 1790357226.397 0.184
RTT 1790357226.647 0.118
RTT 1790357226.901 0.141
RTT 1790357227.151 0.081
RTT 1790357227.401 0.079
RTT 1790357227.651 0.161
RTT 1790357227.901 0.140
RTT 1790357228.151 0.088
RTT 1790357228.401 0.061
RTT 1790357228.651 0.069
RTT 1790357228.902 0.279
RTT 1790357229.152 0.625
RTT 1790357229.402 0.075
RTT 1790357229.652 0.066
