TRACER 0
RTT 1790355740.817 0.054
RTT 1790355741.067 0.145
RTT 1790355741.317 0.097
RTT 1790355741.567 0.077
RTT 1790355741.817 0.113
RTT 1790355742.067 0.283
RTT 1790355742.318 0.276
RTT 1790355742.568 0.798
RTT 1790355742.819 1.267
RTT 1790355743.068 0.230
RTT 1790355743.318 0.154
RTT 1790355743.569 0.201
RTT 1790355743.819 0.188
RTT 1790355744.069 0.347
RTT 1790355744.319 0.195
RTT 1790355744.570 0.170
RTT 1790355744.820 0.233
RTT 1790355745.070 0.295
RTT 1790355745.320 0.188
RTT 1790355745.570 0.377
RTT 1790355745.821 0.365
RTT 1790355746.071 0.717
RTT 1790355746.321 0.146
RTT 1790355746.571 0.183
RTT 1790355746.821 0.092
RTT 1790355747.072 0.168
RTT 1790355747.322 0.143
RTT 1790355747.573 0.358
RTT 1790355747.823 0.354
RTT 1790355748.073 0.165
RTT 1790355748.323 0.131
RTT 1790355748.575 1.035
RTT 1790355748.824 0.111
RTT 1790355749.074 0.399
RTT 1790355749.324 0.085
RTT 1790355749.574 0.134
RTT 1790355749.831 6.323
RTT 1790355750.075 0.131
RTT 1790355750.325 0.203
RTT 1790355750.575 0.144
RTT 1790355750.825 0.113
RTT 1790355751.077 1.624
RTT 1790355751.327 1.422
RTT 1790355751.575 0.189
RTT 1790355751.829 3.328
RTT 1790355752.076 0.649
RTT 1790355752.326 0.223
RTT 1790355752.577 1.223
RTT 1790355752.826 0.122
RTT 1790355753.077 0.580
RTT 1790355753.327 0.382
RTT 1790355753.577 0.242
RTT 1790355753.828 0.446
RTT 1790355754.078 0.150
RTT 1790355754.328 0.131
RTT 1790355754.578 0.137
RTT 1790355754.828 0.275
RTT 1790355755.078 0.107
RTT 1790355755.329 0.112
RTT 1790355755.579 0.495
RTT 1790355755.829 0.190
RTT 1790355756.079 0.156
RTT 1790355756.329 0.190
RTT 1790355756.580 0.265
RTT 1790355756.830 0.201
RTT 1790355757.080 0.146
RTT 1790355757.330 0.092
RTT 1790355757.580 0.143
RTT 1790355757.830 0.159
RTT 1790355758.081 0.143
RTT 1790355758.331 0.132
RTT 1790355758.581 0.284
RTT 1790355758.832 0.313
RTT 1790355759.082 0.127
RTT 1790355759.332 0.367
RTT 1790355759.583 1.326
RTT 1790355759.832 0.283
RTT 1790355760.082 0.162
RTT 1790355760.333 0.270
RTT 1790355760.583 0.295
