TRACER 29525
RTT 1790356780.873 0.052
RTT 1790356781.124 1.252
RTT 1790356781.373 0.073
RTT 1790356781.623 0.087
RTT 1790356781.875 0.867
RTT 1790356782.125 0.806
RTT 1790356782.374 0.084
RTT 1790356782.625 0.758
RTT 1790356782.876 0.291
RTT 1790356783.126 0.171
RTT 1790356783.376 0.140
RTT 1790356783.627 0.236
RTT 1790356783.877 0.858
RTT 1790356784.127 0.218
RTT 1790356784.378 1.178
RTT 1790356784.635 7.280
RTT 1790356784.879 0.719
RTT 1790356785.128 0.291
RTT 1790356785.379 0.239
RTT 1790356785.629 0.108
RTT 1790356785.879 0.109
RTT 1790356786.130 0.867
RTT 1790356786.379 0.173
RTT 1790356786.630 0.153
RTT 1790356786.880 0.296
RTT 1790356787.131 0.175
RTT 1790356787.381 0.065
RTT 1790356787.632 0.182
RTT 1790356787.882 0.285
RTT 1790356788.133 0.152
RTT 1790356788.383 0.124
RTT 1790356788.633 0.126
RTT 1790356788.883 0.189
RTT 1790356789.133 0.282
RTT 1790356789.383 0.139
RTT 1790356789.633 0.061
RTT 1790356789.884 0.168
RTT 1790356790.134 0.215
RTT 1790356790.384 0.116
RTT 1790356790.635 0.573
RTT 1790356790.885 0.115
RTT 1790356791.135 0.227
RTT 1790356791.385 0.236
RTT 1790356791.635 0.138
RTT 1790356791.885 0.164
RTT 1790356792.136 0.160
RTT 1790356792.386 0.140
RTT 1790356792.636 0.134
RTT 1790356792.886 0.131
RTT 1790356793.137 0.299
RTT 1790356793.396 2.520
RTT 1790356793.644 0.160
RTT 1790356793.894 0.144
RTT 1790356794.144 0.088
RTT 1790356794.394 0.159
RTT 1790356794.646 0.292
RTT 1790356794.896 0.546
RTT 1790356795.146 0.129
RTT 1790356795.397 0.174
RTT 1790356795.647 0.135
RTT 1790356795.897 0.176
RTT 1790356796.147 0.282
RTT 1790356796.398 0.267
RTT 1790356796.648 0.299
RTT 1790356796.898 0.273
RTT 1790356797.149 0.307
RTT 1790356797.399 0.329
RTT 1790356797.653 3.780
RTT 1790356797.899 0.307
RTT 1790356798.150 0.450
RTT 1790356798.400 0.199
RTT 1790356798.650 0.211
RTT 1790356798.900 0.132
RTT 1790356799.150 0.178
RTT 1790356799.400 0.142
RTT 1790356799.651 0.154
RTT 1790356799.901 0.285
RTT 1790356800.152 0.389
RTT 1790356800.402 0.215
RTT 1790356800.652 0.203
RTT 1790356800.902 0.148
RTT 1790356801.152 0.140
RTT 1790356801.403 0.182
RTT 1790356801.653 0.136
RTT 1790356801.903 0.132
RTT 1790356802.153 0.169
RTT 1790356802.403 0.146
RTT 1790356802.654 0.121
RTT 1790356802.904 0.148
RTT 1790356803.154 0.300
RTT 1790356803.404 0.185
RTT 1790356803.655 0.184
RTT 1790356803.905 0.244
RTT 1790356804.155 0.148
RTT 1790356804.405 0.117
RTT 1790356804.656 1.049
RTT 1790356804.905 0.143
RTT 1790356805.156 0.275
