# mem-guard start x3=31959 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=3609
1790295544.934187461 mem_available_mb=5905 swap_used_mb=3609 x3_rss_mb=178 x3_swap_mb=0
1790295545.465106003 mem_available_mb=5814 swap_used_mb=3584 x3_rss_mb=224 x3_swap_mb=0
1790295545.986957461 mem_available_mb=5982 swap_used_mb=3551 x3_rss_mb=224 x3_swap_mb=0
1790295546.520091315 mem_available_mb=5995 swap_used_mb=3551 x3_rss_mb=224 x3_swap_mb=0
1790295547.052208450 mem_available_mb=5996 swap_used_mb=3551 x3_rss_mb=224 x3_swap_mb=0
1790295547.592692304 mem_available_mb=5980 swap_used_mb=3551 x3_rss_mb=224 x3_swap_mb=0
1790295548.138244023 mem_available_mb=5978 swap_used_mb=3549 x3_rss_mb=224 x3_swap_mb=0
1790295548.690983449 mem_available_mb=5990 swap_used_mb=3549 x3_rss_mb=224 x3_swap_mb=0
1790295549.227931574 mem_available_mb=5992 swap_used_mb=3549 x3_rss_mb=224 x3_swap_mb=0
1790295549.777501001 mem_available_mb=5990 swap_used_mb=3549 x3_rss_mb=224 x3_swap_mb=0
1790295550.321919699 mem_available_mb=5989 swap_used_mb=3549 x3_rss_mb=224 x3_swap_mb=0
1790295550.861539594 mem_available_mb=5988 swap_used_mb=3549 x3_rss_mb=224 x3_swap_mb=0
1790295551.397492719 mem_available_mb=5987 swap_used_mb=3549 x3_rss_mb=224 x3_swap_mb=0
1790295551.934184750 mem_available_mb=5980 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295552.466053969 mem_available_mb=5970 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295553.014269802 mem_available_mb=5969 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295553.565542979 mem_available_mb=5972 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295554.115019802 mem_available_mb=5981 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295554.640417093 mem_available_mb=5980 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295555.165746155 mem_available_mb=5978 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295555.710946103 mem_available_mb=5974 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295556.244518603 mem_available_mb=5984 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295556.782184957 mem_available_mb=5957 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295557.334788915 mem_available_mb=5956 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295557.875067977 mem_available_mb=5954 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295558.418228342 mem_available_mb=5954 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295558.962844591 mem_available_mb=5954 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295559.509571935 mem_available_mb=5956 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295560.055622247 mem_available_mb=5956 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295560.597505424 mem_available_mb=5955 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295561.136544382 mem_available_mb=5955 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295561.685217142 mem_available_mb=5954 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295562.229356048 mem_available_mb=5965 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295562.780735684 mem_available_mb=5961 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295563.330704225 mem_available_mb=5960 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295563.874616725 mem_available_mb=5962 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295564.399780058 mem_available_mb=5961 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295564.938049693 mem_available_mb=5965 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295565.476689693 mem_available_mb=5956 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295566.020835891 mem_available_mb=5958 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295566.543215838 mem_available_mb=5958 swap_used_mb=3548 x3_rss_mb=215 x3_swap_mb=0
1790295567.089955786 mem_available_mb=5952 swap_used_mb=3547 x3_rss_mb=215 x3_swap_mb=0
1790295567.648168234 mem_available_mb=5953 swap_used_mb=3547 x3_rss_mb=215 x3_swap_mb=0
1790295568.194918650 mem_available_mb=5951 swap_used_mb=3547 x3_rss_mb=215 x3_swap_mb=0
1790295568.735017244 mem_available_mb=5947 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295569.265514327 mem_available_mb=5951 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295569.809394535 mem_available_mb=5950 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295570.357936618 mem_available_mb=5950 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295570.909094535 mem_available_mb=5957 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295571.459375316 mem_available_mb=5956 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295572.002231670 mem_available_mb=5955 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295572.556355367 mem_available_mb=5956 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295573.093256409 mem_available_mb=5954 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295573.644259377 mem_available_mb=5948 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295574.186319742 mem_available_mb=5948 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295574.741010419 mem_available_mb=5949 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295575.270057554 mem_available_mb=5948 swap_used_mb=3550 x3_rss_mb=215 x3_swap_mb=0
1790295575.812437241 mem_available_mb=5911 swap_used_mb=3590 x3_rss_mb=215 x3_swap_mb=0
1790295576.336011095 mem_available_mb=5871 swap_used_mb=3590 x3_rss_mb=215 x3_swap_mb=0
1790295576.861274845 mem_available_mb=5852 swap_used_mb=3590 x3_rss_mb=217 x3_swap_mb=0
1790295577.392788699 mem_available_mb=5800 swap_used_mb=3590 x3_rss_mb=221 x3_swap_mb=0
1790295577.926280417 mem_available_mb=5776 swap_used_mb=3590 x3_rss_mb=221 x3_swap_mb=0
1790295578.472946303 mem_available_mb=5774 swap_used_mb=3590 x3_rss_mb=221 x3_swap_mb=0
1790295579.028459740 mem_available_mb=5768 swap_used_mb=3590 x3_rss_mb=221 x3_swap_mb=0
1790295579.565404688 mem_available_mb=5766 swap_used_mb=3590 x3_rss_mb=221 x3_swap_mb=0
1790295580.102824531 mem_available_mb=5751 swap_used_mb=3590 x3_rss_mb=221 x3_swap_mb=0
1790295580.649620052 mem_available_mb=5749 swap_used_mb=3590 x3_rss_mb=221 x3_swap_mb=0
1790295581.201603802 mem_available_mb=5748 swap_used_mb=3590 x3_rss_mb=221 x3_swap_mb=0
1790295581.749274322 mem_available_mb=5747 swap_used_mb=3591 x3_rss_mb=221 x3_swap_mb=0
1790295582.285271510 mem_available_mb=5745 swap_used_mb=3591 x3_rss_mb=221 x3_swap_mb=0
1790295582.833821457 mem_available_mb=5748 swap_used_mb=3591 x3_rss_mb=221 x3_swap_mb=0
1790295583.372303592 mem_available_mb=5756 swap_used_mb=3611 x3_rss_mb=221 x3_swap_mb=0
1790295583.918156769 mem_available_mb=5754 swap_used_mb=3614 x3_rss_mb=221 x3_swap_mb=0
1790295584.466902811 mem_available_mb=5754 swap_used_mb=3615 x3_rss_mb=221 x3_swap_mb=0
1790295584.998194998 mem_available_mb=5754 swap_used_mb=3617 x3_rss_mb=221 x3_swap_mb=0
1790295585.538331248 mem_available_mb=5746 swap_used_mb=3617 x3_rss_mb=221 x3_swap_mb=0
1790295586.084549008 mem_available_mb=5742 swap_used_mb=3617 x3_rss_mb=220 x3_swap_mb=0
1790295586.626576143 mem_available_mb=5735 swap_used_mb=3617 x3_rss_mb=220 x3_swap_mb=0
1790295587.168273799 mem_available_mb=5735 swap_used_mb=3617 x3_rss_mb=220 x3_swap_mb=0
1790295587.706612914 mem_available_mb=5735 swap_used_mb=3617 x3_rss_mb=220 x3_swap_mb=0
1790295588.255537445 mem_available_mb=5734 swap_used_mb=3617 x3_rss_mb=220 x3_swap_mb=0
1790295588.800804163 mem_available_mb=5718 swap_used_mb=3617 x3_rss_mb=220 x3_swap_mb=0
1790295589.325263278 mem_available_mb=5718 swap_used_mb=3620 x3_rss_mb=220 x3_swap_mb=0
1790295589.856050100 mem_available_mb=5713 swap_used_mb=3620 x3_rss_mb=220 x3_swap_mb=0
1790295590.380192548 mem_available_mb=5704 swap_used_mb=3620 x3_rss_mb=220 x3_swap_mb=0
1790295590.931259944 mem_available_mb=5702 swap_used_mb=3620 x3_rss_mb=220 x3_swap_mb=0
