# sid=7314 tracer_pid=7312 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out6/bin/proot-fast6 x3=29389 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790299016681,3,3,5,730
1790299016881,10,3,9,730
1790299017081,21,3,13,730
1790299017281,48,3,15,730
1790299017481,59,3,23,731
1790299017681,84,9,36,731
1790299017882,106,9,38,731
1790299018082,140,9,51,731
1790299018282,149,9,67,732
1790299018482,165,9,78,734
1790299018682,207,17,93,736
1790299018883,221,14,99,736
1790299019083,238,14,111,738
1790299019283,257,14,119,739
1790299019483,262,14,127,739
1790299019683,352,23,144,740
1790299019884,405,18,158,741
1790299020084,448,18,171,741
1790299020284,479,18,187,742
1790299020484,518,18,201,745
1790299020684,546,18,218,746
1790299020884,561,18,232,748
1790299021085,610,18,245,749
1790299021285,615,18,259,750
1790299021485,619,18,275,751
1790299021685,619,18,275,752
1790299021886,620,18,275,752
1790299022086,621,18,275,752
1790299022286,622,18,275,753
1790299022486,624,18,275,754
1790299022687,642,18,278,754
1790299022887,642,18,278,756
1790299023087,643,18,278,756
1790299023288,662,18,284,757
1790299023488,663,18,286,757
1790299023688,668,19,292,757
1790299023890,670,18,294,759
1790299024091,672,18,294,759
1790299024291,676,18,298,760
1790299024491,676,18,298,761
1790299024692,676,18,298,761
1790299024892,676,18,298,761
1790299025093,678,18,298,762
1790299025293,680,18,301,763
1790299025493,683,18,302,763
1790299025694,683,18,302,764
1790299025894,683,18,302,765
1790299026095,693,18,306,766
1790299026295,693,18,306,766
1790299026495,694,18,306,767
1790299026696,698,18,309,768
1790299026896,699,18,309,769
1790299027096,700,18,309,769
1790299027297,704,18,313,769
1790299027497,705,18,313,770
1790299027697,707,20,317,771
1790299027897,710,18,317,772
1790299028098,710,18,317,772
1790299028298,712,18,318,773
1790299028498,716,18,322,773
1790299028699,716,18,322,773
1790299028899,716,18,322,775
1790299029099,716,18,322,776
1790299029300,718,18,325,776
1790299029500,721,18,326,777
1790299029701,722,18,326,777
1790299029901,722,18,326,778
1790299030101,727,18,330,778
1790299030302,728,18,330,779
1790299030502,728,18,330,780
1790299030703,729,19,331,780
1790299030903,732,18,334,782
1790299031103,733,18,334,782
1790299031304,733,18,334,782
1790299031504,734,18,334,784
1790299031704,735,19,336,784
1790299031905,738,18,337,784
1790299032105,738,18,337,785
1790299032305,739,18,337,786
1790299032505,741,18,340,786
1790299032706,744,18,341,787
1790299032906,744,18,341,787
1790299033106,744,18,341,788
