# sid=15153 tracer_pid=15150 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out6/bin/proot-fast6 x3=29389 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790299192618,5,3,4,1337
1790299192819,11,3,10,1337
1790299193019,24,3,19,1337
1790299193219,46,3,32,1338
1790299193419,64,3,47,1339
1790299193619,134,20,64,1344
1790299193822,150,19,65,1349
1790299194022,166,19,65,1352
1790299194222,178,19,65,1355
1790299194422,193,19,66,1358
1790299194623,208,19,66,1362
1790299194823,221,19,66,1365
1790299195023,237,19,66,1369
1790299195223,250,19,66,1372
1790299195424,264,19,67,1375
1790299195624,280,19,67,1379
1790299195825,292,19,67,1382
1790299196025,307,19,67,1386
1790299196225,322,19,67,1390
1790299196426,335,19,68,1393
1790299196626,352,19,68,1396
1790299196826,364,19,68,1400
1790299197026,378,19,68,1403
1790299197227,392,19,68,1406
1790299197427,405,19,69,1409
1790299197627,421,19,69,1414
1790299197827,434,19,69,1416
1790299198027,448,19,69,1420
1790299198228,465,19,71,1423
1790299198428,490,19,78,1426
1790299198628,506,20,78,1429
1790299198829,517,20,78,1432
1790299199029,531,20,78,1435
1790299199229,544,20,78,1438
1790299199431,557,20,79,1442
1790299199631,573,20,79,1446
1790299199831,586,20,79,1449
1790299200031,600,20,79,1452
1790299200232,614,20,79,1456
1790299200432,627,20,79,1459
1790299200632,643,20,79,1463
1790299200833,656,20,80,1465
1790299201033,669,20,80,1470
1790299201233,684,20,80,1473
1790299201433,697,20,80,1477
1790299201634,712,20,81,1481
1790299201834,726,20,81,1483
1790299202035,739,20,81,1488
1790299202235,753,20,81,1491
1790299202435,766,20,81,1495
1790299202636,782,20,82,1498
1790299202836,794,20,82,1502
1790299203036,809,20,82,1505
1790299203236,822,20,82,1508
1790299203437,836,20,82,1512
1790299203637,851,20,82,1515
1790299203837,864,20,82,1518
1790299204038,879,20,83,1522
1790299204238,892,20,83,1526
1790299204438,908,20,84,1529
1790299204639,923,20,84,1533
1790299204839,937,20,84,1535
1790299205039,949,20,84,1539
1790299205239,964,20,84,1542
1790299205440,978,20,85,1546
1790299205640,993,20,85,1549
1790299205840,1006,20,85,1553
1790299206040,1020,20,85,1555
1790299206241,1033,20,85,1559
1790299206441,1046,20,85,1562
1790299206641,1061,20,86,1566
1790299206841,1074,20,86,1569
1790299207041,1087,20,86,1572
1790299207242,1102,20,86,1575
1790299207442,1115,20,87,1579
1790299207642,1131,20,87,1582
1790299207843,1142,20,87,1585
1790299208043,1157,20,87,1588
1790299208243,1170,20,87,1591
1790299208444,1184,20,87,1595
1790299208644,1199,20,87,1598
1790299208844,1212,20,88,1602
1790299209044,1225,20,88,1604
1790299209245,1240,20,88,1608
1790299209445,1253,20,88,1611
1790299209645,1269,20,88,1615
1790299209845,1280,20,89,1617
1790299210046,1293,20,89,1621
1790299210246,1309,20,89,1625
1790299210447,1322,20,89,1628
1790299210647,1337,20,90,1631
1790299210847,1350,20,90,1634
1790299211048,1365,20,90,1637
1790299211248,1379,20,90,1641
1790299211448,1392,20,91,1644
1790299211648,1406,20,91,1648
1790299211849,1419,20,91,1651
1790299212049,1433,20,91,1655
1790299212249,1449,20,91,1658
1790299212450,1464,20,91,1661
1790299212650,1478,20,92,1665
1790299212850,1490,20,92,1668
1790299213051,1505,20,92,1671
1790299213251,1519,20,92,1675
1790299213451,1535,20,92,1679
1790299213660,1548,20,93,1682
1790299213860,1561,20,93,1685
1790299214061,1575,20,93,1688
1790299214261,1589,20,93,1692
1790299214462,1603,20,93,1695
1790299214662,1617,20,94,1699
1790299214862,1631,20,94,1701
1790299215062,1645,20,94,1705
1790299215263,1660,20,94,1708
1790299215463,1672,20,94,1711
1790299215664,1687,20,94,1715
1790299215864,1700,20,94,1718
1790299216064,1713,20,94,1721
1790299216264,1726,20,95,1725
1790299216464,1740,20,95,1728
1790299216665,1756,20,95,1732
1790299216865,1768,20,95,1735
1790299217065,1783,20,95,1738
1790299217265,1795,20,96,1742
