# sid=30610 tracer_pid=30608 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out6/bin/proot-fast6 x3=29389 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790298840726,1,2,1,133
1790298840926,1,2,8,133
1790298841126,1,2,19,134
1790298841326,1,2,20,134
1790298841526,1,2,23,135
1790298841726,105,10,33,135
1790298841927,129,9,49,135
1790298842127,134,9,52,135
1790298842327,135,9,61,137
1790298842527,141,9,68,137
1790298842727,201,17,76,138
1790298842927,234,15,84,138
1790298843128,259,15,90,139
1790298843328,270,15,93,140
1790298843528,280,15,93,141
1790298843728,415,16,94,141
1790298843929,447,16,95,141
1790298844129,465,16,100,141
1790298844329,526,16,103,141
1790298844529,588,16,112,142
1790298844729,649,17,118,143
1790298844930,716,17,130,144
1790298845130,746,17,135,144
1790298845331,772,17,142,144
1790298845531,824,17,145,144
1790298845732,851,19,147,144
1790298845932,851,19,147,145
1790298846132,851,19,147,146
1790298846332,852,19,147,146
1790298846533,852,19,147,146
1790298846733,853,19,147,146
1790298846934,856,19,147,147
1790298847134,856,19,147,147
1790298847335,856,19,147,148
1790298847535,857,19,147,148
1790298847735,857,19,147,149
1790298847936,857,19,147,149
1790298848136,860,19,147,150
1790298848337,861,19,147,151
1790298848537,861,19,147,152
1790298848737,861,19,147,152
1790298848938,861,19,147,153
1790298849138,861,19,147,154
1790298849338,861,19,147,154
1790298849538,863,19,147,154
1790298849738,863,19,147,155
1790298849939,865,19,147,155
1790298850139,865,19,147,156
1790298850339,865,19,147,157
1790298850540,869,18,148,158
1790298850740,870,18,148,158
1790298850941,870,18,148,158
1790298851142,870,18,148,159
1790298851342,870,18,148,159
1790298851542,870,18,148,160
1790298851742,871,18,148,160
1790298851943,871,18,148,160
1790298852143,871,18,148,161
1790298852344,871,18,148,162
1790298852544,871,18,148,163
1790298852744,871,18,148,163
1790298852944,871,18,148,164
1790298853145,871,18,148,165
1790298853345,871,18,148,165
1790298853545,871,18,148,166
1790298853745,871,18,148,167
1790298853946,871,18,148,167
1790298854146,877,18,158,169
1790298854346,879,18,158,169
1790298854547,879,18,158,169
1790298854747,880,18,158,170
1790298854947,881,18,158,171
1790298855148,882,18,158,171
1790298855348,882,18,158,172
1790298855549,882,18,158,173
1790298855749,882,18,158,174
1790298855949,882,18,158,174
1790298856150,882,18,158,174
1790298856350,882,18,158,176
1790298856550,882,18,158,176
1790298856751,882,18,158,177
1790298856951,882,18,158,177
1790298857151,882,18,158,179
1790298857352,882,18,158,179
1790298857552,882,18,158,180
1790298857752,883,18,158,181
1790298857952,883,18,158,182
1790298858153,883,18,158,182
1790298858353,884,18,158,183
1790298858554,884,18,158,183
1790298858754,884,18,158,185
1790298858954,884,18,158,185
1790298859155,884,18,158,186
1790298859355,884,18,158,186
1790298859555,885,18,158,187
1790298859756,885,18,158,187
1790298859956,886,18,158,188
1790298860156,886,18,158,190
1790298860357,886,18,158,190
1790298860557,886,18,158,191
1790298860758,886,18,158,191
1790298860958,886,18,158,193
1790298861158,886,18,158,193
1790298861358,886,18,158,193
1790298861558,886,18,158,194
1790298861759,886,18,158,195
1790298861959,886,18,158,196
1790298862160,886,18,158,196
1790298862360,886,18,158,197
1790298862560,886,18,158,197
1790298862761,886,18,158,198
1790298862961,886,18,158,199
1790298863161,887,18,158,199
1790298863362,887,18,158,200
1790298863562,887,18,158,201
1790298863762,887,18,158,202
1790298863962,887,18,158,202
1790298864163,887,18,158,202
1790298864363,887,18,158,204
1790298864563,887,18,158,204
1790298864764,887,18,158,204
1790298864964,887,18,158,205
1790298865164,888,18,158,206
1790298865365,888,18,158,206
1790298865565,889,18,158,207
1790298865766,889,18,158,208
1790298865966,889,18,158,209
1790298866166,889,18,158,210
1790298866367,889,18,158,210
1790298866567,889,18,158,211
1790298866767,889,18,158,212
1790298866968,889,18,158,212
1790298867168,889,18,158,213
1790298867369,889,18,158,214
1790298867571,889,18,158,215
1790298867771,889,18,158,216
1790298867972,889,18,158,216
1790298868172,889,18,158,217
1790298868372,889,18,158,218
1790298868573,889,18,158,219
1790298868773,889,18,158,219
1790298868973,889,18,158,220
1790298869174,889,18,158,220
1790298869374,889,18,158,221
1790298869574,889,18,158,221
1790298869775,889,18,158,221
1790298869975,889,18,158,222
1790298870175,889,18,158,223
1790298870376,889,18,158,223
1790298870576,889,18,158,224
1790298870776,890,18,159,225
1790298870977,890,18,159,225
1790298871177,890,18,159,226
1790298871377,890,18,159,226
1790298871578,890,18,159,227
1790298871778,911,18,159,228
1790298871978,911,18,159,228
1790298872179,913,18,161,229
1790298872379,913,18,161,230
1790298872580,914,18,161,230
1790298872780,915,18,161,231
1790298872984,927,18,162,231
1790298873184,935,18,162,232
1790298873384,935,18,162,232
1790298873585,936,18,162,233
1790298873785,952,18,162,234
1790298873985,952,18,163,235
1790298874186,954,18,163,235
1790298874386,954,18,163,235
1790298874586,958,18,163,236
1790298874786,962,18,163,236
1790298874987,962,18,163,238
1790298875187,963,18,163,238
1790298875388,965,18,163,238
1790298875588,966,18,163,239
1790298875788,966,18,163,240
1790298875989,966,18,163,241
1790298876189,966,18,163,241
1790298876391,966,18,163,242
1790298876591,966,18,163,242
1790298876791,966,18,163,243
1790298876992,966,18,163,243
1790298877192,966,18,163,245
1790298877392,966,18,163,246
1790298877593,967,18,163,246
1790298877793,967,18,164,247
1790298877993,967,18,164,247
1790298878194,967,18,164,248
1790298878394,967,18,164,249
1790298878594,967,18,164,249
1790298878795,967,18,164,250
1790298878995,967,18,164,250
1790298879195,967,18,164,251
1790298879396,967,18,164,252
1790298879596,968,18,164,253
1790298879797,968,18,164,254
1790298879997,968,18,164,254
1790298880197,968,18,164,255
1790298880398,968,18,164,256
1790298880598,984,18,164,257
1790298880799,984,18,164,257
1790298880999,985,18,164,258
1790298881199,985,18,164,259
1790298881400,985,18,164,260
1790298881600,985,18,164,260
1790298881800,985,18,164,261
1790298882001,985,18,164,262
1790298882201,985,18,164,262
1790298882401,985,18,164,263
1790298882602,986,18,164,264
1790298882802,986,18,164,264
1790298883002,986,18,164,265
1790298883202,986,18,164,266
1790298883403,988,18,164,266
1790298883603,992,18,164,267
1790298883803,992,18,164,268
1790298884004,992,18,164,269
1790298884204,992,18,164,270
1790298884404,992,18,164,270
1790298884605,992,18,164,271
1790298884805,992,18,164,271
1790298885005,992,18,164,272
1790298885206,992,18,164,273
1790298885406,992,18,164,273
1790298885606,992,18,164,274
1790298885806,992,18,164,275
1790298886007,992,18,164,275
1790298886207,992,18,164,277
1790298886408,992,18,164,278
1790298886608,992,18,164,278
1790298886808,992,18,164,278
1790298887008,992,18,164,279
1790298887209,992,18,164,280
1790298887409,992,18,164,281
1790298887609,992,18,164,281
1790298887810,992,18,164,282
1790298888010,992,18,164,282
1790298888210,993,18,164,283
1790298888411,994,18,164,283
1790298888611,994,18,164,285
1790298888812,994,18,164,286
1790298889012,994,18,164,286
1790298889212,994,18,164,287
1790298889413,994,18,164,287
1790298889613,994,18,164,288
1790298889813,994,18,164,289
1790298890013,994,18,164,290
1790298890214,994,18,164,290
1790298890414,994,18,164,291
1790298890615,994,18,164,292
1790298890815,994,18,164,293
1790298891016,994,18,164,293
1790298891216,994,18,164,294
1790298891416,995,18,164,295
1790298891617,995,18,164,295
1790298891817,995,18,164,296
1790298892017,995,18,164,298
