# sid=25069 tracer_pid=25067 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out6/bin/proot-fast6 x3=29389 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790299544282,2,3,4,4179
1790299544482,9,3,10,4179
1790299544682,27,3,11,4179
1790299544882,39,3,20,4180
1790299545083,47,3,33,4180
1790299545283,60,5,47,4181
1790299545483,66,5,59,4181
1790299545683,73,5,72,4181
1790299545883,81,5,83,4181
1790299546083,95,5,92,4181
1790299546284,102,5,106,4181
1790299546484,107,5,119,4181
1790299546684,118,5,127,4181
1790299546884,132,5,137,4182
1790299547084,157,5,151,4182
1790299547284,189,12,163,4182
1790299547485,207,12,171,4183
1790299547685,229,12,181,4185
1790299547885,230,12,191,4185
1790299548085,231,12,202,4185
1790299548285,393,14,216,4185
1790299548485,425,14,229,4185
1790299548686,455,14,243,4185
1790299548886,485,14,258,4186
1790299549086,540,14,266,4186
1790299549286,603,14,279,4187
1790299549486,624,14,279,4187
1790299549687,661,14,281,4187
1790299549887,723,14,289,4188
1790299550087,755,14,301,4188
1790299550287,823,16,313,4188
1790299550487,857,16,326,4188
1790299550687,897,16,341,4190
1790299550887,940,16,357,4191
1790299551088,966,16,373,4191
1790299551288,1100,18,388,4191
1790299551488,1146,18,404,4192
1790299551688,1196,18,421,4192
1790299551889,1244,18,437,4193
1790299552089,1288,18,452,4196
1790299552289,1335,18,468,4197
1790299552489,1372,18,482,4198
1790299552689,1438,18,498,4198
1790299552889,1468,18,513,4200
1790299553090,1510,18,526,4200
1790299553290,1547,18,528,4200
1790299553490,1567,18,530,4200
1790299553690,1598,18,539,4201
1790299553890,1623,18,540,4201
1790299554091,1646,18,541,4201
1790299554291,1681,18,542,4202
1790299554491,1710,18,553,4202
1790299554691,1740,18,566,4203
1790299554891,1746,18,568,4203
1790299555092,1751,18,570,4204
1790299555292,1772,19,575,4204
1790299555494,1774,19,576,4205
1790299555695,1775,19,576,4205
1790299555895,1775,19,576,4206
1790299556096,1776,19,578,4206
1790299556296,1779,19,578,4207
1790299556496,1820,19,580,4207
1790299556696,1833,19,591,4207
1790299556897,1844,19,595,4207
1790299557097,1848,19,597,4209
1790299557297,1855,19,597,4209
1790299557498,1860,19,598,4210
1790299557698,1914,19,602,4210
1790299557898,1917,19,602,4210
1790299558098,1928,19,603,4211
1790299558298,1989,21,610,4211
1790299558499,2011,21,626,4211
1790299558699,2051,21,641,4211
1790299558899,2075,21,656,4211
1790299559099,2100,21,671,4212
1790299559299,2118,21,688,4212
1790299559499,2141,21,701,4213
1790299559700,2176,21,717,4213
1790299559900,2201,21,735,4213
1790299560100,2217,21,751,4213
1790299560300,2281,22,770,4213
1790299560500,2307,22,784,4214
1790299560700,2339,22,802,4215
1790299560901,2372,22,818,4215
1790299561101,2410,22,834,4215
1790299561301,2447,22,853,4215
1790299561501,2473,22,869,4216
1790299561701,2499,21,884,4216
1790299561902,2526,21,895,4216
1790299562102,2549,21,909,4216
1790299562302,2566,21,925,4217
1790299562502,2574,21,937,4217
1790299562702,2586,21,953,4217
1790299562902,2598,21,969,4217
1790299563102,2606,21,983,4217
1790299563303,2614,21,999,4217
1790299563503,2637,21,1012,4217
