# sid=19457 tracer_pid=19455 tracer_arg0=/data/data/com.termux/files/home/build/proot-fast/out6/bin/proot-fast6 x3=29389 interval=0.2 rescan=5
epoch_ms,session_ticks,session_procs,tracer_ticks,x3_ticks
1790299368414,3,3,6,3572
1790299368614,9,3,10,3573
1790299368814,29,3,12,3573
1790299369014,40,3,21,3573
1790299369215,58,3,34,3574
1790299369415,89,10,41,3574
1790299369615,101,10,48,3574
1790299369815,115,9,56,3575
1790299370015,116,9,69,3575
1790299370216,117,9,79,3575
1790299370416,156,14,89,3575
1790299370616,164,14,98,3575
1790299370816,175,14,109,3576
1790299371016,184,14,117,3576
1790299371217,192,14,126,3576
1790299371417,200,14,139,3576
1790299371619,208,14,151,3577
1790299371819,215,14,166,3577
1790299372019,222,14,179,3577
1790299372219,251,13,190,3578
1790299372419,288,15,204,3578
1790299372620,339,15,216,3578
1790299372820,378,14,226,3579
1790299373020,424,14,241,3580
1790299373220,448,14,257,3582
1790299373420,521,17,272,3583
1790299373621,550,16,284,3584
1790299373821,573,16,297,3585
1790299374021,588,16,310,3586
1790299374221,608,16,325,3588
1790299374421,630,16,341,3589
1790299374621,652,16,355,3590
1790299374822,673,16,371,3591
1790299375022,690,16,385,3592
1790299375222,709,16,399,3592
1790299375422,733,16,412,3593
1790299375622,760,16,422,3594
1790299375822,791,16,430,3594
1790299376023,818,16,444,3595
1790299376223,855,16,450,3597
1790299376423,896,16,454,3598
1790299376623,918,16,466,3599
1790299376823,950,16,472,3599
1790299377023,980,16,488,3600
1790299377224,1033,16,504,3601
1790299377424,1070,16,522,3604
1790299377624,1095,16,537,3605
1790299377824,1164,16,545,3608
1790299378024,1233,16,555,3610
1790299378227,1317,16,563,3611
1790299378427,1416,16,573,3613
1790299378627,1502,16,582,3616
1790299378828,1599,16,589,3618
1790299379028,1673,16,593,3620
1790299379228,1747,16,602,3622
1790299379428,1778,16,617,3624
1790299379628,1798,16,631,3624
1790299379828,1823,16,646,3625
1790299380029,1840,16,655,3627
1790299380229,1861,16,670,3627
1790299380429,1885,16,685,3628
1790299380629,1899,16,701,3629
1790299380830,1912,16,719,3629
1790299381030,1922,16,735,3630
