TRACER 19896
RTT 1790324673.162 0.083
RTT 1790324673.412 0.144
RTT 1790324673.663 0.250
RTT 1790324673.913 0.269
RTT 1790324674.163 0.171
RTT 1790324674.413 0.495
RTT 1790324674.664 0.400
RTT 1790324674.914 0.468
RTT 1790324675.164 0.285
RTT 1790324675.414 0.266
RTT 1790324675.664 0.375
RTT 1790324675.914 0.215
RTT 1790324676.164 0.120
RTT 1790324676.415 0.302
RTT 1790324676.665 0.593
RTT 1790324676.915 0.208
RTT 1790324677.165 0.408
RTT 1790324677.416 0.628
RTT 1790324677.666 0.459
RTT 1790324677.916 0.222
RTT 1790324678.167 1.497
RTT 1790324678.417 0.197
RTT 1790324678.667 0.498
RTT 1790324678.917 0.238
RTT 1790324679.167 0.348
RTT 1790324679.417 0.215
RTT 1790324679.668 0.189
RTT 1790324679.918 0.920
RTT 1790324680.168 0.274
RTT 1790324680.418 0.239
RTT 1790324680.668 0.278
RTT 1790324680.918 0.223
RTT 1790324681.171 0.134
RTT 1790324681.422 0.220
RTT 1790324681.672 0.139
RTT 1790324681.922 0.229
RTT 1790324682.172 0.261
RTT 1790324682.422 0.215
RTT 1790324682.672 0.190
RTT 1790324682.922 0.246
RTT 1790324683.173 0.245
RTT 1790324683.423 0.207
RTT 1790324683.673 0.285
RTT 1790324683.924 0.288
RTT 1790324684.178 4.560
RTT 1790324684.426 2.054
RTT 1790324684.674 0.129
RTT 1790324684.924 0.309
RTT 1790324685.174 0.215
RTT 1790324685.425 0.164
RTT 1790324685.675 0.736
RTT 1790324685.925 0.137
RTT 1790324686.175 0.268
RTT 1790324686.425 0.528
RTT 1790324686.677 1.516
RTT 1790324686.925 0.282
RTT 1790324687.175 0.248
RTT 1790324687.426 0.218
RTT 1790324687.676 0.535
RTT 1790324687.926 0.530
RTT 1790324688.176 0.153
RTT 1790324688.426 0.378
RTT 1790324688.676 0.326
RTT 1790324688.928 0.446
RTT 1790324689.177 0.121
RTT 1790324689.428 0.454
RTT 1790324689.678 0.331
RTT 1790324689.928 0.215
RTT 1790324690.178 0.222
RTT 1790324690.429 0.299
RTT 1790324690.679 0.299
RTT 1790324690.930 0.262
RTT 1790324691.181 0.239
RTT 1790324691.432 0.619
RTT 1790324691.681 0.309
RTT 1790324691.932 0.286
RTT 1790324692.182 0.243
RTT 1790324692.432 0.130
RTT 1790324692.682 0.299
RTT 1790324692.932 0.464
RTT 1790324693.182 0.197
RTT 1790324693.433 0.562
RTT 1790324693.683 0.518
RTT 1790324693.933 0.543
RTT 1790324694.183 0.347
RTT 1790324694.433 0.259
RTT 1790324694.684 0.457
RTT 1790324694.934 0.259
RTT 1790324695.184 0.754
RTT 1790324695.434 0.253
RTT 1790324695.684 0.331
RTT 1790324695.935 0.484
RTT 1790324696.185 0.219
RTT 1790324696.435 0.370
RTT 1790324696.685 0.258
RTT 1790324696.935 0.248
RTT 1790324697.186 0.845
RTT 1790324697.435 0.128
RTT 1790324697.686 0.490
RTT 1790324697.936 0.360
RTT 1790324698.187 0.881
RTT 1790324698.437 0.252
RTT 1790324698.690 3.251
RTT 1790324698.938 0.980
RTT 1790324699.187 0.127
RTT 1790324699.438 0.303
RTT 1790324699.689 0.412
RTT 1790324699.939 0.166
RTT 1790324700.189 0.247
RTT 1790324700.441 2.386
RTT 1790324700.693 4.433
RTT 1790324700.941 0.619
RTT 1790324701.190 0.221
RTT 1790324701.440 0.155
RTT 1790324701.691 0.321
RTT 1790324701.941 0.239
RTT 1790324702.191 0.184
RTT 1790324702.441 0.329
RTT 1790324702.691 0.314
RTT 1790324702.942 0.480
RTT 1790324703.192 0.251
RTT 1790324703.442 0.111
RTT 1790324703.692 0.429
RTT 1790324703.942 0.213
RTT 1790324704.192 0.233
RTT 1790324704.442 0.162
RTT 1790324704.693 0.442
RTT 1790324704.943 0.247
RTT 1790324705.193 0.170
RTT 1790324705.443 0.222
RTT 1790324705.693 0.150
RTT 1790324705.944 0.428
RTT 1790324706.194 0.219
RTT 1790324706.445 0.536
RTT 1790324706.695 0.242
RTT 1790324706.945 0.214
RTT 1790324707.196 0.422
RTT 1790324707.446 0.313
RTT 1790324707.696 0.279
RTT 1790324707.946 0.240
RTT 1790324708.197 0.290
RTT 1790324708.447 0.289
RTT 1790324708.697 0.195
RTT 1790324708.948 0.552
RTT 1790324709.198 0.349
RTT 1790324709.449 1.357
RTT 1790324709.699 1.982
RTT 1790324709.948 0.258
RTT 1790324710.198 0.274
RTT 1790324710.448 0.404
RTT 1790324710.698 0.324
RTT 1790324710.948 0.308
RTT 1790324711.198 0.386
RTT 1790324711.449 0.242
RTT 1790324711.699 0.360
RTT 1790324711.949 0.324
RTT 1790324712.200 0.176
RTT 1790324712.450 0.109
RTT 1790324712.700 0.276
RTT 1790324712.951 0.474
RTT 1790324713.201 0.214
RTT 1790324713.451 0.243
RTT 1790324713.701 0.495
RTT 1790324713.952 0.472
RTT 1790324714.201 0.183
RTT 1790324714.452 0.241
RTT 1790324714.702 0.240
RTT 1790324714.952 0.245
RTT 1790324715.202 0.229
RTT 1790324715.452 0.565
RTT 1790324715.702 0.498
RTT 1790324715.952 0.209
RTT 1790324716.203 0.413
RTT 1790324716.453 0.241
RTT 1790324716.703 0.264
RTT 1790324716.953 0.355
RTT 1790324717.203 0.275
RTT 1790324717.453 0.275
RTT 1790324717.704 0.359
RTT 1790324717.954 0.370
RTT 1790324718.205 0.926
RTT 1790324718.454 0.314
RTT 1790324718.704 0.337
RTT 1790324718.954 0.205
RTT 1790324719.205 0.297
RTT 1790324719.455 0.271
RTT 1790324719.708 3.600
RTT 1790324719.955 0.230
RTT 1790324720.205 0.272
RTT 1790324720.455 0.166
RTT 1790324720.705 0.299
RTT 1790324720.955 0.185
RTT 1790324721.206 0.227
RTT 1790324721.456 0.255
RTT 1790324721.706 0.304
RTT 1790324721.956 0.337
RTT 1790324722.206 0.353
RTT 1790324722.456 0.356
RTT 1790324722.707 0.343
RTT 1790324722.957 0.355
RTT 1790324723.207 0.227
RTT 1790324723.457 0.311
RTT 1790324723.707 0.357
RTT 1790324723.958 0.313
RTT 1790324724.208 0.230
RTT 1790324724.458 0.394
RTT 1790324724.708 0.390
RTT 1790324724.958 0.232
RTT 1790324725.208 0.331
RTT 1790324725.459 1.057
RTT 1790324725.709 0.259
RTT 1790324725.960 1.335
RTT 1790324726.209 0.320
RTT 1790324726.460 0.251
RTT 1790324726.710 0.275
RTT 1790324726.961 1.404
RTT 1790324727.210 0.289
RTT 1790324727.460 0.216
RTT 1790324727.711 0.195
RTT 1790324727.961 0.199
RTT 1790324728.211 0.220
RTT 1790324728.461 0.206
RTT 1790324728.712 0.654
RTT 1790324728.962 0.190
RTT 1790324729.212 0.278
RTT 1790324729.462 0.194
RTT 1790324729.712 0.270
RTT 1790324729.963 0.343
RTT 1790324730.213 0.206
RTT 1790324730.463 0.229
RTT 1790324730.713 0.606
RTT 1790324730.963 0.204
RTT 1790324731.213 0.270
RTT 1790324731.464 0.557
RTT 1790324731.714 0.238
RTT 1790324731.964 0.372
RTT 1790324732.214 0.133
RTT 1790324732.464 0.143
RTT 1790324732.714 0.134
RTT 1790324732.964 0.173
RTT 1790324733.214 0.249
RTT 1790324733.466 1.724
RTT 1790324733.715 0.159
RTT 1790324733.965 0.092
RTT 1790324734.215 0.265
RTT 1790324734.465 0.862
RTT 1790324734.715 0.234
RTT 1790324734.967 2.048
RTT 1790324735.215 0.090
RTT 1790324735.465 0.493
RTT 1790324735.715 0.369
RTT 1790324735.965 0.217
RTT 1790324736.215 0.244
RTT 1790324736.466 0.480
RTT 1790324736.716 0.245
RTT 1790324736.966 0.250
RTT 1790324737.217 1.515
RTT 1790324737.466 0.560
RTT 1790324737.716 0.157
RTT 1790324737.966 0.313
RTT 1790324738.216 0.156
RTT 1790324738.466 0.125
RTT 1790324738.723 7.271
RTT 1790324738.966 0.273
RTT 1790324739.216 0.237
RTT 1790324739.471 4.893
RTT 1790324739.718 1.993
RTT 1790324739.969 2.314
RTT 1790324740.217 0.194
RTT 1790324740.467 0.184
RTT 1790324740.717 0.216
RTT 1790324740.969 1.891
RTT 1790324741.218 0.779
RTT 1790324741.468 1.196
RTT 1790324741.722 5.371
RTT 1790324741.977 10.324
RTT 1790324742.229 12.164
RTT 1790324742.470 2.441
RTT 1790324742.722 4.684
RTT 1790324742.969 1.205
RTT 1790324743.241 23.831
RTT 1790324743.472 4.370
RTT 1790324743.986 268.184
RTT 1790324743.987 0.216
RTT 1790324744.245 8.889
RTT 1790324744.510 23.853
RTT 1790324744.751 14.727
RTT 1790324745.015 28.436
RTT 1790324745.260 23.081
RTT 1790324745.533 45.813
RTT 1790324745.778 41.460
RTT 1790324746.007 20.412
RTT 1790324746.296 59.327
RTT 1790324746.487 0.366
RTT 1790324746.764 26.813
RTT 1790324746.987 0.126
RTT 1790324747.259 22.127
RTT 1790324747.493 5.949
RTT 1790324747.751 13.303
RTT 1790324748.007 19.924
RTT 1790324748.240 2.527
RTT 1790324748.518 29.995
RTT 1790324748.738 0.322
RTT 1790324749.037 48.554
RTT 1790324749.239 1.294
RTT 1790324749.505 16.650
RTT 1790324749.740 1.661
RTT 1790324750.007 18.422
RTT 1790324750.241 2.360
RTT 1790324750.493 4.314
RTT 1790324750.743 4.605
