TRACER 0
RTT 1790324673.058 0.057
RTT 1790324673.308 0.225
RTT 1790324673.559 0.649
RTT 1790324673.808 0.125
RTT 1790324674.059 0.112
RTT 1790324674.309 0.141
RTT 1790324674.559 0.094
RTT 1790324674.809 0.145
RTT 1790324675.060 0.196
RTT 1790324675.310 0.133
RTT 1790324675.560 0.185
RTT 1790324675.811 0.150
RTT 1790324676.061 0.497
RTT 1790324676.311 0.111
RTT 1790324676.561 0.098
RTT 1790324676.811 0.107
RTT 1790324677.062 0.221
RTT 1790324677.312 0.348
RTT 1790324677.562 0.076
RTT 1790324677.812 0.158
RTT 1790324678.062 0.163
RTT 1790324678.312 0.145
RTT 1790324678.569 0.179
RTT 1790324678.819 0.103
RTT 1790324679.069 0.128
RTT 1790324679.319 0.202
RTT 1790324679.569 0.227
RTT 1790324679.819 0.125
RTT 1790324680.069 0.119
RTT 1790324680.320 0.130
RTT 1790324680.570 0.124
RTT 1790324680.820 0.142
RTT 1790324681.070 0.170
RTT 1790324681.320 0.146
RTT 1790324681.570 0.064
RTT 1790324681.820 0.133
RTT 1790324682.071 0.250
RTT 1790324682.321 0.118
RTT 1790324682.571 0.225
RTT 1790324682.821 0.136
RTT 1790324683.072 0.479
RTT 1790324683.322 0.372
RTT 1790324683.572 0.187
RTT 1790324683.822 0.164
RTT 1790324684.073 0.155
RTT 1790324684.323 0.063
RTT 1790324684.573 0.108
RTT 1790324684.823 0.158
RTT 1790324685.073 0.128
RTT 1790324685.323 0.158
RTT 1790324685.574 0.162
RTT 1790324685.824 0.431
RTT 1790324686.077 3.401
RTT 1790324686.324 0.139
RTT 1790324686.574 0.161
RTT 1790324686.824 0.132
RTT 1790324687.075 0.144
RTT 1790324687.325 0.190
RTT 1790324687.575 0.145
RTT 1790324687.826 0.284
RTT 1790324688.076 0.290
RTT 1790324688.326 0.087
RTT 1790324688.576 0.187
RTT 1790324688.826 0.300
RTT 1790324689.077 0.136
RTT 1790324689.327 0.102
RTT 1790324689.577 0.092
RTT 1790324689.827 0.132
RTT 1790324690.078 0.142
RTT 1790324690.329 1.429
RTT 1790324690.578 0.392
RTT 1790324690.829 0.433
RTT 1790324691.078 0.154
RTT 1790324691.329 0.155
RTT 1790324691.579 0.175
RTT 1790324691.829 0.312
RTT 1790324692.079 0.163
RTT 1790324692.329 0.178
RTT 1790324692.580 0.096
RTT 1790324692.830 0.139
RTT 1790324693.080 0.433
RTT 1790324693.330 0.159
RTT 1790324693.580 0.139
RTT 1790324693.831 0.804
RTT 1790324694.081 0.120
RTT 1790324694.331 0.225
RTT 1790324694.581 0.297
RTT 1790324694.832 0.158
RTT 1790324695.082 0.204
RTT 1790324695.333 0.474
RTT 1790324695.583 0.082
RTT 1790324695.833 0.250
RTT 1790324696.083 0.178
RTT 1790324696.334 0.482
RTT 1790324696.584 0.244
RTT 1790324696.834 0.439
RTT 1790324697.084 0.147
RTT 1790324697.335 0.121
RTT 1790324697.585 0.123
RTT 1790324697.835 0.100
RTT 1790324698.085 0.442
RTT 1790324698.335 0.259
RTT 1790324698.585 0.075
RTT 1790324698.836 0.155
RTT 1790324699.086 0.084
RTT 1790324699.336 0.613
RTT 1790324699.586 0.177
RTT 1790324699.836 0.171
RTT 1790324700.086 0.157
RTT 1790324700.337 0.205
RTT 1790324700.587 0.095
RTT 1790324700.839 1.814
RTT 1790324701.087 0.178
RTT 1790324701.338 0.123
RTT 1790324701.588 0.328
RTT 1790324701.838 0.282
RTT 1790324702.089 0.903
RTT 1790324702.338 0.128
RTT 1790324702.589 0.285
RTT 1790324702.839 0.134
RTT 1790324703.091 2.198
RTT 1790324703.339 0.103
RTT 1790324703.590 0.138
RTT 1790324703.840 0.103
RTT 1790324704.090 0.354
RTT 1790324704.340 0.183
RTT 1790324704.590 0.201
RTT 1790324704.841 0.155
RTT 1790324705.091 0.200
RTT 1790324705.341 0.311
RTT 1790324705.591 0.308
RTT 1790324705.841 0.137
RTT 1790324706.091 0.110
RTT 1790324706.341 0.125
RTT 1790324706.592 0.154
RTT 1790324706.842 0.419
RTT 1790324707.093 0.994
RTT 1790324707.343 1.372
RTT 1790324707.592 0.068
RTT 1790324707.842 0.120
RTT 1790324708.092 0.122
RTT 1790324708.343 0.861
RTT 1790324708.593 0.187
RTT 1790324708.843 0.132
RTT 1790324709.093 0.134
RTT 1790324709.343 0.173
RTT 1790324709.594 0.163
RTT 1790324709.844 0.147
RTT 1790324710.094 0.192
RTT 1790324710.344 0.084
RTT 1790324710.595 0.091
RTT 1790324710.845 0.739
RTT 1790324711.095 0.127
RTT 1790324711.346 0.125
RTT 1790324711.597 0.188
RTT 1790324711.847 0.136
RTT 1790324712.097 0.202
RTT 1790324712.348 0.731
RTT 1790324712.598 0.997
