TRACER 15010
RTT 1790324140.824 0.099
RTT 1790324141.074 0.135
RTT 1790324141.324 0.153
RTT 1790324141.575 0.177
RTT 1790324141.825 0.150
RTT 1790324142.075 0.248
RTT 1790324142.325 0.118
RTT 1790324142.576 0.143
RTT 1790324142.826 0.180
RTT 1790324143.076 0.208
RTT 1790324143.326 0.487
RTT 1790324143.576 0.127
RTT 1790324143.826 0.145
RTT 1790324144.076 0.056
RTT 1790324144.327 0.080
RTT 1790324144.577 0.301
RTT 1790324144.827 0.135
RTT 1790324145.077 0.130
RTT 1790324145.327 0.279
RTT 1790324145.577 0.113
RTT 1790324145.828 0.137
RTT 1790324146.078 0.165
RTT 1790324146.328 0.369
RTT 1790324146.578 0.127
RTT 1790324146.828 0.139
RTT 1790324147.079 0.265
RTT 1790324147.329 0.131
RTT 1790324147.579 0.284
RTT 1790324147.830 0.253
RTT 1790324148.080 0.288
RTT 1790324148.330 0.044
RTT 1790324148.581 0.265
RTT 1790324148.831 0.109
RTT 1790324149.081 0.265
RTT 1790324149.331 0.189
RTT 1790324149.582 0.259
RTT 1790324149.832 0.142
RTT 1790324150.082 0.206
RTT 1790324150.332 0.206
RTT 1790324150.583 0.293
RTT 1790324150.833 0.308
RTT 1790324151.083 0.284
RTT 1790324151.334 0.202
RTT 1790324151.584 0.199
RTT 1790324151.834 0.193
RTT 1790324152.084 0.292
RTT 1790324152.334 0.141
RTT 1790324152.585 0.053
RTT 1790324152.835 0.063
RTT 1790324153.085 0.265
RTT 1790324153.335 0.221
RTT 1790324153.585 0.205
RTT 1790324153.836 0.357
RTT 1790324154.086 0.227
RTT 1790324154.336 0.276
RTT 1790324154.587 0.176
RTT 1790324154.837 0.303
RTT 1790324155.087 0.227
RTT 1790324155.337 0.269
RTT 1790324155.587 0.185
RTT 1790324155.838 0.285
RTT 1790324156.088 0.268
RTT 1790324156.338 0.291
RTT 1790324156.589 0.272
RTT 1790324156.839 0.150
RTT 1790324157.089 0.063
RTT 1790324157.339 0.485
RTT 1790324157.590 0.261
RTT 1790324157.840 0.231
RTT 1790324158.090 0.211
RTT 1790324158.341 0.185
RTT 1790324158.591 0.117
RTT 1790324158.842 0.098
RTT 1790324159.093 0.170
RTT 1790324159.343 0.113
RTT 1790324159.593 0.155
RTT 1790324159.847 2.898
RTT 1790324160.097 2.762
RTT 1790324160.347 2.652
RTT 1790324160.597 2.280
RTT 1790324160.849 2.901
RTT 1790324161.097 0.745
RTT 1790324161.347 0.052
RTT 1790324161.600 2.713
RTT 1790324161.848 0.287
RTT 1790324162.098 0.303
RTT 1790324162.348 0.255
RTT 1790324162.598 0.127
RTT 1790324162.849 0.119
RTT 1790324163.099 0.179
RTT 1790324163.350 0.927
RTT 1790324163.600 0.137
RTT 1790324163.851 0.136
RTT 1790324164.101 0.271
RTT 1790324164.351 0.137
RTT 1790324164.601 0.291
RTT 1790324164.851 0.290
RTT 1790324165.102 0.214
RTT 1790324165.352 0.184
RTT 1790324165.602 0.112
RTT 1790324165.852 0.153
RTT 1790324166.102 0.125
RTT 1790324166.353 0.123
RTT 1790324166.604 0.584
RTT 1790324166.855 0.609
RTT 1790324167.104 0.196
RTT 1790324167.355 0.240
RTT 1790324167.605 0.168
RTT 1790324167.855 0.181
RTT 1790324168.105 0.209
RTT 1790324168.355 0.193
RTT 1790324168.605 0.095
RTT 1790324168.856 0.196
RTT 1790324169.106 0.194
RTT 1790324169.356 0.144
RTT 1790324169.606 0.144
RTT 1790324169.856 0.058
RTT 1790324170.106 0.092
RTT 1790324170.357 0.092
RTT 1790324170.608 0.105
RTT 1790324170.858 0.121
RTT 1790324171.108 0.283
RTT 1790324171.358 0.131
RTT 1790324171.608 0.113
RTT 1790324171.858 0.083
RTT 1790324172.109 0.127
RTT 1790324172.359 0.117
RTT 1790324172.609 0.042
RTT 1790324172.859 0.138
RTT 1790324173.109 0.127
RTT 1790324173.359 0.134
RTT 1790324173.609 0.165
RTT 1790324173.859 0.125
RTT 1790324174.110 0.040
RTT 1790324174.360 0.038
RTT 1790324174.610 0.360
RTT 1790324174.860 0.159
RTT 1790324175.110 0.121
RTT 1790324175.360 0.155
RTT 1790324175.611 0.129
RTT 1790324175.861 0.108
RTT 1790324176.111 0.127
RTT 1790324176.361 0.134
RTT 1790324176.611 0.128
RTT 1790324176.861 0.128
RTT 1790324177.112 0.138
RTT 1790324177.362 0.165
RTT 1790324177.612 0.122
RTT 1790324177.862 0.128
RTT 1790324178.112 0.125
RTT 1790324178.362 0.161
RTT 1790324178.612 0.041
RTT 1790324178.863 0.127
RTT 1790324179.113 0.184
RTT 1790324179.363 0.101
RTT 1790324179.613 0.122
RTT 1790324179.863 0.117
RTT 1790324180.114 0.158
RTT 1790324180.364 0.136
RTT 1790324180.614 0.131
RTT 1790324180.864 0.132
RTT 1790324181.114 0.137
RTT 1790324181.365 0.161
RTT 1790324181.615 0.165
RTT 1790324181.865 0.132
RTT 1790324182.115 0.131
RTT 1790324182.365 0.135
RTT 1790324182.616 0.284
RTT 1790324182.866 0.058
RTT 1790324183.116 0.314
RTT 1790324183.366 0.208
RTT 1790324183.616 0.262
RTT 1790324183.866 0.164
RTT 1790324184.117 0.282
RTT 1790324184.367 0.271
RTT 1790324184.617 0.269
RTT 1790324184.867 0.149
RTT 1790324185.118 0.273
RTT 1790324185.368 0.169
RTT 1790324185.618 0.269
RTT 1790324185.868 0.281
RTT 1790324186.118 0.265
RTT 1790324186.369 0.136
RTT 1790324186.619 0.217
RTT 1790324186.869 0.223
RTT 1790324187.119 0.053
RTT 1790324187.369 0.126
RTT 1790324187.619 0.097
RTT 1790324187.870 0.159
RTT 1790324188.120 0.333
RTT 1790324188.370 0.270
RTT 1790324188.620 0.061
RTT 1790324188.870 0.289
RTT 1790324189.121 0.266
RTT 1790324189.371 0.073
RTT 1790324189.621 0.079
RTT 1790324189.871 0.274
RTT 1790324190.121 0.293
RTT 1790324190.371 0.238
RTT 1790324190.621 0.124
RTT 1790324190.872 0.191
RTT 1790324191.122 0.168
RTT 1790324191.372 0.054
RTT 1790324191.622 0.178
RTT 1790324191.872 0.145
RTT 1790324192.124 0.172
RTT 1790324192.374 0.291
RTT 1790324192.624 0.288
RTT 1790324192.874 0.175
RTT 1790324193.125 0.257
RTT 1790324193.375 0.248
RTT 1790324193.625 0.168
RTT 1790324193.875 0.274
RTT 1790324194.126 0.300
RTT 1790324194.377 0.268
RTT 1790324194.627 0.268
RTT 1790324194.877 0.288
RTT 1790324195.128 0.144
RTT 1790324195.378 0.279
RTT 1790324195.628 0.040
RTT 1790324195.878 0.053
RTT 1790324196.128 0.211
RTT 1790324196.379 0.280
RTT 1790324196.629 0.284
RTT 1790324196.879 0.152
RTT 1790324197.133 2.768
RTT 1790324197.380 0.084
RTT 1790324197.631 0.187
RTT 1790324197.881 0.096
RTT 1790324198.132 0.119
RTT 1790324198.382 0.135
RTT 1790324198.633 0.112
RTT 1790324198.883 0.122
RTT 1790324199.134 0.130
RTT 1790324199.384 0.113
RTT 1790324199.634 0.137
RTT 1790324199.884 0.154
RTT 1790324200.134 0.063
RTT 1790324200.386 0.207
RTT 1790324200.636 0.126
RTT 1790324200.887 0.274
RTT 1790324201.137 0.152
RTT 1790324201.387 0.060
RTT 1790324201.637 0.106
RTT 1790324201.888 0.110
RTT 1790324202.138 0.089
RTT 1790324202.388 0.061
RTT 1790324202.638 0.058
RTT 1790324202.888 0.182
RTT 1790324203.138 0.135
RTT 1790324203.389 0.058
RTT 1790324203.639 0.104
RTT 1790324203.889 0.187
RTT 1790324204.139 0.108
RTT 1790324204.389 0.192
RTT 1790324204.639 0.055
RTT 1790324204.889 0.065
RTT 1790324205.139 0.072
RTT 1790324205.390 0.071
RTT 1790324205.644 4.053
RTT 1790324205.891 0.312
RTT 1790324206.141 0.091
RTT 1790324206.391 0.079
RTT 1790324206.641 0.124
RTT 1790324206.891 0.064
RTT 1790324207.141 0.071
RTT 1790324207.391 0.064
RTT 1790324207.641 0.090
RTT 1790324207.892 0.566
RTT 1790324208.143 1.376
RTT 1790324208.717 325.279
RTT 1790324208.720 2.332
RTT 1790324208.968 0.197
RTT 1790324209.218 0.065
RTT 1790324209.468 0.039
RTT 1790324209.718 0.057
RTT 1790324209.968 0.075
RTT 1790324210.218 0.076
RTT 1790324210.468 0.100
RTT 1790324210.718 0.043
RTT 1790324210.968 0.084
RTT 1790324211.218 0.056
RTT 1790324211.469 0.056
RTT 1790324211.719 0.067
RTT 1790324211.969 0.502
RTT 1790324212.221 0.075
RTT 1790324212.471 0.060
RTT 1790324212.721 0.058
RTT 1790324212.971 0.069
RTT 1790324213.221 0.150
RTT 1790324213.472 0.038
RTT 1790324213.723 0.068
RTT 1790324213.973 0.062
RTT 1790324214.223 0.061
RTT 1790324214.473 0.077
RTT 1790324214.723 0.062
RTT 1790324214.974 0.086
RTT 1790324215.224 0.055
RTT 1790324215.474 0.073
RTT 1790324215.724 0.050
RTT 1790324215.974 0.053
RTT 1790324216.224 0.118
RTT 1790324216.474 0.096
RTT 1790324216.724 0.066
RTT 1790324216.975 0.074
RTT 1790324217.225 0.049
RTT 1790324217.475 0.051
RTT 1790324217.725 0.050
RTT 1790324217.975 0.052
RTT 1790324218.225 0.138
RTT 1790324218.475 0.088
RTT 1790324218.725 0.058
RTT 1790324218.975 0.039
RTT 1790324219.226 0.060
RTT 1790324219.476 0.212
RTT 1790324219.726 0.085
RTT 1790324219.976 0.072
RTT 1790324220.228 1.972
RTT 1790324220.477 0.152
RTT 1790324220.727 0.132
RTT 1790324220.977 0.122
RTT 1790324221.227 0.140
RTT 1790324221.477 0.067
RTT 1790324221.727 0.070
RTT 1790324221.977 0.051
RTT 1790324222.227 0.048
RTT 1790324222.478 0.133
RTT 1790324222.728 0.065
RTT 1790324222.978 0.046
RTT 1790324223.228 0.041
RTT 1790324223.478 0.042
RTT 1790324223.728 0.036
RTT 1790324223.978 0.042
RTT 1790324224.229 0.057
RTT 1790324224.479 0.037
RTT 1790324224.729 0.056
RTT 1790324224.979 0.065
RTT 1790324225.229 0.076
RTT 1790324225.479 0.158
RTT 1790324225.729 0.048
RTT 1790324225.979 0.054
RTT 1790324226.229 0.058
RTT 1790324226.480 0.085
RTT 1790324226.730 0.057
RTT 1790324226.980 0.135
RTT 1790324227.230 0.071
RTT 1790324227.480 0.061
RTT 1790324227.730 0.053
RTT 1790324227.980 0.061
RTT 1790324228.231 0.055
RTT 1790324228.481 0.105
RTT 1790324228.731 0.237
RTT 1790324228.981 0.088
RTT 1790324229.231 0.110
RTT 1790324229.481 0.181
RTT 1790324229.731 0.067
RTT 1790324229.981 0.053
RTT 1790324230.232 0.074
RTT 1790324230.482 0.048
RTT 1790324230.732 0.050
RTT 1790324230.983 0.059
RTT 1790324231.233 0.194
RTT 1790324231.485 0.251
RTT 1790324231.735 0.055
RTT 1790324231.985 0.094
RTT 1790324232.236 0.113
RTT 1790324232.486 0.061
RTT 1790324232.736 0.105
RTT 1790324232.987 0.092
RTT 1790324233.237 0.044
RTT 1790324233.487 0.075
RTT 1790324233.737 0.055
RTT 1790324233.987 0.047
RTT 1790324234.237 0.051
RTT 1790324234.487 0.052
RTT 1790324234.737 0.113
RTT 1790324234.987 0.051
RTT 1790324235.238 0.045
RTT 1790324235.488 0.115
RTT 1790324235.738 0.234
RTT 1790324235.988 0.080
RTT 1790324236.238 0.309
RTT 1790324236.488 0.101
RTT 1790324236.738 0.079
RTT 1790324236.988 0.054
RTT 1790324237.239 0.057
RTT 1790324237.489 0.070
RTT 1790324237.739 0.144
RTT 1790324237.989 0.062
RTT 1790324238.239 0.128
RTT 1790324238.489 0.084
RTT 1790324238.739 0.046
RTT 1790324238.989 0.055
RTT 1790324239.239 0.054
RTT 1790324239.489 0.049
RTT 1790324239.740 0.061
RTT 1790324239.991 0.555
RTT 1790324240.242 1.525
RTT 1790324240.491 0.065
RTT 1790324240.741 0.073
RTT 1790324240.991 0.060
RTT 1790324241.241 0.127
RTT 1790324241.491 0.068
RTT 1790324241.741 0.048
RTT 1790324241.991 0.063
RTT 1790324242.241 0.050
RTT 1790324242.491 0.094
RTT 1790324242.741 0.048
RTT 1790324242.992 0.051
RTT 1790324243.242 0.057
RTT 1790324243.492 0.052
RTT 1790324243.742 0.057
RTT 1790324243.992 0.090
RTT 1790324244.243 0.072
RTT 1790324244.493 0.138
RTT 1790324244.743 0.063
RTT 1790324244.993 0.054
RTT 1790324245.244 0.065
RTT 1790324245.494 0.095
RTT 1790324245.744 0.202
RTT 1790324245.996 0.120
RTT 1790324246.247 1.013
RTT 1790324246.496 0.053
RTT 1790324246.746 0.079
RTT 1790324246.996 0.058
RTT 1790324247.246 0.055
RTT 1790324247.496 0.070
RTT 1790324247.750 0.123
RTT 1790324248.000 0.046
RTT 1790324248.250 0.145
RTT 1790324248.500 0.110
RTT 1790324248.750 0.159
RTT 1790324249.000 0.052
RTT 1790324249.250 0.089
RTT 1790324249.500 0.057
RTT 1790324249.751 0.065
RTT 1790324250.001 0.073
RTT 1790324250.251 0.054
RTT 1790324250.501 0.056
RTT 1790324250.751 0.166
RTT 1790324251.001 0.235
RTT 1790324251.251 0.050
RTT 1790324251.501 0.042
RTT 1790324251.751 0.091
RTT 1790324252.002 0.244
RTT 1790324252.252 0.064
RTT 1790324252.502 0.043
RTT 1790324252.752 0.078
RTT 1790324253.002 0.060
RTT 1790324253.252 0.246
RTT 1790324253.502 0.061
RTT 1790324253.753 1.113
RTT 1790324254.002 0.059
RTT 1790324254.252 0.067
RTT 1790324254.503 0.059
RTT 1790324254.753 0.116
RTT 1790324255.003 0.065
RTT 1790324255.254 0.070
RTT 1790324255.504 0.072
RTT 1790324255.754 0.077
RTT 1790324256.004 0.059
RTT 1790324256.254 0.081
RTT 1790324256.505 0.048
RTT 1790324256.755 0.045
RTT 1790324257.005 0.045
RTT 1790324257.255 0.057
RTT 1790324257.505 0.060
RTT 1790324257.756 0.246
RTT 1790324258.006 0.063
RTT 1790324258.256 0.088
RTT 1790324258.506 0.062
RTT 1790324258.756 0.074
RTT 1790324259.006 0.058
RTT 1790324259.256 0.067
RTT 1790324259.506 0.106
RTT 1790324259.757 0.047
RTT 1790324260.007 0.042
RTT 1790324260.257 0.059
RTT 1790324260.507 0.064
RTT 1790324260.757 0.420
RTT 1790324261.007 0.046
RTT 1790324261.257 0.054
RTT 1790324261.507 0.043
RTT 1790324261.757 0.044
RTT 1790324262.007 0.047
RTT 1790324262.257 0.059
RTT 1790324262.508 0.072
RTT 1790324262.758 0.057
RTT 1790324263.008 0.131
RTT 1790324263.258 0.076
RTT 1790324263.508 0.076
RTT 1790324263.758 0.067
RTT 1790324264.009 0.972
RTT 1790324264.258 0.087
RTT 1790324264.510 0.799
RTT 1790324264.760 0.733
RTT 1790324265.010 0.171
RTT 1790324265.260 0.269
RTT 1790324265.510 0.049
RTT 1790324265.760 0.041
RTT 1790324266.010 0.049
RTT 1790324266.260 0.232
RTT 1790324266.511 0.365
RTT 1790324266.762 0.527
RTT 1790324267.012 0.197
RTT 1790324267.262 0.192
RTT 1790324267.512 0.188
RTT 1790324267.762 0.189
RTT 1790324268.012 0.076
RTT 1790324268.262 0.052
RTT 1790324268.513 0.050
RTT 1790324268.763 0.143
RTT 1790324269.013 0.231
RTT 1790324269.263 0.056
RTT 1790324269.514 0.169
RTT 1790324269.764 0.380
RTT 1790324270.015 0.130
RTT 1790324270.265 0.340
RTT 1790324270.515 0.167
RTT 1790324270.765 0.127
RTT 1790324271.016 0.115
RTT 1790324271.267 0.051
RTT 1790324271.517 0.062
RTT 1790324271.768 0.121
RTT 1790324272.018 0.257
RTT 1790324272.268 0.281
RTT 1790324272.518 0.064
RTT 1790324272.769 0.201
RTT 1790324273.019 0.332
RTT 1790324273.269 0.283
RTT 1790324273.519 0.137
RTT 1790324273.771 0.296
RTT 1790324274.021 0.263
RTT 1790324274.271 0.264
RTT 1790324274.522 0.346
RTT 1790324274.771 0.069
RTT 1790324275.022 0.287
RTT 1790324275.272 0.093
RTT 1790324275.522 0.138
RTT 1790324275.772 0.133
RTT 1790324276.022 0.138
RTT 1790324276.272 0.073
RTT 1790324276.522 0.049
RTT 1790324276.772 0.049
RTT 1790324277.023 0.061
RTT 1790324277.273 0.134
RTT 1790324277.523 0.623
RTT 1790324277.773 0.063
RTT 1790324278.023 0.240
