TRACER 0
RTT 1790324140.726 0.045
RTT 1790324140.976 0.191
RTT 1790324141.226 0.209
RTT 1790324141.477 0.186
RTT 1790324141.727 0.238
RTT 1790324141.977 0.126
RTT 1790324142.227 0.133
RTT 1790324142.477 0.311
RTT 1790324142.727 0.288
RTT 1790324142.977 0.131
RTT 1790324143.227 0.123
RTT 1790324143.478 0.144
RTT 1790324143.728 0.112
RTT 1790324143.978 0.069
RTT 1790324144.228 0.081
RTT 1790324144.478 0.186
RTT 1790324144.729 0.264
RTT 1790324144.979 0.228
RTT 1790324145.229 0.269
RTT 1790324145.479 0.302
RTT 1790324145.729 0.204
RTT 1790324145.980 0.335
RTT 1790324146.230 0.388
RTT 1790324146.480 0.311
RTT 1790324146.730 0.224
RTT 1790324146.981 0.232
RTT 1790324147.231 0.143
RTT 1790324147.481 0.271
RTT 1790324147.731 0.283
RTT 1790324147.982 0.220
RTT 1790324148.232 0.052
RTT 1790324148.482 0.049
RTT 1790324148.732 0.230
RTT 1790324148.982 0.290
RTT 1790324149.232 0.154
RTT 1790324149.483 0.153
RTT 1790324149.733 0.275
RTT 1790324149.984 0.728
RTT 1790324150.234 0.339
RTT 1790324150.484 0.177
RTT 1790324150.734 0.139
RTT 1790324150.984 0.321
RTT 1790324151.234 0.247
RTT 1790324151.485 0.133
RTT 1790324151.735 0.267
RTT 1790324151.985 0.186
RTT 1790324152.235 0.179
RTT 1790324152.485 0.153
RTT 1790324152.735 0.064
RTT 1790324152.986 0.296
RTT 1790324153.236 0.292
RTT 1790324153.486 0.304
RTT 1790324153.737 0.227
RTT 1790324153.987 0.132
RTT 1790324154.237 0.250
RTT 1790324154.487 0.284
RTT 1790324154.737 0.279
RTT 1790324154.988 0.218
RTT 1790324155.238 0.295
RTT 1790324155.488 0.290
RTT 1790324155.738 0.291
RTT 1790324155.988 0.190
RTT 1790324156.239 0.162
RTT 1790324156.489 0.183
RTT 1790324156.740 0.299
RTT 1790324156.989 0.052
RTT 1790324157.240 0.203
RTT 1790324157.490 0.295
RTT 1790324157.740 0.309
RTT 1790324157.991 0.214
RTT 1790324158.242 0.300
RTT 1790324158.496 4.015
RTT 1790324158.743 0.254
RTT 1790324158.993 0.144
RTT 1790324159.245 1.442
RTT 1790324159.495 0.137
RTT 1790324159.747 1.311
RTT 1790324159.996 0.687
RTT 1790324160.246 0.186
RTT 1790324160.497 0.595
RTT 1790324160.747 0.378
RTT 1790324160.997 0.537
RTT 1790324161.247 0.047
RTT 1790324161.499 2.072
RTT 1790324161.748 0.112
RTT 1790324161.998 0.182
RTT 1790324162.251 2.942
RTT 1790324162.499 0.143
RTT 1790324162.749 0.478
RTT 1790324162.999 0.137
RTT 1790324163.249 0.157
RTT 1790324163.499 0.137
RTT 1790324163.749 0.150
RTT 1790324164.000 0.143
RTT 1790324164.250 0.117
RTT 1790324164.500 0.710
RTT 1790324164.751 0.556
RTT 1790324165.001 0.311
RTT 1790324165.251 0.102
RTT 1790324165.501 0.061
RTT 1790324165.751 0.050
RTT 1790324166.001 0.150
RTT 1790324166.252 0.352
RTT 1790324166.502 0.136
RTT 1790324166.752 0.118
RTT 1790324167.002 0.137
RTT 1790324167.253 0.301
RTT 1790324167.503 0.104
RTT 1790324167.753 0.124
RTT 1790324168.003 0.139
RTT 1790324168.254 0.137
RTT 1790324168.504 0.143
RTT 1790324168.754 0.150
RTT 1790324169.004 0.292
RTT 1790324169.255 0.290
RTT 1790324169.505 0.324
RTT 1790324169.755 0.137
RTT 1790324170.005 0.077
RTT 1790324170.255 0.280
RTT 1790324170.505 0.307
RTT 1790324170.755 0.155
RTT 1790324171.006 0.290
RTT 1790324171.256 0.902
RTT 1790324171.506 0.279
RTT 1790324171.756 0.199
RTT 1790324172.006 0.199
RTT 1790324172.257 0.500
RTT 1790324172.507 0.297
RTT 1790324172.757 0.084
RTT 1790324173.007 0.164
RTT 1790324173.257 0.157
RTT 1790324173.507 0.200
RTT 1790324173.758 0.303
RTT 1790324174.008 0.140
RTT 1790324174.258 0.057
RTT 1790324174.509 0.850
RTT 1790324174.758 0.334
RTT 1790324175.009 0.805
RTT 1790324175.258 0.309
RTT 1790324175.509 0.337
RTT 1790324175.759 0.213
RTT 1790324176.009 0.182
RTT 1790324176.259 0.284
RTT 1790324176.509 0.288
RTT 1790324176.760 0.292
RTT 1790324177.010 0.178
RTT 1790324177.260 0.162
RTT 1790324177.510 0.093
RTT 1790324177.761 0.481
RTT 1790324178.010 0.154
RTT 1790324178.261 0.153
RTT 1790324178.511 0.054
RTT 1790324178.761 0.290
RTT 1790324179.011 0.188
RTT 1790324179.261 0.245
RTT 1790324179.512 0.291
RTT 1790324179.762 0.146
RTT 1790324180.012 0.251
RTT 1790324180.263 0.696
RTT 1790324180.513 0.525
RTT 1790324180.763 0.517
RTT 1790324181.013 0.164
RTT 1790324181.263 0.111
RTT 1790324181.513 0.156
RTT 1790324181.764 0.130
RTT 1790324182.014 0.234
RTT 1790324182.264 0.138
RTT 1790324182.514 0.136
RTT 1790324182.764 0.059
RTT 1790324183.014 0.141
RTT 1790324183.265 0.289
RTT 1790324183.515 0.164
RTT 1790324183.765 0.146
RTT 1790324184.015 0.172
RTT 1790324184.266 0.433
RTT 1790324184.516 0.141
RTT 1790324184.766 0.216
RTT 1790324185.016 0.129
RTT 1790324185.266 0.136
RTT 1790324185.517 0.158
RTT 1790324185.767 0.132
RTT 1790324186.017 0.151
RTT 1790324186.267 0.246
RTT 1790324186.517 0.147
RTT 1790324186.767 0.144
RTT 1790324187.017 0.057
RTT 1790324187.268 0.047
RTT 1790324187.518 0.120
RTT 1790324187.768 0.113
RTT 1790324188.018 0.135
RTT 1790324188.268 0.121
RTT 1790324188.518 0.110
RTT 1790324188.769 0.149
RTT 1790324189.019 0.138
RTT 1790324189.269 0.153
RTT 1790324189.519 0.085
RTT 1790324189.769 0.145
RTT 1790324190.019 0.121
RTT 1790324190.270 0.139
RTT 1790324190.520 0.110
RTT 1790324190.770 0.132
RTT 1790324191.020 0.208
RTT 1790324191.271 0.295
RTT 1790324191.520 0.053
RTT 1790324191.771 0.279
RTT 1790324192.021 0.141
RTT 1790324192.271 0.148
RTT 1790324192.521 0.276
RTT 1790324192.771 0.139
RTT 1790324193.022 0.142
RTT 1790324193.272 0.115
RTT 1790324193.522 0.292
RTT 1790324193.773 0.425
RTT 1790324194.023 0.210
RTT 1790324194.274 0.295
RTT 1790324194.524 0.331
RTT 1790324194.774 0.350
RTT 1790324195.024 0.228
RTT 1790324195.274 0.299
RTT 1790324195.525 0.279
RTT 1790324195.774 0.067
RTT 1790324196.025 0.291
RTT 1790324196.275 0.224
RTT 1790324196.525 0.268
RTT 1790324196.776 0.220
RTT 1790324197.026 0.292
RTT 1790324197.276 0.113
RTT 1790324197.526 0.269
RTT 1790324197.776 0.224
RTT 1790324198.031 4.655
RTT 1790324198.277 0.377
RTT 1790324198.527 0.180
RTT 1790324198.777 0.127
RTT 1790324199.027 0.171
RTT 1790324199.278 0.303
RTT 1790324199.528 0.307
RTT 1790324199.778 0.290
RTT 1790324200.028 0.050
RTT 1790324200.278 0.398
RTT 1790324200.529 0.296
RTT 1790324200.779 0.294
RTT 1790324201.029 0.204
RTT 1790324201.279 0.066
RTT 1790324201.529 0.075
RTT 1790324201.779 0.045
RTT 1790324202.029 0.089
RTT 1790324202.280 0.841
RTT 1790324202.529 0.089
RTT 1790324202.780 0.061
RTT 1790324203.030 0.181
RTT 1790324203.280 0.184
RTT 1790324203.530 0.068
RTT 1790324203.780 0.096
RTT 1790324204.030 0.071
RTT 1790324204.280 0.061
RTT 1790324204.530 0.069
RTT 1790324204.780 0.068
RTT 1790324205.030 0.085
RTT 1790324205.280 0.066
RTT 1790324205.531 0.069
RTT 1790324205.782 1.230
RTT 1790324206.031 0.048
RTT 1790324206.281 0.047
RTT 1790324206.531 0.199
RTT 1790324206.781 0.070
RTT 1790324207.031 0.080
RTT 1790324207.281 0.087
RTT 1790324207.531 0.084
RTT 1790324207.781 0.097
RTT 1790324208.032 0.062
RTT 1790324208.282 0.063
RTT 1790324208.717 185.548
RTT 1790324208.782 0.105
RTT 1790324209.032 0.103
RTT 1790324209.282 0.077
RTT 1790324209.533 1.128
RTT 1790324209.782 0.059
RTT 1790324210.033 0.096
RTT 1790324210.283 0.050
RTT 1790324210.533 0.061
RTT 1790324210.783 0.049
RTT 1790324211.033 0.048
RTT 1790324211.283 0.120
RTT 1790324211.533 0.055
RTT 1790324211.784 0.118
RTT 1790324212.036 0.087
RTT 1790324212.287 0.738
RTT 1790324212.536 0.089
RTT 1790324212.786 0.080
RTT 1790324213.037 0.091
RTT 1790324213.287 0.659
RTT 1790324213.537 0.061
RTT 1790324213.787 0.058
RTT 1790324214.037 0.052
RTT 1790324214.287 0.087
RTT 1790324214.537 0.122
RTT 1790324214.787 0.093
RTT 1790324215.037 0.064
RTT 1790324215.288 0.174
RTT 1790324215.538 0.255
RTT 1790324215.788 0.039
RTT 1790324216.039 0.063
RTT 1790324216.289 0.078
RTT 1790324216.539 0.070
RTT 1790324216.790 1.052
RTT 1790324217.039 0.069
RTT 1790324217.289 0.073
RTT 1790324217.539 0.071
RTT 1790324217.789 0.086
RTT 1790324218.039 0.062
RTT 1790324218.289 0.136
RTT 1790324218.539 0.055
RTT 1790324218.790 0.086
RTT 1790324219.040 0.097
RTT 1790324219.290 0.071
RTT 1790324219.540 0.068
RTT 1790324219.790 0.063
RTT 1790324220.040 0.089
RTT 1790324220.290 0.096
RTT 1790324220.540 0.065
RTT 1790324220.790 0.132
RTT 1790324221.041 0.123
RTT 1790324221.291 0.094
RTT 1790324221.541 0.084
RTT 1790324221.792 0.850
RTT 1790324222.041 0.249
RTT 1790324222.291 0.104
RTT 1790324222.541 0.055
RTT 1790324222.791 0.067
RTT 1790324223.041 0.063
RTT 1790324223.291 0.043
RTT 1790324223.541 0.059
RTT 1790324223.792 0.105
RTT 1790324224.043 0.944
RTT 1790324224.292 0.114
RTT 1790324224.542 0.075
RTT 1790324224.792 0.092
RTT 1790324225.042 0.095
RTT 1790324225.292 0.093
RTT 1790324225.542 0.085
RTT 1790324225.793 0.192
RTT 1790324226.043 0.072
RTT 1790324226.293 0.078
RTT 1790324226.543 0.149
RTT 1790324226.793 0.074
RTT 1790324227.043 0.155
RTT 1790324227.293 0.087
RTT 1790324227.544 0.332
RTT 1790324227.794 0.338
RTT 1790324228.044 0.144
RTT 1790324228.294 0.097
RTT 1790324228.544 0.173
RTT 1790324228.794 0.212
RTT 1790324229.045 0.227
RTT 1790324229.295 0.210
RTT 1790324229.545 0.062
RTT 1790324229.795 0.066
RTT 1790324230.045 0.066
RTT 1790324230.295 0.055
RTT 1790324230.545 0.172
RTT 1790324230.795 0.059
RTT 1790324231.045 0.106
RTT 1790324231.296 0.332
RTT 1790324231.546 0.052
RTT 1790324231.796 0.186
RTT 1790324232.047 0.328
RTT 1790324232.297 0.094
RTT 1790324232.547 0.112
RTT 1790324232.797 0.085
RTT 1790324233.047 0.092
RTT 1790324233.298 0.654
RTT 1790324233.548 0.174
RTT 1790324233.798 0.103
RTT 1790324234.048 0.064
RTT 1790324234.298 0.117
RTT 1790324234.548 0.238
RTT 1790324234.799 0.300
RTT 1790324235.049 0.135
RTT 1790324235.299 0.067
RTT 1790324235.549 0.077
RTT 1790324235.799 0.192
RTT 1790324236.050 0.672
RTT 1790324236.300 0.264
RTT 1790324236.550 0.140
RTT 1790324236.800 0.118
RTT 1790324237.051 0.392
RTT 1790324237.301 0.055
RTT 1790324237.551 0.096
RTT 1790324237.801 0.246
