TRACER 27459
RTT 1790326073.046 0.040
RTT 1790326073.296 0.318
RTT 1790326073.546 0.130
RTT 1790326073.796 0.148
RTT 1790326074.047 0.301
RTT 1790326074.297 0.179
RTT 1790326074.548 0.111
RTT 1790326074.798 0.224
RTT 1790326075.048 0.313
RTT 1790326075.298 0.396
RTT 1790326075.548 0.067
RTT 1790326075.798 0.118
RTT 1790326076.049 0.389
RTT 1790326076.299 0.056
RTT 1790326076.549 0.138
RTT 1790326076.800 0.134
RTT 1790326077.050 0.372
RTT 1790326077.300 0.114
RTT 1790326077.551 0.991
RTT 1790326077.801 0.612
RTT 1790326078.050 0.047
RTT 1790326078.301 0.193
RTT 1790326078.551 0.215
RTT 1790326078.801 0.185
RTT 1790326079.055 0.492
RTT 1790326079.305 0.150
RTT 1790326079.555 0.208
RTT 1790326079.806 0.143
RTT 1790326080.056 0.335
RTT 1790326080.306 0.189
RTT 1790326080.556 0.076
RTT 1790326080.807 0.262
RTT 1790326081.057 0.130
RTT 1790326081.307 0.129
RTT 1790326081.557 0.288
RTT 1790326081.807 0.183
RTT 1790326082.057 0.079
RTT 1790326082.307 0.130
RTT 1790326082.558 0.186
RTT 1790326082.808 0.268
RTT 1790326083.058 0.171
RTT 1790326083.309 0.275
RTT 1790326083.559 0.224
RTT 1790326083.809 0.271
RTT 1790326084.059 0.184
RTT 1790326084.310 0.311
RTT 1790326084.560 0.385
RTT 1790326084.810 0.147
RTT 1790326085.061 0.203
RTT 1790326085.311 0.292
RTT 1790326085.561 0.286
RTT 1790326085.811 0.190
RTT 1790326086.061 0.280
RTT 1790326086.312 0.279
RTT 1790326086.562 0.293
RTT 1790326086.812 0.338
RTT 1790326087.062 0.274
RTT 1790326087.312 0.111
RTT 1790326087.562 0.171
RTT 1790326087.813 0.363
RTT 1790326088.063 0.163
RTT 1790326088.313 0.091
RTT 1790326088.563 0.140
RTT 1790326088.813 0.122
RTT 1790326089.065 1.635
RTT 1790326089.314 0.212
RTT 1790326089.564 0.161
RTT 1790326089.814 0.289
RTT 1790326090.065 0.153
RTT 1790326090.315 0.281
RTT 1790326090.565 0.186
RTT 1790326090.815 0.305
RTT 1790326091.066 0.142
RTT 1790326091.316 0.287
RTT 1790326091.566 0.115
RTT 1790326091.816 0.116
RTT 1790326092.066 0.150
RTT 1790326092.317 0.288
RTT 1790326092.566 0.071
RTT 1790326092.817 0.119
RTT 1790326093.067 0.150
RTT 1790326093.317 0.091
RTT 1790326093.567 0.348
RTT 1790326093.818 0.327
RTT 1790326094.068 0.183
RTT 1790326094.318 0.153
RTT 1790326094.568 0.119
