TRACER 0
RTT 1790326072.944 0.046
RTT 1790326073.194 0.128
RTT 1790326073.444 0.230
RTT 1790326073.694 0.146
RTT 1790326073.944 0.385
RTT 1790326074.194 0.178
RTT 1790326074.445 0.220
RTT 1790326074.695 0.160
RTT 1790326074.946 0.176
RTT 1790326075.196 0.207
RTT 1790326075.447 0.231
RTT 1790326075.697 0.122
RTT 1790326075.949 1.818
RTT 1790326076.198 0.175
RTT 1790326076.448 0.418
RTT 1790326076.698 0.203
RTT 1790326076.948 0.206
RTT 1790326077.199 0.121
RTT 1790326077.449 0.147
RTT 1790326077.700 0.604
RTT 1790326077.950 0.299
RTT 1790326078.200 0.206
RTT 1790326078.451 0.218
RTT 1790326078.701 0.296
RTT 1790326078.951 0.295
RTT 1790326079.201 0.301
RTT 1790326079.451 0.212
RTT 1790326079.701 0.142
RTT 1790326079.952 0.203
RTT 1790326080.202 0.126
RTT 1790326080.452 0.190
RTT 1790326080.703 0.194
RTT 1790326080.953 0.341
RTT 1790326081.203 0.141
RTT 1790326081.453 0.143
RTT 1790326081.703 0.167
RTT 1790326081.953 0.114
RTT 1790326082.203 0.112
RTT 1790326082.455 1.091
RTT 1790326082.704 0.145
RTT 1790326082.954 0.175
RTT 1790326083.204 0.148
RTT 1790326083.454 0.135
RTT 1790326083.705 0.142
RTT 1790326083.957 2.031
RTT 1790326084.206 0.205
RTT 1790326084.456 0.162
RTT 1790326084.706 0.183
RTT 1790326084.956 0.397
RTT 1790326085.208 1.055
RTT 1790326085.457 0.154
RTT 1790326085.708 0.352
RTT 1790326085.958 0.304
RTT 1790326086.208 0.277
RTT 1790326086.458 0.306
RTT 1790326086.709 0.324
RTT 1790326086.959 0.237
RTT 1790326087.209 0.142
RTT 1790326087.459 0.351
RTT 1790326087.710 0.348
RTT 1790326087.960 0.250
RTT 1790326088.211 0.203
RTT 1790326088.461 0.152
RTT 1790326088.711 0.302
RTT 1790326088.962 0.786
RTT 1790326089.211 0.174
RTT 1790326089.462 0.188
RTT 1790326089.712 0.219
RTT 1790326089.962 0.296
RTT 1790326090.212 0.238
RTT 1790326090.463 0.311
RTT 1790326090.713 0.276
RTT 1790326090.963 0.375
RTT 1790326091.213 0.205
RTT 1790326091.464 0.234
RTT 1790326091.714 0.230
RTT 1790326091.964 0.278
RTT 1790326092.214 0.304
RTT 1790326092.464 0.205
RTT 1790326092.715 0.231
RTT 1790326092.965 0.289
RTT 1790326093.215 0.297
RTT 1790326093.466 0.316
RTT 1790326093.716 0.168
RTT 1790326093.966 0.245
RTT 1790326094.216 0.210
RTT 1790326094.467 0.293
RTT 1790326094.717 0.297
RTT 1790326094.967 0.171
RTT 1790326095.217 0.125
RTT 1790326095.468 0.124
RTT 1790326095.718 0.124
RTT 1790326095.968 0.124
RTT 1790326096.218 0.209
RTT 1790326096.468 0.335
RTT 1790326096.719 0.274
RTT 1790326096.969 0.366
RTT 1790326097.219 0.160
RTT 1790326097.469 0.289
RTT 1790326097.720 0.163
RTT 1790326097.970 0.128
RTT 1790326098.220 0.126
RTT 1790326098.470 0.202
RTT 1790326098.720 0.149
RTT 1790326098.970 0.139
RTT 1790326099.221 0.163
RTT 1790326099.471 0.355
RTT 1790326099.721 0.212
RTT 1790326099.971 0.210
RTT 1790326100.221 0.161
RTT 1790326100.471 0.130
RTT 1790326100.722 0.156
RTT 1790326100.972 0.179
RTT 1790326101.222 0.160
RTT 1790326101.472 0.149
RTT 1790326101.722 0.161
RTT 1790326101.972 0.136
RTT 1790326102.223 0.313
RTT 1790326102.473 0.300
RTT 1790326102.723 0.139
RTT 1790326102.973 0.105
RTT 1790326103.223 0.143
RTT 1790326103.474 0.141
RTT 1790326103.724 0.136
RTT 1790326103.974 0.148
RTT 1790326104.224 0.144
RTT 1790326104.474 0.148
RTT 1790326104.725 0.137
RTT 1790326104.975 0.216
RTT 1790326105.225 0.301
RTT 1790326105.475 0.357
RTT 1790326105.726 0.297
RTT 1790326105.976 0.267
RTT 1790326106.227 0.292
RTT 1790326106.478 0.286
RTT 1790326106.728 0.110
RTT 1790326106.978 0.282
RTT 1790326107.228 0.324
RTT 1790326107.478 0.232
RTT 1790326107.729 0.278
RTT 1790326107.979 0.281
RTT 1790326108.230 0.246
RTT 1790326108.480 0.422
RTT 1790326108.730 0.193
RTT 1790326108.980 0.316
RTT 1790326109.230 0.281
RTT 1790326109.481 0.294
RTT 1790326109.731 0.221
RTT 1790326109.981 0.265
RTT 1790326110.231 0.306
RTT 1790326110.482 0.291
RTT 1790326110.732 0.348
RTT 1790326110.982 0.298
RTT 1790326111.232 0.131
RTT 1790326111.482 0.202
RTT 1790326111.732 0.211
RTT 1790326111.983 0.629
RTT 1790326112.233 0.148
RTT 1790326112.483 0.279
RTT 1790326112.734 0.148
RTT 1790326112.984 0.198
RTT 1790326113.234 0.173
RTT 1790326113.485 0.223
RTT 1790326113.735 0.287
RTT 1790326113.985 0.299
RTT 1790326114.235 0.171
RTT 1790326114.486 0.348
RTT 1790326114.737 0.523
RTT 1790326114.987 0.357
RTT 1790326115.237 0.193
RTT 1790326115.487 0.136
RTT 1790326115.738 0.281
RTT 1790326115.988 0.133
RTT 1790326116.238 0.168
RTT 1790326116.488 0.212
RTT 1790326116.738 0.059
RTT 1790326116.988 0.190
RTT 1790326117.239 0.193
RTT 1790326117.489 0.158
RTT 1790326117.739 0.334
RTT 1790326117.989 0.381
RTT 1790326118.239 0.174
RTT 1790326118.490 0.186
RTT 1790326118.740 0.400
RTT 1790326118.990 0.135
RTT 1790326119.240 0.203
RTT 1790326119.490 0.169
RTT 1790326119.740 0.286
RTT 1790326119.990 0.069
RTT 1790326120.241 0.310
RTT 1790326120.491 0.155
RTT 1790326120.741 0.369
RTT 1790326120.992 0.366
RTT 1790326121.242 0.149
RTT 1790326121.492 0.143
RTT 1790326121.742 0.143
RTT 1790326121.993 0.236
RTT 1790326122.243 0.140
RTT 1790326122.493 0.154
RTT 1790326122.743 0.149
RTT 1790326122.993 0.137
RTT 1790326123.244 0.285
RTT 1790326123.494 0.225
RTT 1790326123.744 0.314
RTT 1790326123.994 0.169
RTT 1790326124.245 0.281
RTT 1790326124.495 0.139
RTT 1790326124.745 0.289
RTT 1790326124.995 0.173
RTT 1790326125.245 0.209
RTT 1790326125.495 0.147
RTT 1790326125.746 0.142
RTT 1790326125.996 0.301
RTT 1790326126.246 0.328
RTT 1790326126.497 0.365
RTT 1790326126.747 0.306
RTT 1790326126.997 0.371
RTT 1790326127.247 0.311
RTT 1790326127.497 0.197
RTT 1790326127.747 0.141
RTT 1790326127.998 0.245
RTT 1790326128.248 0.301
RTT 1790326128.498 0.133
RTT 1790326128.748 0.141
RTT 1790326128.999 0.274
RTT 1790326129.249 0.195
RTT 1790326129.499 0.275
RTT 1790326129.749 0.198
RTT 1790326130.000 0.417
RTT 1790326130.250 0.197
RTT 1790326130.501 0.229
RTT 1790326130.751 0.236
RTT 1790326131.001 0.239
RTT 1790326131.251 0.141
RTT 1790326131.501 0.221
RTT 1790326131.752 0.216
RTT 1790326132.002 0.297
RTT 1790326132.252 0.285
RTT 1790326132.502 0.360
RTT 1790326132.753 0.358
RTT 1790326133.003 0.377
RTT 1790326133.254 0.275
RTT 1790326133.504 0.115
RTT 1790326133.754 0.049
RTT 1790326134.004 0.069
RTT 1790326134.254 0.051
RTT 1790326134.504 0.090
RTT 1790326134.754 0.158
RTT 1790326135.004 0.118
RTT 1790326135.254 0.075
RTT 1790326135.504 0.080
RTT 1790326135.754 0.148
RTT 1790326136.005 0.146
RTT 1790326136.255 0.142
RTT 1790326136.505 0.055
RTT 1790326136.755 0.091
RTT 1790326137.005 0.148
RTT 1790326137.255 0.073
RTT 1790326137.505 0.081
RTT 1790326137.755 0.062
RTT 1790326138.005 0.095
RTT 1790326138.256 0.074
RTT 1790326138.506 0.093
RTT 1790326138.757 1.739
RTT 1790326139.006 0.059
RTT 1790326139.258 0.163
RTT 1790326139.508 0.058
RTT 1790326139.771 4.583
RTT 1790326140.017 0.071
RTT 1790326140.267 0.052
RTT 1790326140.519 0.139
RTT 1790326140.769 0.247
RTT 1790326141.019 0.052
RTT 1790326141.269 0.142
RTT 1790326141.519 0.102
RTT 1790326141.769 0.067
RTT 1790326142.019 0.103
RTT 1790326142.269 0.056
RTT 1790326142.523 3.826
RTT 1790326142.770 0.559
RTT 1790326143.021 1.573
RTT 1790326143.270 0.094
RTT 1790326143.520 0.133
RTT 1790326143.770 0.055
RTT 1790326144.020 0.093
RTT 1790326144.270 0.089
RTT 1790326144.521 0.582
RTT 1790326144.771 0.080
RTT 1790326145.021 0.326
RTT 1790326145.271 0.065
RTT 1790326145.521 0.078
RTT 1790326145.774 2.502
RTT 1790326146.021 0.084
RTT 1790326146.272 0.312
RTT 1790326146.522 0.661
RTT 1790326146.774 2.596
RTT 1790326147.023 1.130
RTT 1790326147.273 1.326
RTT 1790326147.523 1.425
RTT 1790326147.773 1.146
RTT 1790326148.024 2.142
RTT 1790326148.273 0.309
RTT 1790326148.522 0.075
RTT 1790326148.773 0.069
RTT 1790326149.023 0.147
RTT 1790326149.273 0.078
RTT 1790326149.523 0.060
RTT 1790326149.773 0.053
RTT 1790326150.023 0.162
RTT 1790326150.274 0.087
RTT 1790326150.524 0.146
RTT 1790326150.776 0.139
RTT 1790326151.026 0.162
RTT 1790326151.276 0.049
RTT 1790326151.526 0.112
RTT 1790326151.777 0.074
RTT 1790326152.027 0.149
RTT 1790326152.277 0.067
RTT 1790326152.527 0.064
RTT 1790326152.777 0.136
RTT 1790326153.027 0.103
RTT 1790326153.278 0.588
RTT 1790326153.528 0.077
RTT 1790326153.778 0.123
RTT 1790326154.029 0.454
RTT 1790326154.278 0.067
RTT 1790326154.528 0.057
RTT 1790326154.779 0.137
RTT 1790326155.029 0.143
RTT 1790326155.279 0.120
RTT 1790326155.529 0.082
RTT 1790326155.779 0.291
RTT 1790326156.029 0.108
RTT 1790326156.280 0.148
RTT 1790326156.530 0.095
RTT 1790326156.780 0.086
RTT 1790326157.030 0.290
RTT 1790326157.280 0.062
RTT 1790326157.530 0.065
RTT 1790326157.780 0.082
RTT 1790326158.030 0.078
RTT 1790326158.280 0.070
RTT 1790326158.530 0.091
RTT 1790326158.780 0.059
RTT 1790326159.031 0.111
RTT 1790326159.282 0.174
RTT 1790326159.532 0.056
