TRACER 0
RTT 1790359842.627 0.066
RTT 1790359842.877 0.118
RTT 1790359843.127 0.082
RTT 1790359843.377 0.197
RTT 1790359843.627 0.219
RTT 1790359843.878 0.175
RTT 1790359844.128 0.333
RTT 1790359844.379 0.568
RTT 1790359844.628 0.076
RTT 1790359844.879 0.257
RTT 1790359845.128 0.078
RTT 1790359845.379 0.129
RTT 1790359845.629 0.210
RTT 1790359845.879 0.236
RTT 1790359846.129 0.364
RTT 1790359846.380 0.307
RTT 1790359846.630 0.210
RTT 1790359846.880 0.090
RTT 1790359847.130 0.368
RTT 1790359847.380 0.067
RTT 1790359847.631 0.185
RTT 1790359847.881 0.162
RTT 1790359848.131 0.084
RTT 1790359848.381 0.083
RTT 1790359848.632 0.108
RTT 1790359848.882 0.146
RTT 1790359849.132 0.077
RTT 1790359849.382 0.092
RTT 1790359849.632 0.071
RTT 1790359849.882 0.061
RTT 1790359850.132 0.062
RTT 1790359850.382 0.052
RTT 1790359850.633 0.118
RTT 1790359850.883 0.067
RTT 1790359851.133 0.064
RTT 1790359851.383 0.078
RTT 1790359851.633 0.095
RTT 1790359851.883 0.112
RTT 1790359852.134 0.434
RTT 1790359852.383 0.129
RTT 1790359852.634 0.176
RTT 1790359852.884 0.078
RTT 1790359853.134 0.521
RTT 1790359853.384 0.113
RTT 1790359853.634 0.076
RTT 1790359853.888 3.632
RTT 1790359854.134 0.062
RTT 1790359854.385 0.190
RTT 1790359854.635 0.062
RTT 1790359854.885 0.089
RTT 1790359855.135 0.110
RTT 1790359855.385 0.305
RTT 1790359855.635 0.063
RTT 1790359855.886 0.334
RTT 1790359856.136 0.139
RTT 1790359856.386 0.355
RTT 1790359856.636 0.184
RTT 1790359856.887 0.299
RTT 1790359857.137 0.096
RTT 1790359857.387 0.064
RTT 1790359857.637 0.382
RTT 1790359857.887 0.086
RTT 1790359858.137 0.194
RTT 1790359858.388 0.309
RTT 1790359858.638 0.197
RTT 1790359858.889 0.198
RTT 1790359859.139 0.098
RTT 1790359859.389 0.271
RTT 1790359859.639 0.173
RTT 1790359859.890 0.186
RTT 1790359860.140 0.206
RTT 1790359860.390 0.189
RTT 1790359860.640 0.193
RTT 1790359860.890 0.147
RTT 1790359861.140 0.164
RTT 1790359861.390 0.214
RTT 1790359861.640 0.130
RTT 1790359861.891 0.349
RTT 1790359862.141 0.094
RTT 1790359862.391 0.169
RTT 1790359862.641 0.157
RTT 1790359862.891 0.352
RTT 1790359863.141 0.274
RTT 1790359863.391 0.093
RTT 1790359863.641 0.075
RTT 1790359863.892 0.191
RTT 1790359864.144 1.940
RTT 1790359864.392 0.059
RTT 1790359864.642 0.064
RTT 1790359864.892 0.097
RTT 1790359865.144 2.063
RTT 1790359865.393 0.287
RTT 1790359865.643 0.160
RTT 1790359865.893 0.086
RTT 1790359866.143 0.090
RTT 1790359866.393 0.215
RTT 1790359866.643 0.119
RTT 1790359866.893 0.059
RTT 1790359867.143 0.067
RTT 1790359867.394 0.178
RTT 1790359867.644 0.343
RTT 1790359867.894 0.194
RTT 1790359868.144 0.092
RTT 1790359868.394 0.211
RTT 1790359868.644 0.202
RTT 1790359868.895 0.337
RTT 1790359869.145 0.125
RTT 1790359869.395 0.118
RTT 1790359869.645 0.191
RTT 1790359869.895 0.070
RTT 1790359870.148 0.376
RTT 1790359870.398 0.188
RTT 1790359870.648 0.213
RTT 1790359870.898 0.177
RTT 1790359871.148 0.192
RTT 1790359871.399 0.181
RTT 1790359871.649 0.130
RTT 1790359871.899 0.164
RTT 1790359872.149 0.139
RTT 1790359872.399 0.084
RTT 1790359872.649 0.071
RTT 1790359872.899 0.194
RTT 1790359873.149 0.085
RTT 1790359873.399 0.070
RTT 1790359873.650 0.122
RTT 1790359873.900 0.167
