TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
TRACER 29525
RTT 1790361146.910 0.026
RTT 1790361147.160 0.155
RTT 1790361147.411 0.196
RTT 1790361147.661 0.132
RTT 1790361147.911 0.110
RTT 1790361148.161 0.279
RTT 1790361148.411 0.183
RTT 1790361148.661 0.068
RTT 1790361148.912 0.625
RTT 1790361149.162 0.060
RTT 1790361149.412 0.077
RTT 1790361149.662 0.136
RTT 1790361149.913 0.194
RTT 1790361150.163 0.138
RTT 1790361150.413 0.416
RTT 1790361150.663 0.092
RTT 1790361150.913 0.282
RTT 1790361151.163 0.132
RTT 1790361151.414 0.184
RTT 1790361151.664 0.151
RTT 1790361151.914 0.144
RTT 1790361152.165 0.472
RTT 1790361152.414 0.143
RTT 1790361152.665 0.073
RTT 1790361152.915 0.128
RTT 1790361153.165 0.081
RTT 1790361153.415 0.158
RTT 1790361153.665 0.091
RTT 1790361153.915 0.103
RTT 1790361154.165 0.064
RTT 1790361154.415 0.070
RTT 1790361154.665 0.065
RTT 1790361154.916 0.082
RTT 1790361155.166 0.270
RTT 1790361155.416 0.042
RTT 1790361155.666 0.070
RTT 1790361155.916 0.115
RTT 1790361156.175 8.430
RTT 1790361156.416 0.078
RTT 1790361156.667 0.060
RTT 1790361156.917 0.060
RTT 1790361157.167 0.243
RTT 1790361157.418 0.194
RTT 1790361157.668 0.183
RTT 1790361157.918 0.064
RTT 1790361158.168 0.069
RTT 1790361158.418 0.079
RTT 1790361158.668 0.178
RTT 1790361158.918 0.298
RTT 1790361159.168 0.134
RTT 1790361159.419 0.306
RTT 1790361159.669 0.045
RTT 1790361159.919 0.085
RTT 1790361160.169 0.204
RTT 1790361160.419 0.071
RTT 1790361160.669 0.194
RTT 1790361160.919 0.073
RTT 1790361161.170 0.192
RTT 1790361161.420 0.247
RTT 1790361161.670 0.344
RTT 1790361161.920 0.066
RTT 1790361162.170 0.226
RTT 1790361162.420 0.208
RTT 1790361162.670 0.148
RTT 1790361162.921 0.080
RTT 1790361163.174 3.233
RTT 1790361163.421 0.357
RTT 1790361163.671 0.330
RTT 1790361163.921 0.072
RTT 1790361164.171 0.058
RTT 1790361164.421 0.094
RTT 1790361164.672 0.343
RTT 1790361164.922 0.063
RTT 1790361165.172 0.392
RTT 1790361165.422 0.237
RTT 1790361165.672 0.230
RTT 1790361165.923 0.209
RTT 1790361166.173 0.070
RTT 1790361166.423 0.089
RTT 1790361166.673 0.061
RTT 1790361166.923 0.212
RTT 1790361167.173 0.075
RTT 1790361167.424 0.166
RTT 1790361167.674 0.219
RTT 1790361167.924 0.141
RTT 1790361168.174 0.061
RTT 1790361168.424 0.311
RTT 1790361168.674 0.165
RTT 1790361168.925 0.278
RTT 1790361169.175 0.379
RTT 1790361169.425 0.274
RTT 1790361169.675 0.305
RTT 1790361169.925 0.176
RTT 1790361170.175 0.167
RTT 1790361170.426 0.166
RTT 1790361170.676 0.355
RTT 1790361170.926 0.311
RTT 1790361171.176 0.062
RTT 1790361171.427 0.309
RTT 1790361171.678 0.227
RTT 1790361171.928 0.091
RTT 1790361172.178 0.063
RTT 1790361172.428 0.154
RTT 1790361172.678 0.321
RTT 1790361172.929 0.408
RTT 1790361173.179 0.235
RTT 1790361173.429 0.153
RTT 1790361173.679 0.338
RTT 1790361173.929 0.143
RTT 1790361174.180 0.183
RTT 1790361174.430 0.142
RTT 1790361174.680 0.213
RTT 1790361174.930 0.177
RTT 1790361175.181 0.379
RTT 1790361175.431 0.491
RTT 1790361175.681 0.180
RTT 1790361175.931 0.168
RTT 1790361176.182 0.296
RTT 1790361176.431 0.068
RTT 1790361176.682 0.194
RTT 1790361176.932 0.066
RTT 1790361177.182 0.236
RTT 1790361177.432 0.087
RTT 1790361177.682 0.087
RTT 1790361177.933 0.177
RTT 1790361178.183 0.073
RTT 1790361178.433 0.187
RTT 1790361178.683 0.066
RTT 1790361178.933 0.531
RTT 1790361179.183 0.203
RTT 1790361179.433 0.099
RTT 1790361179.683 0.080
RTT 1790361179.934 0.518
RTT 1790361180.184 0.101
RTT 1790361180.434 0.167
RTT 1790361180.684 0.080
RTT 1790361180.934 0.162
RTT 1790361181.184 0.073
RTT 1790361181.435 0.187
RTT 1790361181.685 0.324
RTT 1790361181.935 0.186
RTT 1790361182.185 0.076
RTT 1790361182.435 0.069
RTT 1790361182.686 0.298
RTT 1790361182.936 0.494
RTT 1790361183.186 0.265
RTT 1790361183.437 0.195
RTT 1790361183.687 0.205
RTT 1790361183.937 0.054
RTT 1790361184.190 3.604
RTT 1790361184.439 0.293
RTT 1790361184.689 0.197
RTT 1790361184.942 0.104
RTT 1790361185.192 0.157
RTT 1790361185.442 0.149
RTT 1790361185.697 4.487
RTT 1790361185.942 0.111
RTT 1790361186.192 0.064
RTT 1790361186.447 4.340
RTT 1790361186.693 0.162
RTT 1790361186.943 0.102
RTT 1790361187.193 0.073
RTT 1790361187.443 0.088
RTT 1790361187.694 0.196
RTT 1790361187.944 0.075
RTT 1790361188.194 0.163
RTT 1790361188.446 2.124
RTT 1790361188.694 0.114
RTT 1790361188.944 0.086
RTT 1790361189.195 1.208
RTT 1790361189.448 3.793
RTT 1790361189.695 0.139
RTT 1790361189.946 1.802
RTT 1790361190.195 0.183
RTT 1790361190.450 4.836
RTT 1790361190.695 0.057
RTT 1790361190.945 0.064
RTT 1790361191.196 0.394
RTT 1790361191.446 0.233
RTT 1790361191.696 0.100
RTT 1790361191.948 0.162
RTT 1790361192.202 4.409
RTT 1790361192.448 0.284
RTT 1790361192.698 0.188
RTT 1790361192.949 0.330
RTT 1790361193.201 2.502
RTT 1790361193.452 2.817
RTT 1790361193.702 0.355
RTT 1790361193.953 1.100
RTT 1790361194.204 2.154
RTT 1790361194.452 0.246
RTT 1790361194.703 0.225
RTT 1790361194.953 0.144
RTT 1790361195.208 5.227
RTT 1790361195.453 0.149
RTT 1790361195.703 0.075
RTT 1790361195.954 0.862
RTT 1790361196.206 2.891
RTT 1790361196.454 0.074
RTT 1790361196.704 0.185
RTT 1790361196.957 3.457
RTT 1790361197.204 0.305
RTT 1790361197.457 0.468
RTT 1790361197.707 0.332
RTT 1790361197.960 3.443
RTT 1790361198.207 0.155
RTT 1790361198.457 0.065
RTT 1790361198.707 0.193
RTT 1790361198.961 3.954
RTT 1790361199.208 0.222
RTT 1790361199.458 0.325
RTT 1790361199.708 0.240
RTT 1790361199.959 0.851
RTT 1790361200.209 0.244
RTT 1790361200.461 0.143
RTT 1790361200.711 0.058
RTT 1790361200.963 2.006
RTT 1790361201.212 0.362
RTT 1790361201.462 0.146
RTT 1790361201.717 4.929
RTT 1790361201.962 0.061
RTT 1790361202.213 0.334
RTT 1790361202.463 0.342
RTT 1790361202.716 2.908
RTT 1790361202.964 0.553
RTT 1790361203.215 0.288
RTT 1790361203.465 0.320
RTT 1790361203.715 0.191
RTT 1790361203.966 0.144
RTT 1790361204.216 0.330
RTT 1790361204.471 5.221
RTT 1790361204.718 1.723
RTT 1790361204.970 4.122
RTT 1790361205.217 0.063
RTT 1790361205.471 4.767
RTT 1790361205.717 0.184
RTT 1790361205.967 0.254
RTT 1790361206.218 0.320
RTT 1790361206.471 3.726
RTT 1790361206.718 0.313
RTT 1790361206.973 4.908
RTT 1790361207.222 3.605
RTT 1790361207.469 0.750
RTT 1790361207.721 0.085
RTT 1790361207.971 0.264
RTT 1790361208.223 2.214
RTT 1790361208.471 0.103
RTT 1790361208.722 0.235
RTT 1790361208.971 0.041
RTT 1790361209.224 2.522
RTT 1790361209.473 1.142
RTT 1790361209.722 0.111
RTT 1790361209.973 0.411
RTT 1790361210.228 5.612
RTT 1790361210.473 0.175
RTT 1790361210.723 0.091
RTT 1790361210.977 3.697
RTT 1790361211.224 1.150
RTT 1790361211.473 0.130
RTT 1790361211.724 0.141
RTT 1790361211.982 8.661
RTT 1790361212.224 0.060
RTT 1790361212.474 0.071
RTT 1790361212.724 0.140
RTT 1790361212.985 10.730
RTT 1790361213.227 2.395
RTT 1790361213.475 0.216
RTT 1790361213.725 0.311
RTT 1790361213.976 0.835
RTT 1790361214.230 4.517
RTT 1790361214.475 0.142
RTT 1790361214.726 0.187
RTT 1790361214.976 0.052
RTT 1790361215.226 0.202
RTT 1790361215.479 0.373
RTT 1790361215.729 0.321
RTT 1790361215.980 1.131
RTT 1790361216.230 1.348
RTT 1790361216.479 0.238
RTT 1790361216.729 0.139
RTT 1790361216.983 4.021
RTT 1790361217.230 0.086
RTT 1790361217.480 0.116
RTT 1790361217.730 0.328
RTT 1790361217.980 0.502
RTT 1790361218.230 0.300
RTT 1790361218.481 0.447
RTT 1790361218.731 0.289
RTT 1790361218.984 3.158
RTT 1790361219.231 0.143
RTT 1790361219.483 0.077
RTT 1790361219.734 0.163
RTT 1790361219.989 4.659
RTT 1790361220.237 2.180
RTT 1790361220.485 0.262
RTT 1790361220.735 0.176
RTT 1790361220.985 0.120
RTT 1790361221.236 1.086
RTT 1790361221.486 0.100
RTT 1790361221.736 0.357
RTT 1790361221.990 3.402
RTT 1790361222.237 0.188
RTT 1790361222.487 0.261
RTT 1790361222.737 0.331
RTT 1790361222.987 0.065
RTT 1790361223.238 0.263
RTT 1790361223.488 0.075
RTT 1790361223.738 0.063
RTT 1790361223.988 0.070
RTT 1790361224.242 3.706
RTT 1790361224.489 0.835
RTT 1790361224.739 0.189
RTT 1790361224.993 3.795
RTT 1790361225.239 0.111
RTT 1790361225.489 0.177
RTT 1790361225.739 0.069
RTT 1790361225.991 2.148
RTT 1790361226.240 0.172
RTT 1790361226.490 0.278
RTT 1790361226.740 0.223
RTT 1790361226.996 5.723
RTT 1790361227.240 0.080
RTT 1790361227.491 0.153
RTT 1790361227.741 0.192
RTT 1790361227.995 4.457
RTT 1790361228.241 0.078
RTT 1790361228.491 0.066
RTT 1790361228.741 0.078
RTT 1790361228.993 1.641
RTT 1790361229.242 0.376
RTT 1790361229.494 0.261
RTT 1790361229.744 0.182
RTT 1790361230.000 5.706
RTT 1790361230.250 5.628
RTT 1790361230.495 0.318
RTT 1790361230.747 2.538
RTT 1790361230.995 0.312
RTT 1790361231.246 0.343
RTT 1790361231.496 0.071
RTT 1790361231.753 6.958
RTT 1790361231.996 0.153
RTT 1790361232.247 0.237
RTT 1790361232.497 0.185
RTT 1790361232.747 0.130
RTT 1790361233.000 0.361
RTT 1790361233.250 0.109
RTT 1790361233.506 6.277
RTT 1790361233.754 4.172
RTT 1790361234.000 0.219
RTT 1790361234.250 0.085
RTT 1790361234.504 3.566
RTT 1790361234.761 10.683
RTT 1790361235.001 0.207
RTT 1790361235.251 0.201
RTT 1790361235.504 2.917
