# mem-guard start x3=14078 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=5224
1790361146.003335770 mem_available_mb=5459 swap_used_mb=5224 x3_rss_mb=226 x3_swap_mb=0
1790361146.532531290 mem_available_mb=5404 swap_used_mb=5143 x3_rss_mb=227 x3_swap_mb=0
1790361147.052277540 mem_available_mb=5472 swap_used_mb=5143 x3_rss_mb=227 x3_swap_mb=0
1790361147.574945613 mem_available_mb=5468 swap_used_mb=5143 x3_rss_mb=227 x3_swap_mb=0
1790361148.103582279 mem_available_mb=5456 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361148.629524102 mem_available_mb=5455 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361149.155649727 mem_available_mb=5484 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361149.678301237 mem_available_mb=5493 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361150.205227643 mem_available_mb=5490 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361150.731642487 mem_available_mb=5490 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361151.252780403 mem_available_mb=5489 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361151.779353059 mem_available_mb=5486 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361152.304756549 mem_available_mb=5495 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361152.847948632 mem_available_mb=5477 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361153.374847538 mem_available_mb=5468 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361153.906773163 mem_available_mb=5471 swap_used_mb=5143 x3_rss_mb=218 x3_swap_mb=0
1790361154.432701079 mem_available_mb=5454 swap_used_mb=5143 x3_rss_mb=219 x3_swap_mb=0
1790361154.962336443 mem_available_mb=5449 swap_used_mb=5143 x3_rss_mb=221 x3_swap_mb=0
1790361155.496389568 mem_available_mb=5449 swap_used_mb=5143 x3_rss_mb=223 x3_swap_mb=0
1790361156.064662433 mem_available_mb=5416 swap_used_mb=5143 x3_rss_mb=223 x3_swap_mb=0
1790361156.590339360 mem_available_mb=5372 swap_used_mb=5143 x3_rss_mb=223 x3_swap_mb=0
1790361157.118508318 mem_available_mb=5377 swap_used_mb=5143 x3_rss_mb=224 x3_swap_mb=0
1790361157.645071651 mem_available_mb=5344 swap_used_mb=5143 x3_rss_mb=235 x3_swap_mb=0
1790361158.177593109 mem_available_mb=5323 swap_used_mb=5143 x3_rss_mb=235 x3_swap_mb=0
1790361158.700197796 mem_available_mb=5322 swap_used_mb=5143 x3_rss_mb=235 x3_swap_mb=0
1790361159.231820348 mem_available_mb=5294 swap_used_mb=5141 x3_rss_mb=235 x3_swap_mb=0
1790361159.758875869 mem_available_mb=5286 swap_used_mb=5141 x3_rss_mb=235 x3_swap_mb=0
1790361160.300799983 mem_available_mb=5286 swap_used_mb=5141 x3_rss_mb=235 x3_swap_mb=0
1790361160.823157847 mem_available_mb=5288 swap_used_mb=5141 x3_rss_mb=235 x3_swap_mb=0
1790361161.344691597 mem_available_mb=5287 swap_used_mb=5141 x3_rss_mb=235 x3_swap_mb=0
1790361161.874419670 mem_available_mb=5293 swap_used_mb=5141 x3_rss_mb=235 x3_swap_mb=0
