TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
TRACER 29525
RTT 1790360365.248 0.032
RTT 1790360365.498 0.122
RTT 1790360365.748 0.228
RTT 1790360365.998 0.191
RTT 1790360366.249 0.238
RTT 1790360366.499 0.131
RTT 1790360366.749 0.078
RTT 1790360366.999 0.063
RTT 1790360367.249 0.177
RTT 1790360367.499 0.150
RTT 1790360367.750 0.309
RTT 1790360367.999 0.075
RTT 1790360368.250 0.145
RTT 1790360368.500 0.059
RTT 1790360368.750 0.072
RTT 1790360369.000 0.047
RTT 1790360369.250 0.209
RTT 1790360369.501 0.298
RTT 1790360369.751 0.329
RTT 1790360370.001 0.312
RTT 1790360370.251 0.108
RTT 1790360370.501 0.068
RTT 1790360370.751 0.184
RTT 1790360371.001 0.133
RTT 1790360371.251 0.058
RTT 1790360371.501 0.109
RTT 1790360371.752 0.102
RTT 1790360372.002 0.143
RTT 1790360372.252 0.126
RTT 1790360372.502 0.053
RTT 1790360372.752 0.101
RTT 1790360373.002 0.069
RTT 1790360373.253 1.061
RTT 1790360373.502 0.036
RTT 1790360373.752 0.067
RTT 1790360374.003 0.115
RTT 1790360374.253 0.062
RTT 1790360374.503 0.127
RTT 1790360374.753 0.063
RTT 1790360375.003 0.061
RTT 1790360375.253 0.067
RTT 1790360375.503 0.136
RTT 1790360375.753 0.074
RTT 1790360376.005 1.038
RTT 1790360376.254 0.170
RTT 1790360376.504 0.311
RTT 1790360376.755 0.326
RTT 1790360377.005 0.068
RTT 1790360377.255 0.246
RTT 1790360377.505 0.055
RTT 1790360377.755 0.171
RTT 1790360378.006 0.337
RTT 1790360378.256 0.130
RTT 1790360378.506 0.215
RTT 1790360378.756 0.154
RTT 1790360379.006 0.099
RTT 1790360379.257 0.311
RTT 1790360379.507 0.353
RTT 1790360379.757 0.188
RTT 1790360380.007 0.119
RTT 1790360380.257 0.068
RTT 1790360380.507 0.174
RTT 1790360380.758 0.280
RTT 1790360381.008 0.504
RTT 1790360381.258 0.067
RTT 1790360381.508 0.282
RTT 1790360381.758 0.062
RTT 1790360382.008 0.051
RTT 1790360382.258 0.081
RTT 1790360382.509 0.237
RTT 1790360382.759 0.335
RTT 1790360383.009 0.065
RTT 1790360383.259 0.278
RTT 1790360383.510 0.339
RTT 1790360383.760 0.360
RTT 1790360384.010 0.078
RTT 1790360384.260 0.170
RTT 1790360384.510 0.062
RTT 1790360384.760 0.093
RTT 1790360385.011 0.339
RTT 1790360385.261 0.326
RTT 1790360385.511 0.232
RTT 1790360385.761 0.350
RTT 1790360386.012 0.197
RTT 1790360386.262 0.182
RTT 1790360386.512 0.068
RTT 1790360386.762 0.065
RTT 1790360387.012 0.251
RTT 1790360387.262 0.188
RTT 1790360387.513 0.330
RTT 1790360387.763 0.104
RTT 1790360388.013 0.281
RTT 1790360388.263 0.093
RTT 1790360388.514 0.248
RTT 1790360388.764 0.363
RTT 1790360389.014 0.056
RTT 1790360389.264 0.328
RTT 1790360389.514 0.219
RTT 1790360389.764 0.166
RTT 1790360390.014 0.185
RTT 1790360390.265 0.255
RTT 1790360390.514 0.051
RTT 1790360390.765 0.111
RTT 1790360391.015 0.179
RTT 1790360391.265 0.101
RTT 1790360391.515 0.079
RTT 1790360391.765 0.072
RTT 1790360392.016 0.241
RTT 1790360392.266 0.180
RTT 1790360392.516 0.454
RTT 1790360392.766 0.145
RTT 1790360393.016 0.183
RTT 1790360393.267 0.292
RTT 1790360393.517 0.090
RTT 1790360393.767 0.056
RTT 1790360394.017 0.195
RTT 1790360394.267 0.309
RTT 1790360394.517 0.196
RTT 1790360394.767 0.056
RTT 1790360395.018 0.269
RTT 1790360395.268 0.105
RTT 1790360395.518 0.294
RTT 1790360395.768 0.162
RTT 1790360396.018 0.064
RTT 1790360396.268 0.065
RTT 1790360396.518 0.107
RTT 1790360396.768 0.133
RTT 1790360397.018 0.056
RTT 1790360397.269 0.207
RTT 1790360397.520 0.838
