TRACER 29525
RTT 1790361405.871 0.540
RTT 1790361406.121 0.104
RTT 1790361406.371 0.055
RTT 1790361406.621 0.116
RTT 1790361406.871 0.117
RTT 1790361407.121 0.157
RTT 1790361407.372 0.318
RTT 1790361407.622 0.120
RTT 1790361407.873 0.207
RTT 1790361408.123 0.062
RTT 1790361408.373 0.078
RTT 1790361408.623 0.581
RTT 1790361408.873 0.126
RTT 1790361409.123 0.158
RTT 1790361409.374 0.194
RTT 1790361409.624 0.079
RTT 1790361409.874 0.082
RTT 1790361410.124 0.217
RTT 1790361410.374 0.291
RTT 1790361410.625 0.357
RTT 1790361410.875 0.138
RTT 1790361411.125 0.158
RTT 1790361411.375 0.292
RTT 1790361411.625 0.289
RTT 1790361411.875 0.062
RTT 1790361412.126 0.662
RTT 1790361412.376 0.066
RTT 1790361412.626 0.078
RTT 1790361412.880 0.168
RTT 1790361413.130 0.107
RTT 1790361413.380 0.151
RTT 1790361413.631 0.131
RTT 1790361413.881 0.072
RTT 1790361414.131 0.159
RTT 1790361414.381 0.095
RTT 1790361414.633 1.371
RTT 1790361414.881 0.057
RTT 1790361415.132 0.158
RTT 1790361415.382 0.076
RTT 1790361415.632 0.155
RTT 1790361415.882 0.046
RTT 1790361416.132 0.070
RTT 1790361416.382 0.090
RTT 1790361416.632 0.232
RTT 1790361416.882 0.099
RTT 1790361417.142 9.257
RTT 1790361417.385 0.159
RTT 1790361417.635 0.129
RTT 1790361417.885 0.054
RTT 1790361418.135 0.171
RTT 1790361418.385 0.287
RTT 1790361418.635 0.181
RTT 1790361418.886 0.282
RTT 1790361419.136 0.208
RTT 1790361419.386 0.071
RTT 1790361419.636 0.221
RTT 1790361419.887 0.322
RTT 1790361420.137 0.150
RTT 1790361420.387 0.222
RTT 1790361420.637 0.204
RTT 1790361420.888 0.284
RTT 1790361421.138 0.096
RTT 1790361421.388 0.102
RTT 1790361421.638 0.287
RTT 1790361421.889 0.377
RTT 1790361422.139 0.997
RTT 1790361422.389 0.237
RTT 1790361422.639 0.200
RTT 1790361422.889 0.348
RTT 1790361423.140 0.466
RTT 1790361423.390 0.332
RTT 1790361423.640 0.286
RTT 1790361423.890 0.265
RTT 1790361424.140 0.336
RTT 1790361424.390 0.100
RTT 1790361424.640 0.054
RTT 1790361424.891 0.193
RTT 1790361425.141 0.317
