TRACER 0
RTT 1790361406.427 0.049
RTT 1790361406.677 0.133
RTT 1790361406.930 0.123
RTT 1790361407.180 0.073
RTT 1790361407.430 0.199
RTT 1790361407.680 0.121
RTT 1790361407.931 0.295
RTT 1790361408.180 0.069
RTT 1790361408.431 0.173
RTT 1790361408.681 0.159
RTT 1790361408.931 0.341
RTT 1790361409.181 0.075
RTT 1790361409.432 0.164
RTT 1790361409.682 0.353
RTT 1790361409.932 0.044
RTT 1790361410.182 0.143
RTT 1790361410.432 0.162
RTT 1790361410.683 0.202
RTT 1790361410.933 0.346
RTT 1790361411.183 0.327
RTT 1790361411.433 0.196
RTT 1790361411.683 0.162
RTT 1790361411.933 0.127
RTT 1790361412.184 0.178
RTT 1790361412.434 0.123
RTT 1790361412.684 0.173
RTT 1790361412.934 0.212
RTT 1790361413.184 0.247
RTT 1790361413.434 0.075
RTT 1790361413.684 0.134
RTT 1790361413.934 0.077
RTT 1790361414.184 0.092
RTT 1790361414.435 0.109
RTT 1790361414.685 0.150
RTT 1790361414.935 0.247
RTT 1790361415.185 0.059
RTT 1790361415.435 0.063
RTT 1790361415.685 0.085
RTT 1790361415.935 0.158
RTT 1790361416.185 0.107
RTT 1790361416.435 0.070
RTT 1790361416.686 0.109
RTT 1790361416.936 0.065
RTT 1790361417.188 1.823
RTT 1790361417.436 0.259
RTT 1790361417.687 0.344
RTT 1790361417.937 0.286
RTT 1790361418.187 0.353
RTT 1790361418.437 0.142
RTT 1790361418.687 0.191
RTT 1790361418.937 0.060
RTT 1790361419.188 0.266
RTT 1790361419.438 0.066
RTT 1790361419.688 0.189
RTT 1790361419.938 0.098
RTT 1790361420.189 0.214
RTT 1790361420.439 0.317
RTT 1790361420.689 0.196
RTT 1790361420.939 0.063
RTT 1790361421.189 0.161
RTT 1790361421.440 0.170
RTT 1790361421.690 0.117
RTT 1790361421.940 0.193
RTT 1790361422.190 0.114
RTT 1790361422.440 0.150
RTT 1790361422.691 0.273
RTT 1790361422.941 0.177
RTT 1790361423.191 0.129
RTT 1790361423.441 0.237
RTT 1790361423.691 0.195
RTT 1790361423.941 0.284
RTT 1790361424.191 0.088
RTT 1790361424.442 0.198
RTT 1790361424.692 0.143
RTT 1790361424.942 0.192
RTT 1790361425.192 0.109
RTT 1790361425.442 0.203
RTT 1790361425.692 0.177
RTT 1790361425.943 0.172
RTT 1790361426.193 0.060
RTT 1790361426.443 0.078
RTT 1790361426.693 0.343
RTT 1790361426.943 0.160
RTT 1790361427.193 0.182
RTT 1790361427.444 0.205
RTT 1790361427.694 0.195
RTT 1790361427.944 0.103
RTT 1790361428.194 0.101
RTT 1790361428.444 0.235
RTT 1790361428.695 0.195
RTT 1790361428.945 0.266
RTT 1790361429.195 0.175
RTT 1790361429.445 0.150
