# mem-guard start x3=3451 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=5132
1790361405.729271921 mem_available_mb=5452 swap_used_mb=5132 x3_rss_mb=193 x3_swap_mb=0
1790361406.256137598 mem_available_mb=5394 swap_used_mb=5094 x3_rss_mb=226 x3_swap_mb=0
1790361406.778856816 mem_available_mb=5455 swap_used_mb=5094 x3_rss_mb=226 x3_swap_mb=0
1790361407.310822806 mem_available_mb=5481 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361407.838314732 mem_available_mb=5483 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361408.367604680 mem_available_mb=5486 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361408.892298274 mem_available_mb=5485 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361409.417568846 mem_available_mb=5485 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361409.942280825 mem_available_mb=5483 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361410.469574471 mem_available_mb=5484 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361410.993388481 mem_available_mb=5483 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361411.515336658 mem_available_mb=5473 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361412.040467595 mem_available_mb=5474 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361412.568601866 mem_available_mb=5476 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361413.100948897 mem_available_mb=5486 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361413.635372022 mem_available_mb=5502 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361414.162274782 mem_available_mb=5505 swap_used_mb=5092 x3_rss_mb=218 x3_swap_mb=0
1790361414.691439886 mem_available_mb=5496 swap_used_mb=5092 x3_rss_mb=219 x3_swap_mb=0
1790361415.221243115 mem_available_mb=5494 swap_used_mb=5092 x3_rss_mb=222 x3_swap_mb=0
1790361415.762889781 mem_available_mb=5448 swap_used_mb=5092 x3_rss_mb=223 x3_swap_mb=0
1790361416.300533740 mem_available_mb=5399 swap_used_mb=5092 x3_rss_mb=223 x3_swap_mb=0
1790361416.832519052 mem_available_mb=5396 swap_used_mb=5092 x3_rss_mb=224 x3_swap_mb=0
1790361417.356210614 mem_available_mb=5376 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361417.881438531 mem_available_mb=5382 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361418.414120718 mem_available_mb=5389 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361418.942777593 mem_available_mb=5389 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361419.467879051 mem_available_mb=5384 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361419.998682228 mem_available_mb=5383 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361420.522120300 mem_available_mb=5383 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361421.053079415 mem_available_mb=5380 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361421.586544675 mem_available_mb=5379 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361422.128074935 mem_available_mb=5380 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361422.659033893 mem_available_mb=5382 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361423.180493164 mem_available_mb=5381 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361423.710558581 mem_available_mb=5380 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361424.239426341 mem_available_mb=5378 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361424.760145247 mem_available_mb=5385 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361425.286538476 mem_available_mb=5402 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361425.817063580 mem_available_mb=5401 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361426.345754725 mem_available_mb=5395 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361426.877694517 mem_available_mb=5394 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361427.403436131 mem_available_mb=5393 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361427.929107277 mem_available_mb=5400 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361428.463896443 mem_available_mb=5401 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361428.999377693 mem_available_mb=5397 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361429.526047953 mem_available_mb=5397 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361430.049827016 mem_available_mb=5396 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361430.576346599 mem_available_mb=5404 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361431.103792692 mem_available_mb=5398 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361431.638405713 mem_available_mb=5397 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361432.167833004 mem_available_mb=5401 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361432.698843160 mem_available_mb=5401 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361433.221709254 mem_available_mb=5401 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361433.752496285 mem_available_mb=5406 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361434.278486181 mem_available_mb=5420 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361434.806415503 mem_available_mb=5419 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361435.329377118 mem_available_mb=5414 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361435.867103003 mem_available_mb=5413 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
1790361436.399170607 mem_available_mb=5408 swap_used_mb=5093 x3_rss_mb=235 x3_swap_mb=0
