TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
TRACER 29525
RTT 1790360103.896 0.035
RTT 1790360104.146 0.082
RTT 1790360104.396 0.151
RTT 1790360104.646 0.059
RTT 1790360104.897 0.127
RTT 1790360105.147 0.132
RTT 1790360105.397 0.172
RTT 1790360105.647 0.064
RTT 1790360105.897 0.177
RTT 1790360106.147 0.064
RTT 1790360106.397 0.067
RTT 1790360106.647 0.068
RTT 1790360106.898 0.358
RTT 1790360107.148 0.268
RTT 1790360107.398 0.158
RTT 1790360107.648 0.134
RTT 1790360107.899 0.160
RTT 1790360108.149 0.184
RTT 1790360108.399 0.191
RTT 1790360108.649 0.185
RTT 1790360108.900 0.240
RTT 1790360109.150 0.079
RTT 1790360109.400 0.062
RTT 1790360109.650 0.147
RTT 1790360109.900 0.139
RTT 1790360110.150 0.282
RTT 1790360110.400 0.060
RTT 1790360110.650 0.064
RTT 1790360110.901 0.151
RTT 1790360111.151 0.255
RTT 1790360111.401 0.058
RTT 1790360111.651 0.049
RTT 1790360111.901 0.114
RTT 1790360112.151 0.051
RTT 1790360112.404 2.997
RTT 1790360112.652 0.066
RTT 1790360112.902 0.128
RTT 1790360113.152 0.074
RTT 1790360113.402 0.210
RTT 1790360113.652 0.150
RTT 1790360113.902 0.167
RTT 1790360114.152 0.063
RTT 1790360114.402 0.064
RTT 1790360114.653 0.079
RTT 1790360114.904 0.223
RTT 1790360115.154 0.069
RTT 1790360115.405 0.620
RTT 1790360115.655 0.144
RTT 1790360115.906 0.173
RTT 1790360116.156 0.083
RTT 1790360116.406 0.327
RTT 1790360116.656 0.090
RTT 1790360116.906 0.135
RTT 1790360117.157 0.307
RTT 1790360117.407 0.105
RTT 1790360117.657 0.335
RTT 1790360117.907 0.348
RTT 1790360118.158 0.295
RTT 1790360118.408 0.089
RTT 1790360118.658 0.202
RTT 1790360118.908 0.076
RTT 1790360119.158 0.087
RTT 1790360119.408 0.132
RTT 1790360119.658 0.054
RTT 1790360119.908 0.153
RTT 1790360120.159 0.072
RTT 1790360120.409 0.301
RTT 1790360120.659 0.094
RTT 1790360120.909 0.272
RTT 1790360121.160 0.310
RTT 1790360121.410 0.216
RTT 1790360121.660 0.100
RTT 1790360121.911 0.294
RTT 1790360122.161 0.357
RTT 1790360122.412 1.018
RTT 1790360122.661 0.125
RTT 1790360122.912 0.495
RTT 1790360123.162 0.144
RTT 1790360123.412 0.328
RTT 1790360123.663 0.280
RTT 1790360123.912 0.063
RTT 1790360124.163 0.078
RTT 1790360124.413 0.078
RTT 1790360124.663 0.176
RTT 1790360124.913 0.292
RTT 1790360125.163 0.361
RTT 1790360125.414 0.453
RTT 1790360125.664 0.303
RTT 1790360125.914 0.355
RTT 1790360126.164 0.152
RTT 1790360126.414 0.315
RTT 1790360126.664 0.304
RTT 1790360126.914 0.139
RTT 1790360127.165 0.373
RTT 1790360127.415 0.370
RTT 1790360127.665 0.333
RTT 1790360127.915 0.093
RTT 1790360128.165 0.068
RTT 1790360128.415 0.228
RTT 1790360128.666 0.212
RTT 1790360128.916 0.314
RTT 1790360129.166 0.179
RTT 1790360129.417 0.177
RTT 1790360129.667 0.115
RTT 1790360129.917 0.164
RTT 1790360130.167 0.336
RTT 1790360130.417 0.248
RTT 1790360130.667 0.142
RTT 1790360130.918 0.283
RTT 1790360131.168 0.058
RTT 1790360131.418 0.198
RTT 1790360131.668 0.179
RTT 1790360131.919 0.281
RTT 1790360132.168 0.061
RTT 1790360132.419 0.070
RTT 1790360132.669 0.109
RTT 1790360132.919 0.139
RTT 1790360133.170 0.155
RTT 1790360133.420 0.089
RTT 1790360133.670 0.238
RTT 1790360133.920 0.055
RTT 1790360134.170 0.063
RTT 1790360134.420 0.126
RTT 1790360134.670 0.068
RTT 1790360134.920 0.119
RTT 1790360135.171 0.146
RTT 1790360135.421 0.196
RTT 1790360135.671 0.136
RTT 1790360135.921 0.177
RTT 1790360136.171 0.060
RTT 1790360136.421 0.070
RTT 1790360136.671 0.215
RTT 1790360136.921 0.064
RTT 1790360137.172 0.200
RTT 1790360137.422 0.075
RTT 1790360137.672 0.061
RTT 1790360137.922 0.183
RTT 1790360138.172 0.091
RTT 1790360138.423 0.241
RTT 1790360138.672 0.066
RTT 1790360138.923 0.310
RTT 1790360139.177 4.656
RTT 1790360139.423 0.358
RTT 1790360139.673 0.182
RTT 1790360139.923 0.065
RTT 1790360140.174 0.144
RTT 1790360140.424 0.151
RTT 1790360140.674 0.328
RTT 1790360140.926 0.146
RTT 1790360141.177 0.072
RTT 1790360141.428 1.620
RTT 1790360141.677 0.093
RTT 1790360141.927 0.299
RTT 1790360142.177 0.407
RTT 1790360142.428 0.126
RTT 1790360142.678 0.148
RTT 1790360142.928 0.210
RTT 1790360143.178 0.068
RTT 1790360143.428 0.068
RTT 1790360143.678 0.113
RTT 1790360143.929 0.131
RTT 1790360144.179 0.069
RTT 1790360144.430 1.796
RTT 1790360144.679 0.067
RTT 1790360144.929 0.072
RTT 1790360145.179 0.159
RTT 1790360145.431 0.345
RTT 1790360145.680 0.063
RTT 1790360145.931 0.238
RTT 1790360146.181 0.044
RTT 1790360146.435 4.268
RTT 1790360146.681 0.104
RTT 1790360146.931 0.064
RTT 1790360147.182 0.237
RTT 1790360147.434 2.146
RTT 1790360147.682 0.154
RTT 1790360147.932 0.328
RTT 1790360148.183 0.193
RTT 1790360148.438 5.434
RTT 1790360148.683 0.213
RTT 1790360148.933 0.162
RTT 1790360149.183 0.322
RTT 1790360149.435 2.292
RTT 1790360149.688 4.354
RTT 1790360149.934 0.322
RTT 1790360150.184 0.334
RTT 1790360150.437 3.383
RTT 1790360150.685 0.417
RTT 1790360150.937 0.198
RTT 1790360151.187 0.051
RTT 1790360151.437 0.187
RTT 1790360151.687 0.103
RTT 1790360151.938 0.367
RTT 1790360152.193 5.188
RTT 1790360152.438 0.068
RTT 1790360152.688 0.171
RTT 1790360152.939 0.300
RTT 1790360153.189 0.188
RTT 1790360153.446 7.386
RTT 1790360153.689 0.277
RTT 1790360153.939 0.151
RTT 1790360154.190 0.289
RTT 1790360154.444 4.353
RTT 1790360154.690 0.145
RTT 1790360154.940 0.173
RTT 1790360155.194 3.544
RTT 1790360155.444 3.492
RTT 1790360155.690 0.066
RTT 1790360155.941 0.332
RTT 1790360156.195 3.906
RTT 1790360156.448 7.045
RTT 1790360156.691 0.268
RTT 1790360156.942 0.168
RTT 1790360157.192 0.189
RTT 1790360157.448 5.991
RTT 1790360157.692 0.213
RTT 1790360157.942 0.075
RTT 1790360158.196 3.447
RTT 1790360158.447 4.780
RTT 1790360158.693 0.263
RTT 1790360158.943 0.221
RTT 1790360159.193 0.203
RTT 1790360159.449 6.142
RTT 1790360159.694 0.265
RTT 1790360159.945 0.338
RTT 1790360160.196 1.479
RTT 1790360160.447 2.523
RTT 1790360160.695 0.217
RTT 1790360160.946 0.344
RTT 1790360161.199 3.847
RTT 1790360161.446 0.064
RTT 1790360161.696 0.242
RTT 1790360161.946 0.164
RTT 1790360162.200 3.755
RTT 1790360162.446 0.078
RTT 1790360162.697 0.059
RTT 1790360162.949 2.290
RTT 1790360163.197 0.078
RTT 1790360163.447 0.314
RTT 1790360163.698 0.237
RTT 1790360163.948 0.130
RTT 1790360164.204 6.509
RTT 1790360164.448 0.157
RTT 1790360164.698 0.141
RTT 1790360164.952 4.165
RTT 1790360165.198 0.158
RTT 1790360165.449 0.297
RTT 1790360165.699 0.431
RTT 1790360165.950 1.377
RTT 1790360166.202 2.776
RTT 1790360166.452 0.393
RTT 1790360166.702 0.455
RTT 1790360166.956 3.859
RTT 1790360167.204 1.513
RTT 1790360167.453 0.316
RTT 1790360167.703 0.062
RTT 1790360167.953 0.432
RTT 1790360168.204 1.040
RTT 1790360168.454 0.322
RTT 1790360168.708 4.638
RTT 1790360168.954 0.359
RTT 1790360169.204 0.230
RTT 1790360169.454 0.057
RTT 1790360169.704 0.162
RTT 1790360169.957 0.215
RTT 1790360170.207 0.178
RTT 1790360170.467 8.618
RTT 1790360170.709 0.150
RTT 1790360170.960 0.318
