TRACER 0
RTT 1790360626.835 0.039
RTT 1790360627.085 0.092
RTT 1790360627.336 0.417
RTT 1790360627.586 0.181
RTT 1790360627.836 0.177
RTT 1790360628.086 0.283
RTT 1790360628.336 0.208
RTT 1790360628.586 0.074
RTT 1790360628.837 0.454
RTT 1790360629.087 0.163
RTT 1790360629.337 0.064
RTT 1790360629.587 0.206
RTT 1790360629.837 0.058
RTT 1790360630.087 0.142
RTT 1790360630.338 0.387
RTT 1790360630.588 0.192
RTT 1790360630.838 0.059
RTT 1790360631.088 0.449
RTT 1790360631.339 0.632
RTT 1790360631.589 0.273
RTT 1790360631.839 0.076
RTT 1790360632.089 0.335
RTT 1790360632.339 0.079
RTT 1790360632.589 0.181
RTT 1790360632.839 0.073
RTT 1790360633.089 0.083
RTT 1790360633.340 0.182
RTT 1790360633.590 0.205
RTT 1790360633.840 0.073
RTT 1790360634.090 0.146
RTT 1790360634.340 0.132
RTT 1790360634.590 0.077
RTT 1790360634.840 0.219
RTT 1790360635.091 0.230
RTT 1790360635.342 1.381
RTT 1790360635.591 0.129
RTT 1790360635.841 0.061
RTT 1790360636.091 0.082
RTT 1790360636.341 0.096
RTT 1790360636.591 0.062
RTT 1790360636.841 0.074
RTT 1790360637.092 0.479
RTT 1790360637.341 0.176
RTT 1790360637.591 0.063
RTT 1790360637.842 0.080
RTT 1790360638.093 0.914
RTT 1790360638.342 0.083
RTT 1790360638.592 0.202
RTT 1790360638.843 0.309
RTT 1790360639.093 0.346
RTT 1790360639.343 0.171
RTT 1790360639.593 0.181
RTT 1790360639.845 0.365
RTT 1790360640.095 0.292
RTT 1790360640.345 0.111
RTT 1790360640.595 0.070
RTT 1790360640.845 0.247
RTT 1790360641.095 0.307
RTT 1790360641.346 0.361
RTT 1790360641.596 0.401
RTT 1790360641.846 0.197
RTT 1790360642.097 0.348
RTT 1790360642.346 0.129
RTT 1790360642.597 0.190
RTT 1790360642.847 0.163
RTT 1790360643.097 0.466
RTT 1790360643.347 0.179
RTT 1790360643.597 0.275
RTT 1790360643.848 0.130
RTT 1790360644.098 0.173
RTT 1790360644.348 0.155
RTT 1790360644.598 0.209
RTT 1790360644.848 0.259
RTT 1790360645.099 0.339
RTT 1790360645.349 0.364
RTT 1790360645.599 0.070
RTT 1790360645.849 0.364
RTT 1790360646.100 0.345
RTT 1790360646.350 0.233
RTT 1790360646.600 0.102
RTT 1790360646.850 0.066
RTT 1790360647.100 0.192
RTT 1790360647.350 0.199
RTT 1790360647.600 0.069
RTT 1790360647.851 0.369
RTT 1790360648.101 0.083
RTT 1790360648.351 0.094
RTT 1790360648.601 0.173
RTT 1790360648.851 0.369
RTT 1790360649.101 0.072
RTT 1790360649.351 0.062
RTT 1790360649.602 0.298
RTT 1790360649.852 0.354
RTT 1790360650.102 0.072
RTT 1790360650.352 0.097
RTT 1790360650.602 0.082
RTT 1790360650.853 0.316
RTT 1790360651.103 0.261
RTT 1790360651.353 0.300
RTT 1790360651.603 0.340
RTT 1790360651.854 0.212
RTT 1790360652.104 0.199
RTT 1790360652.354 0.063
RTT 1790360652.604 0.174
RTT 1790360652.855 0.372
RTT 1790360653.105 0.117
RTT 1790360653.355 0.073
RTT 1790360653.605 0.334
RTT 1790360653.855 0.077
RTT 1790360654.105 0.114
RTT 1790360654.356 0.319
RTT 1790360654.606 0.313
RTT 1790360654.857 0.176
RTT 1790360655.107 0.375
RTT 1790360655.357 0.092
RTT 1790360655.607 0.197
RTT 1790360655.857 0.240
RTT 1790360656.108 0.263
RTT 1790360656.358 0.350
RTT 1790360656.609 0.739
RTT 1790360656.858 0.188
RTT 1790360657.108 0.247
RTT 1790360657.359 0.178
RTT 1790360657.609 0.164
RTT 1790360657.859 0.308
RTT 1790360658.109 0.290
RTT 1790360658.359 0.078
RTT 1790360658.609 0.082
RTT 1790360658.859 0.064
RTT 1790360659.110 0.289
RTT 1790360659.359 0.067
RTT 1790360659.610 0.204
RTT 1790360659.862 0.162
RTT 1790360660.117 4.055
RTT 1790360660.363 0.141
RTT 1790360660.613 0.203
RTT 1790360660.864 0.208
RTT 1790360661.114 0.058
RTT 1790360661.364 0.075
RTT 1790360661.614 0.272
RTT 1790360661.865 0.730
RTT 1790360662.114 0.052
RTT 1790360662.365 0.183
RTT 1790360662.615 0.094
RTT 1790360662.865 0.233
RTT 1790360663.115 0.130
RTT 1790360663.365 0.212
RTT 1790360663.615 0.064
RTT 1790360663.866 0.124
RTT 1790360664.116 0.357
RTT 1790360664.366 0.118
RTT 1790360664.616 0.069
RTT 1790360664.868 0.135
RTT 1790360665.118 0.094
RTT 1790360665.368 0.089
RTT 1790360665.618 0.051
RTT 1790360665.868 0.195
RTT 1790360666.119 0.140
RTT 1790360666.369 0.045
RTT 1790360666.619 0.180
RTT 1790360666.869 0.093
RTT 1790360667.123 3.944
RTT 1790360667.371 1.566
RTT 1790360667.620 0.338
RTT 1790360667.870 0.176
RTT 1790360668.128 7.835
RTT 1790360668.370 0.117
RTT 1790360668.620 0.140
RTT 1790360668.871 0.158
RTT 1790360669.123 2.156
RTT 1790360669.371 0.085
RTT 1790360669.621 0.170
RTT 1790360669.871 0.114
RTT 1790360670.122 0.144
RTT 1790360670.374 0.122
RTT 1790360670.624 0.270
RTT 1790360670.874 0.374
RTT 1790360671.125 0.370
RTT 1790360671.374 0.075
RTT 1790360671.624 0.095
RTT 1790360671.875 0.233
RTT 1790360672.125 0.083
RTT 1790360672.375 0.069
RTT 1790360672.627 2.064
RTT 1790360672.876 0.176
RTT 1790360673.128 2.074
RTT 1790360673.376 0.057
RTT 1790360673.626 0.059
RTT 1790360673.876 0.208
RTT 1790360674.126 0.121
RTT 1790360674.380 3.993
RTT 1790360674.626 0.177
RTT 1790360674.877 0.172
RTT 1790360675.129 2.514
RTT 1790360675.377 0.135
RTT 1790360675.633 1.718
RTT 1790360675.882 0.249
RTT 1790360676.132 0.074
RTT 1790360676.382 0.323
RTT 1790360676.635 3.161
RTT 1790360676.882 0.072
RTT 1790360677.134 1.632
RTT 1790360677.388 5.819
RTT 1790360677.632 0.117
RTT 1790360677.883 0.482
RTT 1790360678.133 0.134
RTT 1790360678.383 0.306
RTT 1790360678.633 0.127
RTT 1790360678.885 2.106
RTT 1790360679.133 0.175
RTT 1790360679.384 0.373
RTT 1790360679.640 4.103
RTT 1790360679.886 0.186
RTT 1790360680.136 0.080
RTT 1790360680.386 0.094
RTT 1790360680.640 3.292
RTT 1790360680.887 0.105
RTT 1790360681.137 0.157
RTT 1790360681.387 0.208
RTT 1790360681.644 7.356
RTT 1790360681.888 0.354
RTT 1790360682.138 0.376
RTT 1790360682.391 3.299
RTT 1790360682.639 0.193
RTT 1790360682.889 0.199
RTT 1790360683.139 0.077
RTT 1790360683.389 0.142
RTT 1790360683.639 0.161
RTT 1790360683.889 0.156
RTT 1790360684.140 0.095
RTT 1790360684.391 1.168
RTT 1790360684.640 0.383
RTT 1790360684.891 0.261
RTT 1790360685.140 0.066
RTT 1790360685.396 5.467
RTT 1790360685.641 0.089
RTT 1790360685.891 0.450
RTT 1790360686.142 1.162
RTT 1790360686.391 0.116
RTT 1790360686.642 0.177
RTT 1790360686.892 0.341
RTT 1790360687.142 0.104
RTT 1790360687.396 3.920
RTT 1790360687.642 0.147
RTT 1790360687.892 0.080
RTT 1790360688.144 1.571
RTT 1790360688.393 0.239
RTT 1790360688.645 0.257
RTT 1790360688.895 0.095
RTT 1790360689.145 0.139
RTT 1790360689.396 1.100
RTT 1790360689.648 0.218
RTT 1790360689.900 2.558
RTT 1790360690.148 0.176
RTT 1790360690.398 0.329
RTT 1790360690.648 0.249
RTT 1790360690.900 1.908
RTT 1790360691.149 0.170
RTT 1790360691.399 0.297
RTT 1790360691.651 0.347
RTT 1790360691.906 5.070
RTT 1790360692.151 0.293
RTT 1790360692.401 0.066
RTT 1790360692.652 0.235
RTT 1790360692.904 2.410
RTT 1790360693.152 0.179
RTT 1790360693.406 4.205
RTT 1790360693.654 0.314
RTT 1790360693.908 3.631
RTT 1790360694.155 0.252
RTT 1790360694.407 0.352
RTT 1790360694.657 0.144
RTT 1790360694.909 1.878
RTT 1790360695.158 0.319
RTT 1790360695.408 0.138
RTT 1790360695.660 0.360
RTT 1790360695.912 1.695
RTT 1790360696.161 0.222
RTT 1790360696.411 0.343
RTT 1790360696.661 0.316
RTT 1790360696.915 4.200
RTT 1790360697.161 0.284
RTT 1790360697.415 4.342
RTT 1790360697.664 0.336
RTT 1790360697.916 2.377
RTT 1790360698.164 0.255
RTT 1790360698.414 0.346
RTT 1790360698.680 15.753
RTT 1790360698.915 0.863
RTT 1790360699.165 0.066
RTT 1790360699.415 0.210
RTT 1790360699.665 0.233
RTT 1790360699.915 0.164
RTT 1790360700.166 0.557
RTT 1790360700.416 0.242
RTT 1790360700.667 2.030
RTT 1790360700.916 0.284
RTT 1790360701.166 0.197
RTT 1790360701.416 0.157
RTT 1790360701.668 1.976
RTT 1790360701.917 0.245
RTT 1790360702.169 0.358
RTT 1790360702.419 0.105
RTT 1790360702.670 0.610
RTT 1790360702.919 0.079
RTT 1790360703.170 0.108
RTT 1790360703.423 3.336
RTT 1790360703.671 0.517
RTT 1790360703.921 0.248
RTT 1790360704.173 0.212
RTT 1790360704.424 0.811
RTT 1790360704.681 7.486
RTT 1790360704.924 0.136
RTT 1790360705.174 0.189
RTT 1790360705.428 3.835
RTT 1790360705.675 0.532
RTT 1790360705.925 0.166
RTT 1790360706.175 0.076
RTT 1790360706.432 7.188
RTT 1790360706.675 0.076
RTT 1790360706.926 0.327
RTT 1790360707.175 0.134
RTT 1790360707.428 2.510
RTT 1790360707.676 0.150
RTT 1790360707.926 0.339
RTT 1790360708.176 0.255
RTT 1790360708.431 4.908
RTT 1790360708.677 0.256
