TRACER 29525
RTT 1790361923.850 0.032
RTT 1790361924.100 0.080
RTT 1790361924.350 0.074
RTT 1790361924.601 0.386
RTT 1790361924.851 0.369
RTT 1790361925.101 0.188
RTT 1790361925.351 0.311
RTT 1790361925.602 0.324
RTT 1790361925.852 0.222
RTT 1790361926.102 0.348
RTT 1790361926.352 0.134
RTT 1790361926.602 0.110
RTT 1790361926.852 0.083
RTT 1790361927.103 0.297
RTT 1790361927.353 0.320
RTT 1790361927.603 0.142
RTT 1790361927.854 0.297
RTT 1790361928.104 0.161
RTT 1790361928.354 0.178
RTT 1790361928.606 2.202
RTT 1790361928.854 0.207
RTT 1790361929.104 0.108
RTT 1790361929.355 0.180
RTT 1790361929.605 0.058
RTT 1790361929.855 0.117
RTT 1790361930.105 0.163
RTT 1790361930.355 0.264
RTT 1790361930.605 0.075
RTT 1790361930.855 0.116
RTT 1790361931.105 0.064
RTT 1790361931.356 0.172
RTT 1790361931.606 0.071
RTT 1790361931.856 0.118
RTT 1790361932.106 0.056
RTT 1790361932.356 0.042
RTT 1790361932.606 0.139
RTT 1790361932.856 0.114
RTT 1790361933.106 0.079
RTT 1790361933.356 0.045
RTT 1790361933.607 0.100
RTT 1790361933.857 0.070
RTT 1790361934.107 0.071
RTT 1790361934.357 0.085
RTT 1790361934.611 4.450
RTT 1790361934.863 5.798
RTT 1790361935.107 0.089
RTT 1790361935.358 0.360
RTT 1790361935.608 0.116
RTT 1790361935.859 0.502
RTT 1790361936.109 0.063
RTT 1790361936.359 0.311
RTT 1790361936.609 0.348
RTT 1790361936.859 0.328
RTT 1790361937.109 0.189
RTT 1790361937.359 0.095
RTT 1790361937.610 0.507
RTT 1790361937.860 0.264
RTT 1790361938.110 0.148
RTT 1790361938.360 0.186
RTT 1790361938.610 0.145
RTT 1790361938.861 0.194
RTT 1790361939.111 0.293
RTT 1790361939.361 0.064
RTT 1790361939.612 0.446
RTT 1790361939.862 0.128
RTT 1790361940.112 0.112
RTT 1790361940.362 0.104
RTT 1790361940.612 0.346
RTT 1790361940.862 0.331
RTT 1790361941.112 0.082
RTT 1790361941.363 0.218
RTT 1790361941.613 0.067
RTT 1790361941.863 0.186
RTT 1790361942.114 0.603
RTT 1790361942.363 0.070
RTT 1790361942.614 0.188
RTT 1790361942.864 0.089
RTT 1790361943.114 0.320
RTT 1790361943.364 0.055
RTT 1790361943.614 0.078
RTT 1790361943.864 0.137
RTT 1790361944.115 0.347
RTT 1790361944.365 0.158
RTT 1790361944.615 0.060
RTT 1790361944.865 0.072
RTT 1790361945.115 0.207
RTT 1790361945.365 0.287
RTT 1790361945.615 0.186
RTT 1790361945.866 0.398
RTT 1790361946.116 0.294
RTT 1790361946.366 0.087
RTT 1790361946.616 0.355
RTT 1790361946.866 0.147
RTT 1790361947.116 0.176
RTT 1790361947.367 0.309
RTT 1790361947.617 0.093
RTT 1790361947.867 0.341
RTT 1790361948.117 0.061
RTT 1790361948.367 0.084
RTT 1790361948.617 0.075
RTT 1790361948.868 0.401
RTT 1790361949.118 0.163
RTT 1790361949.368 0.171
RTT 1790361949.618 0.192
RTT 1790361949.868 0.077
RTT 1790361950.118 0.156
RTT 1790361950.369 0.099
RTT 1790361950.619 0.118
RTT 1790361950.869 0.361
RTT 1790361951.120 0.227
RTT 1790361951.370 0.255
RTT 1790361951.620 0.133
RTT 1790361951.871 0.285
RTT 1790361952.121 0.234
RTT 1790361952.371 0.062
RTT 1790361952.621 0.123
RTT 1790361952.871 0.132
RTT 1790361953.121 0.078
RTT 1790361953.371 0.174
RTT 1790361953.622 0.226
RTT 1790361953.872 0.088
RTT 1790361954.122 0.065
RTT 1790361954.372 0.086
RTT 1790361954.622 0.130
RTT 1790361954.872 0.076
RTT 1790361955.122 0.121
RTT 1790361955.373 0.197
RTT 1790361955.623 0.065
RTT 1790361955.873 0.056
RTT 1790361956.123 0.056
RTT 1790361956.375 2.483
RTT 1790361956.623 0.072
RTT 1790361956.874 0.442
RTT 1790361957.124 0.242
RTT 1790361957.374 0.063
RTT 1790361957.624 0.304
RTT 1790361957.874 0.049
RTT 1790361958.124 0.222
RTT 1790361958.374 0.102
RTT 1790361958.624 0.078
RTT 1790361958.875 0.315
RTT 1790361959.125 0.251
RTT 1790361959.375 0.159
RTT 1790361959.626 1.174
RTT 1790361959.875 0.183
RTT 1790361960.125 0.092
RTT 1790361960.376 0.280
RTT 1790361960.626 0.169
RTT 1790361960.876 0.301
RTT 1790361961.127 0.899
RTT 1790361961.377 0.770
RTT 1790361961.627 0.312
RTT 1790361961.877 0.106
RTT 1790361962.127 0.133
RTT 1790361962.377 0.095
RTT 1790361962.628 0.255
RTT 1790361962.878 0.177
RTT 1790361963.135 7.430
RTT 1790361963.379 0.707
RTT 1790361963.629 0.347
RTT 1790361963.879 0.340
RTT 1790361964.129 0.190
RTT 1790361964.381 1.857
RTT 1790361964.629 0.311
RTT 1790361964.879 0.326
RTT 1790361965.129 0.105
RTT 1790361965.382 2.176
RTT 1790361965.632 0.276
RTT 1790361965.882 0.322
RTT 1790361966.132 0.054
RTT 1790361966.382 0.111
RTT 1790361966.634 1.390
RTT 1790361966.883 0.333
RTT 1790361967.136 3.233
RTT 1790361967.383 0.361
RTT 1790361967.634 0.239
RTT 1790361967.884 0.196
RTT 1790361968.134 0.595
RTT 1790361968.384 0.148
RTT 1790361968.637 0.479
RTT 1790361968.887 0.188
RTT 1790361969.140 3.957
RTT 1790361969.387 0.055
RTT 1790361969.637 0.477
RTT 1790361969.887 0.307
RTT 1790361970.140 2.462
RTT 1790361970.388 0.268
RTT 1790361970.638 0.129
RTT 1790361970.888 0.061
RTT 1790361971.143 4.886
RTT 1790361971.389 0.236
RTT 1790361971.639 0.118
RTT 1790361971.889 0.155
RTT 1790361972.139 0.106
RTT 1790361972.389 0.162
