# mem-guard start x3=15197 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=6461
1790359717.283819700 mem_available_mb=4662 swap_used_mb=6461 x3_rss_mb=222 x3_swap_mb=0
1790359717.804238398 mem_available_mb=4633 swap_used_mb=6255 x3_rss_mb=222 x3_swap_mb=0
1790359718.323836835 mem_available_mb=4685 swap_used_mb=6255 x3_rss_mb=222 x3_swap_mb=0
1790359718.859743085 mem_available_mb=4701 swap_used_mb=6255 x3_rss_mb=222 x3_swap_mb=0
1790359719.386104439 mem_available_mb=4703 swap_used_mb=6255 x3_rss_mb=222 x3_swap_mb=0
1790359719.917968710 mem_available_mb=4710 swap_used_mb=6255 x3_rss_mb=222 x3_swap_mb=0
1790359720.446185220 mem_available_mb=4709 swap_used_mb=6254 x3_rss_mb=222 x3_swap_mb=0
1790359720.979863084 mem_available_mb=4714 swap_used_mb=6253 x3_rss_mb=222 x3_swap_mb=0
1790359721.501166417 mem_available_mb=4712 swap_used_mb=6253 x3_rss_mb=222 x3_swap_mb=0
1790359722.030209126 mem_available_mb=4717 swap_used_mb=6253 x3_rss_mb=222 x3_swap_mb=0
1790359722.555076313 mem_available_mb=4715 swap_used_mb=6253 x3_rss_mb=222 x3_swap_mb=0
1790359723.081798500 mem_available_mb=4714 swap_used_mb=6253 x3_rss_mb=222 x3_swap_mb=0
1790359723.609133135 mem_available_mb=4714 swap_used_mb=6253 x3_rss_mb=222 x3_swap_mb=0
1790359724.145186885 mem_available_mb=4732 swap_used_mb=6253 x3_rss_mb=213 x3_swap_mb=0
1790359724.677738916 mem_available_mb=4728 swap_used_mb=6253 x3_rss_mb=213 x3_swap_mb=0
1790359725.209544645 mem_available_mb=4725 swap_used_mb=6253 x3_rss_mb=213 x3_swap_mb=0
1790359725.730709593 mem_available_mb=4719 swap_used_mb=6253 x3_rss_mb=213 x3_swap_mb=0
1790359726.254630478 mem_available_mb=4722 swap_used_mb=6253 x3_rss_mb=213 x3_swap_mb=0
1790359726.776016936 mem_available_mb=4723 swap_used_mb=6253 x3_rss_mb=213 x3_swap_mb=0
1790359727.303155894 mem_available_mb=4732 swap_used_mb=6253 x3_rss_mb=213 x3_swap_mb=0
1790359727.832955217 mem_available_mb=4719 swap_used_mb=6250 x3_rss_mb=213 x3_swap_mb=0
1790359728.364079279 mem_available_mb=4718 swap_used_mb=6250 x3_rss_mb=213 x3_swap_mb=0
1790359728.886558498 mem_available_mb=4720 swap_used_mb=6250 x3_rss_mb=213 x3_swap_mb=0
1790359729.415790321 mem_available_mb=4715 swap_used_mb=6250 x3_rss_mb=213 x3_swap_mb=0
1790359729.943375164 mem_available_mb=4719 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359730.472183445 mem_available_mb=4723 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359731.000731414 mem_available_mb=4724 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359731.530119382 mem_available_mb=4716 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359732.061738132 mem_available_mb=4716 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359732.591412871 mem_available_mb=4717 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359733.118299278 mem_available_mb=4717 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359733.645793965 mem_available_mb=4716 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359734.167087663 mem_available_mb=4716 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359734.689971152 mem_available_mb=4714 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359735.212712298 mem_available_mb=4713 swap_used_mb=6244 x3_rss_mb=213 x3_swap_mb=0
1790359735.735500110 mem_available_mb=4727 swap_used_mb=6242 x3_rss_mb=213 x3_swap_mb=0
1790359736.257573183 mem_available_mb=4723 swap_used_mb=6242 x3_rss_mb=213 x3_swap_mb=0
1790359736.783273339 mem_available_mb=4722 swap_used_mb=6242 x3_rss_mb=213 x3_swap_mb=0
1790359737.309747141 mem_available_mb=4724 swap_used_mb=6242 x3_rss_mb=213 x3_swap_mb=0
1790359737.836700474 mem_available_mb=4721 swap_used_mb=6242 x3_rss_mb=213 x3_swap_mb=0
1790359738.366381671 mem_available_mb=4714 swap_used_mb=6242 x3_rss_mb=213 x3_swap_mb=0
1790359738.888110057 mem_available_mb=4713 swap_used_mb=6242 x3_rss_mb=213 x3_swap_mb=0
1790359739.415664848 mem_available_mb=4716 swap_used_mb=6242 x3_rss_mb=213 x3_swap_mb=0
1790359739.942902869 mem_available_mb=4714 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359740.469861983 mem_available_mb=4711 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359740.999343493 mem_available_mb=4713 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359741.529532139 mem_available_mb=4715 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359742.058323857 mem_available_mb=4721 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359742.585053232 mem_available_mb=4730 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359743.118706357 mem_available_mb=4728 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359743.646271513 mem_available_mb=4727 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359744.170712607 mem_available_mb=4732 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359744.697191148 mem_available_mb=4730 swap_used_mb=6241 x3_rss_mb=213 x3_swap_mb=0
1790359745.222631200 mem_available_mb=4748 swap_used_mb=6240 x3_rss_mb=213 x3_swap_mb=0
