TRACER 29525
RTT 1790359726.309 0.032
RTT 1790359726.559 0.137
RTT 1790359726.809 0.170
RTT 1790359727.059 0.131
RTT 1790359727.309 0.091
RTT 1790359727.559 0.145
RTT 1790359727.810 0.172
RTT 1790359728.060 0.331
RTT 1790359728.310 0.215
RTT 1790359728.561 0.348
RTT 1790359728.811 0.070
RTT 1790359729.061 0.299
RTT 1790359729.311 0.186
RTT 1790359729.562 0.303
RTT 1790359729.812 0.342
RTT 1790359730.062 0.170
RTT 1790359730.313 0.247
RTT 1790359730.563 0.176
RTT 1790359730.813 0.171
RTT 1790359731.063 0.115
RTT 1790359731.313 0.079
RTT 1790359731.563 0.091
RTT 1790359731.814 0.337
RTT 1790359732.064 0.066
RTT 1790359732.314 0.244
RTT 1790359732.564 0.332
RTT 1790359732.815 0.218
RTT 1790359733.065 0.319
RTT 1790359733.315 0.197
RTT 1790359733.565 0.198
RTT 1790359733.815 0.140
RTT 1790359734.066 0.329
RTT 1790359734.316 0.280
RTT 1790359734.566 0.214
RTT 1790359734.816 0.181
RTT 1790359735.066 0.108
RTT 1790359735.316 0.156
RTT 1790359735.567 0.295
RTT 1790359735.817 0.131
RTT 1790359736.067 0.253
RTT 1790359736.317 0.194
RTT 1790359736.567 0.282
RTT 1790359736.817 0.227
RTT 1790359737.068 0.378
RTT 1790359737.318 0.172
RTT 1790359737.568 0.346
RTT 1790359737.818 0.053
RTT 1790359738.068 0.251
RTT 1790359738.318 0.166
RTT 1790359738.568 0.165
RTT 1790359738.819 0.161
RTT 1790359739.069 0.192
RTT 1790359740.317 997.877
RTT 1790359740.317 0.035
RTT 1790359740.567 0.060
RTT 1790359740.817 0.195
RTT 1790359741.068 0.330
RTT 1790359741.318 0.335
RTT 1790359741.568 0.343
RTT 1790359741.818 0.295
RTT 1790359742.069 0.266
RTT 1790359742.319 0.140
RTT 1790359742.569 0.096
RTT 1790359742.819 0.201
RTT 1790359743.069 0.082
RTT 1790359743.320 0.385
RTT 1790359743.570 0.124
RTT 1790359743.820 0.380
RTT 1790359744.070 0.384
RTT 1790359744.320 0.161
RTT 1790359744.570 0.109
RTT 1790359744.820 0.049
RTT 1790359745.070 0.119
RTT 1790359745.321 0.371
RTT 1790359745.571 0.331
RTT 1790359745.821 0.348
RTT 1790359746.072 0.382
RTT 1790359746.322 0.362
RTT 1790359746.572 0.268
RTT 1790359746.822 0.196
RTT 1790359747.073 0.153
RTT 1790359747.323 0.113
RTT 1790359747.573 0.197
RTT 1790359747.823 0.142
RTT 1790359748.074 0.214
RTT 1790359748.324 0.133
RTT 1790359748.574 0.143
RTT 1790359748.824 0.369
RTT 1790359749.074 0.112
RTT 1790359749.324 0.173
RTT 1790359749.575 0.283
RTT 1790359749.825 0.332
RTT 1790359750.075 0.274
RTT 1790359751.318 992.545
RTT 1790359751.318 0.028
RTT 1790359751.568 0.095
RTT 1790359751.818 0.321
RTT 1790359752.069 0.392
RTT 1790359752.319 0.375
RTT 1790359752.569 0.128
RTT 1790359752.819 0.132
RTT 1790359753.070 0.264
RTT 1790359753.320 0.484
RTT 1790359753.570 0.057
RTT 1790359753.821 0.618
RTT 1790359754.070 0.141
RTT 1790359754.321 0.108
RTT 1790359754.571 0.170
RTT 1790359754.822 0.184
RTT 1790359755.072 0.184
RTT 1790359755.322 0.116
RTT 1790359755.572 0.100
RTT 1790359755.822 0.108
RTT 1790359756.073 0.323
RTT 1790359756.323 0.112
RTT 1790359756.574 0.402
RTT 1790359756.824 0.198
RTT 1790359757.074 0.179
RTT 1790359757.324 0.185
RTT 1790359757.574 0.072
RTT 1790359757.825 0.207
RTT 1790359758.075 0.197
RTT 1790359758.325 0.215
RTT 1790359758.576 0.252
RTT 1790359758.826 0.264
RTT 1790359759.076 0.422
RTT 1790359759.326 0.285
RTT 1790359759.576 0.245
RTT 1790359759.826 0.168
RTT 1790359760.076 0.146
RTT 1790359760.327 0.288
RTT 1790359760.577 0.063
RTT 1790359760.827 0.282
RTT 1790359761.077 0.069
RTT 1790359762.319 991.694
RTT 1790359762.319 0.397
RTT 1790359762.569 0.166
RTT 1790359762.819 0.081
RTT 1790359763.070 0.175
RTT 1790359763.320 0.217
RTT 1790359763.570 0.263
RTT 1790359763.820 0.063
RTT 1790359764.071 0.241
RTT 1790359764.321 0.161
RTT 1790359764.571 0.184
RTT 1790359764.821 0.244
RTT 1790359765.072 0.146
RTT 1790359765.322 0.101
RTT 1790359765.572 0.227
RTT 1790359765.822 0.188
RTT 1790359766.073 0.314
RTT 1790359766.323 0.314
RTT 1790359766.573 0.227
RTT 1790359766.823 0.150
RTT 1790359767.073 0.168
RTT 1790359767.323 0.136
RTT 1790359767.574 0.161
RTT 1790359767.824 0.066
RTT 1790359768.074 0.297
