TRACER 0
RTT 1790359726.208 0.053
RTT 1790359726.458 0.180
RTT 1790359726.708 0.063
RTT 1790359726.958 0.172
RTT 1790359727.208 0.395
RTT 1790359727.458 0.178
RTT 1790359727.709 0.333
RTT 1790359727.959 0.251
RTT 1790359728.209 0.252
RTT 1790359728.460 0.249
RTT 1790359728.710 0.332
RTT 1790359728.960 0.061
RTT 1790359729.210 0.224
RTT 1790359729.460 0.073
RTT 1790359729.711 0.181
RTT 1790359729.961 0.233
RTT 1790359730.211 0.193
RTT 1790359730.461 0.071
RTT 1790359730.712 0.198
RTT 1790359730.962 0.181
RTT 1790359731.212 0.083
RTT 1790359731.463 0.473
RTT 1790359731.713 0.196
RTT 1790359731.963 0.350
RTT 1790359732.213 0.191
RTT 1790359732.463 0.157
RTT 1790359732.713 0.173
RTT 1790359732.963 0.177
RTT 1790359733.214 0.196
RTT 1790359733.464 0.135
RTT 1790359733.714 0.355
RTT 1790359733.964 0.176
RTT 1790359734.214 0.224
RTT 1790359734.464 0.134
RTT 1790359734.715 0.267
RTT 1790359734.965 0.276
RTT 1790359735.215 0.068
RTT 1790359735.465 0.276
RTT 1790359735.715 0.057
RTT 1790359735.965 0.284
RTT 1790359736.215 0.188
RTT 1790359736.466 0.223
RTT 1790359736.716 0.269
RTT 1790359736.966 0.157
RTT 1790359737.216 0.215
RTT 1790359737.466 0.238
RTT 1790359737.717 0.296
RTT 1790359737.967 0.174
RTT 1790359738.217 0.168
RTT 1790359738.468 0.875
RTT 1790359738.718 0.213
RTT 1790359738.968 0.165
RTT 1790359739.218 0.240
RTT 1790359740.317 848.850
RTT 1790359740.317 0.059
RTT 1790359740.567 0.050
RTT 1790359740.817 0.160
RTT 1790359741.068 0.128
RTT 1790359741.318 0.164
RTT 1790359741.568 0.155
RTT 1790359741.819 0.178
RTT 1790359742.069 0.119
RTT 1790359742.319 0.107
RTT 1790359742.569 0.067
RTT 1790359742.819 0.124
RTT 1790359743.069 0.068
RTT 1790359743.320 0.397
RTT 1790359743.570 0.097
RTT 1790359743.820 0.426
RTT 1790359744.070 0.395
RTT 1790359744.320 0.328
RTT 1790359744.570 0.129
RTT 1790359744.820 0.112
RTT 1790359745.071 0.143
RTT 1790359745.321 0.379
RTT 1790359745.571 0.344
RTT 1790359745.821 0.357
RTT 1790359746.072 0.398
RTT 1790359746.322 0.227
RTT 1790359746.572 0.137
RTT 1790359746.822 0.117
RTT 1790359747.072 0.196
RTT 1790359747.323 0.173
RTT 1790359747.573 0.184
RTT 1790359747.823 0.332
RTT 1790359748.073 0.251
RTT 1790359748.324 0.322
RTT 1790359748.574 0.182
RTT 1790359748.824 0.128
RTT 1790359749.074 0.147
RTT 1790359749.324 0.542
RTT 1790359749.575 0.497
RTT 1790359749.825 0.474
RTT 1790359750.075 0.431
RTT 1790359751.318 992.712
RTT 1790359751.318 0.033
RTT 1790359751.568 0.057
RTT 1790359751.818 0.426
RTT 1790359752.069 0.518
RTT 1790359752.319 0.377
RTT 1790359752.569 0.105
RTT 1790359752.819 0.181
RTT 1790359753.070 0.469
RTT 1790359753.320 0.395
RTT 1790359753.570 0.044
RTT 1790359753.821 0.525
RTT 1790359754.070 0.160
RTT 1790359754.321 0.252
RTT 1790359754.571 0.314
RTT 1790359754.822 0.589
RTT 1790359755.072 0.337
RTT 1790359755.322 0.155
RTT 1790359755.572 0.179
RTT 1790359755.822 0.143
RTT 1790359756.074 0.329
RTT 1790359756.324 0.091
RTT 1790359756.574 0.391
RTT 1790359756.824 0.097
RTT 1790359757.074 0.083
RTT 1790359757.324 0.222
RTT 1790359757.574 0.055
RTT 1790359757.825 0.196
RTT 1790359758.075 0.126
RTT 1790359758.325 0.306
RTT 1790359758.576 0.532
RTT 1790359758.826 0.460
RTT 1790359759.076 0.352
RTT 1790359759.326 0.274
RTT 1790359759.576 0.198
RTT 1790359759.826 0.150
RTT 1790359760.077 0.121
RTT 1790359760.327 0.262
RTT 1790359760.577 0.057
RTT 1790359760.827 0.264
RTT 1790359761.077 0.051
RTT 1790359762.319 991.716
RTT 1790359762.319 0.301
RTT 1790359762.570 0.315
RTT 1790359762.820 0.116
RTT 1790359763.070 0.323
RTT 1790359763.320 0.155
RTT 1790359763.570 0.449
RTT 1790359763.820 0.089
RTT 1790359764.071 0.198
RTT 1790359764.321 0.346
RTT 1790359764.571 0.172
RTT 1790359764.822 0.143
RTT 1790359765.072 0.094
RTT 1790359765.322 0.097
RTT 1790359765.572 0.304
RTT 1790359765.822 0.321
RTT 1790359766.073 0.246
RTT 1790359766.323 0.295
RTT 1790359766.573 0.167
RTT 1790359766.823 0.130
RTT 1790359767.073 0.142
