TRACER 27459
RTT 1790327634.885 0.036
RTT 1790327635.135 0.209
RTT 1790327635.386 0.323
RTT 1790327635.636 0.330
RTT 1790327635.886 0.166
RTT 1790327636.136 0.152
RTT 1790327636.387 0.290
RTT 1790327636.637 0.146
RTT 1790327636.887 0.161
RTT 1790327637.139 0.341
RTT 1790327637.388 0.088
RTT 1790327637.639 0.161
RTT 1790327637.889 0.095
RTT 1790327638.139 0.113
RTT 1790327638.389 0.144
RTT 1790327638.639 0.181
RTT 1790327638.890 0.352
RTT 1790327639.140 0.121
RTT 1790327639.390 0.058
RTT 1790327639.640 0.060
RTT 1790327639.891 0.096
RTT 1790327640.141 0.214
RTT 1790327640.391 0.051
RTT 1790327640.641 0.036
RTT 1790327640.894 0.207
RTT 1790327641.144 0.164
RTT 1790327641.395 0.306
RTT 1790327641.645 0.075
RTT 1790327641.895 0.093
RTT 1790327642.146 0.778
RTT 1790327642.396 0.361
RTT 1790327642.646 0.139
RTT 1790327642.896 0.206
RTT 1790327643.147 0.336
RTT 1790327643.398 0.312
RTT 1790327643.648 0.351
RTT 1790327643.898 0.160
RTT 1790327644.148 0.085
RTT 1790327644.399 0.510
RTT 1790327644.649 0.078
RTT 1790327644.899 0.177
RTT 1790327645.150 0.221
RTT 1790327645.400 0.149
RTT 1790327645.650 0.200
RTT 1790327645.900 0.214
RTT 1790327646.151 0.345
RTT 1790327646.401 0.229
RTT 1790327646.651 0.222
RTT 1790327646.901 0.292
RTT 1790327647.152 0.385
RTT 1790327647.402 0.169
RTT 1790327647.652 0.237
RTT 1790327648.893 990.868
RTT 1790327648.893 0.187
RTT 1790327649.143 0.173
RTT 1790327649.393 0.069
RTT 1790327649.644 0.404
RTT 1790327649.895 1.401
RTT 1790327650.144 0.410
RTT 1790327650.394 0.129
RTT 1790327650.645 0.394
RTT 1790327650.895 0.162
RTT 1790327651.145 0.241
RTT 1790327651.395 0.253
RTT 1790327651.645 0.097
RTT 1790327651.896 0.333
RTT 1790327652.146 0.149
RTT 1790327652.397 0.265
RTT 1790327652.647 0.306
RTT 1790327652.897 0.460
RTT 1790327653.147 0.157
RTT 1790327653.398 0.294
RTT 1790327653.648 0.284
RTT 1790327653.898 0.380
RTT 1790327654.148 0.046
RTT 1790327654.399 0.159
RTT 1790327654.649 0.113
RTT 1790327654.899 0.044
RTT 1790327655.149 0.428
RTT 1790327655.399 0.151
RTT 1790327655.650 0.180
RTT 1790327655.900 0.206
RTT 1790327656.150 0.136
RTT 1790327656.400 0.225
RTT 1790327656.651 0.373
RTT 1790327656.901 0.324
RTT 1790327657.151 0.120
RTT 1790327657.401 0.194
RTT 1790327657.651 0.129
RTT 1790327657.902 0.309
RTT 1790327658.152 0.165
RTT 1790327658.402 0.345
RTT 1790327658.652 0.258
RTT 1790327659.894 991.535
RTT 1790327659.894 0.059
RTT 1790327660.144 0.069
RTT 1790327660.394 0.138
RTT 1790327660.644 0.211
RTT 1790327660.895 0.363
RTT 1790327661.145 0.298
RTT 1790327661.395 0.189
RTT 1790327661.646 0.120
RTT 1790327661.896 0.130
RTT 1790327662.146 0.051
RTT 1790327662.396 0.061
RTT 1790327662.646 0.197
RTT 1790327662.896 0.133
RTT 1790327663.146 0.040
RTT 1790327663.397 0.195
RTT 1790327663.647 0.041
RTT 1790327663.897 0.364
RTT 1790327664.147 0.283
RTT 1790327664.398 0.312
RTT 1790327664.647 0.062
RTT 1790327664.898 0.133
RTT 1790327665.148 0.222
RTT 1790327665.398 0.155
RTT 1790327665.648 0.179
RTT 1790327665.899 0.207
RTT 1790327666.149 0.239
RTT 1790327666.399 0.149
RTT 1790327666.649 0.304
RTT 1790327666.899 0.153
RTT 1790327667.150 0.338
RTT 1790327667.400 0.474
RTT 1790327667.650 0.179
RTT 1790327667.900 0.075
RTT 1790327668.150 0.175
RTT 1790327668.400 0.045
RTT 1790327668.650 0.036
RTT 1790327668.901 0.147
RTT 1790327669.151 0.112
RTT 1790327669.402 0.249
RTT 1790327669.652 0.149
RTT 1790327670.894 992.674
RTT 1790327670.895 0.473
RTT 1790327671.145 0.350
RTT 1790327671.395 0.086
RTT 1790327671.645 0.141
RTT 1790327671.896 0.417
RTT 1790327672.145 0.118
RTT 1790327672.396 0.406
RTT 1790327672.646 0.102
RTT 1790327672.896 0.323
RTT 1790327673.146 0.071
RTT 1790327673.397 0.200
RTT 1790327673.647 0.132
RTT 1790327673.897 0.293
RTT 1790327674.147 0.341
RTT 1790327674.398 0.353
RTT 1790327674.648 0.365
RTT 1790327674.898 0.353
RTT 1790327675.148 0.273
RTT 1790327675.399 0.359
RTT 1790327675.649 0.293
RTT 1790327675.899 0.273
RTT 1790327676.149 0.300
RTT 1790327676.400 0.308
RTT 1790327676.650 0.218
