TRACER 0
RTT 1790327634.777 0.043
RTT 1790327635.032 4.081
RTT 1790327635.278 0.058
RTT 1790327635.528 0.155
RTT 1790327635.778 0.212
RTT 1790327636.029 0.180
RTT 1790327636.279 0.317
RTT 1790327636.529 0.292
RTT 1790327636.779 0.202
RTT 1790327637.030 0.329
RTT 1790327637.280 0.077
RTT 1790327637.530 0.064
RTT 1790327637.781 0.242
RTT 1790327638.031 0.322
RTT 1790327638.281 0.164
RTT 1790327638.531 0.164
RTT 1790327638.781 0.246
RTT 1790327639.032 0.147
RTT 1790327639.282 0.100
RTT 1790327639.532 0.078
RTT 1790327639.783 0.363
RTT 1790327640.032 0.189
RTT 1790327640.283 0.102
RTT 1790327640.533 0.056
RTT 1790327640.783 0.213
RTT 1790327641.033 0.162
RTT 1790327641.283 0.279
RTT 1790327641.534 0.279
RTT 1790327641.784 0.149
RTT 1790327642.035 0.183
RTT 1790327642.285 0.206
RTT 1790327642.535 0.068
RTT 1790327642.785 0.353
RTT 1790327643.035 0.138
RTT 1790327643.286 0.339
RTT 1790327643.536 0.143
RTT 1790327643.786 0.177
RTT 1790327644.036 0.077
RTT 1790327644.286 0.075
RTT 1790327644.536 0.160
RTT 1790327644.786 0.228
RTT 1790327645.037 0.321
RTT 1790327645.287 0.167
RTT 1790327645.537 0.199
RTT 1790327645.788 0.236
RTT 1790327646.038 0.210
RTT 1790327646.288 0.235
RTT 1790327646.538 0.067
RTT 1790327646.788 0.239
RTT 1790327647.039 0.179
RTT 1790327647.289 0.103
RTT 1790327647.539 0.177
RTT 1790327647.789 0.324
RTT 1790327648.893 854.203
RTT 1790327648.893 0.153
RTT 1790327649.143 0.136
RTT 1790327649.393 0.056
RTT 1790327649.644 0.408
RTT 1790327649.895 1.217
RTT 1790327650.145 0.415
RTT 1790327650.394 0.107
RTT 1790327650.645 0.291
RTT 1790327650.895 0.278
RTT 1790327651.145 0.257
RTT 1790327651.395 0.275
RTT 1790327651.646 0.138
RTT 1790327651.896 0.453
RTT 1790327652.146 0.287
RTT 1790327652.397 0.475
RTT 1790327652.647 0.155
RTT 1790327652.898 0.127
RTT 1790327653.148 0.132
RTT 1790327653.398 0.141
RTT 1790327653.648 0.187
RTT 1790327653.898 0.385
RTT 1790327654.148 0.064
RTT 1790327654.399 0.448
RTT 1790327654.649 0.202
RTT 1790327654.899 0.080
RTT 1790327655.149 0.556
RTT 1790327655.399 0.229
RTT 1790327655.649 0.146
RTT 1790327655.900 0.179
RTT 1790327656.150 0.210
RTT 1790327656.400 0.345
RTT 1790327656.650 0.198
RTT 1790327656.901 0.194
RTT 1790327657.151 0.279
RTT 1790327657.401 0.164
RTT 1790327657.651 0.084
RTT 1790327657.902 0.296
RTT 1790327658.152 0.234
RTT 1790327658.402 0.358
RTT 1790327658.652 0.281
RTT 1790327659.894 991.490
RTT 1790327659.894 0.054
RTT 1790327660.144 0.060
RTT 1790327660.394 0.199
RTT 1790327660.644 0.217
RTT 1790327660.895 0.351
RTT 1790327661.145 0.326
RTT 1790327661.396 0.656
RTT 1790327661.645 0.239
RTT 1790327661.896 0.333
RTT 1790327662.146 0.109
RTT 1790327662.396 0.113
RTT 1790327662.646 0.469
RTT 1790327662.896 0.215
RTT 1790327663.146 0.088
RTT 1790327663.397 0.440
RTT 1790327663.646 0.078
RTT 1790327663.897 0.534
RTT 1790327664.147 0.481
RTT 1790327664.398 0.454
RTT 1790327664.647 0.097
RTT 1790327664.898 0.249
RTT 1790327665.148 0.450
RTT 1790327665.398 0.399
RTT 1790327665.648 0.223
RTT 1790327665.898 0.241
RTT 1790327666.149 0.421
RTT 1790327666.399 0.350
RTT 1790327666.650 0.401
RTT 1790327666.899 0.173
RTT 1790327667.150 0.309
RTT 1790327667.400 0.481
RTT 1790327667.650 0.181
RTT 1790327667.900 0.092
RTT 1790327668.150 0.389
RTT 1790327668.400 0.082
RTT 1790327668.650 0.074
RTT 1790327668.901 0.202
RTT 1790327669.151 0.127
RTT 1790327669.402 0.268
RTT 1790327669.652 0.183
RTT 1790327670.895 992.881
RTT 1790327670.895 0.287
RTT 1790327671.145 0.262
RTT 1790327671.395 0.051
RTT 1790327671.645 0.126
RTT 1790327671.896 0.338
RTT 1790327672.146 0.110
RTT 1790327672.396 0.371
RTT 1790327672.646 0.122
RTT 1790327672.896 0.340
RTT 1790327673.146 0.110
RTT 1790327673.397 0.149
RTT 1790327673.647 0.053
RTT 1790327673.897 0.301
RTT 1790327674.147 0.358
RTT 1790327674.398 0.199
RTT 1790327674.648 0.402
RTT 1790327674.898 0.375
RTT 1790327675.148 0.274
RTT 1790327675.399 0.384
RTT 1790327675.649 0.313
