TRACER 0
RTT 1790327721.310 0.026
RTT 1790327721.562 0.161
RTT 1790327721.812 0.053
RTT 1790327722.062 0.168
RTT 1790327722.312 0.217
RTT 1790327722.562 0.205
RTT 1790327722.813 0.336
RTT 1790327723.062 0.083
RTT 1790327723.313 0.118
RTT 1790327723.568 4.347
RTT 1790327723.814 0.142
RTT 1790327724.064 0.090
RTT 1790327724.315 0.164
RTT 1790327724.565 0.179
RTT 1790327724.815 0.351
RTT 1790327725.066 0.318
RTT 1790327725.316 0.355
RTT 1790327725.566 0.080
RTT 1790327725.816 0.288
RTT 1790327726.066 0.107
RTT 1790327726.316 0.072
RTT 1790327726.567 0.339
RTT 1790327726.816 0.125
RTT 1790327727.067 0.123
RTT 1790327727.317 0.205
RTT 1790327727.567 0.080
RTT 1790327727.817 0.086
RTT 1790327728.067 0.106
RTT 1790327728.317 0.160
RTT 1790327728.567 0.072
RTT 1790327728.817 0.089
RTT 1790327729.067 0.053
RTT 1790327729.318 0.070
RTT 1790327729.568 0.080
RTT 1790327729.822 4.629
RTT 1790327730.068 0.042
RTT 1790327730.318 0.077
RTT 1790327730.568 0.046
RTT 1790327730.818 0.078
RTT 1790327731.068 0.065
RTT 1790327731.318 0.120
RTT 1790327731.569 0.234
RTT 1790327731.819 0.106
RTT 1790327732.069 0.057
RTT 1790327732.319 0.103
RTT 1790327732.569 0.442
RTT 1790327732.819 0.211
RTT 1790327733.070 0.477
RTT 1790327733.320 0.165
RTT 1790327733.571 0.297
RTT 1790327733.821 0.170
RTT 1790327734.071 0.280
RTT 1790327734.321 0.236
RTT 1790327734.571 0.063
RTT 1790327734.821 0.187
RTT 1790327735.072 0.322
RTT 1790327735.322 0.285
RTT 1790327735.574 0.326
RTT 1790327735.824 0.102
RTT 1790327736.074 0.155
RTT 1790327736.324 0.152
RTT 1790327736.574 0.184
RTT 1790327736.824 0.161
RTT 1790327737.075 0.272
RTT 1790327737.325 0.239
RTT 1790327737.575 0.342
RTT 1790327737.826 0.200
RTT 1790327738.076 0.312
RTT 1790327738.327 0.191
RTT 1790327738.577 0.078
RTT 1790327738.827 0.071
RTT 1790327739.077 0.223
RTT 1790327739.327 0.056
RTT 1790327739.578 0.322
RTT 1790327739.828 0.166
RTT 1790327740.078 0.366
RTT 1790327740.328 0.070
RTT 1790327740.578 0.316
RTT 1790327740.828 0.320
RTT 1790327741.078 0.292
RTT 1790327741.328 0.061
RTT 1790327741.579 0.355
RTT 1790327741.829 0.191
RTT 1790327742.079 0.106
RTT 1790327742.329 0.206
RTT 1790327742.580 0.215
RTT 1790327742.830 0.098
RTT 1790327743.081 0.360
RTT 1790327743.331 0.331
RTT 1790327743.581 0.330
RTT 1790327743.831 0.134
RTT 1790327744.081 0.067
RTT 1790327744.331 0.255
RTT 1790327744.581 0.150
RTT 1790327744.832 0.342
RTT 1790327745.082 0.064
RTT 1790327745.333 1.510
RTT 1790327745.582 0.140
RTT 1790327745.833 0.148
RTT 1790327746.083 0.185
RTT 1790327746.333 0.120
RTT 1790327746.583 0.154
RTT 1790327746.833 0.143
RTT 1790327747.084 0.368
RTT 1790327747.334 0.097
RTT 1790327747.584 0.214
RTT 1790327747.834 0.070
RTT 1790327748.085 0.235
RTT 1790327748.335 0.142
RTT 1790327748.585 0.188
RTT 1790327748.835 0.093
RTT 1790327749.085 0.191
RTT 1790327749.335 0.060
RTT 1790327749.586 0.173
RTT 1790327749.836 0.252
RTT 1790327750.086 0.130
RTT 1790327750.336 0.174
RTT 1790327750.586 0.361
RTT 1790327750.836 0.254
RTT 1790327751.086 0.108
RTT 1790327751.337 0.140
RTT 1790327751.587 0.133
RTT 1790327751.837 0.075
RTT 1790327752.087 0.070
RTT 1790327752.337 0.118
RTT 1790327752.587 0.205
RTT 1790327752.837 0.061
RTT 1790327753.087 0.076
RTT 1790327753.338 0.119
RTT 1790327753.588 0.162
RTT 1790327753.838 0.061
RTT 1790327754.088 0.123
RTT 1790327754.338 0.082
RTT 1790327754.588 0.066
RTT 1790327754.839 0.317
RTT 1790327755.090 1.677
RTT 1790327755.339 0.357
RTT 1790327755.589 0.318
RTT 1790327755.839 0.139
RTT 1790327756.090 0.215
RTT 1790327756.344 4.542
RTT 1790327756.590 0.137
