TRACER 27459
RTT 1790328633.402 0.159
RTT 1790328633.652 0.107
RTT 1790328633.902 0.178
RTT 1790328634.152 0.080
RTT 1790328634.402 0.127
RTT 1790328634.652 0.150
RTT 1790328634.903 0.268
RTT 1790328635.153 0.187
RTT 1790328635.403 0.247
RTT 1790328635.653 0.280
RTT 1790328635.903 0.304
RTT 1790328636.153 0.342
RTT 1790328636.403 0.111
RTT 1790328636.654 0.326
RTT 1790328636.904 0.287
RTT 1790328637.154 0.241
RTT 1790328637.405 0.205
RTT 1790328637.655 0.165
RTT 1790328637.905 0.239
RTT 1790328638.155 0.331
RTT 1790328638.406 0.363
RTT 1790328638.656 0.251
RTT 1790328638.906 0.096
RTT 1790328639.156 0.271
RTT 1790328639.406 0.065
RTT 1790328639.656 0.066
RTT 1790328639.907 0.143
RTT 1790328640.157 0.223
RTT 1790328640.407 0.092
RTT 1790328640.657 0.234
RTT 1790328640.908 0.161
RTT 1790328641.158 0.236
RTT 1790328641.408 0.200
RTT 1790328641.658 0.091
RTT 1790328641.908 0.144
RTT 1790328642.158 0.071
RTT 1790328642.409 0.088
RTT 1790328642.659 0.078
RTT 1790328642.909 0.414
RTT 1790328643.159 0.152
RTT 1790328643.409 0.427
RTT 1790328643.659 0.064
RTT 1790328643.909 0.071
RTT 1790328644.159 0.061
RTT 1790328644.409 0.087
RTT 1790328644.660 0.150
RTT 1790328644.910 0.127
RTT 1790328645.160 0.069
RTT 1790328645.410 0.089
RTT 1790328645.660 0.123
RTT 1790328645.911 0.070
RTT 1790328646.161 0.214
RTT 1790328646.411 0.083
RTT 1790328646.661 0.254
RTT 1790328646.912 0.357
RTT 1790328647.162 0.078
RTT 1790328647.412 0.405
RTT 1790328647.662 0.385
RTT 1790328647.912 0.270
RTT 1790328648.163 0.311
RTT 1790328648.413 0.107
RTT 1790328648.663 0.345
RTT 1790328648.913 0.276
RTT 1790328649.163 0.147
RTT 1790328649.413 0.074
RTT 1790328649.664 0.208
RTT 1790328649.914 0.183
RTT 1790328650.164 0.215
RTT 1790328650.414 0.174
RTT 1790328650.665 0.294
RTT 1790328650.915 0.313
RTT 1790328651.165 0.320
RTT 1790328651.415 0.072
RTT 1790328651.665 0.168
RTT 1790328651.916 0.170
RTT 1790328652.166 0.309
RTT 1790328652.416 0.270
RTT 1790328652.666 0.267
RTT 1790328652.916 0.185
RTT 1790328653.167 0.179
RTT 1790328653.417 0.069
RTT 1790328653.667 0.140
RTT 1790328653.917 0.071
RTT 1790328654.167 0.067
RTT 1790328654.417 0.189
RTT 1790328654.667 0.118
RTT 1790328654.918 0.229
RTT 1790328655.168 0.362
RTT 1790328655.418 0.147
RTT 1790328655.668 0.078
RTT 1790328655.918 0.111
RTT 1790328656.168 0.194
RTT 1790328656.418 0.077
RTT 1790328656.669 0.079
RTT 1790328656.919 0.335
RTT 1790328657.169 0.090
RTT 1790328657.419 0.155
RTT 1790328657.670 0.161
RTT 1790328657.920 0.095
RTT 1790328658.170 0.072
RTT 1790328658.420 0.109
RTT 1790328658.670 0.173
RTT 1790328658.920 0.244
RTT 1790328659.171 0.337
RTT 1790328659.421 0.138
RTT 1790328659.671 0.269
RTT 1790328659.921 0.328
RTT 1790328660.171 0.204
RTT 1790328660.422 0.176
RTT 1790328660.672 0.180
RTT 1790328660.922 0.203
RTT 1790328661.173 1.325
RTT 1790328661.422 0.149
RTT 1790328661.672 0.167
RTT 1790328661.922 0.072
RTT 1790328662.172 0.098
RTT 1790328662.423 0.066
RTT 1790328662.673 0.214
RTT 1790328662.923 0.377
RTT 1790328663.175 0.269
RTT 1790328663.425 0.173
RTT 1790328663.675 0.083
RTT 1790328663.926 0.141
RTT 1790328664.177 0.354
RTT 1790328664.427 0.322
RTT 1790328664.677 0.334
RTT 1790328664.928 0.333
RTT 1790328665.177 0.087
RTT 1790328665.428 0.098
RTT 1790328665.678 0.159
RTT 1790328665.928 0.160
RTT 1790328666.178 0.091
RTT 1790328666.428 0.166
RTT 1790328666.678 0.074
RTT 1790328666.929 0.336
RTT 1790328667.179 0.112
RTT 1790328667.429 0.121
RTT 1790328667.679 0.080
RTT 1790328667.929 0.177
RTT 1790328668.179 0.127
RTT 1790328668.430 0.425
RTT 1790328668.680 0.294
RTT 1790328668.930 0.154
RTT 1790328669.180 0.153
RTT 1790328669.434 3.923
RTT 1790328669.680 0.128
RTT 1790328669.930 0.156
RTT 1790328670.181 0.357
RTT 1790328670.431 0.111
RTT 1790328670.685 3.923
RTT 1790328670.932 0.907
RTT 1790328671.182 0.170
RTT 1790328671.432 0.107
RTT 1790328671.682 0.214
RTT 1790328671.932 0.129
RTT 1790328672.185 2.606
RTT 1790328672.433 0.212
RTT 1790328672.683 0.094
RTT 1790328672.933 0.146
RTT 1790328673.184 0.985
RTT 1790328673.437 4.162
RTT 1790328673.686 0.156
RTT 1790328673.936 0.739
RTT 1790328674.187 0.989
RTT 1790328674.436 0.191
RTT 1790328674.686 0.230
RTT 1790328674.937 0.191
RTT 1790328675.189 2.429
RTT 1790328675.438 1.204
RTT 1790328675.687 0.088
RTT 1790328675.938 0.170
RTT 1790328676.188 0.201
RTT 1790328676.438 0.099
RTT 1790328676.691 2.791
RTT 1790328676.945 7.094
RTT 1790328677.188 0.115
RTT 1790328677.438 0.082
RTT 1790328677.689 0.089
RTT 1790328677.940 1.181
RTT 1790328678.190 1.687
RTT 1790328678.442 3.546
RTT 1790328678.690 0.350
RTT 1790328678.939 0.100
RTT 1790328679.193 3.871
RTT 1790328679.440 0.104
RTT 1790328679.690 0.236
RTT 1790328679.940 0.182
RTT 1790328680.191 0.860
RTT 1790328680.441 0.476
RTT 1790328680.693 2.172
RTT 1790328680.941 0.349
RTT 1790328681.191 0.115
RTT 1790328681.444 2.570
RTT 1790328681.696 4.500
RTT 1790328681.944 2.658
RTT 1790328682.192 0.234
RTT 1790328682.450 8.627
RTT 1790328682.701 9.255
RTT 1790328682.943 1.205
RTT 1790328683.195 3.412
RTT 1790328683.442 0.129
RTT 1790328683.693 0.916
RTT 1790328683.947 4.713
RTT 1790328684.193 0.186
RTT 1790328684.443 0.120
